model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-03T01:02:05.699674

Build Times
provider,build_time_s
torchinferno,402.1
vllm,1433.0
sglang,256.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,288.06,159.93,145.36,sglang
ttft_p99_ms,1979.25,273.99,1282.80,vllm
tpot_median_ms,51.22,61.92,73.23,torchinferno
tpot_p99_ms,152.39,149.07,7420.49,vllm
e2e_median_ms,332.25,212.64,213.37,vllm
e2e_p99_ms,2062.29,317.96,8662.61,vllm
throughput_median_tps,3.53,7.10,5.70,vllm
total_output_tokens,1460,1456,1461,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,226.28,323.94,199.38,sglang
ttft_p99_ms,1210.35,3631.29,73241.22,torchinferno
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,352.16,354.61,333.60,sglang
e2e_p99_ms,1329.77,3750.71,73349.44,torchinferno
throughput_median_tps,2.84,2.82,3.00,sglang
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,944.02,178.47,165.68,sglang
ttft_p99_ms,2101.07,347.26,601.97,vllm
tpot_median_ms,170.38,64.58,101.66,vllm
tpot_p99_ms,585.10,208.84,244.45,vllm
e2e_median_ms,1069.64,231.14,274.07,vllm
e2e_p99_ms,2532.94,436.53,646.91,vllm
throughput_median_tps,1.18,6.04,4.96,vllm
total_output_tokens,1462,1462,1462,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1303.35,149.37,107.96,sglang
ttft_last_turn_ms,1231.07,173.68,200.33,vllm
ttft_growth_ratio,0.94,1.16,1.86,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,362.05,60.49,80.77,vllm
ttft_p99_ms,1046.58,132.85,607.12,vllm
tpot_median_ms,30.73,28.14,61.57,vllm
tpot_p99_ms,296.81,44.64,643.62,vllm
e2e_median_ms,401.64,81.74,147.91,vllm
e2e_p99_ms,1237.66,160.11,719.88,vllm
throughput_median_tps,3.56,15.09,9.32,vllm
total_output_tokens,1478,1459,1463,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,416.24,71.50,78.55,vllm
ttft_p99_ms,1795.31,220.20,149.80,sglang
tpot_median_ms,36.23,14.81,23.01,vllm
tpot_p99_ms,83.76,23.30,28.75,vllm
e2e_median_ms,1628.67,614.17,872.72,vllm
e2e_p99_ms,3627.59,1015.36,1726.33,vllm
throughput_median_tps,21.10,59.67,40.04,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1501.07,0.00,1511.38,1,0.66,1
torchinferno,few_shot,1,1504.84,0.00,1515.44,1,0.66,1
torchinferno,few_shot,2,1501.44,0.00,1515.91,1,0.66,1
torchinferno,few_shot,3,1506.14,131.48,1637.62,2,1.22,1
torchinferno,few_shot,4,1503.36,132.33,1635.69,2,1.22,1
torchinferno,few_shot,5,1505.19,133.66,1638.85,2,1.22,1
torchinferno,few_shot,6,1505.17,136.08,1641.25,2,1.22,1
torchinferno,few_shot,7,1966.75,0.00,1977.19,1,0.51,1
torchinferno,few_shot,8,1969.34,0.00,1982.17,1,0.50,1
torchinferno,few_shot,9,1970.32,0.00,1988.77,1,0.50,1
torchinferno,few_shot,10,1964.65,0.00,1983.70,1,0.50,1
torchinferno,few_shot,11,1970.41,0.00,1994.02,1,0.50,1
torchinferno,few_shot,12,1979.25,0.00,1997.00,1,0.50,1
torchinferno,few_shot,13,1976.66,0.00,1998.52,1,0.50,1
torchinferno,few_shot,14,1963.58,0.00,1995.08,1,0.50,1
torchinferno,few_shot,15,1966.67,0.00,2000.66,1,0.50,1
torchinferno,few_shot,16,1965.27,30.21,1995.48,2,1.00,1
torchinferno,few_shot,17,1967.69,0.00,1998.00,1,0.50,1
torchinferno,few_shot,18,1964.70,0.00,1998.57,1,0.50,1
torchinferno,few_shot,19,1977.68,28.99,2006.68,2,1.00,1
torchinferno,few_shot,20,1970.11,35.28,2005.39,2,1.00,1
torchinferno,few_shot,21,1965.36,0.00,2003.61,1,0.50,1
torchinferno,few_shot,22,1967.56,0.00,2008.64,1,0.50,1
torchinferno,few_shot,23,1970.97,34.06,2005.03,2,1.00,1
torchinferno,few_shot,24,1973.74,0.00,2010.80,1,0.50,1
torchinferno,few_shot,25,1968.86,0.00,2008.61,1,0.50,1
torchinferno,few_shot,26,1967.26,47.36,2014.62,2,0.99,1
torchinferno,few_shot,27,1966.61,0.00,2015.18,1,0.50,1
torchinferno,few_shot,28,1972.33,0.00,2013.40,1,0.50,1
torchinferno,few_shot,29,1971.30,47.09,2018.39,2,0.99,1
torchinferno,few_shot,30,1971.88,51.42,2023.30,2,0.99,1
torchinferno,few_shot,31,1976.05,0.00,2022.20,1,0.49,1
torchinferno,few_shot,32,1965.94,55.86,2021.81,2,0.99,1
torchinferno,few_shot,33,1963.45,0.00,2022.44,1,0.49,1
torchinferno,few_shot,34,1977.13,52.60,2029.73,2,0.99,1
torchinferno,few_shot,35,1972.59,0.00,2026.06,1,0.49,1
torchinferno,few_shot,36,1968.35,58.39,2026.74,2,0.99,1
torchinferno,few_shot,37,1966.65,59.53,2026.18,2,0.99,1
torchinferno,few_shot,38,1966.04,0.00,2032.34,1,0.49,1
torchinferno,few_shot,39,1971.50,65.91,2037.41,2,0.98,1
torchinferno,few_shot,40,1965.07,77.60,2042.68,2,0.98,1
torchinferno,few_shot,41,1971.11,73.19,2044.30,2,0.98,1
torchinferno,few_shot,42,1964.89,0.00,2041.33,1,0.49,1
torchinferno,few_shot,43,1973.59,73.75,2047.33,2,0.98,1
torchinferno,few_shot,44,1966.78,0.00,2052.81,1,0.49,1
torchinferno,few_shot,45,1966.57,79.26,2045.83,2,0.98,1
torchinferno,few_shot,46,1966.86,86.50,2053.36,2,0.97,1
torchinferno,few_shot,47,1971.96,76.59,2048.55,2,0.98,1
torchinferno,few_shot,48,1971.13,88.58,2059.71,2,0.97,1
torchinferno,few_shot,49,1965.26,0.00,2060.55,1,0.49,1
torchinferno,few_shot,50,1975.16,87.07,2062.23,2,0.97,1
torchinferno,few_shot,51,1972.02,87.92,2059.94,2,0.97,1
torchinferno,few_shot,52,1961.74,96.78,2058.52,2,0.97,1
torchinferno,few_shot,53,1973.76,0.00,2061.89,1,0.48,1
torchinferno,few_shot,54,1960.62,101.67,2062.29,2,0.97,1
torchinferno,few_shot,55,2242.54,0.00,2255.75,1,0.44,1
torchinferno,few_shot,56,746.33,0.00,758.12,1,1.32,1
torchinferno,few_shot,57,745.03,0.00,758.11,1,1.32,1
torchinferno,few_shot,58,619.42,0.00,639.22,1,1.56,1
torchinferno,few_shot,59,739.66,0.00,759.06,1,1.32,1
torchinferno,few_shot,60,616.73,0.00,639.39,1,1.56,1
torchinferno,few_shot,61,619.95,0.00,641.41,1,1.56,1
torchinferno,few_shot,62,2243.00,0.00,2267.79,1,0.44,1
torchinferno,few_shot,63,2244.22,0.00,2270.91,1,0.44,1
torchinferno,few_shot,64,2247.27,0.00,2272.77,1,0.44,1
torchinferno,few_shot,65,2242.09,32.07,2274.16,2,0.88,1
torchinferno,few_shot,66,2245.85,29.32,2275.17,2,0.88,1
torchinferno,few_shot,67,2245.08,31.11,2276.19,2,0.88,1
torchinferno,few_shot,68,2245.87,31.95,2277.82,2,0.88,1
torchinferno,few_shot,69,2246.76,31.92,2278.68,2,0.88,1
torchinferno,few_shot,70,615.55,38.11,653.66,2,3.06,1
torchinferno,few_shot,71,313.28,0.00,327.60,1,3.05,1
torchinferno,few_shot,72,300.86,0.00,316.21,1,3.16,1
torchinferno,few_shot,73,303.18,0.00,311.98,1,3.21,1
torchinferno,few_shot,74,347.90,0.00,357.57,1,2.80,1
torchinferno,few_shot,75,316.50,0.00,336.69,1,2.97,1
torchinferno,few_shot,76,347.22,0.00,371.73,1,2.69,1
torchinferno,few_shot,77,343.16,0.00,354.66,1,2.82,1
torchinferno,few_shot,78,336.77,0.00,353.94,1,2.83,1
torchinferno,few_shot,79,278.61,25.94,304.56,2,6.57,1
torchinferno,few_shot,80,291.91,0.00,317.31,1,3.15,1
torchinferno,few_shot,81,338.80,0.00,368.07,1,2.72,1
torchinferno,few_shot,82,292.13,25.96,318.09,2,6.29,1
torchinferno,few_shot,83,322.73,0.00,349.49,1,2.86,1
torchinferno,few_shot,84,355.86,34.20,390.06,2,5.13,1
torchinferno,few_shot,85,291.44,0.00,319.42,1,3.13,1
torchinferno,few_shot,86,338.79,0.00,379.27,1,2.64,1
torchinferno,few_shot,87,346.95,44.32,391.27,2,5.11,1
torchinferno,few_shot,88,334.79,0.00,370.31,1,2.70,1
torchinferno,few_shot,89,299.61,0.00,339.03,1,2.95,1
torchinferno,few_shot,90,323.84,0.00,357.44,1,2.80,1
torchinferno,few_shot,91,286.25,0.00,321.69,1,3.11,1
torchinferno,few_shot,92,307.58,50.90,358.49,2,5.58,1
torchinferno,few_shot,93,357.93,0.00,405.57,1,2.47,1
torchinferno,few_shot,94,322.29,0.00,372.08,1,2.69,1
torchinferno,few_shot,95,329.31,45.57,374.88,2,5.33,1
torchinferno,few_shot,96,354.45,0.00,410.71,1,2.43,1
torchinferno,few_shot,97,342.91,54.24,397.15,2,5.04,1
torchinferno,few_shot,98,331.30,61.17,392.48,2,5.10,1
torchinferno,few_shot,99,350.76,52.69,403.45,2,4.96,1
torchinferno,few_shot,100,297.59,61.51,359.10,2,5.57,1
torchinferno,few_shot,101,348.64,0.00,408.19,1,2.45,1
torchinferno,few_shot,102,292.35,64.15,356.50,2,5.61,1
torchinferno,few_shot,103,285.43,0.00,343.30,1,2.91,1
torchinferno,few_shot,104,331.17,70.45,401.62,2,4.98,1
torchinferno,few_shot,105,339.70,0.00,401.61,1,2.49,1
torchinferno,few_shot,106,336.23,0.00,397.92,1,2.51,1
torchinferno,few_shot,107,331.78,61.87,393.65,2,5.08,1
torchinferno,few_shot,108,307.37,65.53,372.90,2,5.36,1
torchinferno,few_shot,109,314.96,0.00,385.53,1,2.59,1
torchinferno,few_shot,110,307.38,0.00,385.37,1,2.59,1
torchinferno,few_shot,111,286.03,0.00,359.26,1,2.78,1
torchinferno,few_shot,112,142.29,0.00,142.53,1,7.02,1
torchinferno,few_shot,113,271.83,82.70,354.54,2,5.64,1
torchinferno,few_shot,114,336.24,0.00,412.72,1,2.42,1
torchinferno,few_shot,115,138.56,0.00,138.92,1,7.20,1
torchinferno,few_shot,116,129.65,0.00,146.12,1,6.84,1
torchinferno,few_shot,117,353.48,77.14,430.62,2,4.64,1
torchinferno,few_shot,118,297.60,0.00,380.92,1,2.63,1
torchinferno,few_shot,119,315.12,98.41,413.53,2,4.84,1
torchinferno,few_shot,120,141.54,0.00,167.34,1,5.98,1
torchinferno,few_shot,121,161.22,3.53,164.76,2,12.14,1
torchinferno,few_shot,122,290.63,99.92,390.55,2,5.12,1
torchinferno,few_shot,123,160.49,0.00,160.80,1,6.22,1
torchinferno,few_shot,124,145.48,0.00,157.38,1,6.35,1
torchinferno,few_shot,125,147.04,16.86,163.91,2,12.20,1
torchinferno,few_shot,126,165.45,5.19,170.63,2,11.72,1
torchinferno,few_shot,127,137.65,41.53,179.18,2,11.16,1
torchinferno,few_shot,128,131.71,0.00,170.00,1,5.88,1
torchinferno,few_shot,129,276.30,117.52,393.82,2,5.08,1
torchinferno,few_shot,130,147.49,0.00,194.49,1,5.14,1
torchinferno,few_shot,131,164.02,30.11,194.12,2,10.30,1
torchinferno,few_shot,132,158.88,0.00,195.15,1,5.12,1
torchinferno,few_shot,133,198.80,4.42,203.23,2,9.84,1
torchinferno,few_shot,134,185.38,24.24,209.62,2,9.54,1
torchinferno,few_shot,135,291.98,171.88,463.86,2,4.31,1
torchinferno,few_shot,136,504.65,0.00,514.21,1,1.94,1
torchinferno,few_shot,137,524.97,0.00,533.52,1,1.87,1
torchinferno,few_shot,138,532.04,0.00,548.48,1,1.82,1
torchinferno,few_shot,139,470.31,0.00,488.93,1,2.05,1
torchinferno,few_shot,140,510.29,0.00,534.91,1,1.87,1
torchinferno,few_shot,141,560.56,0.00,572.74,1,1.75,1
torchinferno,few_shot,142,454.05,0.00,475.02,1,2.11,1
torchinferno,few_shot,143,472.46,0.00,493.98,1,2.02,1
torchinferno,few_shot,144,508.44,0.00,541.02,1,1.85,1
torchinferno,few_shot,145,497.22,0.00,530.16,1,1.89,1
torchinferno,few_shot,146,485.29,22.81,508.10,2,3.94,1
torchinferno,few_shot,147,551.23,27.90,579.14,2,3.45,1
torchinferno,few_shot,148,475.58,0.00,518.71,1,1.93,1
torchinferno,few_shot,149,518.46,43.04,561.50,2,3.56,1
torchinferno,few_shot,150,497.06,44.23,541.29,2,3.69,1
torchinferno,few_shot,151,534.52,44.21,578.73,2,3.46,1
torchinferno,few_shot,152,546.44,43.57,590.01,2,3.39,1
torchinferno,few_shot,153,473.79,0.00,511.71,1,1.95,1
