model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-08T11:02:27.606179+00:00

Build Times
provider,build_time_s
torchinferno,39.0
vllm,210.4
sglang,199.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,152.94,114.96,142.69,vllm
ttft_p99_ms,883.20,238.17,584.31,vllm
tpot_median_ms,45.01,41.41,79.03,vllm
tpot_p99_ms,136.02,127.52,914.29,vllm
e2e_median_ms,193.24,149.60,222.02,vllm
e2e_p99_ms,892.68,287.67,1037.01,vllm
throughput_median_tps,6.37,9.33,5.33,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,165.20,130.29,205.27,vllm
ttft_p99_ms,830.13,326.30,69888.78,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,178.43,155.61,365.07,vllm
e2e_p99_ms,947.52,361.79,70081.54,vllm
throughput_median_tps,5.60,6.43,2.74,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,147.78,161.02,vllm
ttft_p99_ms,,476.40,594.53,vllm
tpot_median_ms,,50.46,110.97,vllm
tpot_p99_ms,,284.28,1017.62,vllm
e2e_median_ms,,195.52,278.14,vllm
e2e_p99_ms,,553.37,1027.91,vllm
throughput_median_tps,,7.01,4.74,vllm
total_output_tokens,,1450,1462,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,137.11,93.79,sglang
ttft_last_turn_ms,,153.90,199.97,vllm
ttft_growth_ratio,,1.12,2.13,vllm
ttft_first_turn_median_ms,,128.06,77.33,sglang
ttft_first_turn_p99_ms,,447.12,234.54,sglang
ttft_last_turn_median_ms,,145.90,199.55,vllm
ttft_last_turn_p99_ms,,342.85,316.25,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,32.64,47.59,vllm
ttft_p99_ms,,60.60,417.04,vllm
tpot_median_ms,,21.74,363.70,vllm
tpot_p99_ms,,29.09,1037.15,vllm
e2e_median_ms,,48.31,427.06,vllm
e2e_p99_ms,,107.61,1141.65,vllm
throughput_median_tps,,25.67,3.29,vllm
total_output_tokens,,1467,1466,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,80.85,69.08,sglang
ttft_p99_ms,,489.40,916.32,vllm
tpot_median_ms,,14.79,22.36,vllm
tpot_p99_ms,,41.40,122.36,vllm
e2e_median_ms,,607.51,954.68,vllm
e2e_p99_ms,,1612.38,2019.26,vllm
throughput_median_tps,,58.22,41.50,vllm
total_output_tokens,,36715,36715,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,4,0,886.49,0.00,892.68,1,1.12,1,,,,,,,4,,,
torchinferno,few_shot,5,1,865.98,0.00,873.53,1,1.14,1,,,,,,,5,,,
torchinferno,few_shot,3,2,941.17,62.25,1003.42,2,1.99,1,,,,,,,3,,,
torchinferno,few_shot,11,3,860.72,0.00,875.84,1,1.14,1,,,,,,,11,,,
torchinferno,few_shot,9,4,898.94,0.00,914.39,1,1.09,1,,,,,,,9,,,
torchinferno,few_shot,8,5,919.23,0.00,937.84,1,1.07,1,,,,,,,8,,,
torchinferno,few_shot,12,6,849.87,0.00,861.63,1,1.16,1,,,,,,,12,,,
torchinferno,few_shot,7,7,944.81,0.00,967.23,1,1.03,1,,,,,,,7,,,
torchinferno,few_shot,26,8,598.24,0.00,615.59,1,1.62,1,,,,,,,26,,,
torchinferno,few_shot,28,9,558.98,0.00,582.67,1,1.72,1,,,,,,,28,,,
torchinferno,few_shot,10,10,883.20,0.00,907.69,1,1.10,1,,,,,,,10,,,
torchinferno,few_shot,31,11,508.76,0.00,533.91,1,1.87,1,,,,,,,31,,,
torchinferno,few_shot,21,12,686.02,25.46,711.48,2,2.81,1,,,,,,,21,,,
torchinferno,few_shot,32,13,494.79,26.22,521.01,2,3.84,1,,,,,,,32,,,
torchinferno,few_shot,1,14,1103.19,0.00,1138.13,1,0.88,1,,,,,,,1,,,
torchinferno,few_shot,24,15,626.29,0.00,665.29,1,1.50,1,,,,,,,24,,,
torchinferno,few_shot,2,16,1080.00,41.36,1121.36,2,1.78,1,,,,,,,2,,,
torchinferno,few_shot,29,17,545.90,0.00,580.94,1,1.72,1,,,,,,,29,,,
torchinferno,few_shot,30,18,522.86,41.39,564.25,2,3.54,1,,,,,,,30,,,
torchinferno,few_shot,25,19,614.21,0.00,654.36,1,1.53,1,,,,,,,25,,,
torchinferno,few_shot,20,20,698.98,43.40,742.39,2,2.69,1,,,,,,,20,,,
torchinferno,few_shot,15,21,785.37,47.43,832.80,2,2.40,1,,,,,,,15,,,
torchinferno,few_shot,33,22,468.00,51.35,519.35,2,3.85,1,,,,,,,33,,,
torchinferno,few_shot,14,23,809.70,49.44,859.14,2,2.33,1,,,,,,,14,,,
torchinferno,few_shot,22,24,661.82,52.72,714.55,2,2.80,1,,,,,,,22,,,
torchinferno,few_shot,17,25,755.20,0.00,803.08,1,1.25,1,,,,,,,17,,,
torchinferno,few_shot,19,26,722.23,49.41,771.64,2,2.59,1,,,,,,,19,,,
torchinferno,few_shot,6,27,970.53,58.41,1028.94,2,1.94,1,,,,,,,6,,,
torchinferno,few_shot,18,28,732.44,59.56,792.00,2,2.53,1,,,,,,,18,,,
torchinferno,few_shot,0,29,1127.32,56.99,1184.31,2,1.69,1,,,,,,,0,,,
torchinferno,few_shot,13,30,830.59,59.23,889.82,2,2.25,1,,,,,,,13,,,
torchinferno,few_shot,23,31,648.35,61.29,709.64,2,2.82,1,,,,,,,23,,,
torchinferno,few_shot,16,32,775.50,58.37,833.87,2,2.40,1,,,,,,,16,,,
torchinferno,few_shot,27,33,582.74,61.58,644.32,2,3.10,1,,,,,,,27,,,
torchinferno,few_shot,34,34,459.67,0.00,524.84,1,1.91,1,,,,,,,34,,,
torchinferno,few_shot,38,35,475.85,0.00,488.01,1,2.05,1,,,,,,,38,,,
torchinferno,few_shot,43,36,392.34,0.00,403.88,1,2.48,1,,,,,,,43,,,
torchinferno,few_shot,60,37,88.48,0.00,105.28,1,9.50,1,,,,,,,60,,,
torchinferno,few_shot,58,38,129.04,0.00,143.05,1,6.99,1,,,,,,,58,,,
torchinferno,few_shot,64,39,213.23,0.00,227.48,1,4.40,1,,,,,,,64,,,
torchinferno,few_shot,55,40,183.57,0.00,197.93,1,5.05,1,,,,,,,55,,,
torchinferno,few_shot,41,41,424.28,0.00,444.77,1,2.25,1,,,,,,,41,,,
torchinferno,few_shot,35,42,531.77,0.00,549.61,1,1.82,1,,,,,,,35,,,
torchinferno,few_shot,65,43,205.89,0.00,231.68,1,4.32,1,,,,,,,65,,,
torchinferno,few_shot,48,44,300.44,0.00,327.87,1,3.05,1,,,,,,,48,,,
