model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-08T09:02:03.687992

Build Times
provider,build_time_s
torchinferno,419.0
vllm,1361.6
sglang,222.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,288.95,160.50,153.35,sglang
ttft_p99_ms,3320.32,299.60,4935.55,vllm
tpot_median_ms,98.76,59.80,70.56,vllm
tpot_p99_ms,864.68,145.38,392.23,vllm
e2e_median_ms,384.13,211.61,219.88,vllm
e2e_p99_ms,3411.75,369.40,5312.84,vllm
throughput_median_tps,2.99,6.89,5.49,vllm
total_output_tokens,1460,1459,1465,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,418.13,210.21,201.78,sglang
ttft_p99_ms,1539.14,569.02,71625.01,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,558.72,234.29,334.43,vllm
e2e_p99_ms,2041.17,595.97,71719.54,vllm
throughput_median_tps,1.79,4.27,2.99,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,704.66,178.92,164.54,sglang
ttft_p99_ms,1891.72,356.11,655.47,vllm
tpot_median_ms,71.10,69.81,94.22,vllm
tpot_p99_ms,204.90,191.65,224.55,vllm
e2e_median_ms,776.51,240.41,257.51,vllm
e2e_p99_ms,2020.07,422.67,699.40,vllm
throughput_median_tps,1.59,5.87,5.12,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1097.97,153.32,116.45,sglang
ttft_last_turn_ms,818.65,175.76,170.89,sglang
ttft_growth_ratio,0.75,1.15,1.47,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,381.51,61.71,83.96,vllm
ttft_p99_ms,1176.28,2049.37,593.36,sglang
tpot_median_ms,65.13,27.74,56.60,vllm
tpot_p99_ms,444.01,1716.73,144.00,sglang
e2e_median_ms,427.92,84.10,144.46,vllm
e2e_p99_ms,1386.60,2081.76,609.76,sglang
throughput_median_tps,2.95,14.25,9.48,vllm
total_output_tokens,1482,1460,1466,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,535.25,72.35,82.42,vllm
ttft_p99_ms,6581.02,149.87,155.03,vllm
tpot_median_ms,21.32,14.73,23.67,vllm
tpot_p99_ms,51.45,22.65,29.55,vllm
e2e_median_ms,1232.36,603.88,897.09,vllm
e2e_p99_ms,7190.92,1018.21,1689.69,vllm
throughput_median_tps,27.22,59.15,39.19,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1766.78,0.00,1776.66,1,0.56,1
torchinferno,few_shot,1,1765.24,0.00,1775.82,1,0.56,1
torchinferno,few_shot,2,1763.49,0.00,1775.08,1,0.56,1
torchinferno,few_shot,3,1766.71,216.62,1983.33,2,1.01,1
torchinferno,few_shot,4,2566.98,0.00,3319.06,1,0.30,1
torchinferno,few_shot,5,2561.02,0.00,3321.83,1,0.30,1
torchinferno,few_shot,6,2553.83,0.00,3308.36,1,0.30,1
torchinferno,few_shot,7,2556.42,0.00,3328.50,1,0.30,1
torchinferno,few_shot,8,2567.06,0.00,3330.04,1,0.30,1
torchinferno,few_shot,9,2551.48,0.00,3318.35,1,0.30,1
torchinferno,few_shot,10,2559.42,776.00,3335.42,2,0.60,1
torchinferno,few_shot,11,2553.35,0.00,3328.36,1,0.30,1
torchinferno,few_shot,12,2552.01,0.00,3329.19,1,0.30,1
torchinferno,few_shot,13,2551.25,783.26,3334.50,2,0.60,1
torchinferno,few_shot,14,2547.85,785.54,3333.39,2,0.60,1
torchinferno,few_shot,15,2543.36,0.00,3332.07,1,0.30,1
torchinferno,few_shot,16,2537.85,793.53,3331.39,2,0.60,1
torchinferno,few_shot,17,2549.39,791.79,3341.18,2,0.60,1
torchinferno,few_shot,18,1549.56,0.00,1578.75,1,0.63,1
torchinferno,few_shot,19,2547.03,0.00,3344.04,1,0.30,1
torchinferno,few_shot,20,2556.87,785.68,3342.55,2,0.60,1
torchinferno,few_shot,21,2546.04,0.00,3341.29,1,0.30,1
torchinferno,few_shot,22,2542.55,0.00,3344.37,1,0.30,1
torchinferno,few_shot,23,2570.82,790.12,3360.94,2,0.60,1
torchinferno,few_shot,24,2546.83,0.00,3354.06,1,0.30,1
torchinferno,few_shot,25,3323.47,21.53,3345.00,2,0.60,1
torchinferno,few_shot,26,2546.24,811.17,3357.41,2,0.60,1
torchinferno,few_shot,27,3331.80,15.79,3347.59,2,0.60,1
torchinferno,few_shot,28,2557.06,0.00,3356.61,1,0.30,1
torchinferno,few_shot,29,3305.72,46.29,3352.01,2,0.60,1
torchinferno,few_shot,30,2566.97,810.04,3377.01,2,0.59,1
torchinferno,few_shot,31,2548.86,815.49,3364.35,2,0.59,1
torchinferno,few_shot,32,2552.65,813.70,3366.35,2,0.59,1
torchinferno,few_shot,33,3356.13,0.00,3361.58,1,0.30,1
torchinferno,few_shot,34,2554.35,816.47,3370.83,2,0.59,1
torchinferno,few_shot,35,3344.61,0.00,3370.30,1,0.30,1
torchinferno,few_shot,36,2543.29,0.00,3380.00,1,0.30,1
torchinferno,few_shot,37,2554.56,0.00,3378.81,1,0.30,1
torchinferno,few_shot,38,2554.20,841.93,3396.13,2,0.59,1
torchinferno,few_shot,39,3320.32,57.12,3377.44,2,0.59,1
torchinferno,few_shot,40,2540.21,839.09,3379.30,2,0.59,1
torchinferno,few_shot,41,2549.33,0.00,3383.32,1,0.30,1
torchinferno,few_shot,42,2554.71,845.03,3399.73,2,0.59,1
torchinferno,few_shot,43,1598.37,0.00,1628.73,1,0.61,1
torchinferno,few_shot,44,2551.98,849.96,3401.94,2,0.59,1
torchinferno,few_shot,45,2557.40,851.75,3409.16,2,0.59,1
