model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-21T09:02:48.046430

Build Times
provider,build_time_s
torchinferno,354.1
vllm,502.2
sglang,247.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,139.12,137.45,155.57,vllm
ttft_p99_ms,1793.96,249.13,625.83,vllm
tpot_median_ms,45.72,51.26,72.51,torchinferno
tpot_p99_ms,103.41,137.09,402.14,torchinferno
e2e_median_ms,183.34,183.87,223.97,torchinferno
e2e_p99_ms,1837.66,306.92,959.73,vllm
throughput_median_tps,6.56,7.75,5.44,vllm
total_output_tokens,1461,1462,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,296.39,172.24,215.07,vllm
ttft_p99_ms,655.64,411.09,71019.33,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,410.74,194.65,354.73,vllm
e2e_p99_ms,765.43,454.43,71072.25,vllm
throughput_median_tps,2.43,5.14,2.82,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,585.43,160.44,163.72,vllm
ttft_p99_ms,1107.23,302.22,272.30,sglang
tpot_median_ms,36.75,56.56,102.20,torchinferno
tpot_p99_ms,70.99,181.00,211.58,torchinferno
e2e_median_ms,616.14,205.25,263.68,vllm
e2e_p99_ms,1135.34,412.60,425.85,vllm
throughput_median_tps,2.25,6.56,5.31,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,487.07,131.28,111.95,sglang
ttft_last_turn_ms,878.57,152.47,192.65,vllm
ttft_growth_ratio,1.80,1.16,1.72,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,195.53,57.10,82.46,vllm
ttft_p99_ms,813.70,3752.71,556.73,sglang
tpot_median_ms,28.84,28.84,43.29,vllm
tpot_p99_ms,259.14,1767.51,148.51,sglang
e2e_median_ms,226.25,78.69,140.90,vllm
e2e_p99_ms,862.69,3785.98,584.22,sglang
throughput_median_tps,6.05,15.56,9.45,vllm
total_output_tokens,1470,1472,1480,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,367.80,71.44,68.59,sglang
ttft_p99_ms,1408.19,139.55,117.20,sglang
tpot_median_ms,21.06,15.23,22.46,vllm
tpot_p99_ms,43.41,23.41,27.35,vllm
e2e_median_ms,1212.41,622.67,822.42,vllm
e2e_p99_ms,2977.80,1032.82,1587.68,vllm
throughput_median_tps,30.66,57.85,42.07,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1258.99,0.00,1267.45,1,0.79,1
torchinferno,few_shot,1,1260.52,0.00,1270.74,1,0.79,1
torchinferno,few_shot,2,1258.31,0.00,1270.84,1,0.79,1
torchinferno,few_shot,3,1258.43,0.00,1271.74,1,0.79,1
torchinferno,few_shot,4,1258.99,0.00,1272.96,1,0.79,1
torchinferno,few_shot,5,1261.48,207.20,1468.67,2,1.36,1
torchinferno,few_shot,6,1716.43,0.00,1731.06,1,0.58,1
torchinferno,few_shot,7,1722.91,0.00,1740.92,1,0.57,1
torchinferno,few_shot,8,1722.15,0.00,1737.43,1,0.58,1
torchinferno,few_shot,9,1724.01,0.00,1740.28,1,0.57,1
torchinferno,few_shot,10,1719.45,0.00,1744.90,1,0.57,1
torchinferno,few_shot,11,1720.40,0.00,1739.71,1,0.57,1
torchinferno,few_shot,12,1718.29,0.00,1741.51,1,0.57,1
torchinferno,few_shot,13,1719.66,0.00,1743.99,1,0.57,1
torchinferno,few_shot,14,1720.35,31.40,1751.75,2,1.14,1
torchinferno,few_shot,15,1717.26,34.60,1751.86,2,1.14,1
torchinferno,few_shot,16,1721.15,35.00,1756.16,2,1.14,1
torchinferno,few_shot,17,1724.19,29.88,1754.07,2,1.14,1
torchinferno,few_shot,18,1719.26,34.61,1753.87,2,1.14,1
torchinferno,few_shot,19,1718.35,35.61,1753.97,2,1.14,1
torchinferno,few_shot,20,1720.14,36.12,1756.26,2,1.14,1
torchinferno,few_shot,21,1715.68,0.00,1755.72,1,0.57,1
torchinferno,few_shot,22,1715.15,0.00,1759.15,1,0.57,1
torchinferno,few_shot,23,1724.33,37.19,1761.52,2,1.14,1
torchinferno,few_shot,24,1721.12,44.92,1766.04,2,1.13,1
torchinferno,few_shot,25,1720.22,46.07,1766.29,2,1.13,1
torchinferno,few_shot,26,1721.49,45.13,1766.62,2,1.13,1
torchinferno,few_shot,27,1721.14,0.00,1766.01,1,0.57,1
torchinferno,few_shot,28,1719.20,0.00,1765.19,1,0.57,1
torchinferno,few_shot,29,1716.16,50.36,1766.52,2,1.13,1
torchinferno,few_shot,30,1715.87,53.61,1769.48,2,1.13,1
torchinferno,few_shot,31,1715.03,55.19,1770.23,2,1.13,1
torchinferno,few_shot,32,1721.59,52.50,1774.09,2,1.13,1
torchinferno,few_shot,33,1720.92,0.00,1772.54,1,0.56,1
torchinferno,few_shot,34,1720.10,56.91,1777.00,2,1.13,1
torchinferno,few_shot,35,1722.34,57.54,1779.88,2,1.12,1
torchinferno,few_shot,36,1718.75,0.00,1783.03,1,0.56,1
torchinferno,few_shot,37,1716.78,72.44,1789.22,2,1.12,1
torchinferno,few_shot,38,1795.18,0.00,1807.01,1,0.55,1
torchinferno,few_shot,39,1798.06,0.00,1811.53,1,0.55,1
torchinferno,few_shot,40,1788.12,0.00,1810.41,1,0.55,1
torchinferno,few_shot,41,525.13,0.00,550.10,1,1.82,1
torchinferno,few_shot,42,1785.91,0.00,1813.83,1,0.55,1
torchinferno,few_shot,43,1797.01,0.00,1816.46,1,0.55,1
torchinferno,few_shot,44,525.92,0.00,552.53,1,1.81,1
torchinferno,few_shot,45,1794.67,0.00,1820.09,1,0.55,1
torchinferno,few_shot,46,1788.76,31.59,1820.35,2,1.10,1
torchinferno,few_shot,47,1788.25,0.00,1822.45,1,0.55,1
torchinferno,few_shot,48,1792.15,0.00,1824.11,1,0.55,1
torchinferno,few_shot,49,1791.61,0.00,1826.35,1,0.55,1
torchinferno,few_shot,50,1788.59,37.34,1825.94,2,1.10,1
torchinferno,few_shot,51,1796.83,32.28,1829.11,2,1.09,1
torchinferno,few_shot,52,1789.32,41.78,1831.10,2,1.09,1
torchinferno,few_shot,53,1789.96,41.28,1831.25,2,1.09,1
torchinferno,few_shot,54,540.68,0.00,571.46,1,1.75,1
torchinferno,few_shot,55,1791.24,41.87,1833.12,2,1.09,1
torchinferno,few_shot,56,1793.96,0.00,1836.51,1,0.54,1
torchinferno,few_shot,57,536.63,0.00,572.77,1,1.75,1
torchinferno,few_shot,58,529.44,0.00,578.95,1,1.73,1
torchinferno,few_shot,59,1790.47,0.00,1837.66,1,0.54,1
torchinferno,few_shot,60,1792.72,0.00,1839.97,1,0.54,1
torchinferno,few_shot,61,1799.87,43.25,1843.12,2,1.09,1
torchinferno,few_shot,62,1794.22,50.90,1845.12,2,1.08,1
torchinferno,few_shot,63,1797.32,47.54,1844.87,2,1.08,1
torchinferno,few_shot,64,1793.60,52.15,1845.75,2,1.08,1
torchinferno,few_shot,65,1796.77,54.22,1850.99,2,1.08,1
torchinferno,few_shot,66,344.46,0.00,396.22,1,2.52,1
torchinferno,few_shot,67,1789.81,64.35,1854.16,2,1.08,1
torchinferno,few_shot,68,1792.68,0.00,1856.86,1,0.54,1
torchinferno,few_shot,69,1793.42,62.10,1855.52,2,1.08,1
torchinferno,few_shot,70,108.55,0.00,126.42,1,7.91,1
torchinferno,few_shot,71,134.61,0.00,152.52,1,6.56,1
torchinferno,few_shot,72,122.95,0.00,142.43,1,7.02,1
torchinferno,few_shot,73,108.28,0.00,120.65,1,8.29,1
torchinferno,few_shot,74,123.46,0.00,139.02,1,7.19,1
torchinferno,few_shot,75,135.47,0.00,165.30,1,6.05,1
torchinferno,few_shot,76,99.41,0.00,126.23,1,7.92,1
torchinferno,few_shot,77,91.25,0.00,115.40,1,8.67,1
torchinferno,few_shot,78,126.62,0.00,145.78,1,6.86,1
torchinferno,few_shot,79,143.35,20.00,163.35,2,12.24,1
torchinferno,few_shot,80,113.24,0.00,146.78,1,6.81,1
torchinferno,few_shot,81,98.43,0.00,129.55,1,7.72,1
torchinferno,few_shot,82,111.76,32.92,144.69,2,13.82,1
