model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-10T05:02:44.519167

Build Times
provider,build_time_s
torchinferno,355.7
vllm,1407.2
sglang,204.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,301.64,160.22,158.51,sglang
ttft_p99_ms,2147.11,265.60,903.65,vllm
tpot_median_ms,95.67,58.36,68.65,vllm
tpot_p99_ms,648.10,151.77,552.00,vllm
e2e_median_ms,399.24,214.28,231.62,vllm
e2e_p99_ms,2229.88,320.13,958.28,vllm
throughput_median_tps,3.04,7.01,5.15,vllm
total_output_tokens,1461,1457,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,421.01,187.82,204.85,vllm
ttft_p99_ms,1088.79,336.56,70886.52,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,571.12,218.25,344.89,vllm
e2e_p99_ms,1470.12,410.32,70982.97,vllm
throughput_median_tps,1.75,4.58,2.90,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,649.42,179.34,173.37,sglang
ttft_p99_ms,1699.43,361.31,568.99,vllm
tpot_median_ms,68.69,65.84,103.13,vllm
tpot_p99_ms,279.55,191.87,216.08,vllm
e2e_median_ms,739.72,234.07,272.44,vllm
e2e_p99_ms,1773.11,421.95,738.89,vllm
throughput_median_tps,1.72,6.04,4.97,vllm
total_output_tokens,1450,1460,1448,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,806.44,137.70,358.45,vllm
ttft_last_turn_ms,1088.09,170.45,180.91,vllm
ttft_growth_ratio,1.35,1.24,0.50,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,337.27,61.92,84.95,vllm
ttft_p99_ms,1070.39,2051.20,810.90,sglang
tpot_median_ms,56.38,28.66,49.67,vllm
tpot_p99_ms,348.04,1728.92,175.93,sglang
e2e_median_ms,401.20,83.09,149.31,vllm
e2e_p99_ms,1205.40,2085.54,842.72,sglang
throughput_median_tps,3.31,14.12,9.21,vllm
total_output_tokens,1474,1479,1462,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,188.76,73.13,81.94,vllm
ttft_p99_ms,1227.15,151.30,164.20,vllm
tpot_median_ms,26.74,15.07,23.63,vllm
tpot_p99_ms,60.93,20.58,29.27,vllm
e2e_median_ms,1217.01,632.12,895.24,vllm
e2e_p99_ms,2955.28,1009.19,1749.13,vllm
throughput_median_tps,31.04,57.87,38.97,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1026.54,0.00,1219.10,1,0.82,1
torchinferno,few_shot,1,1029.61,0.00,1222.81,1,0.82,1
torchinferno,few_shot,2,1026.28,0.00,1221.25,1,0.82,1
torchinferno,few_shot,3,1579.36,0.00,2138.39,1,0.47,1
torchinferno,few_shot,4,1581.02,0.00,2139.05,1,0.47,1
torchinferno,few_shot,5,1592.34,0.00,2145.01,1,0.47,1
torchinferno,few_shot,6,1579.23,0.00,2143.80,1,0.47,1
torchinferno,few_shot,7,1594.90,0.00,2160.97,1,0.46,1
torchinferno,few_shot,8,1585.19,0.00,2146.56,1,0.47,1
torchinferno,few_shot,9,1592.92,0.00,2166.85,1,0.46,1
torchinferno,few_shot,10,1587.22,0.00,2157.16,1,0.46,1
torchinferno,few_shot,11,1590.86,0.00,2174.49,1,0.46,1
torchinferno,few_shot,12,1600.86,572.32,2173.18,2,0.92,1
torchinferno,few_shot,13,1585.34,0.00,2162.33,1,0.46,1
torchinferno,few_shot,14,1591.33,0.00,2177.74,1,0.46,1
torchinferno,few_shot,15,1583.94,0.00,2162.20,1,0.46,1
torchinferno,few_shot,16,1591.01,585.55,2176.56,2,0.92,1
torchinferno,few_shot,17,1598.25,0.00,2181.32,1,0.46,1
torchinferno,few_shot,18,1591.02,578.95,2169.97,2,0.92,1
torchinferno,few_shot,19,1587.55,581.41,2168.96,2,0.92,1
torchinferno,few_shot,20,1584.52,0.00,2173.57,1,0.46,1
torchinferno,few_shot,21,1589.84,582.00,2171.84,2,0.92,1
torchinferno,few_shot,22,1586.13,0.00,2175.78,1,0.46,1
torchinferno,few_shot,23,1599.42,590.01,2189.43,2,0.91,1
torchinferno,few_shot,24,1593.75,596.44,2190.19,2,0.91,1
torchinferno,few_shot,25,1608.85,589.99,2198.84,2,0.91,1
torchinferno,few_shot,26,1594.25,0.00,2185.63,1,0.46,1
torchinferno,few_shot,27,1588.91,608.19,2197.10,2,0.91,1
torchinferno,few_shot,28,1593.44,0.00,2195.82,1,0.46,1
torchinferno,few_shot,29,1587.07,600.41,2187.48,2,0.91,1
torchinferno,few_shot,30,1586.22,0.00,2189.40,1,0.46,1
torchinferno,few_shot,31,2138.23,0.00,2184.05,1,0.46,1
torchinferno,few_shot,32,1579.02,608.42,2187.45,2,0.91,1
torchinferno,few_shot,33,1593.21,610.69,2203.90,2,0.91,1
torchinferno,few_shot,34,1583.83,613.70,2197.53,2,0.91,1
torchinferno,few_shot,35,1602.66,604.01,2206.66,2,0.91,1
torchinferno,few_shot,36,1595.91,621.17,2217.08,2,0.90,1
torchinferno,few_shot,37,1607.61,0.00,2220.02,1,0.45,1
torchinferno,few_shot,38,1606.31,614.04,2220.34,2,0.90,1
torchinferno,few_shot,39,2147.11,0.00,2202.14,1,0.45,1
torchinferno,few_shot,40,1594.79,0.00,2218.43,1,0.45,1
torchinferno,few_shot,41,2204.30,0.39,2204.69,2,0.91,1
torchinferno,few_shot,42,2131.71,0.00,2207.20,1,0.45,1
torchinferno,few_shot,43,1580.99,0.00,2215.37,1,0.45,1
torchinferno,few_shot,44,2211.13,0.51,2211.64,2,0.90,1
torchinferno,few_shot,45,2202.03,0.00,2212.16,1,0.45,1
torchinferno,few_shot,46,2147.21,67.08,2214.29,2,0.90,1
