model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-18T14:10:29.590777

Build Times
provider,build_time_s
torchinferno,341.5
vllm,1151.1
sglang,178.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,263.91,158.33,136.66,sglang
ttft_p99_ms,1482.18,821.06,5420.34,vllm
tpot_median_ms,152.58,64.11,75.29,vllm
tpot_p99_ms,203.79,196.71,7312.95,vllm
e2e_median_ms,367.37,215.11,202.92,sglang
e2e_p99_ms,1672.65,886.46,12702.91,vllm
throughput_median_tps,4.10,6.87,6.03,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,269.36,199.04,200.36,vllm
ttft_p99_ms,1583.63,456.30,69945.00,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,296.43,220.34,334.47,vllm
e2e_p99_ms,1639.15,496.72,70047.25,vllm
throughput_median_tps,3.37,4.54,2.99,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,521.42,177.26,156.15,sglang
ttft_p99_ms,1437.53,354.28,623.50,vllm
tpot_median_ms,125.34,66.66,107.37,vllm
tpot_p99_ms,414.81,192.44,249.26,vllm
e2e_median_ms,613.62,238.06,256.50,vllm
e2e_p99_ms,1667.93,435.02,692.82,vllm
throughput_median_tps,2.20,5.89,5.16,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,764.54,145.87,102.20,sglang
ttft_last_turn_ms,498.00,163.50,183.93,vllm
ttft_growth_ratio,0.65,1.12,1.80,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,362.14,59.11,76.39,vllm
ttft_p99_ms,1211.22,153.84,470.88,vllm
tpot_median_ms,130.79,28.00,61.58,vllm
tpot_p99_ms,155.46,119.83,435.48,vllm
e2e_median_ms,472.08,80.11,152.74,vllm
e2e_p99_ms,1283.80,193.88,520.82,vllm
throughput_median_tps,2.82,15.26,9.31,vllm
total_output_tokens,1470,1455,1495,sglang
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,723.35,73.11,65.14,sglang
ttft_p99_ms,2321.07,200.79,104.21,sglang
tpot_median_ms,15.60,14.93,22.03,vllm
tpot_p99_ms,33.79,21.13,26.85,vllm
e2e_median_ms,1279.79,619.97,818.61,vllm
e2e_p99_ms,3089.29,998.58,1534.91,vllm
throughput_median_tps,28.01,58.55,42.84,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,741.45,203.79,945.24,2,2.12,1
torchinferno,few_shot,1,1480.80,0.00,1557.50,1,0.64,1
torchinferno,few_shot,2,1481.91,0.00,1557.12,1,0.64,1
torchinferno,few_shot,3,1473.80,0.00,1564.41,1,0.64,1
torchinferno,few_shot,4,1473.34,0.00,1562.14,1,0.64,1
torchinferno,few_shot,5,1478.90,0.00,1572.88,1,0.64,1
torchinferno,few_shot,6,1478.66,0.00,1566.14,1,0.64,1
torchinferno,few_shot,7,1487.00,0.00,1576.76,1,0.63,1
torchinferno,few_shot,8,1473.54,0.00,1578.49,1,0.63,1
torchinferno,few_shot,9,1470.02,0.00,1569.42,1,0.64,1
torchinferno,few_shot,10,1467.68,0.00,1572.17,1,0.64,1
torchinferno,few_shot,11,1477.68,0.00,1577.67,1,0.63,1
torchinferno,few_shot,12,1471.44,0.00,1576.27,1,0.63,1
torchinferno,few_shot,13,1478.76,0.00,1576.26,1,0.63,1
torchinferno,few_shot,14,1483.92,0.00,1586.12,1,0.63,1
torchinferno,few_shot,15,1471.17,0.00,1581.93,1,0.63,1
torchinferno,few_shot,16,1481.66,0.00,1581.61,1,0.63,1
torchinferno,few_shot,17,1482.41,0.00,1592.68,1,0.63,1
torchinferno,few_shot,18,1476.48,0.00,1587.34,1,0.63,1
torchinferno,few_shot,19,1468.83,0.00,1589.07,1,0.63,1
torchinferno,few_shot,20,1469.98,0.00,1586.20,1,0.63,1
torchinferno,few_shot,21,1479.76,0.00,1591.66,1,0.63,1
torchinferno,few_shot,22,1471.30,0.00,1591.44,1,0.63,1
torchinferno,few_shot,23,543.65,0.00,657.32,1,1.52,1
torchinferno,few_shot,24,1487.65,0.00,1601.07,1,0.62,1
torchinferno,few_shot,25,1467.88,0.00,1597.00,1,0.63,1
torchinferno,few_shot,26,1472.93,0.00,1605.06,1,0.62,1
torchinferno,few_shot,27,1481.30,0.00,1601.97,1,0.62,1
torchinferno,few_shot,28,1482.18,0.00,1607.67,1,0.62,1
torchinferno,few_shot,29,1478.96,0.00,1604.26,1,0.62,1
torchinferno,few_shot,30,1477.30,0.00,1611.91,1,0.62,1
torchinferno,few_shot,31,1478.88,0.00,1607.69,1,0.62,1
torchinferno,few_shot,32,1467.90,0.00,1609.12,1,0.62,1
torchinferno,few_shot,33,1479.39,0.00,1619.15,1,0.62,1
torchinferno,few_shot,34,1474.11,162.16,1636.26,2,1.22,1
torchinferno,few_shot,35,1473.44,164.86,1638.30,2,1.22,1
torchinferno,few_shot,36,1477.08,166.97,1644.05,2,1.22,1
torchinferno,few_shot,37,1476.22,164.26,1640.48,2,1.22,1
torchinferno,few_shot,38,1473.83,173.52,1647.35,2,1.21,1
torchinferno,few_shot,39,1472.94,171.51,1644.46,2,1.22,1
torchinferno,few_shot,40,1472.48,179.49,1651.97,2,1.21,1
torchinferno,few_shot,41,1492.32,164.26,1656.59,2,1.21,1
torchinferno,few_shot,42,1471.66,183.02,1654.67,2,1.21,1
torchinferno,few_shot,43,1473.32,184.72,1658.04,2,1.21,1
torchinferno,few_shot,44,1482.44,169.56,1652.01,2,1.21,1
torchinferno,few_shot,45,1472.28,185.70,1657.98,2,1.21,1
torchinferno,few_shot,46,1478.65,176.70,1655.35,2,1.21,1
torchinferno,few_shot,47,1472.03,189.21,1661.24,2,1.20,1
torchinferno,few_shot,48,1478.81,184.79,1663.60,2,1.20,1
torchinferno,few_shot,49,1483.65,176.38,1660.03,2,1.20,1
torchinferno,few_shot,50,1476.49,183.06,1659.55,2,1.21,1
torchinferno,few_shot,51,1470.54,193.04,1663.58,2,1.20,1
torchinferno,few_shot,52,1474.15,198.50,1672.65,2,1.20,1
torchinferno,few_shot,53,1481.10,181.60,1662.70,2,1.20,1
torchinferno,few_shot,54,1486.04,184.42,1670.47,2,1.20,1
