model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-02T17:01:56.449927

Build Times
provider,build_time_s
torchinferno,403.0
vllm,1362.4
sglang,229.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,183.16,159.39,145.99,sglang
ttft_p99_ms,1698.07,631.79,1236.65,vllm
tpot_median_ms,45.75,60.61,74.63,torchinferno
tpot_p99_ms,261.91,148.72,7323.73,vllm
e2e_median_ms,220.39,220.42,216.43,sglang
e2e_p99_ms,1748.64,675.33,8533.80,vllm
throughput_median_tps,5.67,6.75,5.57,vllm
total_output_tokens,1465,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1054.94,194.67,204.36,vllm
ttft_p99_ms,1249.20,490.93,72992.79,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,1155.68,221.77,344.56,vllm
e2e_p99_ms,1362.50,511.22,73080.69,vllm
throughput_median_tps,0.87,4.51,2.90,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,2420.90,163.29,157.70,sglang
ttft_p99_ms,4153.36,335.85,539.20,vllm
tpot_median_ms,424.15,56.57,103.29,vllm
tpot_p99_ms,1402.60,172.10,539.68,vllm
e2e_median_ms,2750.09,216.38,260.96,vllm
e2e_p99_ms,4529.35,406.73,706.53,vllm
throughput_median_tps,0.48,6.34,5.05,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1698.54,143.65,109.50,sglang
ttft_last_turn_ms,3270.06,160.46,191.06,vllm
ttft_growth_ratio,1.93,1.12,1.74,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,725.28,60.48,79.25,vllm
ttft_p99_ms,1255.97,145.48,495.27,vllm
tpot_median_ms,27.48,27.68,50.16,torchinferno
tpot_p99_ms,105.03,68.00,139.92,vllm
e2e_median_ms,748.00,81.63,141.04,vllm
e2e_p99_ms,1274.64,164.76,536.73,vllm
throughput_median_tps,1.66,14.70,9.74,vllm
total_output_tokens,1462,1480,1474,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,2868.00,76.80,75.02,sglang
ttft_p99_ms,4718.26,226.59,150.52,sglang
tpot_median_ms,89.37,14.93,23.54,vllm
tpot_p99_ms,182.39,24.72,29.79,vllm
e2e_median_ms,5608.74,624.62,879.37,vllm
e2e_p99_ms,10566.62,1010.71,1684.20,vllm
throughput_median_tps,5.79,57.71,39.92,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1312.83,0.00,1320.74,1,0.76,1
torchinferno,few_shot,1,1316.32,20.03,1336.35,2,1.50,1
torchinferno,few_shot,2,1316.72,20.25,1336.97,2,1.50,1
torchinferno,few_shot,3,1313.80,23.04,1336.84,2,1.50,1
torchinferno,few_shot,4,1312.09,23.73,1335.82,2,1.50,1
torchinferno,few_shot,5,1615.20,0.00,1631.42,1,0.61,1
torchinferno,few_shot,6,1615.36,0.00,1628.66,1,0.61,1
torchinferno,few_shot,7,1622.02,0.00,1637.47,1,0.61,1
torchinferno,few_shot,8,1621.46,0.00,1636.11,1,0.61,1
torchinferno,few_shot,9,1628.91,0.00,1646.21,1,0.61,1
torchinferno,few_shot,10,1609.91,0.00,1636.65,1,0.61,1
torchinferno,few_shot,11,1617.69,0.00,1642.31,1,0.61,1
torchinferno,few_shot,12,1613.39,33.20,1646.59,2,1.21,1
torchinferno,few_shot,13,1623.92,0.00,1648.71,1,0.61,1
torchinferno,few_shot,14,1611.62,0.00,1645.64,1,0.61,1
torchinferno,few_shot,15,1618.08,0.00,1646.33,1,0.61,1
torchinferno,few_shot,16,1614.03,37.63,1651.67,2,1.21,1
torchinferno,few_shot,17,1619.89,0.00,1658.30,1,0.60,1
torchinferno,few_shot,18,1623.07,0.00,1661.03,1,0.60,1
torchinferno,few_shot,19,1615.84,41.25,1657.10,2,1.21,1
torchinferno,few_shot,20,1620.26,38.67,1658.92,2,1.21,1
torchinferno,few_shot,21,1625.27,0.00,1663.34,1,0.60,1
torchinferno,few_shot,22,1626.32,43.05,1669.37,2,1.20,1
torchinferno,few_shot,23,1614.33,49.95,1664.28,2,1.20,1
torchinferno,few_shot,24,1614.75,49.18,1663.92,2,1.20,1
torchinferno,few_shot,25,1616.87,46.87,1663.74,2,1.20,1
torchinferno,few_shot,26,1614.86,51.91,1666.76,2,1.20,1
torchinferno,few_shot,27,1623.33,0.00,1673.54,1,0.60,1
torchinferno,few_shot,28,1616.61,0.00,1677.42,1,0.60,1
torchinferno,few_shot,29,1614.13,0.00,1673.12,1,0.60,1
torchinferno,few_shot,30,1613.75,62.66,1676.41,2,1.19,1
torchinferno,few_shot,31,1616.44,56.93,1673.36,2,1.20,1
torchinferno,few_shot,32,1614.25,64.76,1679.01,2,1.19,1
torchinferno,few_shot,33,1622.74,57.15,1679.89,2,1.19,1
torchinferno,few_shot,34,1614.09,68.57,1682.66,2,1.19,1
torchinferno,few_shot,35,1621.05,0.00,1683.61,1,0.59,1
torchinferno,few_shot,36,1616.00,73.30,1689.30,2,1.18,1
torchinferno,few_shot,37,377.49,0.00,377.77,1,2.65,1
torchinferno,few_shot,38,368.78,0.00,388.25,1,2.58,1
torchinferno,few_shot,39,1703.98,0.00,1714.42,1,0.58,1
torchinferno,few_shot,40,1709.96,0.00,1715.27,1,0.58,1
torchinferno,few_shot,41,1688.70,0.00,1719.93,1,0.58,1
torchinferno,few_shot,42,1685.93,0.00,1719.75,1,0.58,1
torchinferno,few_shot,43,1689.78,28.86,1718.64,2,1.16,1
torchinferno,few_shot,44,1683.68,0.00,1721.19,1,0.58,1
torchinferno,few_shot,45,1700.34,0.00,1723.77,1,0.58,1
