model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-20T17:07:44.841662+00:00

Build Times
provider,build_time_s
torchinferno,335.9
vllm,235.5
sglang,266.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,50.86,72.97,94.29,torchinferno
ttft_p99_ms,687.47,137.91,609.63,vllm
tpot_median_ms,48.16,37.57,70.26,vllm
tpot_p99_ms,352.67,84.54,855.54,vllm
e2e_median_ms,89.26,99.23,158.79,torchinferno
e2e_p99_ms,984.72,173.77,829.77,vllm
throughput_median_tps,14.30,13.46,8.24,torchinferno
total_output_tokens,1465,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,33.03,73.67,151.64,torchinferno
ttft_p99_ms,129.07,343.95,70607.66,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,49.86,92.01,229.07,torchinferno
e2e_p99_ms,147.35,350.96,70641.64,torchinferno
throughput_median_tps,20.06,10.87,4.37,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,42.54,95.70,89.68,torchinferno
ttft_p99_ms,968.89,204.05,607.02,vllm
tpot_median_ms,37.52,36.29,79.17,vllm
tpot_p99_ms,47.88,116.41,988.59,torchinferno
e2e_median_ms,76.50,123.84,150.26,torchinferno
e2e_p99_ms,990.17,242.81,1017.46,vllm
throughput_median_tps,17.13,10.98,8.91,torchinferno
total_output_tokens,1461,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,399.99,92.83,68.56,sglang
ttft_last_turn_ms,38.08,93.29,92.86,torchinferno
ttft_growth_ratio,0.10,1.01,1.35,torchinferno
ttft_first_turn_median_ms,207.41,83.67,66.21,sglang
ttft_first_turn_p99_ms,1037.13,207.32,105.80,sglang
ttft_last_turn_median_ms,39.29,95.55,94.08,torchinferno
ttft_last_turn_p99_ms,49.24,171.67,124.78,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,24.04,38.82,62.36,torchinferno
ttft_p99_ms,113.94,90.69,476.86,vllm
tpot_median_ms,16.32,29.48,424.06,torchinferno
tpot_p99_ms,19.99,36.02,1093.91,torchinferno
e2e_median_ms,36.08,58.72,488.01,torchinferno
e2e_p99_ms,138.88,142.79,1179.47,torchinferno
throughput_median_tps,38.85,21.66,2.92,torchinferno
total_output_tokens,1472,1466,1475,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,46.33,48.37,60.78,torchinferno
ttft_p99_ms,259.16,66.03,167.06,vllm
tpot_median_ms,13.96,15.63,28.57,torchinferno
tpot_p99_ms,24.62,18.40,118.38,vllm
e2e_median_ms,570.24,584.79,1034.61,torchinferno
e2e_p99_ms,1113.42,1072.44,2114.13,vllm
throughput_median_tps,65.85,59.76,33.84,torchinferno
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,771.89,0.00,802.76,1,1.25,1,,,,,,,1,,,
torchinferno,few_shot,0,1,792.28,344.01,1136.29,2,1.76,1,,,,,,,0,,,
torchinferno,few_shot,43,2,101.83,0.00,415.34,1,2.41,1,,,,,,,43,,,
torchinferno,few_shot,31,3,302.41,0.00,616.95,1,1.62,1,,,,,,,31,,,
torchinferno,few_shot,7,4,706.10,0.00,1019.40,1,0.98,1,,,,,,,7,,,
torchinferno,few_shot,37,5,202.17,0.00,517.73,1,1.93,1,,,,,,,37,,,
torchinferno,few_shot,17,6,540.35,0.00,853.28,1,1.17,1,,,,,,,17,,,
torchinferno,few_shot,12,7,621.16,0.00,937.50,1,1.07,1,,,,,,,12,,,
torchinferno,few_shot,8,8,687.47,0.00,1004.92,1,1.00,1,,,,,,,8,,,
torchinferno,few_shot,28,9,354.47,0.00,670.41,1,1.49,1,,,,,,,28,,,
torchinferno,few_shot,41,10,135.24,0.00,453.38,1,2.21,1,,,,,,,41,,,
torchinferno,few_shot,46,11,53.39,0.00,370.28,1,2.70,1,,,,,,,46,,,
torchinferno,few_shot,42,12,117.62,0.00,437.80,1,2.28,1,,,,,,,42,,,
torchinferno,few_shot,24,13,418.90,0.00,739.59,1,1.35,1,,,,,,,24,,,
torchinferno,few_shot,11,14,638.66,0.00,958.00,1,1.04,1,,,,,,,11,,,
torchinferno,few_shot,9,15,672.14,0.00,991.80,1,1.01,1,,,,,,,9,,,
torchinferno,few_shot,29,16,337.50,0.00,657.33,1,1.52,1,,,,,,,29,,,
torchinferno,few_shot,25,17,404.78,0.00,724.59,1,1.38,1,,,,,,,25,,,
torchinferno,few_shot,39,18,171.76,0.00,491.33,1,2.04,1,,,,,,,39,,,
torchinferno,few_shot,4,19,755.63,0.00,1077.89,1,0.93,1,,,,,,,4,,,
torchinferno,few_shot,26,20,387.58,0.00,710.46,1,1.41,1,,,,,,,26,,,
torchinferno,few_shot,34,21,251.35,0.00,576.99,1,1.73,1,,,,,,,34,,,
torchinferno,few_shot,38,22,187.09,0.00,513.64,1,1.95,1,,,,,,,38,,,
torchinferno,few_shot,10,23,654.05,0.00,984.72,1,1.02,1,,,,,,,10,,,
torchinferno,few_shot,5,24,736.50,0.00,1069.26,1,0.94,1,,,,,,,5,,,
torchinferno,few_shot,18,25,519.39,344.82,864.21,2,2.31,1,,,,,,,18,,,
torchinferno,few_shot,3,26,771.68,344.23,1115.91,2,1.79,1,,,,,,,3,,,
torchinferno,few_shot,45,27,68.23,345.19,413.42,2,4.84,1,,,,,,,45,,,
torchinferno,few_shot,30,28,318.52,346.96,665.48,2,3.01,1,,,,,,,30,,,
torchinferno,few_shot,21,29,472.06,344.46,816.51,2,2.45,1,,,,,,,21,,,
torchinferno,few_shot,15,30,568.61,349.01,917.62,2,2.18,1,,,,,,,15,,,
torchinferno,few_shot,36,31,217.67,348.95,566.62,2,3.53,1,,,,,,,36,,,
torchinferno,few_shot,19,32,506.46,345.51,851.96,2,2.35,1,,,,,,,19,,,
torchinferno,few_shot,2,33,787.87,349.66,1137.53,2,1.76,1,,,,,,,2,,,
torchinferno,few_shot,22,34,454.75,348.20,802.95,2,2.49,1,,,,,,,22,,,
torchinferno,few_shot,20,35,486.64,350.15,836.79,2,2.39,1,,,,,,,20,,,
torchinferno,few_shot,44,36,84.11,351.04,435.15,2,4.60,1,,,,,,,44,,,
torchinferno,few_shot,13,37,605.63,349.42,955.05,2,2.09,1,,,,,,,13,,,
torchinferno,few_shot,23,38,435.30,352.67,787.97,2,2.54,1,,,,,,,23,,,
torchinferno,few_shot,32,39,289.07,348.75,637.82,2,3.14,1,,,,,,,32,,,
torchinferno,few_shot,40,40,150.32,354.00,504.32,2,3.97,0,,,,,,,40,,,
torchinferno,few_shot,6,41,719.66,354.66,1074.32,2,1.86,1,,,,,,,6,,,
torchinferno,few_shot,16,42,555.18,352.21,907.39,2,2.20,1,,,,,,,16,,,
torchinferno,few_shot,14,43,588.15,353.75,941.90,2,2.12,1,,,,,,,14,,,
torchinferno,few_shot,33,44,267.38,357.49,624.87,2,3.20,1,,,,,,,33,,,
torchinferno,few_shot,53,45,280.60,0.00,297.99,1,3.36,1,,,,,,,53,,,
torchinferno,few_shot,55,46,241.99,0.00,264.91,1,3.77,1,,,,,,,55,,,
torchinferno,few_shot,60,47,160.54,0.00,182.01,1,5.49,1,,,,,,,60,,,
torchinferno,few_shot,47,48,380.43,0.00,405.49,1,2.47,1,,,,,,,47,,,
torchinferno,few_shot,58,49,200.21,0.00,217.22,1,4.60,1,,,,,,,58,,,
torchinferno,few_shot,57,50,208.44,0.00,234.50,1,4.26,1,,,,,,,57,,,
torchinferno,few_shot,48,51,370.82,0.00,390.11,1,2.56,1,,,,,,,48,,,
torchinferno,few_shot,35,52,580.86,0.00,609.74,1,1.64,1,,,,,,,35,,,
torchinferno,few_shot,64,53,350.00,0.00,378.70,1,2.64,1,,,,,,,64,,,
torchinferno,few_shot,52,54,291.53,47.04,338.57,2,5.91,1,,,,,,,52,,,
torchinferno,few_shot,88,55,37.74,0.00,61.93,1,16.15,1,,,,,,,88,,,
torchinferno,few_shot,65,56,57.06,0.00,80.95,1,12.35,1,,,,,,,65,,,
torchinferno,few_shot,62,57,128.37,44.64,173.01,2,11.56,1,,,,,,,62,,,
torchinferno,few_shot,50,58,328.43,46.72,375.15,2,5.33,1,,,,,,,50,,,
torchinferno,few_shot,54,59,260.16,48.56,308.72,2,6.48,1,,,,,,,54,,,
torchinferno,few_shot,81,60,50.80,0.00,74.11,1,13.49,1,,,,,,,81,,,
torchinferno,few_shot,67,61,55.55,0.00,81.79,1,12.23,1,,,,,,,67,,,
torchinferno,few_shot,72,62,56.72,0.00,79.59,1,12.56,1,,,,,,,72,,,
torchinferno,few_shot,56,63,224.61,52.23,276.84,2,7.22,1,,,,,,,56,,,
torchinferno,few_shot,27,64,721.68,45.51,767.19,2,2.61,1,,,,,,,27,,,
torchinferno,few_shot,68,65,55.18,0.00,83.19,1,12.02,1,,,,,,,68,,,
torchinferno,few_shot,51,66,313.93,48.09,362.02,2,5.52,1,,,,,,,51,,,
torchinferno,few_shot,85,67,49.95,0.00,74.65,1,13.40,1,,,,,,,85,,,
torchinferno,few_shot,59,68,178.08,50.98,229.05,2,8.73,1,,,,,,,59,,,
torchinferno,few_shot,71,69,55.96,0.00,83.67,1,11.95,1,,,,,,,71,,,
torchinferno,few_shot,76,70,51.00,0.00,81.59,1,12.26,1,,,,,,,76,,,
torchinferno,few_shot,87,71,42.41,0.00,71.16,1,14.05,1,,,,,,,87,,,
torchinferno,few_shot,82,72,47.72,0.00,79.16,1,12.63,1,,,,,,,82,,,
torchinferno,few_shot,80,73,48.95,0.00,81.17,1,12.32,1,,,,,,,80,,,
torchinferno,few_shot,49,74,352.68,48.02,400.71,2,4.99,1,,,,,,,49,,,
torchinferno,few_shot,86,75,44.62,0.00,75.88,1,13.18,1,,,,,,,86,,,
torchinferno,few_shot,63,76,109.21,57.28,166.49,2,12.01,1,,,,,,,63,,,
torchinferno,few_shot,66,77,55.98,0.00,91.23,1,10.96,1,,,,,,,66,,,
torchinferno,few_shot,61,78,142.17,59.61,201.78,2,9.91,1,,,,,,,61,,,
torchinferno,few_shot,69,79,56.08,0.00,91.80,1,10.89,1,,,,,,,69,,,
torchinferno,few_shot,74,80,51.93,0.00,93.04,1,10.75,1,,,,,,,74,,,
torchinferno,few_shot,79,81,49.56,50.15,99.72,2,20.06,1,,,,,,,79,,,
torchinferno,few_shot,83,82,48.44,49.48,97.92,2,20.42,1,,,,,,,83,,,
torchinferno,few_shot,77,83,50.73,50.94,101.67,2,19.67,1,,,,,,,77,,,
torchinferno,few_shot,106,84,41.71,0.00,68.44,1,14.61,1,,,,,,,106,,,
torchinferno,few_shot,97,85,50.65,0.00,73.49,1,13.61,1,,,,,,,97,,,
torchinferno,few_shot,101,86,45.71,0.00,72.09,1,13.87,1,,,,,,,101,,,
torchinferno,few_shot,75,87,54.24,50.60,104.84,2,19.08,1,,,,,,,75,,,
torchinferno,few_shot,92,88,54.82,0.00,77.95,1,12.83,1,,,,,,,92,,,
torchinferno,few_shot,70,89,56.97,51.37,108.34,2,18.46,1,,,,,,,70,,,
torchinferno,few_shot,89,90,60.53,0.00,81.29,1,12.30,1,,,,,,,89,,,
torchinferno,few_shot,78,91,52.86,52.60,105.46,2,18.97,1,,,,,,,78,,,
torchinferno,few_shot,95,92,47.05,0.00,78.55,1,12.73,1,,,,,,,95,,,
torchinferno,few_shot,90,93,53.58,0.00,82.61,1,12.11,1,,,,,,,90,,,
torchinferno,few_shot,73,94,55.63,54.67,110.30,2,18.13,1,,,,,,,73,,,
torchinferno,few_shot,84,95,47.02,57.89,104.92,2,19.06,1,,,,,,,84,,,
torchinferno,few_shot,98,96,58.48,0.00,79.93,1,12.51,1,,,,,,,98,,,
torchinferno,few_shot,96,97,58.01,0.00,82.37,1,12.14,1,,,,,,,96,,,
torchinferno,few_shot,102,98,52.46,0.00,79.80,1,12.53,1,,,,,,,102,,,
torchinferno,few_shot,115,99,51.13,0.00,73.26,1,13.65,1,,,,,,,115,,,
torchinferno,few_shot,113,100,61.83,0.00,76.51,1,13.07,1,,,,,,,113,,,
torchinferno,few_shot,117,101,52.37,0.00,72.12,1,13.87,1,,,,,,,117,,,
torchinferno,few_shot,105,102,71.89,0.00,95.73,1,10.45,1,,,,,,,105,,,
torchinferno,few_shot,109,103,58.24,0.00,81.04,1,12.34,1,,,,,,,109,,,
torchinferno,few_shot,100,104,73.96,0.00,99.60,1,10.04,1,,,,,,,100,,,
torchinferno,few_shot,110,105,56.24,0.00,81.55,1,12.26,1,,,,,,,110,,,
torchinferno,few_shot,112,106,56.06,0.00,80.57,1,12.41,1,,,,,,,112,,,
torchinferno,few_shot,99,107,75.66,42.15,117.81,2,16.98,1,,,,,,,99,,,
torchinferno,few_shot,131,108,48.27,0.00,69.34,1,14.42,1,,,,,,,131,,,
torchinferno,few_shot,138,109,44.65,0.00,66.34,1,15.07,1,,,,,,,138,,,
torchinferno,few_shot,93,110,80.24,43.21,123.44,2,16.20,1,,,,,,,93,,,
torchinferno,few_shot,134,111,45.50,0.00,69.21,1,14.45,1,,,,,,,134,,,
torchinferno,few_shot,107,112,71.13,45.12,116.25,2,17.20,1,,,,,,,107,,,
torchinferno,few_shot,137,113,46.80,0.00,68.72,1,14.55,1,,,,,,,137,,,
torchinferno,few_shot,91,114,85.31,41.28,126.59,2,15.80,1,,,,,,,91,,,
torchinferno,few_shot,108,115,68.63,47.94,116.57,2,17.16,1,,,,,,,108,,,
torchinferno,few_shot,127,116,49.26,0.00,75.63,1,13.22,1,,,,,,,127,,,
torchinferno,few_shot,104,117,72.59,48.43,121.02,2,16.53,1,,,,,,,104,,,
torchinferno,few_shot,111,118,52.82,51.55,104.37,2,19.16,1,,,,,,,111,,,
