model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T03:03:25.302844+00:00

Build Times
provider,build_time_s
torchinferno,725.4
vllm,640.2
sglang,302.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,166.19,132.32,145.55,vllm
ttft_p99_ms,2914.02,233.98,677.37,vllm
tpot_median_ms,48.16,45.10,71.02,vllm
tpot_p99_ms,859.44,122.64,148.62,vllm
e2e_median_ms,207.43,170.89,216.71,vllm
e2e_p99_ms,2982.23,292.00,761.94,vllm
throughput_median_tps,5.55,7.94,5.48,vllm
total_output_tokens,1460,1462,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,281.98,204.55,221.33,vllm
ttft_p99_ms,697.97,464.20,69900.03,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,301.44,231.66,368.32,vllm
e2e_p99_ms,702.85,507.00,70017.57,vllm
throughput_median_tps,3.32,4.32,2.72,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,314.88,171.33,161.24,sglang
ttft_p99_ms,557.66,354.73,275.90,sglang
tpot_median_ms,58.97,56.34,99.37,vllm
tpot_p99_ms,111.14,194.13,222.56,torchinferno
e2e_median_ms,369.92,219.30,254.85,vllm
e2e_p99_ms,577.50,435.49,435.95,vllm
throughput_median_tps,3.68,6.25,5.17,vllm
total_output_tokens,1469,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,295.82,150.43,115.82,sglang
ttft_last_turn_ms,434.23,164.67,196.35,vllm
ttft_growth_ratio,1.47,1.09,1.70,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,189.05,65.77,80.50,vllm
ttft_p99_ms,701.39,3858.18,691.05,sglang
tpot_median_ms,58.23,33.33,57.87,vllm
tpot_p99_ms,102.91,2072.33,678.70,torchinferno
e2e_median_ms,232.71,91.59,146.10,vllm
e2e_p99_ms,760.15,3903.67,755.75,sglang
throughput_median_tps,6.04,13.62,9.71,vllm
total_output_tokens,1472,1463,1466,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,354.74,74.29,67.69,sglang
ttft_p99_ms,1341.70,188.40,160.28,sglang
tpot_median_ms,21.65,14.90,22.56,vllm
tpot_p99_ms,67.10,19.79,26.98,vllm
e2e_median_ms,1110.82,608.38,826.93,vllm
e2e_p99_ms,2153.02,1030.21,1602.57,vllm
throughput_median_tps,32.51,58.52,41.84,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1987.69,0.00,2473.49,1,0.40,1
torchinferno,few_shot,1,1997.20,0.00,2476.79,1,0.40,1
torchinferno,few_shot,2,1994.97,0.00,2477.97,1,0.40,1
torchinferno,few_shot,3,1989.30,0.00,2480.12,1,0.40,1
torchinferno,few_shot,4,1992.66,0.00,2485.36,1,0.40,1
torchinferno,few_shot,5,1988.30,0.00,2484.76,1,0.40,1
torchinferno,few_shot,6,1986.09,0.00,2483.58,1,0.40,1
torchinferno,few_shot,7,1988.02,0.00,2485.79,1,0.40,1
torchinferno,few_shot,8,1996.37,0.00,2493.72,1,0.40,1
torchinferno,few_shot,9,1989.91,0.00,2489.28,1,0.40,1
torchinferno,few_shot,10,1996.56,0.00,2496.40,1,0.40,1
torchinferno,few_shot,11,1986.03,0.00,2496.02,1,0.40,1
torchinferno,few_shot,12,1982.58,847.24,2829.82,2,0.71,1
torchinferno,few_shot,13,1989.50,844.71,2834.21,2,0.71,1
torchinferno,few_shot,14,1983.19,852.14,2835.34,2,0.71,1
torchinferno,few_shot,15,1989.11,848.77,2837.88,2,0.70,1
torchinferno,few_shot,16,1990.07,848.45,2838.52,2,0.70,1
torchinferno,few_shot,17,1983.79,855.61,2839.39,2,0.70,1
torchinferno,few_shot,18,1990.02,857.37,2847.39,2,0.70,1
torchinferno,few_shot,19,1985.09,857.34,2842.42,2,0.70,1
torchinferno,few_shot,20,1987.14,863.46,2850.60,2,0.70,1
torchinferno,few_shot,21,1993.17,855.48,2848.65,2,0.70,1
torchinferno,few_shot,22,1985.76,865.12,2850.87,2,0.70,1
torchinferno,few_shot,23,1992.97,859.44,2852.41,2,0.70,1
torchinferno,few_shot,24,1987.75,871.36,2859.11,2,0.70,1
torchinferno,few_shot,25,1986.55,869.32,2855.86,2,0.70,1
torchinferno,few_shot,26,2907.19,0.00,2923.81,1,0.34,1
torchinferno,few_shot,27,2907.90,0.00,2925.73,1,0.34,1
torchinferno,few_shot,28,2908.55,0.00,2925.95,1,0.34,1
torchinferno,few_shot,29,2915.93,0.00,2931.13,1,0.34,1
torchinferno,few_shot,30,2905.30,0.00,2931.10,1,0.34,1
torchinferno,few_shot,31,2911.41,0.00,2937.25,1,0.34,1
torchinferno,few_shot,32,2909.85,0.00,2937.55,1,0.34,1
torchinferno,few_shot,33,2912.49,0.00,2938.43,1,0.34,1
torchinferno,few_shot,34,2910.59,0.00,2938.73,1,0.34,1
torchinferno,few_shot,35,2912.85,27.23,2940.08,2,0.68,1
torchinferno,few_shot,36,2914.02,32.62,2946.64,2,0.68,1
torchinferno,few_shot,37,2912.20,32.19,2944.39,2,0.68,1
torchinferno,few_shot,38,2915.57,0.00,2947.44,1,0.34,1
torchinferno,few_shot,39,2905.74,0.00,2946.75,1,0.34,1
torchinferno,few_shot,40,2915.23,0.00,2949.41,1,0.34,1
torchinferno,few_shot,41,2911.26,38.14,2949.40,2,0.68,1
torchinferno,few_shot,42,2906.50,0.00,2959.10,1,0.34,1
torchinferno,few_shot,43,2913.24,0.00,2958.74,1,0.34,1
torchinferno,few_shot,44,2911.17,49.31,2960.49,2,0.68,1
