model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-12T17:07:17.542293

Build Times
provider,build_time_s
torchinferno,356.1
vllm,1001.3
sglang,160.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,394.49,164.05,140.41,sglang
ttft_p99_ms,1984.58,1493.57,6166.46,vllm
tpot_median_ms,419.74,59.63,73.96,vllm
tpot_p99_ms,597.53,176.63,7299.90,vllm
e2e_median_ms,736.11,221.73,209.17,sglang
e2e_p99_ms,2519.73,1553.53,13444.66,vllm
throughput_median_tps,1.74,6.64,5.75,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,356.20,209.44,210.63,vllm
ttft_p99_ms,834.47,504.79,774.97,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,399.07,236.95,355.69,vllm
e2e_p99_ms,875.10,550.73,936.09,vllm
throughput_median_tps,2.51,4.22,2.81,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,660.34,167.05,155.15,sglang
ttft_p99_ms,1621.71,352.11,700.99,vllm
tpot_median_ms,181.85,55.50,96.65,vllm
tpot_p99_ms,916.37,200.90,221.08,vllm
e2e_median_ms,827.67,215.53,251.46,vllm
e2e_p99_ms,1958.95,421.61,785.38,vllm
throughput_median_tps,1.60,6.29,5.31,vllm
total_output_tokens,1450,1460,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,967.18,138.04,112.66,sglang
ttft_last_turn_ms,656.59,162.92,168.28,vllm
ttft_growth_ratio,0.68,1.18,1.49,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,445.87,57.54,76.81,vllm
ttft_p99_ms,895.91,113.59,597.70,vllm
tpot_median_ms,438.25,27.04,58.60,vllm
tpot_p99_ms,589.20,41.39,159.05,vllm
e2e_median_ms,806.59,77.77,148.14,vllm
e2e_p99_ms,1455.13,153.33,642.65,vllm
throughput_median_tps,1.86,15.75,9.61,vllm
total_output_tokens,1469,1457,1459,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,543.59,72.95,65.12,sglang
ttft_p99_ms,2023.80,127.38,110.74,sglang
tpot_median_ms,30.98,15.04,22.23,vllm
tpot_p99_ms,74.49,19.99,26.67,vllm
e2e_median_ms,1813.23,620.14,814.59,vllm
e2e_p99_ms,3029.86,1037.03,1580.51,vllm
throughput_median_tps,21.69,58.43,42.30,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1482.70,0.00,1637.29,1,0.61,1
torchinferno,few_shot,1,1482.12,0.00,1639.02,1,0.61,1
torchinferno,few_shot,2,1483.29,0.00,1640.85,1,0.61,1
torchinferno,few_shot,3,1976.96,0.00,2411.55,1,0.41,1
torchinferno,few_shot,4,1974.93,0.00,2425.55,1,0.41,1
torchinferno,few_shot,5,1975.78,0.00,2416.57,1,0.41,1
torchinferno,few_shot,6,1979.19,0.00,2416.39,1,0.41,1
torchinferno,few_shot,7,1997.90,0.00,2434.43,1,0.41,1
torchinferno,few_shot,8,351.82,0.00,798.60,1,1.25,1
torchinferno,few_shot,9,1980.10,0.00,2442.21,1,0.41,1
torchinferno,few_shot,10,1975.16,0.00,2436.92,1,0.41,1
torchinferno,few_shot,11,1981.97,0.00,2426.20,1,0.41,1
torchinferno,few_shot,12,1976.93,0.00,2433.09,1,0.41,1
torchinferno,few_shot,13,1979.03,0.00,2441.56,1,0.41,1
torchinferno,few_shot,14,1968.92,0.00,2435.93,1,0.41,1
torchinferno,few_shot,15,1983.81,0.00,2436.64,1,0.41,1
torchinferno,few_shot,16,1975.87,0.00,2448.78,1,0.41,1
torchinferno,few_shot,17,1984.58,0.00,2455.57,1,0.41,1
torchinferno,few_shot,18,1980.37,480.25,2460.62,2,0.81,1
torchinferno,few_shot,19,1979.06,464.50,2443.56,2,0.82,1
torchinferno,few_shot,20,360.34,0.00,824.39,1,1.21,1
torchinferno,few_shot,21,1980.51,486.60,2467.12,2,0.81,1
torchinferno,few_shot,22,1973.85,488.67,2462.52,2,0.81,1
torchinferno,few_shot,23,1977.82,0.00,2453.01,1,0.41,1
torchinferno,few_shot,24,1967.54,483.72,2451.26,2,0.82,1
torchinferno,few_shot,25,1981.56,483.22,2464.77,2,0.81,1
torchinferno,few_shot,26,1979.58,474.82,2454.40,2,0.81,1
torchinferno,few_shot,27,1981.18,0.00,2457.38,1,0.41,1
torchinferno,few_shot,28,1968.44,0.00,2459.91,1,0.41,1
torchinferno,few_shot,29,1976.59,495.19,2471.79,2,0.81,1
torchinferno,few_shot,30,1981.29,479.46,2460.75,2,0.81,1
torchinferno,few_shot,31,1973.36,0.00,2467.29,1,0.41,1
torchinferno,few_shot,32,1977.56,487.67,2465.23,2,0.81,1
torchinferno,few_shot,33,1978.02,487.83,2465.85,2,0.81,1
torchinferno,few_shot,34,348.55,0.00,850.88,1,1.18,1
torchinferno,few_shot,35,1976.13,502.37,2478.50,2,0.81,1
torchinferno,few_shot,36,1982.85,498.64,2481.49,2,0.81,1
torchinferno,few_shot,37,1986.91,504.92,2491.82,2,0.80,1
torchinferno,few_shot,38,1971.50,0.00,2485.66,1,0.40,1
torchinferno,few_shot,39,1975.54,0.00,2498.73,1,0.40,1
torchinferno,few_shot,40,1969.58,519.12,2488.70,2,0.80,1
torchinferno,few_shot,41,1986.31,0.00,2503.58,1,0.40,1
torchinferno,few_shot,42,1985.47,506.95,2492.41,2,0.80,1
torchinferno,few_shot,43,1976.56,526.67,2503.22,2,0.80,1
torchinferno,few_shot,44,1969.46,0.00,2493.40,1,0.40,1
torchinferno,few_shot,45,1976.30,531.20,2507.50,2,0.80,1
