model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-19T12:02:58.833479

Build Times
provider,build_time_s
torchinferno,365.2
vllm,2313.6
sglang,172.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,258.10,160.51,135.96,sglang
ttft_p99_ms,1539.92,513.74,7596.64,vllm
tpot_median_ms,152.44,61.75,74.69,vllm
tpot_p99_ms,202.08,184.05,8034.17,vllm
e2e_median_ms,359.27,218.47,204.84,sglang
e2e_p99_ms,1728.94,640.04,15598.28,vllm
throughput_median_tps,4.11,6.60,5.86,vllm
total_output_tokens,1461,1460,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,233.30,186.16,206.02,vllm
ttft_p99_ms,1650.49,421.94,69946.46,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,303.15,209.09,339.31,vllm
e2e_p99_ms,1696.54,428.80,70081.96,vllm
throughput_median_tps,3.30,4.78,2.95,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,557.43,176.77,159.23,sglang
ttft_p99_ms,1998.35,317.16,761.18,vllm
tpot_median_ms,148.13,65.82,91.35,vllm
tpot_p99_ms,478.02,187.18,230.19,vllm
e2e_median_ms,652.42,239.52,256.34,vllm
e2e_p99_ms,2238.91,402.97,853.71,vllm
throughput_median_tps,2.07,6.15,5.13,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1025.95,141.34,107.61,sglang
ttft_last_turn_ms,542.46,174.91,192.45,vllm
ttft_growth_ratio,0.53,1.24,1.79,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,306.34,57.55,79.48,vllm
ttft_p99_ms,1143.82,118.86,476.61,vllm
tpot_median_ms,130.75,26.59,63.50,vllm
tpot_p99_ms,150.07,87.58,523.33,vllm
e2e_median_ms,406.41,78.03,156.60,vllm
e2e_p99_ms,1212.57,146.54,597.32,vllm
throughput_median_tps,3.62,15.86,9.31,vllm
total_output_tokens,1475,1489,1479,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,702.16,72.34,64.39,sglang
ttft_p99_ms,2317.02,244.01,106.44,sglang
tpot_median_ms,15.56,14.94,22.32,vllm
tpot_p99_ms,34.21,22.97,27.51,vllm
e2e_median_ms,1301.68,613.79,826.45,vllm
e2e_p99_ms,3206.80,1013.01,1570.18,vllm
throughput_median_tps,26.65,58.45,42.40,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,791.72,199.92,991.64,2,2.02,1
torchinferno,few_shot,1,1528.25,0.00,1615.04,1,0.62,1
torchinferno,few_shot,2,1530.53,0.00,1619.37,1,0.62,1
torchinferno,few_shot,3,1541.25,0.00,1625.18,1,0.62,1
torchinferno,few_shot,4,1533.62,0.00,1624.91,1,0.62,1
torchinferno,few_shot,5,1528.32,0.00,1623.66,1,0.62,1
torchinferno,few_shot,6,1534.79,0.00,1628.35,1,0.61,1
torchinferno,few_shot,7,1529.18,0.00,1627.91,1,0.61,1
torchinferno,few_shot,8,1537.14,0.00,1632.30,1,0.61,1
torchinferno,few_shot,9,1531.19,0.00,1629.11,1,0.61,1
torchinferno,few_shot,10,546.60,0.00,650.28,1,1.54,1
torchinferno,few_shot,11,1533.78,0.00,1633.80,1,0.61,1
torchinferno,few_shot,12,1535.12,0.00,1635.49,1,0.61,1
torchinferno,few_shot,13,1529.38,0.00,1640.72,1,0.61,1
torchinferno,few_shot,14,1536.13,0.00,1643.46,1,0.61,1
torchinferno,few_shot,15,1536.87,0.00,1640.81,1,0.61,1
torchinferno,few_shot,16,1532.26,0.00,1639.33,1,0.61,1
torchinferno,few_shot,17,1538.83,0.00,1644.37,1,0.61,1
torchinferno,few_shot,18,1543.76,0.00,1651.81,1,0.61,1
torchinferno,few_shot,19,1525.64,0.00,1643.59,1,0.61,1
torchinferno,few_shot,20,1544.57,0.00,1654.41,1,0.60,1
torchinferno,few_shot,21,1529.69,0.00,1650.71,1,0.61,1
torchinferno,few_shot,22,1527.03,0.00,1650.94,1,0.61,1
torchinferno,few_shot,23,1534.32,0.00,1658.11,1,0.60,1
torchinferno,few_shot,24,1535.65,0.00,1654.44,1,0.60,1
torchinferno,few_shot,25,1530.67,0.00,1661.13,1,0.60,1
torchinferno,few_shot,26,1530.60,0.00,1662.08,1,0.60,1
torchinferno,few_shot,27,1528.92,0.00,1660.18,1,0.60,1
torchinferno,few_shot,28,1535.98,0.00,1659.57,1,0.60,1
torchinferno,few_shot,29,1537.23,0.00,1662.07,1,0.60,1
torchinferno,few_shot,30,1546.21,0.00,1668.89,1,0.60,1
torchinferno,few_shot,31,1533.60,0.00,1662.14,1,0.60,1
torchinferno,few_shot,32,1542.94,0.00,1673.93,1,0.60,1
torchinferno,few_shot,33,1530.84,0.00,1679.20,1,0.60,1
torchinferno,few_shot,34,1528.27,171.95,1700.22,2,1.18,1
torchinferno,few_shot,35,1533.68,164.80,1698.48,2,1.18,1
torchinferno,few_shot,36,1531.90,172.67,1704.56,2,1.17,1
torchinferno,few_shot,37,1528.23,171.56,1699.79,2,1.18,1
torchinferno,few_shot,38,1533.18,173.45,1706.62,2,1.17,1
torchinferno,few_shot,39,1535.69,177.01,1712.69,2,1.17,1
torchinferno,few_shot,40,1535.24,170.68,1705.92,2,1.17,1
torchinferno,few_shot,41,1528.97,184.96,1713.93,2,1.17,1
torchinferno,few_shot,42,1536.57,178.07,1714.64,2,1.17,1
torchinferno,few_shot,43,1531.31,180.70,1712.02,2,1.17,1
torchinferno,few_shot,44,1528.82,183.24,1712.06,2,1.17,1
torchinferno,few_shot,45,1531.05,192.74,1723.80,2,1.16,1
