model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-07T13:03:01.284826+00:00

Build Times
provider,build_time_s
torchinferno,34.1
vllm,322.3
sglang,240.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,164.59,,136.08,sglang
ttft_p99_ms,547.48,,629.44,torchinferno
tpot_median_ms,46.39,,79.47,torchinferno
tpot_p99_ms,84.71,,763.68,torchinferno
e2e_median_ms,206.02,,215.29,torchinferno
e2e_p99_ms,602.66,,821.57,torchinferno
throughput_median_tps,5.78,,5.67,torchinferno
total_output_tokens,1466,,1461,torchinferno
num_requests,1000,,1000,
correctness_rate,0.98,,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,117.16,,223.35,torchinferno
ttft_p99_ms,348.00,,69555.31,torchinferno
tpot_median_ms,0.00,,0.00,
tpot_p99_ms,0.00,,0.00,
e2e_median_ms,123.85,,381.26,torchinferno
e2e_p99_ms,391.89,,69687.16,torchinferno
throughput_median_tps,8.07,,2.62,torchinferno
total_output_tokens,1000,,1000,
num_requests,1000,,1000,
correctness_rate,1.00,,1.00,
unique_final_answers,1,,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,286.29,,160.06,sglang
ttft_p99_ms,572.03,,717.35,torchinferno
tpot_median_ms,62.67,,107.98,torchinferno
tpot_p99_ms,307.45,,974.57,torchinferno
e2e_median_ms,341.10,,272.25,sglang
e2e_p99_ms,658.68,,1028.02,torchinferno
throughput_median_tps,4.28,,4.75,sglang
total_output_tokens,1448,,1450,sglang
num_requests,1000,,1000,
correctness_rate,0.98,,0.98,torchinferno
ttft_first_turn_ms,279.35,,87.67,sglang
ttft_last_turn_ms,277.09,,201.18,sglang
ttft_growth_ratio,0.99,,2.29,torchinferno
ttft_first_turn_median_ms,270.19,,55.82,sglang
ttft_first_turn_p99_ms,481.88,,190.23,sglang
ttft_last_turn_median_ms,262.80,,199.45,sglang
ttft_last_turn_p99_ms,561.91,,326.21,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,63.02,,45.46,sglang
ttft_p99_ms,212.16,,280.51,torchinferno
tpot_median_ms,43.40,,331.92,torchinferno
tpot_p99_ms,140.13,,1011.32,torchinferno
e2e_median_ms,97.42,,321.30,torchinferno
e2e_p99_ms,253.11,,1069.02,torchinferno
throughput_median_tps,14.28,,4.43,torchinferno
total_output_tokens,1473,,1477,sglang
num_requests,992,,992,
correctness_rate,0.97,,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,254.95,,68.59,sglang
ttft_p99_ms,957.32,,935.28,sglang
tpot_median_ms,21.02,,22.65,torchinferno
tpot_p99_ms,35.25,,102.56,torchinferno
e2e_median_ms,990.71,,912.30,sglang
e2e_p99_ms,2075.29,,2037.71,sglang
throughput_median_tps,35.82,,40.57,sglang
total_output_tokens,36715,,36715,
num_requests,1000,,1000,
correctness_rate,1.00,,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,5,0,434.40,0.00,442.09,1,2.26,1,,,,,,,5,,,
torchinferno,few_shot,4,1,455.09,0.00,464.32,1,2.15,1,,,,,,,4,,,
torchinferno,few_shot,3,2,505.49,150.46,655.94,2,3.05,1,,,,,,,3,,,
torchinferno,few_shot,11,3,516.43,0.00,533.17,1,1.88,1,,,,,,,11,,,
torchinferno,few_shot,9,4,561.01,0.00,576.10,1,1.74,1,,,,,,,9,,,
torchinferno,few_shot,26,5,249.67,0.00,262.50,1,3.81,1,,,,,,,26,,,
torchinferno,few_shot,10,6,539.26,0.00,559.98,1,1.79,1,,,,,,,10,,,
torchinferno,few_shot,31,7,156.89,0.00,179.67,1,5.57,1,,,,,,,31,,,
torchinferno,few_shot,12,8,506.09,0.00,526.29,1,1.90,1,,,,,,,12,,,
torchinferno,few_shot,7,9,602.92,0.00,631.09,1,1.58,1,,,,,,,7,,,
torchinferno,few_shot,64,10,206.75,0.00,230.83,1,4.33,1,,,,,,,64,,,
torchinferno,few_shot,1,11,768.50,0.00,790.23,1,1.27,1,,,,,,,1,,,
torchinferno,few_shot,65,12,200.35,0.00,233.02,1,4.29,1,,,,,,,65,,,
torchinferno,few_shot,6,13,620.50,37.56,658.06,2,3.04,1,,,,,,,6,,,
torchinferno,few_shot,25,14,267.67,0.00,297.27,1,3.36,1,,,,,,,25,,,
torchinferno,few_shot,24,15,284.67,0.00,316.66,1,3.16,1,,,,,,,24,,,
torchinferno,few_shot,8,16,582.23,0.00,620.66,1,1.61,1,,,,,,,8,,,
torchinferno,few_shot,16,17,417.07,43.78,460.85,2,4.34,1,,,,,,,16,,,
torchinferno,few_shot,13,18,479.46,45.50,524.96,2,3.81,1,,,,,,,13,,,
torchinferno,few_shot,30,19,177.77,39.63,217.40,2,9.20,1,,,,,,,30,,,
torchinferno,few_shot,22,20,318.01,43.03,361.05,2,5.54,1,,,,,,,22,,,
torchinferno,few_shot,0,21,779.09,47.78,826.87,2,2.42,1,,,,,,,0,,,
torchinferno,few_shot,15,22,444.48,49.39,493.87,2,4.05,1,,,,,,,15,,,
torchinferno,few_shot,21,23,333.23,50.59,383.82,2,5.21,1,,,,,,,21,,,
torchinferno,few_shot,18,24,381.85,55.86,437.72,2,4.57,1,,,,,,,18,,,
torchinferno,few_shot,19,25,368.70,52.40,421.09,2,4.75,1,,,,,,,19,,,
torchinferno,few_shot,29,26,194.07,0.00,248.94,1,4.02,1,,,,,,,29,,,
torchinferno,few_shot,28,27,214.27,0.00,268.15,1,3.73,1,,,,,,,28,,,
torchinferno,few_shot,23,28,302.86,54.68,357.53,2,5.59,1,,,,,,,23,,,
torchinferno,few_shot,27,29,226.36,62.14,288.50,2,6.93,1,,,,,,,27,,,
torchinferno,few_shot,17,30,400.25,0.00,465.19,1,2.15,1,,,,,,,17,,,
torchinferno,few_shot,14,31,463.99,67.17,531.16,2,3.77,1,,,,,,,14,,,
torchinferno,few_shot,20,32,353.55,64.33,417.87,2,4.79,1,,,,,,,20,,,
torchinferno,few_shot,2,33,736.19,71.81,807.99,2,2.48,1,,,,,,,2,,,
torchinferno,few_shot,32,34,142.27,75.17,217.44,2,9.20,1,,,,,,,32,,,
torchinferno,few_shot,66,35,137.24,0.00,147.53,1,6.78,1,,,,,,,66,,,
torchinferno,few_shot,34,36,176.22,0.00,194.20,1,5.15,1,,,,,,,34,,,
torchinferno,few_shot,38,37,107.48,0.00,125.90,1,7.94,1,,,,,,,38,,,
torchinferno,few_shot,37,38,125.34,0.00,150.62,1,6.64,1,,,,,,,37,,,
torchinferno,few_shot,33,39,196.24,25.18,221.42,2,9.03,1,,,,,,,33,,,
torchinferno,few_shot,36,40,143.46,26.90,170.36,2,11.74,1,,,,,,,36,,,
torchinferno,few_shot,39,41,89.79,0.00,120.33,1,8.31,1,,,,,,,39,,,
torchinferno,few_shot,40,42,71.82,28.01,99.83,2,20.03,1,,,,,,,40,,,
torchinferno,few_shot,35,43,169.25,0.00,196.85,1,5.08,1,,,,,,,35,,,
torchinferno,few_shot,82,44,104.73,0.00,120.71,1,8.28,1,,,,,,,82,,,
torchinferno,few_shot,81,45,111.11,0.00,125.64,1,7.96,1,,,,,,,81,,,
torchinferno,few_shot,69,46,135.01,0.00,149.38,1,6.69,1,,,,,,,69,,,
torchinferno,few_shot,95,47,85.10,0.00,103.35,1,9.68,1,,,,,,,95,,,
torchinferno,few_shot,67,48,138.04,0.00,158.32,1,6.32,1,,,,,,,67,,,
torchinferno,few_shot,87,49,95.22,0.00,121.51,1,8.23,1,,,,,,,87,,,
torchinferno,few_shot,85,50,100.63,0.00,126.91,1,7.88,1,,,,,,,85,,,
torchinferno,few_shot,72,51,124.22,0.00,152.92,1,6.54,1,,,,,,,72,,,
torchinferno,few_shot,79,52,115.81,26.63,142.45,2,14.04,1,,,,,,,79,,,
torchinferno,few_shot,70,53,132.89,27.24,160.13,2,12.49,1,,,,,,,70,,,
torchinferno,few_shot,88,54,94.48,0.00,129.14,1,7.74,1,,,,,,,88,,,
torchinferno,few_shot,96,55,79.27,0.00,115.68,1,8.64,1,,,,,,,96,,,
torchinferno,few_shot,76,56,119.74,0.00,155.06,1,6.45,1,,,,,,,76,,,
torchinferno,few_shot,83,57,110.58,34.67,145.26,2,13.77,1,,,,,,,83,,,
torchinferno,few_shot,84,58,102.16,40.52,142.68,2,14.02,1,,,,,,,84,,,
torchinferno,few_shot,91,59,93.45,38.71,132.16,2,15.13,1,,,,,,,91,,,
torchinferno,few_shot,71,60,127.43,0.00,170.12,1,5.88,1,,,,,,,71,,,
torchinferno,few_shot,73,61,126.57,43.08,169.65,2,11.79,1,,,,,,,73,,,
torchinferno,few_shot,77,62,117.26,47.03,164.30,2,12.17,1,,,,,,,77,,,
torchinferno,few_shot,94,63,89.57,50.65,140.22,2,14.26,1,,,,,,,94,,,
torchinferno,few_shot,74,64,204.81,0.00,215.23,1,4.65,1,,,,,,,74,,,
torchinferno,few_shot,106,65,128.41,0.00,138.67,1,7.21,1,,,,,,,106,,,
torchinferno,few_shot,92,66,168.84,0.00,185.45,1,5.39,1,,,,,,,92,,,
torchinferno,few_shot,90,67,174.58,0.00,190.66,1,5.25,1,,,,,,,90,,,
torchinferno,few_shot,86,68,176.13,0.00,197.86,1,5.05,1,,,,,,,86,,,
torchinferno,few_shot,68,69,218.81,0.00,234.25,1,4.27,1,,,,,,,68,,,
torchinferno,few_shot,97,70,162.47,0.00,180.78,1,5.53,1,,,,,,,97,,,
torchinferno,few_shot,42,71,145.64,0.00,169.93,1,5.88,1,,,,,,,42,,,
torchinferno,few_shot,105,72,124.90,0.00,153.08,1,6.53,1,,,,,,,105,,,
torchinferno,few_shot,44,73,86.73,24.72,111.46,2,17.94,1,,,,,,,44,,,
torchinferno,few_shot,75,74,199.49,34.07,233.56,2,8.56,1,,,,,,,75,,,
torchinferno,few_shot,104,75,131.41,32.20,163.61,2,12.22,1,,,,,,,104,,,
torchinferno,few_shot,99,76,146.33,32.95,179.28,2,11.16,1,,,,,,,99,,,
torchinferno,few_shot,89,77,179.01,0.00,212.69,1,4.70,1,,,,,,,89,,,
torchinferno,few_shot,103,78,135.38,33.54,168.92,2,11.84,1,,,,,,,103,,,
torchinferno,few_shot,43,79,101.69,0.00,141.25,1,7.08,1,,,,,,,43,,,
torchinferno,few_shot,107,80,121.89,39.74,161.63,2,12.37,1,,,,,,,107,,,
torchinferno,few_shot,100,81,139.69,0.00,182.69,1,5.47,1,,,,,,,100,,,
torchinferno,few_shot,102,82,129.26,0.00,175.81,1,5.69,1,,,,,,,102,,,
torchinferno,few_shot,78,83,195.29,45.28,240.57,2,8.31,1,,,,,,,78,,,
torchinferno,few_shot,101,84,139.58,0.00,186.81,1,5.35,1,,,,,,,101,,,
torchinferno,few_shot,98,85,151.92,0.00,201.38,1,4.97,1,,,,,,,98,,,
torchinferno,few_shot,80,86,192.47,0.00,241.97,1,4.13,1,,,,,,,80,,,
torchinferno,few_shot,41,87,189.06,0.00,238.33,1,4.20,1,,,,,,,41,,,
