model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-18T21:08:45.954675

Build Times
provider,build_time_s
torchinferno,336.2
vllm,397.4
sglang,265.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,279.12,126.08,141.45,vllm
ttft_p99_ms,2242.42,207.58,1322.39,vllm
tpot_median_ms,50.21,43.46,70.13,vllm
tpot_p99_ms,194.21,110.13,557.13,vllm
e2e_median_ms,324.96,157.24,211.74,vllm
e2e_p99_ms,2257.39,283.60,1847.66,vllm
throughput_median_tps,3.79,8.38,5.43,vllm
total_output_tokens,1461,1455,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,296.59,190.89,204.35,vllm
ttft_p99_ms,717.08,420.83,71301.94,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,404.80,220.51,352.24,vllm
e2e_p99_ms,822.84,459.60,71418.48,vllm
throughput_median_tps,2.47,4.53,2.84,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,640.81,156.29,166.04,vllm
ttft_p99_ms,1842.29,328.19,283.24,sglang
tpot_median_ms,63.14,48.47,104.38,vllm
tpot_p99_ms,150.89,173.93,230.67,torchinferno
e2e_median_ms,701.21,198.03,263.79,vllm
e2e_p99_ms,1925.45,409.07,434.10,vllm
throughput_median_tps,1.92,6.81,5.04,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,535.59,124.91,129.89,vllm
ttft_last_turn_ms,949.04,162.16,201.10,vllm
ttft_growth_ratio,1.77,1.30,1.55,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,219.27,56.95,85.11,vllm
ttft_p99_ms,584.11,2037.43,469.16,sglang
tpot_median_ms,32.10,27.42,41.95,vllm
tpot_p99_ms,232.57,161.17,424.50,vllm
e2e_median_ms,267.38,77.65,137.88,vllm
e2e_p99_ms,668.49,2069.75,515.35,sglang
throughput_median_tps,5.46,15.35,10.05,vllm
total_output_tokens,1472,1473,1480,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,323.98,69.33,71.02,vllm
ttft_p99_ms,1498.75,163.04,121.35,sglang
tpot_median_ms,21.99,15.19,22.40,vllm
tpot_p99_ms,43.49,22.10,27.36,vllm
e2e_median_ms,1084.92,611.92,848.05,vllm
e2e_p99_ms,2247.15,1033.02,1623.30,vllm
throughput_median_tps,31.82,58.43,41.78,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1356.60,0.00,1365.42,1,0.73,1
torchinferno,few_shot,1,1359.41,0.00,1368.13,1,0.73,1
torchinferno,few_shot,2,1363.75,0.00,1374.91,1,0.73,1
torchinferno,few_shot,3,1359.22,0.00,1370.62,1,0.73,1
torchinferno,few_shot,4,1363.82,229.95,1593.77,2,1.25,1
torchinferno,few_shot,5,1362.76,230.65,1593.42,2,1.26,1
torchinferno,few_shot,6,1896.30,0.00,2018.30,1,0.50,1
torchinferno,few_shot,7,1888.16,0.00,2010.00,1,0.50,1
torchinferno,few_shot,8,1899.66,0.00,2023.42,1,0.49,1
torchinferno,few_shot,9,1891.34,0.00,2012.76,1,0.50,1
torchinferno,few_shot,10,1893.12,0.00,2015.27,1,0.50,1
torchinferno,few_shot,11,1909.69,0.00,2031.38,1,0.49,1
torchinferno,few_shot,12,1887.05,0.00,2017.12,1,0.50,1
torchinferno,few_shot,13,1914.69,0.00,2038.54,1,0.49,1
torchinferno,few_shot,14,1883.78,0.00,2018.16,1,0.50,1
torchinferno,few_shot,15,1887.17,133.43,2020.60,2,0.99,1
torchinferno,few_shot,16,1902.48,0.00,2036.01,1,0.49,1
torchinferno,few_shot,17,1897.25,145.39,2042.64,2,0.98,1
torchinferno,few_shot,18,1897.11,146.88,2043.99,2,0.98,1
torchinferno,few_shot,19,1883.69,0.00,2029.48,1,0.49,1
torchinferno,few_shot,20,1896.04,148.96,2045.01,2,0.98,1
torchinferno,few_shot,21,1901.77,146.47,2048.25,2,0.98,1
torchinferno,few_shot,22,1903.62,0.00,2053.43,1,0.49,1
torchinferno,few_shot,23,1912.37,0.00,2053.96,1,0.49,1
torchinferno,few_shot,24,1895.52,154.02,2049.55,2,0.98,1
torchinferno,few_shot,25,1894.45,0.00,2037.14,1,0.49,1
torchinferno,few_shot,26,1889.12,0.00,2038.29,1,0.49,1
torchinferno,few_shot,27,1901.52,161.10,2062.62,2,0.97,1
torchinferno,few_shot,28,1885.94,0.00,2039.89,1,0.49,1
torchinferno,few_shot,29,1904.27,0.00,2057.34,1,0.49,1
torchinferno,few_shot,30,1909.98,154.17,2064.15,2,0.97,1
torchinferno,few_shot,31,1890.03,157.62,2047.65,2,0.98,1
torchinferno,few_shot,32,1887.27,0.00,2047.21,1,0.49,1
torchinferno,few_shot,33,1891.40,0.00,2050.04,1,0.49,1
torchinferno,few_shot,34,1883.62,164.26,2047.88,2,0.98,1
torchinferno,few_shot,35,1885.84,165.14,2050.97,2,0.98,1
torchinferno,few_shot,36,1896.17,166.22,2062.39,2,0.97,1
torchinferno,few_shot,37,1897.91,177.27,2075.18,2,0.96,1
torchinferno,few_shot,38,1896.35,0.00,2073.93,1,0.48,1
torchinferno,few_shot,39,1893.68,172.09,2065.77,2,0.97,1
torchinferno,few_shot,40,1902.58,175.91,2078.49,2,0.96,1
torchinferno,few_shot,41,1887.05,180.60,2067.65,2,0.97,1
torchinferno,few_shot,42,1889.74,0.00,2069.46,1,0.48,1
torchinferno,few_shot,43,1907.13,176.63,2083.76,2,0.96,1
torchinferno,few_shot,44,1898.53,0.00,2088.25,1,0.48,1
torchinferno,few_shot,45,1899.05,188.44,2087.49,2,0.96,1
torchinferno,few_shot,46,1881.40,190.38,2071.78,2,0.97,1
torchinferno,few_shot,47,1901.21,189.15,2090.35,2,0.96,1
torchinferno,few_shot,48,1882.42,0.00,2077.48,1,0.48,1
torchinferno,few_shot,49,1895.41,0.00,2091.33,1,0.48,1
torchinferno,few_shot,50,1887.64,190.23,2077.87,2,0.96,1
torchinferno,few_shot,51,1886.68,194.21,2080.89,2,0.96,1
torchinferno,few_shot,52,1880.55,199.36,2079.91,2,0.96,1
torchinferno,few_shot,53,1910.34,192.73,2103.07,2,0.95,1
torchinferno,few_shot,54,677.26,0.00,689.07,1,1.45,1
torchinferno,few_shot,55,2246.64,0.00,2257.39,1,0.44,1
torchinferno,few_shot,56,677.37,0.00,691.21,1,1.45,1
torchinferno,few_shot,57,893.36,0.00,910.52,1,1.10,1
torchinferno,few_shot,58,2242.42,0.00,2262.59,1,0.44,1
