model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-14T04:06:50.906670

Build Times
provider,build_time_s
torchinferno,178.1
vllm,1079.3
sglang,163.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,308.40,163.49,136.78,sglang
ttft_p99_ms,2082.85,824.00,8129.30,vllm
tpot_median_ms,171.73,58.17,72.55,vllm
tpot_p99_ms,234.82,154.29,7298.28,vllm
e2e_median_ms,411.12,226.75,204.90,sglang
e2e_p99_ms,2287.33,891.22,15404.30,vllm
throughput_median_tps,3.64,6.59,5.88,vllm
total_output_tokens,1461,1460,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,283.57,204.86,200.35,sglang
ttft_p99_ms,1988.67,499.73,70135.19,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,359.90,227.54,336.21,vllm
e2e_p99_ms,2038.20,523.45,70261.19,vllm
throughput_median_tps,2.78,4.39,2.97,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,854.46,173.94,149.85,sglang
ttft_p99_ms,2275.58,355.71,519.92,vllm
tpot_median_ms,174.45,47.64,111.03,vllm
tpot_p99_ms,865.94,172.13,508.52,vllm
e2e_median_ms,998.35,222.35,259.17,vllm
e2e_p99_ms,2587.74,411.32,682.37,vllm
throughput_median_tps,1.24,6.31,5.22,vllm
total_output_tokens,1460,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1141.47,144.40,99.64,sglang
ttft_last_turn_ms,780.96,172.97,190.67,vllm
ttft_growth_ratio,0.68,1.20,1.91,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,460.08,57.77,78.69,vllm
ttft_p99_ms,1019.94,141.26,691.32,vllm
tpot_median_ms,215.67,26.65,40.85,vllm
tpot_p99_ms,293.51,39.48,144.33,vllm
e2e_median_ms,669.84,77.80,133.89,vllm
e2e_p99_ms,1245.87,160.76,725.77,vllm
throughput_median_tps,2.10,15.53,9.80,vllm
total_output_tokens,1467,1476,1456,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,757.87,68.48,64.18,sglang
ttft_p99_ms,2819.05,134.46,113.53,sglang
tpot_median_ms,24.12,14.98,22.46,vllm
tpot_p99_ms,47.16,23.03,27.11,vllm
e2e_median_ms,1863.83,600.45,822.78,vllm
e2e_p99_ms,3788.47,1017.97,1603.35,vllm
throughput_median_tps,17.64,59.03,42.02,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,896.24,510.60,1406.85,2,1.42,1
torchinferno,few_shot,1,2078.84,0.00,2159.99,1,0.46,1
torchinferno,few_shot,2,2069.89,0.00,2166.10,1,0.46,1
torchinferno,few_shot,3,2065.52,0.00,2158.32,1,0.46,1
torchinferno,few_shot,4,2076.78,0.00,2166.60,1,0.46,1
torchinferno,few_shot,5,2059.29,0.00,2156.80,1,0.46,1
torchinferno,few_shot,6,2078.82,0.00,2176.51,1,0.46,1
torchinferno,few_shot,7,2068.56,0.00,2178.13,1,0.46,1
torchinferno,few_shot,8,2065.86,0.00,2168.35,1,0.46,1
torchinferno,few_shot,9,2072.97,0.00,2180.73,1,0.46,1
torchinferno,few_shot,10,2083.21,0.00,2183.95,1,0.46,1
torchinferno,few_shot,11,2071.37,0.00,2172.58,1,0.46,1
torchinferno,few_shot,12,2074.00,0.00,2188.49,1,0.46,1
torchinferno,few_shot,13,2056.89,0.00,2172.06,1,0.46,1
torchinferno,few_shot,14,2072.83,0.00,2176.72,1,0.46,1
torchinferno,few_shot,15,2071.88,0.00,2176.45,1,0.46,1
torchinferno,few_shot,16,2073.37,0.00,2190.22,1,0.46,1
torchinferno,few_shot,17,2070.95,0.00,2195.07,1,0.46,1
torchinferno,few_shot,18,2070.42,0.00,2195.59,1,0.46,1
torchinferno,few_shot,19,2061.36,0.00,2184.15,1,0.46,1
torchinferno,few_shot,20,2066.36,0.00,2187.99,1,0.46,1
torchinferno,few_shot,21,2071.07,0.00,2185.29,1,0.46,1
torchinferno,few_shot,22,2071.71,0.00,2200.94,1,0.45,1
torchinferno,few_shot,23,2069.90,0.00,2192.80,1,0.46,1
torchinferno,few_shot,24,2068.64,0.00,2192.41,1,0.46,1
torchinferno,few_shot,25,2070.76,0.00,2192.54,1,0.46,1
torchinferno,few_shot,26,2061.52,0.00,2195.35,1,0.46,1
torchinferno,few_shot,27,2066.37,0.00,2193.81,1,0.46,1
torchinferno,few_shot,28,2064.88,0.00,2197.76,1,0.46,1
torchinferno,few_shot,29,2076.18,0.00,2217.33,1,0.45,1
torchinferno,few_shot,30,2065.34,0.00,2213.59,1,0.45,1
torchinferno,few_shot,31,2082.85,173.37,2256.23,2,0.89,1
torchinferno,few_shot,32,2067.47,181.01,2248.48,2,0.89,1
torchinferno,few_shot,33,2072.96,187.98,2260.94,2,0.88,1
torchinferno,few_shot,34,2072.70,190.70,2263.39,2,0.88,1
torchinferno,few_shot,35,2074.42,188.89,2263.30,2,0.88,1
torchinferno,few_shot,36,2071.55,180.86,2252.41,2,0.89,1
torchinferno,few_shot,37,2083.06,187.67,2270.73,2,0.88,1
torchinferno,few_shot,38,2073.10,195.29,2268.39,2,0.88,1
torchinferno,few_shot,39,2062.72,192.76,2255.48,2,0.89,1
torchinferno,few_shot,40,2072.84,188.34,2261.18,2,0.88,1
torchinferno,few_shot,41,2073.47,201.02,2274.50,2,0.88,1
torchinferno,few_shot,42,2081.55,197.60,2279.15,2,0.88,1
torchinferno,few_shot,43,2062.58,205.33,2267.91,2,0.88,1
torchinferno,few_shot,44,2072.28,192.86,2265.14,2,0.88,1
torchinferno,few_shot,45,2081.92,196.95,2278.86,2,0.88,1
