model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-05T15:07:29.128374

Build Times
provider,build_time_s
torchinferno,444.6
vllm,1413.2
sglang,212.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,352.77,163.05,163.08,vllm
ttft_p99_ms,2195.52,275.67,6479.10,vllm
tpot_median_ms,56.40,53.69,76.19,vllm
tpot_p99_ms,189.81,149.87,414.92,vllm
e2e_median_ms,417.06,212.75,233.99,vllm
e2e_p99_ms,2212.41,333.62,6861.05,vllm
throughput_median_tps,3.05,6.94,5.24,vllm
total_output_tokens,1461,1456,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,295.67,203.29,211.37,vllm
ttft_p99_ms,1235.42,500.13,70406.39,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,412.15,222.75,352.63,vllm
e2e_p99_ms,1310.53,532.37,70469.43,vllm
throughput_median_tps,2.43,4.49,2.84,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,746.79,179.02,166.71,sglang
ttft_p99_ms,4387.65,355.75,634.67,vllm
tpot_median_ms,62.08,69.57,111.41,torchinferno
tpot_p99_ms,165.42,208.22,237.25,torchinferno
e2e_median_ms,804.07,243.22,259.42,vllm
e2e_p99_ms,4432.94,432.15,841.07,vllm
throughput_median_tps,1.40,6.03,4.99,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,866.24,151.48,121.87,sglang
ttft_last_turn_ms,1157.54,169.51,177.77,vllm
ttft_growth_ratio,1.34,1.12,1.46,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,367.34,59.49,81.86,vllm
ttft_p99_ms,1211.53,3763.23,590.13,sglang
tpot_median_ms,32.41,27.47,47.28,vllm
tpot_p99_ms,252.32,2027.68,152.81,sglang
e2e_median_ms,397.49,80.55,142.91,vllm
e2e_p99_ms,1236.99,3801.21,645.26,sglang
throughput_median_tps,3.60,15.04,9.80,vllm
total_output_tokens,1458,1472,1458,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,532.67,71.75,75.72,vllm
ttft_p99_ms,1501.23,220.78,135.01,sglang
tpot_median_ms,31.06,14.71,23.80,vllm
tpot_p99_ms,54.62,21.17,29.11,vllm
e2e_median_ms,1564.84,602.54,901.87,vllm
e2e_p99_ms,3906.29,1005.38,1714.36,vllm
throughput_median_tps,21.62,59.73,39.29,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1555.14,0.00,1564.74,1,0.64,1
torchinferno,few_shot,1,1554.54,0.00,1564.39,1,0.64,1
torchinferno,few_shot,2,1550.02,20.59,1570.61,2,1.27,1
torchinferno,few_shot,3,1552.30,20.54,1572.84,2,1.27,1
torchinferno,few_shot,4,1551.32,22.41,1573.73,2,1.27,1
torchinferno,few_shot,5,1558.16,22.50,1580.66,2,1.27,1
torchinferno,few_shot,6,1931.82,0.00,1953.00,1,0.51,1
torchinferno,few_shot,7,1918.83,0.00,1940.75,1,0.52,1
torchinferno,few_shot,8,1926.19,0.00,1940.31,1,0.52,1
torchinferno,few_shot,9,1939.33,0.00,1952.71,1,0.51,1
torchinferno,few_shot,10,1920.41,0.00,1943.69,1,0.51,1
torchinferno,few_shot,11,1930.22,0.00,1958.78,1,0.51,1
torchinferno,few_shot,12,1925.22,0.00,1949.77,1,0.51,1
torchinferno,few_shot,13,1922.87,26.09,1948.95,2,1.03,1
torchinferno,few_shot,14,1938.56,0.00,1965.41,1,0.51,1
torchinferno,few_shot,15,1931.84,0.00,1970.41,1,0.51,1
torchinferno,few_shot,16,1927.82,0.00,1957.78,1,0.51,1
torchinferno,few_shot,17,1930.90,0.00,1974.43,1,0.51,1
torchinferno,few_shot,18,1920.02,42.44,1962.46,2,1.02,1
torchinferno,few_shot,19,1938.96,36.99,1975.94,2,1.01,1
torchinferno,few_shot,20,1932.51,0.00,1980.49,1,0.50,1
torchinferno,few_shot,21,1929.41,0.00,1967.12,1,0.51,1
torchinferno,few_shot,22,1942.03,37.08,1979.11,2,1.01,1
torchinferno,few_shot,23,1940.03,47.05,1987.08,2,1.01,1
torchinferno,few_shot,24,1932.53,0.00,1972.80,1,0.51,1
torchinferno,few_shot,25,1916.44,0.00,1969.15,1,0.51,1
torchinferno,few_shot,26,1944.47,0.00,1989.28,1,0.50,1
torchinferno,few_shot,27,1935.12,0.00,1989.14,1,0.50,1
torchinferno,few_shot,28,1931.45,47.15,1978.60,2,1.01,1
torchinferno,few_shot,29,1935.19,0.00,1994.26,1,0.50,1
torchinferno,few_shot,30,1931.61,61.18,1992.78,2,1.00,1
torchinferno,few_shot,31,1929.27,0.00,1982.51,1,0.50,1
torchinferno,few_shot,32,1929.23,50.44,1979.67,2,1.01,1
torchinferno,few_shot,33,1933.12,63.10,1996.23,2,1.00,1
torchinferno,few_shot,34,1930.02,55.99,1986.01,2,1.01,1
torchinferno,few_shot,35,1935.78,63.60,1999.37,2,1.00,1
torchinferno,few_shot,36,1924.71,0.00,1988.60,1,0.50,1
torchinferno,few_shot,37,1938.81,66.91,2005.72,2,1.00,1
torchinferno,few_shot,38,1930.43,64.08,1994.51,2,1.00,1
torchinferno,few_shot,39,1929.66,77.85,2007.51,2,1.00,1
torchinferno,few_shot,40,1927.68,75.14,2002.82,2,1.00,1
torchinferno,few_shot,41,1942.29,0.00,2010.03,1,0.50,1
torchinferno,few_shot,42,1918.80,0.00,2000.20,1,0.50,1
torchinferno,few_shot,43,1932.11,74.45,2006.56,2,1.00,1
torchinferno,few_shot,44,1934.97,82.25,2017.22,2,0.99,1
torchinferno,few_shot,45,1926.13,0.00,2005.02,1,0.50,1
