model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-26T21:03:24.629285+00:00

Build Times
provider,build_time_s
torchinferno,432.5
vllm,522.9
sglang,253.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,142.54,161.72,vllm
ttft_p99_ms,,948.35,607.92,sglang
tpot_median_ms,,52.34,91.02,vllm
tpot_p99_ms,,156.95,568.91,vllm
e2e_median_ms,,193.92,244.90,vllm
e2e_p99_ms,,1047.52,896.47,sglang
throughput_median_tps,,7.37,5.02,vllm
total_output_tokens,,1456,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,186.11,214.17,vllm
ttft_p99_ms,,419.20,69492.94,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,212.11,377.51,vllm
e2e_p99_ms,,496.83,69622.70,vllm
throughput_median_tps,,4.71,2.65,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,154.80,175.71,vllm
ttft_p99_ms,,297.20,504.52,vllm
tpot_median_ms,,51.17,107.45,vllm
tpot_p99_ms,,170.60,244.69,vllm
e2e_median_ms,,198.00,281.20,vllm
e2e_p99_ms,,398.74,643.37,vllm
throughput_median_tps,,6.71,4.70,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,137.36,329.22,vllm
ttft_last_turn_ms,,150.73,177.05,vllm
ttft_growth_ratio,,1.10,0.54,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,60.70,85.35,vllm
ttft_p99_ms,,2052.58,604.32,sglang
tpot_median_ms,,29.40,57.08,vllm
tpot_p99_ms,,879.43,153.88,sglang
e2e_median_ms,,82.53,154.66,vllm
e2e_p99_ms,,2090.41,640.62,sglang
throughput_median_tps,,14.69,9.30,vllm
total_output_tokens,,1485,1475,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,76.99,86.26,vllm
ttft_p99_ms,,287.05,610.24,vllm
tpot_median_ms,,14.92,22.07,vllm
tpot_p99_ms,,19.87,38.51,vllm
e2e_median_ms,,632.90,882.41,vllm
e2e_p99_ms,,1081.53,1610.15,vllm
throughput_median_tps,,57.72,40.96,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,862.46,0.00,863.57,1,1.16,1
vllm,few_shot,1,868.24,0.00,868.37,1,1.15,1
vllm,few_shot,2,868.32,0.00,868.43,1,1.15,1
vllm,few_shot,3,868.63,0.00,873.67,1,1.14,1
vllm,few_shot,4,863.60,0.00,868.36,1,1.15,1
vllm,few_shot,5,873.10,0.00,873.21,1,1.15,1
vllm,few_shot,6,871.77,0.00,875.37,1,1.14,1
vllm,few_shot,7,879.96,0.00,883.24,1,1.13,1
vllm,few_shot,8,878.83,0.00,878.94,1,1.14,1
vllm,few_shot,9,875.36,0.00,878.77,1,1.14,1
vllm,few_shot,10,877.17,0.00,886.55,1,1.13,1
vllm,few_shot,11,865.85,0.00,884.52,1,1.13,1
vllm,few_shot,12,883.32,0.00,883.43,1,1.13,1
vllm,few_shot,13,874.85,0.00,888.55,1,1.13,1
vllm,few_shot,14,879.66,30.33,909.99,2,2.20,1
vllm,few_shot,15,902.54,0.00,917.18,1,1.09,1
vllm,few_shot,16,900.09,0.00,918.20,1,1.09,1
vllm,few_shot,17,899.29,0.00,918.86,1,1.09,1
vllm,few_shot,18,911.26,0.00,934.31,1,1.07,1
vllm,few_shot,19,924.75,0.00,938.10,1,1.07,1
vllm,few_shot,20,900.19,41.48,941.68,2,2.12,1
vllm,few_shot,21,900.84,43.93,944.77,2,2.12,1
vllm,few_shot,22,913.65,0.00,941.74,1,1.06,1
vllm,few_shot,23,899.21,46.48,945.69,2,2.11,1
vllm,few_shot,24,901.31,46.46,947.77,2,2.11,1
vllm,few_shot,25,912.77,0.00,945.93,1,1.06,1
vllm,few_shot,26,899.98,49.51,949.49,2,2.11,1
vllm,few_shot,27,904.00,48.18,952.18,2,2.10,1
vllm,few_shot,28,898.52,52.72,951.24,2,2.10,1
vllm,few_shot,29,924.77,0.00,948.77,1,1.05,1
vllm,few_shot,30,924.94,0.00,951.26,1,1.05,1
vllm,few_shot,31,934.59,0.00,952.76,1,1.05,1
vllm,few_shot,32,929.13,0.00,951.79,1,1.05,1
vllm,few_shot,33,924.33,41.17,965.50,2,2.07,1
vllm,few_shot,34,924.74,40.61,965.35,2,2.07,1
vllm,few_shot,35,926.87,0.00,958.70,1,1.04,1
vllm,few_shot,36,916.11,51.38,967.49,2,2.07,1
vllm,few_shot,37,924.43,0.00,960.28,1,1.04,1
vllm,few_shot,38,934.81,0.00,964.14,1,1.04,1
vllm,few_shot,39,943.44,0.00,1012.83,1,0.99,1
vllm,few_shot,40,929.34,85.27,1014.61,2,1.97,1
vllm,few_shot,41,944.12,0.00,1014.94,1,0.99,1
vllm,few_shot,42,941.72,84.80,1026.52,2,1.95,1
vllm,few_shot,43,944.10,0.00,1018.14,1,0.98,1
vllm,few_shot,44,936.03,85.02,1021.05,2,1.96,1
vllm,few_shot,45,949.03,0.00,1022.95,1,0.98,1
