model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-15T09:02:43.277053+00:00

Build Times
provider,build_time_s
torchinferno,41.9
vllm,258.1
sglang,178.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,140.61,94.09,80.97,sglang
ttft_p99_ms,717.34,208.63,514.84,vllm
tpot_median_ms,30.98,36.99,65.92,torchinferno
tpot_p99_ms,41.18,136.33,880.74,torchinferno
e2e_median_ms,164.94,121.48,138.68,vllm
e2e_p99_ms,740.01,256.58,949.47,vllm
throughput_median_tps,6.99,11.09,9.66,vllm
total_output_tokens,1461,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,57.91,84.17,124.65,torchinferno
ttft_p99_ms,327.72,313.80,70281.40,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,76.51,102.35,197.97,torchinferno
e2e_p99_ms,344.32,373.20,70324.51,torchinferno
throughput_median_tps,13.07,9.77,5.05,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,191.08,80.63,81.32,vllm
ttft_p99_ms,1002.09,158.69,499.45,vllm
tpot_median_ms,34.49,37.90,73.01,torchinferno
tpot_p99_ms,43.97,84.64,486.37,torchinferno
e2e_median_ms,218.71,109.86,140.57,vllm
e2e_p99_ms,1020.06,229.92,574.65,vllm
throughput_median_tps,5.11,11.49,9.52,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,426.01,81.18,68.34,sglang
ttft_last_turn_ms,181.14,94.10,95.44,vllm
ttft_growth_ratio,0.43,1.16,1.40,torchinferno
ttft_first_turn_median_ms,204.74,70.76,71.44,vllm
ttft_first_turn_p99_ms,1105.79,154.03,108.65,sglang
ttft_last_turn_median_ms,185.36,83.73,81.83,sglang
ttft_last_turn_p99_ms,248.81,159.65,477.59,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.20,36.34,52.80,vllm
ttft_p99_ms,1025.32,84.68,469.13,vllm
tpot_median_ms,34.59,23.88,387.65,vllm
tpot_p99_ms,121.07,39.36,1047.18,vllm
e2e_median_ms,75.42,54.33,446.41,vllm
e2e_p99_ms,1044.61,140.09,1201.69,vllm
throughput_median_tps,19.50,23.69,3.18,vllm
total_output_tokens,1465,1466,1460,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,185.43,46.74,51.58,vllm
ttft_p99_ms,520.50,61.23,106.94,vllm
tpot_median_ms,18.99,15.40,24.55,vllm
tpot_p99_ms,25.11,17.35,100.97,vllm
e2e_median_ms,856.76,580.20,940.74,vllm
e2e_p99_ms,1561.52,1046.46,1749.52,vllm
throughput_median_tps,41.33,60.68,39.32,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,774.83,0.00,787.14,1,1.27,1,,,,,,,1,,,
torchinferno,few_shot,0,1,792.92,23.77,816.69,2,2.45,1,,,,,,,0,,,
torchinferno,few_shot,5,2,782.08,0.00,797.18,1,1.25,1,,,,,,,5,,,
torchinferno,few_shot,31,3,346.35,0.00,360.00,1,2.78,1,,,,,,,31,,,
torchinferno,few_shot,29,4,378.91,0.00,393.95,1,2.54,1,,,,,,,29,,,
torchinferno,few_shot,26,5,430.97,0.00,446.45,1,2.24,1,,,,,,,26,,,
torchinferno,few_shot,11,6,683.14,0.00,699.85,1,1.43,1,,,,,,,11,,,
torchinferno,few_shot,12,7,664.78,0.00,683.58,1,1.46,1,,,,,,,12,,,
torchinferno,few_shot,28,8,397.78,0.00,414.01,1,2.42,1,,,,,,,28,,,
torchinferno,few_shot,4,9,802.48,0.00,819.52,1,1.22,1,,,,,,,4,,,
torchinferno,few_shot,24,10,465.07,0.00,483.74,1,2.07,1,,,,,,,24,,,
torchinferno,few_shot,25,11,445.99,0.00,468.03,1,2.14,1,,,,,,,25,,,
torchinferno,few_shot,10,12,698.32,0.00,721.45,1,1.39,1,,,,,,,10,,,
torchinferno,few_shot,8,13,733.77,0.00,755.70,1,1.32,1,,,,,,,8,,,
torchinferno,few_shot,9,14,717.34,0.00,740.01,1,1.35,1,,,,,,,9,,,
torchinferno,few_shot,17,15,581.10,0.00,605.87,1,1.65,1,,,,,,,17,,,
torchinferno,few_shot,7,16,748.82,0.00,775.02,1,1.29,1,,,,,,,7,,,
torchinferno,few_shot,14,17,630.93,29.19,660.12,2,3.03,1,,,,,,,14,,,
torchinferno,few_shot,13,18,648.20,29.54,677.74,2,2.95,1,,,,,,,13,,,
torchinferno,few_shot,30,19,362.12,29.72,391.84,2,5.10,1,,,,,,,30,,,
torchinferno,few_shot,21,20,515.19,28.70,543.89,2,3.68,1,,,,,,,21,,,
torchinferno,few_shot,6,21,767.18,30.37,797.55,2,2.51,1,,,,,,,6,,,
torchinferno,few_shot,3,22,816.22,32.62,848.83,2,2.36,1,,,,,,,3,,,
torchinferno,few_shot,2,23,834.39,32.26,866.65,2,2.31,1,,,,,,,2,,,
torchinferno,few_shot,33,24,313.39,31.36,344.75,2,5.80,1,,,,,,,33,,,
torchinferno,few_shot,32,25,330.83,31.13,361.96,2,5.53,1,,,,,,,32,,,
torchinferno,few_shot,23,26,482.17,32.05,514.23,2,3.89,1,,,,,,,23,,,
torchinferno,few_shot,20,27,530.83,34.27,565.11,2,3.54,1,,,,,,,20,,,
torchinferno,few_shot,15,28,615.82,34.47,650.29,2,3.08,1,,,,,,,15,,,
torchinferno,few_shot,27,29,412.03,36.14,448.16,2,4.46,1,,,,,,,27,,,
torchinferno,few_shot,19,30,546.82,36.94,583.76,2,3.43,1,,,,,,,19,,,
torchinferno,few_shot,16,31,599.13,36.16,635.29,2,3.15,1,,,,,,,16,,,
torchinferno,few_shot,22,32,498.20,37.16,535.36,2,3.74,1,,,,,,,22,,,
torchinferno,few_shot,18,33,565.92,37.30,603.22,2,3.32,1,,,,,,,18,,,
torchinferno,few_shot,37,34,331.58,0.00,342.81,1,2.92,1,,,,,,,37,,,
torchinferno,few_shot,34,35,379.50,0.00,394.04,1,2.54,1,,,,,,,34,,,
torchinferno,few_shot,65,36,139.87,0.00,151.59,1,6.60,1,,,,,,,65,,,
torchinferno,few_shot,46,37,176.93,0.00,191.82,1,5.21,1,,,,,,,46,,,
torchinferno,few_shot,38,38,316.42,0.00,328.49,1,3.04,1,,,,,,,38,,,
