model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-08T07:12:46.396983

Build Times
provider,build_time_s
vllm,807.8
sglang,87.5
torchinferno,38.3

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,30.75,31.56,98.22,vllm
ttft_p99_ms,275.88,42.59,535.49,sglang
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,44.32,42.38,180.33,sglang
e2e_p99_ms,287.51,50.20,652.09,sglang
throughput_median_tps,22.56,23.60,5.55,sglang
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,66.73,379.02,1413.54,vllm
ttft_p99_ms,79.57,394.45,2663.43,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,89.06,388.81,1495.91,vllm
e2e_p99_ms,98.46,403.12,2745.09,vllm
throughput_median_tps,11.23,2.57,0.67,vllm
total_output_tokens,16,16,16,vllm
num_requests,16,16,16,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,30.72,31.11,105.31,vllm
ttft_p99_ms,31.61,40.91,113.56,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,44.14,41.76,187.09,sglang
e2e_p99_ms,45.09,42.14,196.00,sglang
throughput_median_tps,22.66,23.95,5.35,sglang
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm
ttft_first_turn_ms,26.24,24.13,91.78,sglang
ttft_last_turn_ms,31.38,31.13,113.56,sglang
ttft_growth_ratio,1.20,1.29,1.24,vllm

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,45.38,39.51,271.51,sglang
ttft_p99_ms,62.98,44.10,689.21,sglang
tpot_median_ms,27.98,23.41,163.59,sglang
tpot_p99_ms,28.60,23.71,163.96,sglang
e2e_median_ms,59.11,53.38,353.54,sglang
e2e_p99_ms,87.50,66.38,771.05,sglang
throughput_median_tps,17.49,18.85,2.83,sglang
total_output_tokens,33,33,33,vllm
num_requests,31,31,31,
correctness_rate,1.00,1.00,1.00,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,30.48,32.02,105.78,vllm
ttft_p99_ms,31.31,32.82,109.67,vllm
tpot_median_ms,13.98,12.08,84.32,sglang
tpot_p99_ms,15.13,13.15,91.98,sglang
e2e_median_ms,544.63,479.31,3221.99,sglang
e2e_p99_ms,933.82,821.50,5624.31,sglang
throughput_median_tps,69.52,79.24,11.79,sglang
total_output_tokens,303,303,303,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,275.88,0.00,287.51,1,3.48,1
vllm,few_shot,1,30.80,0.00,44.25,1,22.60,1
vllm,few_shot,2,30.69,0.00,44.08,1,22.69,1
vllm,few_shot,3,30.42,0.00,44.74,1,22.35,1
vllm,few_shot,4,31.27,0.00,44.89,1,22.28,1
vllm,few_shot,5,30.87,0.00,44.39,1,22.53,1
vllm,few_shot,6,30.56,0.00,44.00,1,22.73,1
vllm,few_shot,7,30.63,0.00,44.06,1,22.70,1
vllm,self_consistency,0,37.71,0.00,50.09,1,19.97,1
vllm,self_consistency,1,53.75,0.00,82.71,1,12.09,1
vllm,self_consistency,2,59.93,0.00,87.59,1,11.42,1
vllm,self_consistency,3,56.03,0.00,85.24,1,11.73,1
vllm,self_consistency,4,66.04,0.00,94.60,1,10.57,1
vllm,self_consistency,5,62.34,0.00,92.76,1,10.78,1
vllm,self_consistency,6,68.15,0.00,96.77,1,10.33,1
vllm,self_consistency,7,70.53,0.00,98.46,1,10.16,1
vllm,self_consistency,8,59.68,0.00,90.40,1,11.06,1
vllm,self_consistency,9,64.48,0.00,94.66,1,10.56,1
vllm,self_consistency,10,71.42,0.00,85.73,1,11.66,1
vllm,self_consistency,11,73.14,0.00,87.71,1,11.40,1
vllm,self_consistency,12,79.55,0.00,91.03,1,10.99,1
vllm,self_consistency,13,67.43,0.00,80.56,1,12.41,1
vllm,self_consistency,14,79.57,0.00,93.12,1,10.74,1
vllm,self_consistency,15,69.60,0.00,82.43,1,12.13,1
vllm,multi_turn,0,26.24,0.00,40.25,1,24.85,1
vllm,multi_turn,1,29.28,0.00,42.49,1,23.54,1
vllm,multi_turn,2,30.56,0.00,44.28,1,22.59,1
vllm,multi_turn,3,30.91,0.00,44.03,1,22.71,1
vllm,multi_turn,4,30.34,0.00,43.54,1,22.96,1
vllm,multi_turn,5,31.61,0.00,45.09,1,22.18,1
vllm,multi_turn,6,30.88,0.00,44.25,1,22.60,1
vllm,multi_turn,7,31.38,0.00,44.85,1,22.30,1
vllm,tree_of_thought,0,33.29,0.00,50.21,1,19.92,1
vllm,tree_of_thought,1,45.97,0.00,63.01,1,15.87,1
vllm,tree_of_thought,2,48.19,0.00,65.56,1,15.25,1
vllm,tree_of_thought,3,61.69,0.00,75.67,1,13.22,1
vllm,tree_of_thought,4,33.17,0.00,49.66,1,20.14,1
vllm,tree_of_thought,5,48.04,0.00,64.22,1,15.57,1
vllm,tree_of_thought,6,61.93,0.00,75.69,1,13.21,1
vllm,tree_of_thought,7,60.87,0.00,74.11,1,13.49,1
vllm,tree_of_thought,8,32.72,0.00,47.92,1,20.87,1
vllm,tree_of_thought,9,30.17,0.00,45.25,1,22.10,1
vllm,tree_of_thought,10,31.48,0.00,47.02,1,21.27,1
vllm,tree_of_thought,11,43.07,0.00,55.95,1,17.87,1
vllm,tree_of_thought,12,36.10,0.00,46.74,1,21.40,1
vllm,tree_of_thought,13,44.38,0.00,59.11,1,16.92,1
vllm,tree_of_thought,14,57.17,0.00,71.17,1,14.05,1
vllm,tree_of_thought,15,45.57,28.60,74.17,2,26.96,1
vllm,tree_of_thought,16,29.11,0.00,42.28,1,23.65,1
vllm,tree_of_thought,17,29.86,0.00,43.23,1,23.13,1
vllm,tree_of_thought,18,56.50,0.00,70.60,1,14.16,1
vllm,tree_of_thought,19,55.30,0.00,69.11,1,14.47,1
vllm,tree_of_thought,20,58.76,0.00,72.56,1,13.78,1
vllm,tree_of_thought,21,31.16,0.00,48.53,1,20.61,1
vllm,tree_of_thought,22,46.61,0.00,60.19,1,16.61,1
vllm,tree_of_thought,23,44.23,0.00,57.16,1,17.49,1
vllm,tree_of_thought,24,45.38,0.00,59.05,1,16.93,1
vllm,tree_of_thought,25,28.92,0.00,42.11,1,23.75,1
vllm,tree_of_thought,26,31.89,0.00,45.03,1,22.21,1
vllm,tree_of_thought,27,56.80,0.00,70.64,1,14.16,1
vllm,tree_of_thought,28,62.98,0.00,77.52,1,12.90,1
vllm,tree_of_thought,29,60.14,27.36,87.50,2,22.86,1
vllm,tree_of_thought,30,30.09,0.00,43.75,1,22.86,1
vllm,long_output,0,24.25,15.13,145.27,9,61.95,1
vllm,long_output,1,29.75,14.29,258.38,17,65.80,1
vllm,long_output,2,30.16,14.15,369.70,25,67.62,1
vllm,long_output,3,30.24,14.03,493.26,34,68.93,1
vllm,long_output,4,30.71,13.79,595.99,42,70.47,1
vllm,long_output,5,30.74,13.93,713.24,50,70.10,1
vllm,long_output,6,31.31,13.74,828.05,59,71.25,1
vllm,long_output,7,31.27,13.68,933.82,67,71.75,1
sglang,few_shot,0,42.59,0.00,50.20,1,19.92,1
sglang,few_shot,1,30.39,0.00,41.04,1,24.37,1
sglang,few_shot,2,31.55,0.00,42.36,1,23.60,1
sglang,few_shot,3,31.65,0.00,42.39,1,23.59,1
sglang,few_shot,4,31.28,0.00,42.18,1,23.71,1
sglang,few_shot,5,32.09,0.00,43.07,1,23.22,1
sglang,few_shot,6,31.44,0.00,42.27,1,23.66,1
sglang,few_shot,7,31.56,0.00,42.47,1,23.55,1
sglang,self_consistency,0,373.55,0.00,381.38,1,2.62,1
sglang,self_consistency,1,373.91,0.00,383.18,1,2.61,1
sglang,self_consistency,2,375.16,0.00,385.52,1,2.59,1
sglang,self_consistency,3,391.63,0.00,399.93,1,2.50,1
sglang,self_consistency,4,386.74,0.00,390.01,1,2.56,1
sglang,self_consistency,5,386.49,0.00,392.48,1,2.55,1
sglang,self_consistency,6,390.26,0.00,393.41,1,2.54,1
sglang,self_consistency,7,372.99,0.00,378.19,1,2.64,1
sglang,self_consistency,8,394.45,0.00,400.86,1,2.49,1
sglang,self_consistency,9,392.70,0.00,396.14,1,2.52,1
sglang,self_consistency,10,382.88,0.00,387.60,1,2.58,1
sglang,self_consistency,11,369.92,0.00,379.52,1,2.63,1
sglang,self_consistency,12,373.73,0.00,403.12,1,2.48,1
sglang,self_consistency,13,392.42,0.00,398.41,1,2.51,1
sglang,self_consistency,14,373.85,0.00,381.14,1,2.62,1
sglang,self_consistency,15,369.48,0.00,377.97,1,2.65,1
sglang,multi_turn,0,24.13,0.00,35.06,1,28.52,1
sglang,multi_turn,1,30.95,0.00,41.77,1,23.94,1
sglang,multi_turn,2,31.10,0.00,42.14,1,23.73,1
sglang,multi_turn,3,40.91,0.00,41.58,1,24.05,1
sglang,multi_turn,4,31.99,0.00,41.72,1,23.97,1
