model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-18T06:09:29.147152

Build Times
provider,build_time_s
torchinferno,307.9
vllm,1150.2
sglang,172.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,281.72,159.90,141.51,sglang
ttft_p99_ms,1315.48,487.49,7752.95,vllm
tpot_median_ms,151.16,60.26,73.63,vllm
tpot_p99_ms,196.82,162.66,7441.00,vllm
e2e_median_ms,376.73,214.14,212.92,sglang
e2e_p99_ms,1491.85,598.23,15135.57,vllm
throughput_median_tps,3.99,6.72,5.66,vllm
total_output_tokens,1461,1460,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,271.28,204.70,203.50,sglang
ttft_p99_ms,1562.44,485.11,70099.74,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,295.12,232.30,338.94,vllm
e2e_p99_ms,1603.67,514.71,70195.76,vllm
throughput_median_tps,3.39,4.30,2.95,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,553.37,174.08,160.93,sglang
ttft_p99_ms,1607.86,323.05,561.81,vllm
tpot_median_ms,188.73,65.70,102.11,vllm
tpot_p99_ms,577.67,190.47,233.84,vllm
e2e_median_ms,661.17,229.57,265.27,vllm
e2e_p99_ms,1847.94,408.60,620.48,vllm
throughput_median_tps,1.88,6.22,5.02,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,851.54,149.26,106.53,sglang
ttft_last_turn_ms,510.84,170.88,192.86,vllm
ttft_growth_ratio,0.60,1.14,1.81,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,314.81,57.55,73.03,vllm
ttft_p99_ms,1044.99,144.89,111.94,sglang
tpot_median_ms,130.65,27.12,70.14,vllm
tpot_p99_ms,155.21,121.60,477.29,vllm
e2e_median_ms,414.75,78.32,158.22,vllm
e2e_p99_ms,1115.29,180.94,544.64,vllm
throughput_median_tps,3.30,15.47,9.28,vllm
total_output_tokens,1474,1459,1478,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,720.95,66.00,68.10,vllm
ttft_p99_ms,2392.29,101.22,107.82,vllm
tpot_median_ms,15.45,15.10,22.35,vllm
tpot_p99_ms,48.06,19.13,28.42,vllm
e2e_median_ms,1331.11,597.40,821.85,vllm
e2e_p99_ms,3459.09,1006.62,1576.22,vllm
throughput_median_tps,26.47,59.45,42.20,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,790.51,0.00,859.99,1,1.16,1
torchinferno,few_shot,1,792.83,128.59,921.43,2,2.17,1
torchinferno,few_shot,2,1318.00,0.00,1382.26,1,0.72,1
torchinferno,few_shot,3,1305.58,0.00,1383.41,1,0.72,1
torchinferno,few_shot,4,1312.33,0.00,1389.44,1,0.72,1
torchinferno,few_shot,5,1319.07,0.00,1390.74,1,0.72,1
torchinferno,few_shot,6,1297.56,0.00,1380.40,1,0.72,1
torchinferno,few_shot,7,1316.96,0.00,1392.60,1,0.72,1
torchinferno,few_shot,8,460.15,0.00,538.27,1,1.86,1
torchinferno,few_shot,9,1300.79,0.00,1390.96,1,0.72,1
torchinferno,few_shot,10,1313.30,0.00,1405.64,1,0.71,1
torchinferno,few_shot,11,1296.62,0.00,1390.66,1,0.72,1
torchinferno,few_shot,12,1302.83,0.00,1402.35,1,0.71,1
torchinferno,few_shot,13,1298.98,0.00,1395.97,1,0.72,1
torchinferno,few_shot,14,1310.25,0.00,1404.49,1,0.71,1
torchinferno,few_shot,15,1301.07,0.00,1397.19,1,0.72,1
torchinferno,few_shot,16,1298.42,0.00,1397.53,1,0.72,1
torchinferno,few_shot,17,1312.80,0.00,1409.73,1,0.71,1
torchinferno,few_shot,18,1302.21,0.00,1404.81,1,0.71,1
torchinferno,few_shot,19,1294.08,0.00,1404.37,1,0.71,1
torchinferno,few_shot,20,1315.48,0.00,1418.78,1,0.70,1
torchinferno,few_shot,21,1297.69,0.00,1407.89,1,0.71,1
torchinferno,few_shot,22,1306.96,0.00,1415.78,1,0.71,1
torchinferno,few_shot,23,1316.32,0.00,1422.79,1,0.70,1
torchinferno,few_shot,24,1297.15,0.00,1408.64,1,0.71,1
torchinferno,few_shot,25,1300.32,0.00,1409.91,1,0.71,1
torchinferno,few_shot,26,1300.07,0.00,1410.82,1,0.71,1
torchinferno,few_shot,27,1294.24,0.00,1415.31,1,0.71,1
torchinferno,few_shot,28,1305.27,0.00,1418.35,1,0.71,1
torchinferno,few_shot,29,1303.64,0.00,1418.63,1,0.70,1
torchinferno,few_shot,30,400.07,0.00,512.58,1,1.95,1
torchinferno,few_shot,31,1320.29,0.00,1433.75,1,0.70,1
torchinferno,few_shot,32,1316.37,0.00,1431.51,1,0.70,1
torchinferno,few_shot,33,1315.48,0.00,1435.00,1,0.70,1
torchinferno,few_shot,34,1301.65,0.00,1435.68,1,0.70,1
torchinferno,few_shot,35,1306.02,157.62,1463.64,2,1.37,1
torchinferno,few_shot,36,1305.72,161.16,1466.88,2,1.36,1
torchinferno,few_shot,37,1297.65,160.65,1458.30,2,1.37,1
torchinferno,few_shot,38,1303.88,154.56,1458.44,2,1.37,1
torchinferno,few_shot,39,1304.36,165.42,1469.78,2,1.36,1
torchinferno,few_shot,40,1312.85,158.50,1471.35,2,1.36,1
torchinferno,few_shot,41,1314.90,158.05,1472.94,2,1.36,1
torchinferno,few_shot,42,1300.68,163.72,1464.40,2,1.37,1
torchinferno,few_shot,43,1296.18,169.12,1465.30,2,1.36,1
torchinferno,few_shot,44,1300.95,168.35,1469.30,2,1.36,1
torchinferno,few_shot,45,1301.45,165.91,1467.35,2,1.36,1
