model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-15T21:07:54.902121

Build Times
provider,build_time_s
torchinferno,404.3
vllm,1113.4
sglang,161.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,279.81,153.13,135.41,sglang
ttft_p99_ms,1626.82,546.87,7822.02,vllm
tpot_median_ms,145.95,52.92,75.79,vllm
tpot_p99_ms,198.12,184.25,7418.07,vllm
e2e_median_ms,362.18,201.37,205.14,vllm
e2e_p99_ms,1716.12,635.96,15213.60,vllm
throughput_median_tps,3.91,7.20,6.00,vllm
total_output_tokens,1460,1461,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,305.55,192.37,200.72,vllm
ttft_p99_ms,1612.10,429.78,70634.96,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,347.62,213.75,335.16,vllm
e2e_p99_ms,1673.49,452.13,70740.55,vllm
throughput_median_tps,2.88,4.68,2.98,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,525.25,174.67,160.05,sglang
ttft_p99_ms,1412.44,348.68,559.38,vllm
tpot_median_ms,122.79,45.47,100.92,vllm
tpot_p99_ms,427.80,154.39,545.38,vllm
e2e_median_ms,603.88,214.36,258.65,vllm
e2e_p99_ms,1645.32,395.01,689.73,vllm
throughput_median_tps,2.13,6.47,5.23,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,703.70,142.25,106.63,sglang
ttft_last_turn_ms,500.51,179.92,188.72,vllm
ttft_growth_ratio,0.71,1.26,1.77,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,314.91,57.05,72.81,vllm
ttft_p99_ms,793.01,122.57,458.00,vllm
tpot_median_ms,130.55,26.68,61.43,vllm
tpot_p99_ms,152.70,41.57,150.57,vllm
e2e_median_ms,418.68,77.38,151.61,vllm
e2e_p99_ms,919.67,141.69,487.20,vllm
throughput_median_tps,3.29,15.94,9.73,vllm
total_output_tokens,1485,1465,1470,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,70.23,63.92,sglang
ttft_p99_ms,,214.24,106.36,sglang
tpot_median_ms,,14.86,22.23,vllm
tpot_p99_ms,,21.07,26.64,vllm
e2e_median_ms,,616.00,836.26,vllm
e2e_p99_ms,,1001.70,1564.81,vllm
throughput_median_tps,,59.18,42.48,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,640.96,197.85,838.81,2,2.38,1
torchinferno,few_shot,1,1337.32,0.00,1422.99,1,0.70,1
torchinferno,few_shot,2,1335.73,0.00,1415.28,1,0.71,1
torchinferno,few_shot,3,1337.53,0.00,1429.10,1,0.70,1
torchinferno,few_shot,4,1338.91,0.00,1418.08,1,0.71,1
torchinferno,few_shot,5,1345.30,0.00,1432.74,1,0.70,1
torchinferno,few_shot,6,1331.38,0.00,1420.87,1,0.70,1
torchinferno,few_shot,7,1339.79,0.00,1434.89,1,0.70,1
torchinferno,few_shot,8,1348.79,0.00,1434.29,1,0.70,1
torchinferno,few_shot,9,1349.83,0.00,1440.52,1,0.69,1
torchinferno,few_shot,10,1338.39,0.00,1442.03,1,0.69,1
torchinferno,few_shot,11,1337.59,0.00,1440.53,1,0.69,1
torchinferno,few_shot,12,1330.07,0.00,1433.49,1,0.70,1
torchinferno,few_shot,13,1328.06,0.00,1432.65,1,0.70,1
torchinferno,few_shot,14,1343.26,0.00,1445.67,1,0.69,1
torchinferno,few_shot,15,1338.70,0.00,1451.50,1,0.69,1
torchinferno,few_shot,16,1329.60,0.00,1440.84,1,0.69,1
torchinferno,few_shot,17,1333.33,0.00,1442.72,1,0.69,1
torchinferno,few_shot,18,1351.78,0.00,1461.08,1,0.68,1
torchinferno,few_shot,19,1341.64,0.00,1458.66,1,0.69,1
torchinferno,few_shot,20,1342.09,0.00,1465.19,1,0.68,1
torchinferno,few_shot,21,1337.00,0.00,1458.94,1,0.69,1
torchinferno,few_shot,22,1344.01,0.00,1459.96,1,0.68,1
torchinferno,few_shot,23,1331.74,0.00,1452.01,1,0.69,1
torchinferno,few_shot,24,1346.70,0.00,1464.34,1,0.68,1
torchinferno,few_shot,25,1331.30,0.00,1455.93,1,0.69,1
torchinferno,few_shot,26,1336.49,0.00,1460.22,1,0.68,1
torchinferno,few_shot,27,1349.94,156.45,1506.39,2,1.33,1
torchinferno,few_shot,28,1345.87,162.25,1508.12,2,1.33,1
torchinferno,few_shot,29,1350.50,165.65,1516.15,2,1.32,1
torchinferno,few_shot,30,1327.93,172.12,1500.05,2,1.33,1
torchinferno,few_shot,31,1333.94,168.79,1502.73,2,1.33,1
torchinferno,few_shot,32,1336.75,177.93,1514.68,2,1.32,1
torchinferno,few_shot,33,1335.37,178.77,1514.14,2,1.32,1
torchinferno,few_shot,34,1340.97,184.52,1525.49,2,1.31,1
torchinferno,few_shot,35,1329.57,184.16,1513.73,2,1.32,1
torchinferno,few_shot,36,1331.68,182.09,1513.77,2,1.32,1
torchinferno,few_shot,37,1347.02,185.20,1532.22,2,1.31,1
torchinferno,few_shot,38,1339.18,189.75,1528.93,2,1.31,1
torchinferno,few_shot,39,1332.40,189.19,1521.59,2,1.31,1
torchinferno,few_shot,40,1348.17,184.84,1533.00,2,1.30,1
torchinferno,few_shot,41,1337.86,193.49,1531.35,2,1.31,1
torchinferno,few_shot,42,1342.23,194.00,1536.23,2,1.30,1
torchinferno,few_shot,43,1350.19,188.52,1538.71,2,1.30,1
torchinferno,few_shot,44,1341.62,198.12,1539.74,2,1.30,1
