model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-10T11:12:48.878420+00:00

Build Times
provider,build_time_s
torchinferno,38.1
vllm,283.0
sglang,215.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,152.08,77.03,75.43,sglang
ttft_p99_ms,782.05,150.24,474.39,vllm
tpot_median_ms,31.37,36.23,65.53,torchinferno
tpot_p99_ms,44.54,93.62,881.96,torchinferno
e2e_median_ms,176.89,107.28,132.53,vllm
e2e_p99_ms,797.31,189.35,974.67,vllm
throughput_median_tps,6.38,12.55,10.55,vllm
total_output_tokens,1460,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.66,79.96,118.21,torchinferno
ttft_p99_ms,834.24,325.71,70501.62,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,54.11,97.14,195.11,torchinferno
e2e_p99_ms,929.78,413.34,70811.41,vllm
throughput_median_tps,18.48,10.29,5.13,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,469.49,70.45,85.68,vllm
ttft_p99_ms,4548.20,138.29,437.00,vllm
tpot_median_ms,124.51,35.93,74.91,vllm
tpot_p99_ms,367.81,83.33,883.21,vllm
e2e_median_ms,569.02,96.77,153.75,vllm
e2e_p99_ms,4669.94,185.63,938.96,vllm
throughput_median_tps,2.11,13.80,8.84,vllm
total_output_tokens,1448,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,2441.43,71.46,62.26,sglang
ttft_last_turn_ms,421.04,75.16,89.36,vllm
ttft_growth_ratio,0.17,1.05,1.44,torchinferno
ttft_first_turn_median_ms,4117.45,69.13,60.87,sglang
ttft_first_turn_p99_ms,4634.59,136.89,102.48,sglang
ttft_last_turn_median_ms,446.12,70.37,87.59,vllm
ttft_last_turn_p99_ms,520.77,137.23,119.19,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,126.66,35.22,48.35,vllm
ttft_p99_ms,425.84,107.67,324.39,vllm
tpot_median_ms,84.41,22.90,400.66,vllm
tpot_p99_ms,300.91,36.97,1136.55,vllm
e2e_median_ms,166.23,53.34,441.02,vllm
e2e_p99_ms,530.25,125.42,1192.46,vllm
throughput_median_tps,8.45,24.73,3.20,vllm
total_output_tokens,1472,1479,1468,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,587.85,46.39,48.67,vllm
ttft_p99_ms,1757.34,65.79,491.25,vllm
tpot_median_ms,65.35,15.16,23.74,vllm
tpot_p99_ms,134.68,18.49,66.22,vllm
e2e_median_ms,2915.13,580.97,898.00,vllm
e2e_p99_ms,5420.66,1035.76,1653.87,vllm
throughput_median_tps,12.42,61.46,40.64,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,785.05,0.00,797.31,1,1.25,1,,,,,,,1,,,
torchinferno,few_shot,0,1,801.95,72.46,874.41,2,2.29,1,,,,,,,0,,,
torchinferno,few_shot,4,2,863.08,0.00,877.84,1,1.14,1,,,,,,,4,,,
torchinferno,few_shot,24,3,533.23,0.00,547.40,1,1.83,1,,,,,,,24,,,
torchinferno,few_shot,28,4,467.90,0.00,481.81,1,2.08,1,,,,,,,28,,,
torchinferno,few_shot,8,5,797.05,0.00,813.80,1,1.23,1,,,,,,,8,,,
torchinferno,few_shot,9,6,782.05,0.00,797.82,1,1.25,1,,,,,,,9,,,
torchinferno,few_shot,5,7,846.84,0.00,864.68,1,1.16,1,,,,,,,5,,,
torchinferno,few_shot,10,8,763.13,0.00,782.40,1,1.28,1,,,,,,,10,,,
torchinferno,few_shot,26,9,500.74,0.00,517.95,1,1.93,1,,,,,,,26,,,
torchinferno,few_shot,31,10,416.86,0.00,435.47,1,2.30,1,,,,,,,31,,,
torchinferno,few_shot,11,11,746.54,0.00,767.53,1,1.30,1,,,,,,,11,,,
torchinferno,few_shot,7,12,812.44,0.00,834.15,1,1.20,1,,,,,,,7,,,
torchinferno,few_shot,25,13,515.12,0.00,537.04,1,1.86,1,,,,,,,25,,,
torchinferno,few_shot,17,14,647.51,0.00,670.68,1,1.49,1,,,,,,,17,,,
torchinferno,few_shot,29,15,450.32,0.00,472.05,1,2.12,1,,,,,,,29,,,
torchinferno,few_shot,12,16,731.41,0.00,757.46,1,1.32,1,,,,,,,12,,,
torchinferno,few_shot,2,17,895.32,30.41,925.73,2,2.16,1,,,,,,,2,,,
torchinferno,few_shot,22,18,566.80,28.43,595.24,2,3.36,1,,,,,,,22,,,
torchinferno,few_shot,33,19,384.00,29.57,413.56,2,4.84,1,,,,,,,33,,,
torchinferno,few_shot,30,20,433.47,30.27,463.74,2,4.31,1,,,,,,,30,,,
torchinferno,few_shot,32,21,399.38,31.92,431.30,2,4.64,1,,,,,,,32,,,
torchinferno,few_shot,19,22,616.29,30.74,647.04,2,3.09,1,,,,,,,19,,,
torchinferno,few_shot,3,23,880.61,33.77,914.38,2,2.19,1,,,,,,,3,,,
torchinferno,few_shot,16,24,665.66,34.04,699.70,2,2.86,1,,,,,,,16,,,
torchinferno,few_shot,20,25,598.77,35.06,633.83,2,3.16,1,,,,,,,20,,,
torchinferno,few_shot,18,26,632.13,35.41,667.54,2,3.00,1,,,,,,,18,,,
torchinferno,few_shot,14,27,698.11,36.18,734.28,2,2.72,1,,,,,,,14,,,
torchinferno,few_shot,27,28,484.33,35.26,519.59,2,3.85,1,,,,,,,27,,,
torchinferno,few_shot,23,29,548.57,38.08,586.65,2,3.41,1,,,,,,,23,,,
torchinferno,few_shot,6,30,829.87,39.24,869.11,2,2.30,1,,,,,,,6,,,
torchinferno,few_shot,21,31,583.04,38.71,621.75,2,3.22,1,,,,,,,21,,,
torchinferno,few_shot,13,32,714.87,41.72,756.59,2,2.64,1,,,,,,,13,,,
torchinferno,few_shot,15,33,681.81,44.14,725.95,2,2.76,1,,,,,,,15,,,
torchinferno,few_shot,34,34,453.27,0.00,465.61,1,2.15,1,,,,,,,34,,,
torchinferno,few_shot,68,35,71.92,0.00,84.20,1,11.88,1,,,,,,,68,,,
torchinferno,few_shot,38,36,386.23,0.00,400.84,1,2.49,1,,,,,,,38,,,
torchinferno,few_shot,71,37,69.68,0.00,83.62,1,11.96,1,,,,,,,71,,,
torchinferno,few_shot,42,38,319.99,0.00,336.05,1,2.98,1,,,,,,,42,,,
