model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-03T09:02:45.995065+00:00

Build Times
provider,build_time_s
torchinferno,81.3
vllm,375.9
sglang,158.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,146.62,135.11,142.49,vllm
ttft_p99_ms,836.97,252.81,565.66,vllm
tpot_median_ms,47.35,51.95,79.36,torchinferno
tpot_p99_ms,94.07,147.53,147.02,torchinferno
e2e_median_ms,185.46,180.52,220.92,vllm
e2e_p99_ms,873.76,314.84,631.72,vllm
throughput_median_tps,6.47,7.80,5.52,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,143.00,215.98,225.25,torchinferno
ttft_p99_ms,381.77,394.96,69788.08,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,151.03,239.24,386.12,torchinferno
e2e_p99_ms,396.16,445.93,69868.11,torchinferno
throughput_median_tps,6.62,4.18,2.59,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,302.18,171.50,161.24,sglang
ttft_p99_ms,422.48,362.82,643.84,vllm
tpot_median_ms,59.95,57.07,111.37,vllm
tpot_p99_ms,138.02,182.54,250.77,torchinferno
e2e_median_ms,360.34,219.13,268.31,vllm
e2e_p99_ms,505.05,454.38,781.56,vllm
throughput_median_tps,4.08,6.30,4.88,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,259.40,150.44,110.80,sglang
ttft_last_turn_ms,359.40,158.95,193.31,vllm
ttft_growth_ratio,1.39,1.06,1.74,vllm
ttft_first_turn_median_ms,325.91,142.09,104.98,sglang
ttft_first_turn_p99_ms,412.76,387.05,181.82,sglang
ttft_last_turn_median_ms,361.16,151.09,189.35,vllm
ttft_last_turn_p99_ms,421.49,317.88,293.95,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,129.90,67.03,74.00,vllm
ttft_p99_ms,256.64,2094.94,545.12,torchinferno
tpot_median_ms,32.00,33.16,68.44,torchinferno
tpot_p99_ms,103.23,1830.50,150.97,torchinferno
e2e_median_ms,151.54,93.54,144.95,vllm
e2e_p99_ms,332.67,2126.03,627.30,torchinferno
throughput_median_tps,8.72,13.09,9.73,vllm
total_output_tokens,1483,1473,1477,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,245.16,76.48,75.20,sglang
ttft_p99_ms,591.45,293.43,495.42,vllm
tpot_median_ms,20.73,15.21,22.03,vllm
tpot_p99_ms,38.31,21.73,38.82,vllm
e2e_median_ms,952.73,614.91,821.21,vllm
e2e_p99_ms,1762.69,1031.16,1717.63,vllm
throughput_median_tps,37.59,57.33,41.83,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,5,0,688.95,0.00,694.69,1,1.44,1,,,,,,,5,,,
torchinferno,few_shot,8,1,683.24,0.00,696.78,1,1.44,1,,,,,,,8,,,
torchinferno,few_shot,17,2,684.19,0.00,695.89,1,1.44,1,,,,,,,17,,,
torchinferno,few_shot,11,3,687.96,0.00,699.19,1,1.43,1,,,,,,,11,,,
torchinferno,few_shot,10,4,683.59,0.00,700.91,1,1.43,1,,,,,,,10,,,
torchinferno,few_shot,12,5,682.73,0.00,701.69,1,1.43,1,,,,,,,12,,,
torchinferno,few_shot,7,6,685.14,0.00,705.18,1,1.42,1,,,,,,,7,,,
torchinferno,few_shot,9,7,689.13,0.00,706.06,1,1.42,1,,,,,,,9,,,
torchinferno,few_shot,18,8,682.49,22.99,705.48,2,2.83,1,,,,,,,18,,,
torchinferno,few_shot,0,9,691.60,21.79,713.38,2,2.80,1,,,,,,,0,,,
torchinferno,few_shot,14,10,684.73,25.27,710.00,2,2.82,1,,,,,,,14,,,
torchinferno,few_shot,13,11,683.09,29.75,712.84,2,2.81,1,,,,,,,13,,,
torchinferno,few_shot,3,12,687.94,29.34,717.29,2,2.79,1,,,,,,,3,,,
torchinferno,few_shot,16,13,686.46,27.88,714.34,2,2.80,1,,,,,,,16,,,
torchinferno,few_shot,2,14,689.79,30.65,720.44,2,2.78,1,,,,,,,2,,,
torchinferno,few_shot,1,15,690.51,0.00,721.79,1,1.39,1,,,,,,,1,,,
torchinferno,few_shot,15,16,686.64,31.86,718.50,2,2.78,1,,,,,,,15,,,
torchinferno,few_shot,6,17,684.39,38.39,722.78,2,2.77,1,,,,,,,6,,,
torchinferno,few_shot,43,18,755.43,0.00,767.71,1,1.30,1,,,,,,,43,,,
torchinferno,few_shot,24,19,762.43,0.00,773.96,1,1.29,1,,,,,,,24,,,
torchinferno,few_shot,35,20,760.23,0.00,772.97,1,1.29,1,,,,,,,35,,,
torchinferno,few_shot,55,21,748.79,0.00,767.13,1,1.30,1,,,,,,,55,,,
torchinferno,few_shot,26,22,757.97,0.00,778.74,1,1.28,1,,,,,,,26,,,
torchinferno,few_shot,34,23,760.72,0.00,778.53,1,1.28,1,,,,,,,34,,,
torchinferno,few_shot,37,24,759.13,0.00,780.06,1,1.28,1,,,,,,,37,,,
torchinferno,few_shot,25,25,761.32,0.00,785.36,1,1.27,1,,,,,,,25,,,
torchinferno,few_shot,28,26,760.81,0.00,785.69,1,1.27,1,,,,,,,28,,,
torchinferno,few_shot,49,27,750.32,30.62,780.93,2,2.56,1,,,,,,,49,,,
torchinferno,few_shot,29,28,756.65,0.00,788.31,1,1.27,1,,,,,,,29,,,
torchinferno,few_shot,22,29,762.56,28.35,790.91,2,2.53,1,,,,,,,22,,,
torchinferno,few_shot,50,30,750.56,34.31,784.88,2,2.55,1,,,,,,,50,,,
torchinferno,few_shot,39,31,757.50,0.00,791.74,1,1.26,1,,,,,,,39,,,
torchinferno,few_shot,33,32,759.23,36.00,795.23,2,2.51,1,,,,,,,33,,,
torchinferno,few_shot,53,33,754.34,0.00,788.67,1,1.27,1,,,,,,,53,,,
torchinferno,few_shot,45,34,754.16,41.08,795.24,2,2.51,1,,,,,,,45,,,
torchinferno,few_shot,40,35,756.86,40.83,797.70,2,2.51,1,,,,,,,40,,,
torchinferno,few_shot,38,36,760.41,0.00,799.75,1,1.25,1,,,,,,,38,,,
torchinferno,few_shot,27,37,762.42,41.36,803.78,2,2.49,1,,,,,,,27,,,
torchinferno,few_shot,31,38,755.01,0.00,803.88,1,1.24,1,,,,,,,31,,,
