model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-10T03:02:48.150327

Build Times
provider,build_time_s
torchinferno,363.4
vllm,1321.7
sglang,205.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,317.03,157.32,150.25,sglang
ttft_p99_ms,2510.11,256.64,1113.76,vllm
tpot_median_ms,83.80,55.80,73.19,vllm
tpot_p99_ms,630.19,130.64,429.14,vllm
e2e_median_ms,391.91,205.52,219.91,vllm
e2e_p99_ms,2603.92,313.05,1525.96,vllm
throughput_median_tps,3.11,7.24,5.42,vllm
total_output_tokens,1461,1451,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,382.90,185.23,211.37,vllm
ttft_p99_ms,957.58,436.60,69835.25,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,536.63,208.48,347.53,vllm
e2e_p99_ms,1282.70,498.62,69914.21,vllm
throughput_median_tps,1.86,4.80,2.88,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,754.80,174.49,160.74,sglang
ttft_p99_ms,2043.13,335.09,608.73,vllm
tpot_median_ms,66.99,61.71,98.59,vllm
tpot_p99_ms,191.79,194.15,258.24,torchinferno
e2e_median_ms,822.97,231.68,263.47,vllm
e2e_p99_ms,2091.10,429.43,651.35,vllm
throughput_median_tps,1.66,6.18,4.96,vllm
total_output_tokens,1450,1460,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,882.47,140.12,328.44,vllm
ttft_last_turn_ms,904.99,169.15,200.84,vllm
ttft_growth_ratio,1.03,1.21,0.61,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,364.80,61.08,78.22,vllm
ttft_p99_ms,1007.85,2028.35,994.10,sglang
tpot_median_ms,65.07,28.60,64.27,vllm
tpot_p99_ms,353.20,1741.97,957.32,torchinferno
e2e_median_ms,450.59,83.01,151.76,vllm
e2e_p99_ms,1159.80,2056.14,1026.20,sglang
throughput_median_tps,3.22,14.33,9.33,vllm
total_output_tokens,1475,1461,1471,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,189.90,68.50,85.09,vllm
ttft_p99_ms,1307.92,122.16,159.59,vllm
tpot_median_ms,26.54,15.13,23.49,vllm
tpot_p99_ms,57.23,20.12,29.81,vllm
e2e_median_ms,1254.94,608.02,909.74,vllm
e2e_p99_ms,3173.91,1008.62,1755.86,vllm
throughput_median_tps,31.08,59.02,39.29,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1320.42,0.00,1328.88,1,0.75,1
torchinferno,few_shot,1,1317.68,0.00,1326.75,1,0.75,1
torchinferno,few_shot,2,1321.66,272.56,1594.21,2,1.25,1
torchinferno,few_shot,3,1971.18,0.00,2512.30,1,0.40,1
torchinferno,few_shot,4,1965.29,0.00,2511.19,1,0.40,1
torchinferno,few_shot,5,1974.42,0.00,2520.17,1,0.40,1
torchinferno,few_shot,6,1964.31,0.00,2515.55,1,0.40,1
torchinferno,few_shot,7,1967.29,0.00,2523.79,1,0.40,1
torchinferno,few_shot,8,1967.66,554.38,2522.05,2,0.79,1
torchinferno,few_shot,9,1964.83,0.00,2524.02,1,0.40,1
torchinferno,few_shot,10,1962.01,0.00,2526.23,1,0.40,1
torchinferno,few_shot,11,1971.15,0.00,2528.76,1,0.40,1
torchinferno,few_shot,12,1975.18,0.00,2535.72,1,0.39,1
torchinferno,few_shot,13,1959.72,573.42,2533.14,2,0.79,1
torchinferno,few_shot,14,1961.44,0.00,2532.91,1,0.39,1
torchinferno,few_shot,15,1962.19,576.24,2538.43,2,0.79,1
torchinferno,few_shot,16,1958.55,0.00,2537.13,1,0.39,1
torchinferno,few_shot,17,1965.77,0.00,2538.68,1,0.39,1
torchinferno,few_shot,18,1966.51,0.00,2544.34,1,0.39,1
torchinferno,few_shot,19,2535.22,4.24,2539.45,2,0.79,1
torchinferno,few_shot,20,1216.24,0.00,1221.61,1,0.82,1
torchinferno,few_shot,21,2510.11,32.40,2542.52,2,0.79,1
torchinferno,few_shot,22,1973.18,577.31,2550.50,2,0.78,1
torchinferno,few_shot,23,1959.59,586.86,2546.44,2,0.79,1
torchinferno,few_shot,24,2518.98,27.03,2546.01,2,0.79,1
torchinferno,few_shot,25,1965.69,0.00,2550.43,1,0.39,1
torchinferno,few_shot,26,1966.47,0.00,2552.20,1,0.39,1
torchinferno,few_shot,27,1965.03,589.45,2554.48,2,0.78,1
torchinferno,few_shot,28,1960.67,0.00,2555.10,1,0.39,1
torchinferno,few_shot,29,2509.00,0.00,2553.38,1,0.39,1
torchinferno,few_shot,30,1963.62,0.00,2564.80,1,0.39,1
torchinferno,few_shot,31,1959.83,0.00,2558.31,1,0.39,1
torchinferno,few_shot,32,1964.55,0.00,2560.98,1,0.39,1
torchinferno,few_shot,33,1961.93,603.00,2564.93,2,0.78,1
torchinferno,few_shot,34,2544.37,15.41,2559.78,2,0.78,1
torchinferno,few_shot,35,2514.38,47.85,2562.23,2,0.78,1
torchinferno,few_shot,36,1957.77,0.00,2568.88,1,0.39,1
torchinferno,few_shot,37,2514.74,54.26,2569.00,2,0.78,1
torchinferno,few_shot,38,2555.21,14.74,2569.95,2,0.78,1
torchinferno,few_shot,39,2509.75,0.00,2570.70,1,0.39,1
torchinferno,few_shot,40,1963.38,0.00,2575.74,1,0.39,1
torchinferno,few_shot,41,1959.98,619.82,2579.80,2,0.78,1
torchinferno,few_shot,42,1961.33,618.55,2579.87,2,0.78,1
torchinferno,few_shot,43,1966.54,0.00,2579.22,1,0.39,1
torchinferno,few_shot,44,1961.60,622.39,2583.99,2,0.77,1
torchinferno,few_shot,45,1964.66,0.00,2580.34,1,0.39,1
