model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-17T09:02:27.346217+00:00

Build Times
provider,build_time_s
torchinferno,50.7
vllm,392.5
sglang,210.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,140.47,77.37,78.59,vllm
ttft_p99_ms,715.31,152.32,490.88,vllm
tpot_median_ms,31.58,36.11,65.01,torchinferno
tpot_p99_ms,44.65,95.58,890.45,torchinferno
e2e_median_ms,164.73,105.67,131.88,vllm
e2e_p99_ms,730.78,187.56,959.95,vllm
throughput_median_tps,6.99,12.89,10.31,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.78,68.59,126.89,torchinferno
ttft_p99_ms,245.62,393.76,70114.54,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,70.05,86.11,215.02,torchinferno
e2e_p99_ms,261.88,405.77,70158.24,torchinferno
throughput_median_tps,14.28,11.61,4.65,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,192.88,83.03,81.37,sglang
ttft_p99_ms,1003.05,158.35,548.76,vllm
tpot_median_ms,35.73,40.43,80.83,torchinferno
tpot_p99_ms,50.18,82.81,900.65,torchinferno
e2e_median_ms,221.18,116.08,142.66,vllm
e2e_p99_ms,1029.75,229.33,940.94,vllm
throughput_median_tps,5.18,11.16,9.49,vllm
total_output_tokens,1465,1450,1462,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,421.50,86.49,63.10,sglang
ttft_last_turn_ms,203.49,92.84,87.56,sglang
ttft_growth_ratio,0.48,1.07,1.39,torchinferno
ttft_first_turn_median_ms,208.78,79.20,60.95,sglang
ttft_first_turn_p99_ms,1087.64,154.32,99.60,sglang
ttft_last_turn_median_ms,192.75,85.11,85.99,vllm
ttft_last_turn_p99_ms,309.67,157.60,124.94,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.82,34.70,52.28,vllm
ttft_p99_ms,777.07,88.47,413.53,vllm
tpot_median_ms,34.69,22.65,399.56,vllm
tpot_p99_ms,73.18,37.55,1024.78,vllm
e2e_median_ms,73.13,52.60,442.09,vllm
e2e_p99_ms,795.27,127.69,1094.36,vllm
throughput_median_tps,19.41,24.86,3.32,vllm
total_output_tokens,1456,1474,1460,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,185.34,45.65,50.65,vllm
ttft_p99_ms,414.53,61.83,88.79,vllm
tpot_median_ms,19.30,15.14,24.72,vllm
tpot_p99_ms,25.33,16.97,55.17,vllm
e2e_median_ms,863.94,568.54,918.45,vllm
e2e_p99_ms,1530.92,1025.53,1720.26,vllm
throughput_median_tps,40.94,61.71,39.14,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,789.31,0.00,801.18,1,1.25,1,,,,,,,1,,,
torchinferno,few_shot,0,1,806.83,23.75,830.59,2,2.41,1,,,,,,,0,,,
torchinferno,few_shot,4,2,802.27,0.00,815.17,1,1.23,1,,,,,,,4,,,
torchinferno,few_shot,9,3,715.31,0.00,730.78,1,1.37,1,,,,,,,9,,,
torchinferno,few_shot,11,4,682.77,0.00,697.08,1,1.43,1,,,,,,,11,,,
torchinferno,few_shot,28,5,396.25,0.00,411.43,1,2.43,1,,,,,,,28,,,
torchinferno,few_shot,26,6,428.24,0.00,446.02,1,2.24,1,,,,,,,26,,,
torchinferno,few_shot,24,7,461.05,0.00,480.20,1,2.08,1,,,,,,,24,,,
torchinferno,few_shot,29,8,378.77,0.00,396.50,1,2.52,1,,,,,,,29,,,
torchinferno,few_shot,12,9,666.56,0.00,684.29,1,1.46,1,,,,,,,12,,,
torchinferno,few_shot,17,10,579.70,0.00,600.16,1,1.67,1,,,,,,,17,,,
torchinferno,few_shot,31,11,343.95,0.00,364.71,1,2.74,1,,,,,,,31,,,
torchinferno,few_shot,5,12,783.22,0.00,807.02,1,1.24,1,,,,,,,5,,,
torchinferno,few_shot,7,13,749.19,0.00,774.69,1,1.29,1,,,,,,,7,,,
torchinferno,few_shot,8,14,733.80,0.00,758.41,1,1.32,1,,,,,,,8,,,
torchinferno,few_shot,10,15,701.64,0.00,725.97,1,1.38,1,,,,,,,10,,,
torchinferno,few_shot,27,16,411.46,26.87,438.34,2,4.56,1,,,,,,,27,,,
torchinferno,few_shot,6,17,765.81,29.45,795.25,2,2.51,1,,,,,,,6,,,
torchinferno,few_shot,15,18,612.88,29.78,642.66,2,3.11,1,,,,,,,15,,,
torchinferno,few_shot,13,19,649.53,28.03,677.56,2,2.95,1,,,,,,,13,,,
torchinferno,few_shot,14,20,629.44,31.65,661.09,2,3.03,1,,,,,,,14,,,
torchinferno,few_shot,32,21,328.16,29.67,357.83,2,5.59,1,,,,,,,32,,,
torchinferno,few_shot,20,22,528.68,32.47,561.16,2,3.56,1,,,,,,,20,,,
torchinferno,few_shot,23,23,479.12,31.66,510.79,2,3.92,1,,,,,,,23,,,
torchinferno,few_shot,18,24,564.56,31.15,595.71,2,3.36,1,,,,,,,18,,,
torchinferno,few_shot,16,25,595.85,34.48,630.33,2,3.17,1,,,,,,,16,,,
torchinferno,few_shot,21,26,513.81,32.68,546.49,2,3.66,1,,,,,,,21,,,
torchinferno,few_shot,19,27,547.21,33.94,581.15,2,3.44,1,,,,,,,19,,,
torchinferno,few_shot,2,28,837.18,34.92,872.10,2,2.29,1,,,,,,,2,,,
torchinferno,few_shot,30,29,360.60,38.58,399.18,2,5.01,1,,,,,,,30,,,
torchinferno,few_shot,25,30,446.48,0.00,484.04,1,2.07,1,,,,,,,25,,,
torchinferno,few_shot,3,31,820.44,37.88,858.32,2,2.33,1,,,,,,,3,,,
torchinferno,few_shot,22,32,495.09,44.59,539.68,2,3.71,1,,,,,,,22,,,
torchinferno,few_shot,33,33,312.18,44.65,356.82,2,5.61,1,,,,,,,33,,,
torchinferno,few_shot,34,34,375.91,0.00,390.00,1,2.56,1,,,,,,,34,,,
torchinferno,few_shot,76,35,61.76,0.00,75.49,1,13.25,1,,,,,,,76,,,
torchinferno,few_shot,38,36,309.13,0.00,324.47,1,3.08,1,,,,,,,38,,,
torchinferno,few_shot,41,37,258.98,0.00,274.75,1,3.64,1,,,,,,,41,,,
torchinferno,few_shot,35,38,361.37,0.00,376.24,1,2.66,1,,,,,,,35,,,
torchinferno,few_shot,46,39,175.71,0.00,191.46,1,5.22,1,,,,,,,46,,,
torchinferno,few_shot,71,40,66.81,0.00,82.51,1,12.12,1,,,,,,,71,,,
torchinferno,few_shot,37,41,325.81,0.00,344.43,1,2.90,1,,,,,,,37,,,
torchinferno,few_shot,68,42,70.25,0.00,87.45,1,11.44,1,,,,,,,68,,,
torchinferno,few_shot,42,43,241.93,0.00,261.79,1,3.82,1,,,,,,,42,,,
torchinferno,few_shot,66,44,70.33,0.00,90.13,1,11.10,1,,,,,,,66,,,
torchinferno,few_shot,74,45,64.17,0.00,84.31,1,11.86,1,,,,,,,74,,,
torchinferno,few_shot,64,46,149.14,0.00,170.40,1,5.87,1,,,,,,,64,,,
torchinferno,few_shot,47,47,159.88,0.00,180.52,1,5.54,1,,,,,,,47,,,
torchinferno,few_shot,65,48,139.70,0.00,160.57,1,6.23,1,,,,,,,65,,,
torchinferno,few_shot,72,49,65.67,0.00,88.85,1,11.26,1,,,,,,,72,,,
torchinferno,few_shot,43,50,227.07,0.00,251.96,1,3.97,1,,,,,,,43,,,
torchinferno,few_shot,48,51,141.87,0.00,168.47,1,5.94,1,,,,,,,48,,,
torchinferno,few_shot,69,52,68.57,0.00,94.28,1,10.61,1,,,,,,,69,,,
torchinferno,few_shot,49,53,125.89,26.06,151.96,2,13.16,1,,,,,,,49,,,
torchinferno,few_shot,75,54,63.38,28.28,91.66,2,21.82,1,,,,,,,75,,,
torchinferno,few_shot,36,55,345.73,26.91,372.64,2,5.37,1,,,,,,,36,,,
torchinferno,few_shot,51,56,91.73,28.48,120.21,2,16.64,1,,,,,,,51,,,
torchinferno,few_shot,52,57,72.87,30.97,103.84,2,19.26,1,,,,,,,52,,,
torchinferno,few_shot,77,58,60.82,31.39,92.20,2,21.69,1,,,,,,,77,,,
torchinferno,few_shot,39,59,294.02,0.00,326.32,1,3.06,1,,,,,,,39,,,
torchinferno,few_shot,50,60,106.95,34.56,141.51,2,14.13,1,,,,,,,50,,,
torchinferno,few_shot,40,61,277.93,33.30,311.23,2,6.43,1,,,,,,,40,,,
torchinferno,few_shot,44,62,210.87,34.06,244.93,2,8.17,1,,,,,,,44,,,
torchinferno,few_shot,45,63,191.66,37.39,229.05,2,8.73,1,,,,,,,45,,,
torchinferno,few_shot,73,64,65.46,38.12,103.58,2,19.31,1,,,,,,,73,,,
