model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-21T22:03:31.149884

Build Times
provider,build_time_s
torchinferno,374.9
vllm,1192.3
sglang,221.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,318.65,156.86,139.79,sglang
ttft_p99_ms,1896.13,479.02,7500.95,vllm
tpot_median_ms,151.23,58.61,74.70,vllm
tpot_p99_ms,206.99,154.16,7322.95,vllm
e2e_median_ms,435.25,211.64,208.68,sglang
e2e_p99_ms,2081.00,578.82,14795.44,vllm
throughput_median_tps,2.95,7.07,5.86,vllm
total_output_tokens,1460,1461,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,288.47,195.77,199.29,vllm
ttft_p99_ms,1441.78,453.56,70856.45,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,312.05,223.93,338.10,vllm
e2e_p99_ms,1486.00,489.01,70966.31,vllm
throughput_median_tps,3.20,4.47,2.96,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,628.38,169.42,151.39,sglang
ttft_p99_ms,1963.63,329.95,600.87,vllm
tpot_median_ms,115.21,57.84,103.42,vllm
tpot_p99_ms,465.26,180.45,213.16,vllm
e2e_median_ms,742.17,222.76,247.98,vllm
e2e_p99_ms,2193.88,406.15,756.67,vllm
throughput_median_tps,1.71,6.36,5.34,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1035.14,129.47,114.32,sglang
ttft_last_turn_ms,536.94,162.24,183.11,vllm
ttft_growth_ratio,0.52,1.25,1.60,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,326.45,57.30,74.19,vllm
ttft_p99_ms,1143.60,121.41,440.33,vllm
tpot_median_ms,128.74,26.50,59.12,vllm
tpot_p99_ms,150.22,97.47,156.41,vllm
e2e_median_ms,424.31,77.57,145.89,vllm
e2e_p99_ms,1281.29,152.98,478.11,vllm
throughput_median_tps,3.48,15.73,9.90,vllm
total_output_tokens,1484,1462,1465,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,918.94,70.65,65.24,sglang
ttft_p99_ms,2839.00,161.69,105.98,sglang
tpot_median_ms,16.09,15.01,22.44,vllm
tpot_p99_ms,66.44,19.93,27.02,vllm
e2e_median_ms,1598.54,625.35,842.34,vllm
e2e_p99_ms,3718.39,1021.76,1559.66,vllm
throughput_median_tps,20.96,58.83,42.28,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,882.58,0.00,1182.26,1,0.85,1
torchinferno,few_shot,1,1887.64,0.00,1980.57,1,0.50,1
torchinferno,few_shot,2,1899.52,0.00,1977.38,1,0.51,1
torchinferno,few_shot,3,1888.12,0.00,1966.05,1,0.51,1
torchinferno,few_shot,4,1886.17,0.00,1980.83,1,0.50,1
torchinferno,few_shot,5,1904.70,0.00,1987.54,1,0.50,1
torchinferno,few_shot,6,1895.75,0.00,1984.93,1,0.50,1
torchinferno,few_shot,7,1889.10,0.00,1989.87,1,0.50,1
torchinferno,few_shot,8,1891.94,0.00,1990.52,1,0.50,1
torchinferno,few_shot,9,1884.59,0.00,1984.36,1,0.50,1
torchinferno,few_shot,10,1892.22,0.00,1984.57,1,0.50,1
torchinferno,few_shot,11,1884.27,0.00,1981.45,1,0.50,1
torchinferno,few_shot,12,716.88,0.00,820.11,1,1.22,1
torchinferno,few_shot,13,1877.74,0.00,1987.62,1,0.50,1
torchinferno,few_shot,14,1886.54,0.00,1987.05,1,0.50,1
torchinferno,few_shot,15,1895.99,0.00,2000.54,1,0.50,1
torchinferno,few_shot,16,1893.24,0.00,2000.09,1,0.50,1
torchinferno,few_shot,17,1898.08,0.00,2010.69,1,0.50,1
torchinferno,few_shot,18,1886.47,0.00,2008.25,1,0.50,1
torchinferno,few_shot,19,1890.81,0.00,1995.13,1,0.50,1
torchinferno,few_shot,20,1890.16,0.00,2012.68,1,0.50,1
torchinferno,few_shot,21,1896.13,0.00,2014.10,1,0.50,1
torchinferno,few_shot,22,1885.84,0.00,2016.11,1,0.50,1
torchinferno,few_shot,23,1872.01,0.00,1999.54,1,0.50,1
torchinferno,few_shot,24,1889.81,0.00,2014.89,1,0.50,1
torchinferno,few_shot,25,1876.07,0.00,2003.50,1,0.50,1
torchinferno,few_shot,26,1884.55,0.00,2011.65,1,0.50,1
torchinferno,few_shot,27,1889.59,0.00,2018.75,1,0.50,1
torchinferno,few_shot,28,1903.86,0.00,2027.30,1,0.49,1
torchinferno,few_shot,29,1888.59,0.00,2014.68,1,0.50,1
torchinferno,few_shot,30,1877.98,0.00,2020.07,1,0.50,1
torchinferno,few_shot,31,1886.09,0.00,2022.96,1,0.49,1
torchinferno,few_shot,32,1884.61,0.00,2031.29,1,0.49,1
torchinferno,few_shot,33,1888.64,157.99,2046.63,2,0.98,1
torchinferno,few_shot,34,1882.66,148.99,2031.65,2,0.98,1
torchinferno,few_shot,35,1883.91,163.97,2047.88,2,0.98,1
torchinferno,few_shot,36,1874.36,164.59,2038.95,2,0.98,1
torchinferno,few_shot,37,1892.40,150.82,2043.22,2,0.98,1
torchinferno,few_shot,38,1901.28,157.98,2059.26,2,0.97,1
torchinferno,few_shot,39,1891.88,163.51,2055.38,2,0.97,1
torchinferno,few_shot,40,1896.23,157.92,2054.14,2,0.97,1
torchinferno,few_shot,41,1887.11,177.20,2064.30,2,0.97,1
torchinferno,few_shot,42,1885.09,166.86,2051.95,2,0.97,1
torchinferno,few_shot,43,1894.37,167.47,2061.84,2,0.97,1
torchinferno,few_shot,44,1876.30,175.65,2051.94,2,0.97,1
torchinferno,few_shot,45,1889.10,184.48,2073.57,2,0.96,1
