model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-14T15:07:26.574464

Build Times
provider,build_time_s
torchinferno,284.7
vllm,1101.1
sglang,164.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,315.50,162.35,140.88,sglang
ttft_p99_ms,1703.98,488.62,7983.22,vllm
tpot_median_ms,169.04,62.87,81.07,vllm
tpot_p99_ms,197.98,163.75,7207.15,vllm
e2e_median_ms,408.61,217.77,214.33,sglang
e2e_p99_ms,1790.74,608.31,15167.97,vllm
throughput_median_tps,3.46,6.79,5.71,vllm
total_output_tokens,1465,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,297.00,199.77,196.90,sglang
ttft_p99_ms,1480.78,470.41,70737.01,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,341.70,223.98,336.40,vllm
e2e_p99_ms,1584.51,507.64,70848.25,vllm
throughput_median_tps,2.93,4.46,2.97,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,616.92,179.07,154.49,sglang
ttft_p99_ms,1558.55,328.38,633.74,vllm
tpot_median_ms,183.22,59.62,100.63,vllm
tpot_p99_ms,612.00,188.80,230.11,vllm
e2e_median_ms,773.67,227.89,252.97,vllm
e2e_p99_ms,1906.30,423.40,738.17,vllm
throughput_median_tps,1.84,6.07,5.20,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,902.90,156.65,108.84,sglang
ttft_last_turn_ms,481.64,173.28,166.25,sglang
ttft_growth_ratio,0.53,1.11,1.53,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,397.61,57.23,75.58,vllm
ttft_p99_ms,1324.31,141.84,479.03,vllm
tpot_median_ms,237.82,27.07,46.23,vllm
tpot_p99_ms,308.31,116.46,160.91,vllm
e2e_median_ms,603.61,77.68,132.08,vllm
e2e_p99_ms,1533.18,180.88,517.10,vllm
throughput_median_tps,2.39,15.72,10.25,vllm
total_output_tokens,1468,1465,1492,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,486.37,71.76,64.39,sglang
ttft_p99_ms,2094.66,207.70,102.59,sglang
tpot_median_ms,16.31,15.08,22.78,vllm
tpot_p99_ms,41.21,20.07,27.03,vllm
e2e_median_ms,1263.00,613.93,838.17,vllm
e2e_p99_ms,2941.91,1010.13,1621.61,vllm
throughput_median_tps,25.59,58.43,41.48,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1007.20,0.00,1079.65,1,0.93,1
torchinferno,few_shot,1,1006.50,0.00,1079.62,1,0.93,1
torchinferno,few_shot,2,1007.09,126.20,1133.30,2,1.76,1
torchinferno,few_shot,3,1413.72,0.00,1483.70,1,0.67,1
torchinferno,few_shot,4,1403.42,0.00,1479.57,1,0.68,1
torchinferno,few_shot,5,1414.98,0.00,1489.29,1,0.67,1
torchinferno,few_shot,6,1407.18,0.00,1490.57,1,0.67,1
torchinferno,few_shot,7,1407.52,0.00,1490.96,1,0.67,1
torchinferno,few_shot,8,1400.76,0.00,1484.66,1,0.67,1
torchinferno,few_shot,9,1400.11,0.00,1486.91,1,0.67,1
torchinferno,few_shot,10,1411.20,0.00,1495.53,1,0.67,1
torchinferno,few_shot,11,1407.74,0.00,1498.52,1,0.67,1
torchinferno,few_shot,12,1408.91,0.00,1503.42,1,0.67,1
torchinferno,few_shot,13,1409.92,0.00,1505.39,1,0.66,1
torchinferno,few_shot,14,1402.94,0.00,1494.18,1,0.67,1
torchinferno,few_shot,15,1411.23,0.00,1510.29,1,0.66,1
torchinferno,few_shot,16,1408.62,0.00,1497.84,1,0.67,1
torchinferno,few_shot,17,1404.92,0.00,1498.03,1,0.67,1
torchinferno,few_shot,18,1405.16,0.00,1499.65,1,0.67,1
torchinferno,few_shot,19,1410.68,0.00,1512.88,1,0.66,1
torchinferno,few_shot,20,1412.28,0.00,1514.75,1,0.66,1
torchinferno,few_shot,21,1414.72,0.00,1513.64,1,0.66,1
torchinferno,few_shot,22,1410.88,0.00,1513.30,1,0.66,1
torchinferno,few_shot,23,1407.89,0.00,1508.73,1,0.66,1
torchinferno,few_shot,24,1417.45,0.00,1517.34,1,0.66,1
torchinferno,few_shot,25,1411.49,0.00,1521.35,1,0.66,1
torchinferno,few_shot,26,1407.51,0.00,1522.96,1,0.66,1
torchinferno,few_shot,27,1400.60,0.00,1512.54,1,0.66,1
torchinferno,few_shot,28,1413.29,169.34,1582.62,2,1.26,1
torchinferno,few_shot,29,1402.69,177.14,1579.83,2,1.27,1
torchinferno,few_shot,30,1402.33,176.17,1578.50,2,1.27,1
torchinferno,few_shot,31,1418.61,172.74,1591.36,2,1.26,1
torchinferno,few_shot,32,1408.03,183.86,1591.89,2,1.26,1
torchinferno,few_shot,33,1407.36,186.17,1593.53,2,1.26,1
torchinferno,few_shot,34,1411.38,188.41,1599.80,2,1.25,1
torchinferno,few_shot,35,1413.43,182.40,1595.84,2,1.25,1
torchinferno,few_shot,36,1415.10,180.29,1595.39,2,1.25,1
torchinferno,few_shot,37,1408.43,191.33,1599.77,2,1.25,1
torchinferno,few_shot,38,1419.54,184.56,1604.09,2,1.25,1
torchinferno,few_shot,39,1400.62,190.57,1591.19,2,1.26,1
torchinferno,few_shot,40,1405.96,184.80,1590.76,2,1.26,1
torchinferno,few_shot,41,1417.72,186.39,1604.11,2,1.25,1
torchinferno,few_shot,42,1412.11,195.97,1608.08,2,1.24,1
torchinferno,few_shot,43,1411.50,192.73,1604.23,2,1.25,1
torchinferno,few_shot,44,1406.34,197.98,1604.32,2,1.25,1
torchinferno,few_shot,45,1412.57,197.29,1609.86,2,1.24,1
