model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-05T03:02:15.373133+00:00

Build Times
provider,build_time_s
torchinferno,40.5
vllm,313.0
sglang,246.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,161.71,149.25,142.34,sglang
ttft_p99_ms,848.82,278.16,545.65,vllm
tpot_median_ms,49.28,50.61,72.94,torchinferno
tpot_p99_ms,160.61,144.88,143.42,sglang
e2e_median_ms,213.78,187.91,216.90,vllm
e2e_p99_ms,877.61,341.65,610.23,vllm
throughput_median_tps,5.72,7.25,5.57,vllm
total_output_tokens,1461,1460,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,179.12,164.01,238.41,vllm
ttft_p99_ms,466.87,583.84,70441.73,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,191.67,289.02,396.49,torchinferno
e2e_p99_ms,483.38,761.88,70549.77,torchinferno
throughput_median_tps,5.22,3.46,2.52,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,339.97,147.66,166.88,vllm
ttft_p99_ms,575.91,359.82,699.25,vllm
tpot_median_ms,62.91,66.77,99.53,torchinferno
tpot_p99_ms,152.56,215.26,230.85,torchinferno
e2e_median_ms,398.59,208.40,268.02,vllm
e2e_p99_ms,640.90,453.85,740.89,vllm
throughput_median_tps,3.55,6.29,4.97,vllm
total_output_tokens,1448,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,279.17,137.97,116.22,sglang
ttft_last_turn_ms,408.80,158.34,204.75,vllm
ttft_growth_ratio,1.46,1.15,1.76,vllm
ttft_first_turn_median_ms,327.37,126.69,110.32,sglang
ttft_first_turn_p99_ms,599.41,335.69,197.33,sglang
ttft_last_turn_median_ms,393.79,142.70,193.67,vllm
ttft_last_turn_p99_ms,566.82,361.42,576.60,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,119.89,65.63,74.17,vllm
ttft_p99_ms,267.02,2135.53,492.91,torchinferno
tpot_median_ms,44.60,29.60,57.23,vllm
tpot_p99_ms,103.36,1800.50,178.72,torchinferno
e2e_median_ms,148.55,90.43,139.85,vllm
e2e_p99_ms,295.80,2174.74,519.68,torchinferno
throughput_median_tps,8.98,13.59,9.74,vllm
total_output_tokens,1469,1467,1476,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,250.45,76.64,74.44,sglang
ttft_p99_ms,614.80,282.46,363.89,vllm
tpot_median_ms,20.88,14.89,22.34,vllm
tpot_p99_ms,34.70,22.15,30.31,vllm
e2e_median_ms,982.91,617.58,838.05,vllm
e2e_p99_ms,1847.42,1105.05,1620.37,vllm
throughput_median_tps,36.10,59.09,40.92,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,12,0,704.21,0.00,715.33,1,1.40,1,,,,,,,12,,,
torchinferno,few_shot,4,1,709.53,0.00,722.31,1,1.38,1,,,,,,,4,,,
torchinferno,few_shot,11,2,710.68,0.00,721.68,1,1.39,1,,,,,,,11,,,
torchinferno,few_shot,10,3,708.34,0.00,723.83,1,1.38,1,,,,,,,10,,,
torchinferno,few_shot,1,4,710.50,0.00,728.56,1,1.37,1,,,,,,,1,,,
torchinferno,few_shot,7,5,712.41,0.00,727.82,1,1.37,1,,,,,,,7,,,
torchinferno,few_shot,5,6,713.61,0.00,730.97,1,1.37,1,,,,,,,5,,,
torchinferno,few_shot,15,7,708.58,21.90,730.48,2,2.74,1,,,,,,,15,,,
torchinferno,few_shot,18,8,706.66,24.63,731.29,2,2.73,1,,,,,,,18,,,
torchinferno,few_shot,6,9,715.71,20.82,736.53,2,2.72,1,,,,,,,6,,,
torchinferno,few_shot,0,10,711.84,30.72,742.56,2,2.69,1,,,,,,,0,,,
torchinferno,few_shot,20,11,709.93,26.92,736.85,2,2.71,1,,,,,,,20,,,
torchinferno,few_shot,16,12,703.62,35.96,739.58,2,2.70,1,,,,,,,16,,,
torchinferno,few_shot,8,13,713.37,0.00,743.83,1,1.34,1,,,,,,,8,,,
torchinferno,few_shot,14,14,712.70,30.94,743.64,2,2.69,1,,,,,,,14,,,
torchinferno,few_shot,22,15,699.05,37.64,736.70,2,2.71,1,,,,,,,22,,,
torchinferno,few_shot,3,16,707.29,43.43,750.72,2,2.66,1,,,,,,,3,,,
torchinferno,few_shot,13,17,709.66,40.88,750.54,2,2.66,1,,,,,,,13,,,
torchinferno,few_shot,2,18,711.80,45.20,757.00,2,2.64,1,,,,,,,2,,,
torchinferno,few_shot,29,19,774.08,0.00,784.54,1,1.27,1,,,,,,,29,,,
torchinferno,few_shot,43,20,768.91,0.00,783.34,1,1.28,1,,,,,,,43,,,
torchinferno,few_shot,41,21,774.13,0.00,785.08,1,1.27,1,,,,,,,41,,,
torchinferno,few_shot,34,22,775.41,0.00,789.48,1,1.27,1,,,,,,,34,,,
torchinferno,few_shot,47,23,764.26,0.00,785.50,1,1.27,1,,,,,,,47,,,
torchinferno,few_shot,9,24,786.82,0.00,807.73,1,1.24,1,,,,,,,9,,,
torchinferno,few_shot,25,25,769.77,0.00,797.01,1,1.25,1,,,,,,,25,,,
torchinferno,few_shot,17,26,784.00,0.00,809.62,1,1.24,1,,,,,,,17,,,
torchinferno,few_shot,42,27,771.81,0.00,795.26,1,1.26,1,,,,,,,42,,,
torchinferno,few_shot,28,28,777.95,0.00,801.85,1,1.25,1,,,,,,,28,,,
torchinferno,few_shot,48,29,763.40,0.00,796.56,1,1.26,1,,,,,,,48,,,
torchinferno,few_shot,46,30,772.24,0.00,798.20,1,1.25,1,,,,,,,46,,,
torchinferno,few_shot,38,31,774.29,0.00,802.62,1,1.25,1,,,,,,,38,,,
torchinferno,few_shot,36,32,772.59,32.28,804.87,2,2.48,1,,,,,,,36,,,
torchinferno,few_shot,19,33,782.02,37.92,819.93,2,2.44,1,,,,,,,19,,,
torchinferno,few_shot,40,34,770.27,36.88,807.14,2,2.48,1,,,,,,,40,,,
torchinferno,few_shot,31,35,772.12,0.00,811.14,1,1.23,1,,,,,,,31,,,
torchinferno,few_shot,39,36,769.81,0.00,809.83,1,1.23,1,,,,,,,39,,,
torchinferno,few_shot,37,37,772.41,0.00,812.54,1,1.23,1,,,,,,,37,,,
torchinferno,few_shot,23,38,771.27,48.18,819.45,2,2.44,1,,,,,,,23,,,
