model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-12T11:02:29.653336+00:00

Build Times
provider,build_time_s
torchinferno,39.9
vllm,339.9
sglang,151.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,140.14,73.86,76.42,vllm
ttft_p99_ms,717.06,161.07,494.92,vllm
tpot_median_ms,31.64,39.75,64.98,torchinferno
tpot_p99_ms,43.68,86.21,857.86,torchinferno
e2e_median_ms,164.29,102.49,130.09,vllm
e2e_p99_ms,738.84,229.05,952.47,vllm
throughput_median_tps,7.05,12.22,10.45,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,61.81,68.10,117.27,torchinferno
ttft_p99_ms,324.58,335.46,70054.01,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,80.18,85.16,203.53,torchinferno
e2e_p99_ms,352.48,371.91,70082.97,torchinferno
throughput_median_tps,12.47,11.74,4.91,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,194.44,77.74,81.78,vllm
ttft_p99_ms,999.29,152.76,479.63,vllm
tpot_median_ms,35.51,36.01,72.13,torchinferno
tpot_p99_ms,47.00,83.62,904.73,torchinferno
e2e_median_ms,222.50,104.04,141.28,vllm
e2e_p99_ms,1021.29,200.68,945.63,vllm
throughput_median_tps,5.05,12.81,9.55,vllm
total_output_tokens,1454,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,426.14,79.75,64.85,sglang
ttft_last_turn_ms,177.94,83.96,87.62,vllm
ttft_growth_ratio,0.42,1.05,1.35,torchinferno
ttft_first_turn_median_ms,207.78,70.76,60.06,sglang
ttft_first_turn_p99_ms,1082.28,154.35,102.19,sglang
ttft_last_turn_median_ms,188.92,77.21,89.61,vllm
ttft_last_turn_p99_ms,213.96,147.69,110.18,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.35,35.15,51.82,vllm
ttft_p99_ms,583.60,96.80,318.45,vllm
tpot_median_ms,34.73,23.09,377.57,vllm
tpot_p99_ms,72.95,44.55,1088.84,vllm
e2e_median_ms,73.18,53.41,442.72,vllm
e2e_p99_ms,779.14,137.59,1149.77,vllm
throughput_median_tps,19.56,24.29,3.25,vllm
total_output_tokens,1482,1467,1479,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,187.80,47.05,51.64,vllm
ttft_p99_ms,472.99,64.62,102.52,vllm
tpot_median_ms,19.38,15.45,23.89,vllm
tpot_p99_ms,24.68,17.83,58.14,vllm
e2e_median_ms,871.23,581.73,915.82,vllm
e2e_p99_ms,1525.21,1045.29,1673.17,vllm
throughput_median_tps,40.23,59.84,40.51,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,776.90,0.00,789.06,1,1.27,1,,,,,,,1,,,
torchinferno,few_shot,0,1,794.05,24.08,818.13,2,2.44,1,,,,,,,0,,,
torchinferno,few_shot,4,2,803.84,0.00,815.52,1,1.23,1,,,,,,,4,,,
torchinferno,few_shot,7,3,750.62,0.00,766.22,1,1.31,1,,,,,,,7,,,
torchinferno,few_shot,5,4,784.11,0.00,800.78,1,1.25,1,,,,,,,5,,,
torchinferno,few_shot,29,5,379.35,0.00,396.85,1,2.52,1,,,,,,,29,,,
torchinferno,few_shot,28,6,398.99,0.00,414.50,1,2.41,1,,,,,,,28,,,
torchinferno,few_shot,26,7,430.57,0.00,449.65,1,2.22,1,,,,,,,26,,,
torchinferno,few_shot,25,8,450.78,0.00,467.88,1,2.14,1,,,,,,,25,,,
torchinferno,few_shot,17,9,583.62,0.00,602.91,1,1.66,1,,,,,,,17,,,
torchinferno,few_shot,9,10,717.06,0.00,738.84,1,1.35,1,,,,,,,9,,,
torchinferno,few_shot,31,11,346.99,0.00,367.29,1,2.72,1,,,,,,,31,,,
torchinferno,few_shot,12,12,669.07,0.00,688.41,1,1.45,1,,,,,,,12,,,
torchinferno,few_shot,11,13,683.29,0.00,706.19,1,1.42,1,,,,,,,11,,,
torchinferno,few_shot,10,14,702.97,0.00,724.36,1,1.38,1,,,,,,,10,,,
torchinferno,few_shot,8,15,736.82,0.00,760.79,1,1.31,1,,,,,,,8,,,
torchinferno,few_shot,24,16,466.36,0.00,492.93,1,2.03,1,,,,,,,24,,,
torchinferno,few_shot,15,17,616.53,28.52,645.05,2,3.10,1,,,,,,,15,,,
torchinferno,few_shot,13,18,649.17,29.96,679.12,2,2.94,1,,,,,,,13,,,
torchinferno,few_shot,16,19,599.61,30.14,629.75,2,3.18,1,,,,,,,16,,,
torchinferno,few_shot,14,20,635.65,28.33,663.98,2,3.01,1,,,,,,,14,,,
torchinferno,few_shot,33,21,314.16,30.10,344.26,2,5.81,1,,,,,,,33,,,
torchinferno,few_shot,19,22,549.42,32.38,581.79,2,3.44,1,,,,,,,19,,,
torchinferno,few_shot,6,23,767.25,34.41,801.66,2,2.49,1,,,,,,,6,,,
torchinferno,few_shot,20,24,531.82,34.48,566.30,2,3.53,1,,,,,,,20,,,
torchinferno,few_shot,22,25,498.11,35.44,533.55,2,3.75,1,,,,,,,22,,,
torchinferno,few_shot,30,26,364.13,35.25,399.38,2,5.01,1,,,,,,,30,,,
torchinferno,few_shot,3,27,820.54,36.31,856.86,2,2.33,1,,,,,,,3,,,
torchinferno,few_shot,27,28,414.05,37.26,451.30,2,4.43,1,,,,,,,27,,,
torchinferno,few_shot,18,29,567.35,37.21,604.56,2,3.31,1,,,,,,,18,,,
torchinferno,few_shot,21,30,517.12,38.51,555.63,2,3.60,1,,,,,,,21,,,
torchinferno,few_shot,32,31,330.32,41.70,372.02,2,5.38,1,,,,,,,32,,,
torchinferno,few_shot,23,32,482.33,43.75,526.07,2,3.80,1,,,,,,,23,,,
torchinferno,few_shot,2,33,838.30,43.68,881.98,2,2.27,1,,,,,,,2,,,
torchinferno,few_shot,35,34,363.29,0.00,374.59,1,2.67,1,,,,,,,35,,,
torchinferno,few_shot,37,35,327.83,0.00,341.64,1,2.93,1,,,,,,,37,,,
torchinferno,few_shot,66,36,69.55,0.00,82.51,1,12.12,1,,,,,,,66,,,
torchinferno,few_shot,39,37,294.56,0.00,309.71,1,3.23,1,,,,,,,39,,,
torchinferno,few_shot,48,38,144.47,0.00,160.07,1,6.25,1,,,,,,,48,,,
