model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-18T18:09:49.096460

Build Times
provider,build_time_s
torchinferno,319.8
vllm,1143.8
sglang,165.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,282.53,144.25,139.20,sglang
ttft_p99_ms,1348.94,521.64,8122.24,vllm
tpot_median_ms,153.84,52.37,75.24,vllm
tpot_p99_ms,201.49,138.31,7318.32,vllm
e2e_median_ms,372.92,191.89,207.75,vllm
e2e_p99_ms,1533.53,589.07,15414.66,vllm
throughput_median_tps,4.02,7.49,5.75,vllm
total_output_tokens,1466,1465,1466,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,268.15,195.24,206.30,vllm
ttft_p99_ms,1589.97,466.69,69985.81,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,294.04,217.19,340.72,vllm
e2e_p99_ms,1640.18,496.34,70066.29,vllm
throughput_median_tps,3.40,4.60,2.93,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,544.33,173.80,153.06,sglang
ttft_p99_ms,1480.60,342.37,810.84,vllm
tpot_median_ms,110.71,63.23,99.21,vllm
tpot_p99_ms,421.31,185.54,231.90,vllm
e2e_median_ms,644.80,228.82,252.93,vllm
e2e_p99_ms,1600.02,413.29,837.96,vllm
throughput_median_tps,2.11,6.28,5.23,vllm
total_output_tokens,1450,1462,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,729.61,145.49,105.96,sglang
ttft_last_turn_ms,429.76,164.55,189.62,vllm
ttft_growth_ratio,0.59,1.13,1.79,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,341.54,58.33,71.60,vllm
ttft_p99_ms,1385.53,101.07,776.16,vllm
tpot_median_ms,129.88,26.92,62.47,vllm
tpot_p99_ms,151.38,44.34,793.37,vllm
e2e_median_ms,439.63,79.29,143.51,vllm
e2e_p99_ms,1500.17,146.38,879.77,vllm
throughput_median_tps,2.91,15.71,9.85,vllm
total_output_tokens,1450,1471,1474,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,703.02,75.14,66.85,sglang
ttft_p99_ms,2317.86,231.32,123.55,sglang
tpot_median_ms,15.44,14.95,22.12,vllm
tpot_p99_ms,32.72,20.74,26.19,vllm
e2e_median_ms,1211.27,632.05,821.78,vllm
e2e_p99_ms,3207.58,1026.22,1530.32,vllm
throughput_median_tps,29.76,58.01,42.87,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,602.70,198.48,801.18,2,2.50,1
torchinferno,few_shot,1,1339.77,0.00,1427.10,1,0.70,1
torchinferno,few_shot,2,1331.77,0.00,1416.42,1,0.71,1
torchinferno,few_shot,3,1330.14,0.00,1417.91,1,0.71,1
torchinferno,few_shot,4,1343.10,0.00,1430.45,1,0.70,1
torchinferno,few_shot,5,1329.24,0.00,1422.21,1,0.70,1
torchinferno,few_shot,6,1333.27,0.00,1421.14,1,0.70,1
torchinferno,few_shot,7,1345.28,0.00,1440.55,1,0.69,1
torchinferno,few_shot,8,1330.43,0.00,1434.22,1,0.70,1
torchinferno,few_shot,9,1332.74,0.00,1433.77,1,0.70,1
torchinferno,few_shot,10,1330.61,0.00,1431.49,1,0.70,1
torchinferno,few_shot,11,1328.21,0.00,1434.10,1,0.70,1
torchinferno,few_shot,12,1338.21,0.00,1446.84,1,0.69,1
torchinferno,few_shot,13,1343.54,0.00,1439.24,1,0.69,1
torchinferno,few_shot,14,1348.94,0.00,1450.85,1,0.69,1
torchinferno,few_shot,15,1350.46,0.00,1455.63,1,0.69,1
torchinferno,few_shot,16,1348.35,0.00,1452.73,1,0.69,1
torchinferno,few_shot,17,1350.86,0.00,1459.02,1,0.69,1
torchinferno,few_shot,18,1342.69,0.00,1448.31,1,0.69,1
torchinferno,few_shot,19,1341.72,0.00,1460.22,1,0.68,1
torchinferno,few_shot,20,1342.81,0.00,1452.82,1,0.69,1
torchinferno,few_shot,21,1338.93,0.00,1449.88,1,0.69,1
torchinferno,few_shot,22,1341.74,0.00,1463.94,1,0.68,1
torchinferno,few_shot,23,554.21,0.00,668.78,1,1.50,1
torchinferno,few_shot,24,1339.60,0.00,1469.33,1,0.68,1
torchinferno,few_shot,25,1329.44,0.00,1458.49,1,0.69,1
torchinferno,few_shot,26,1339.35,0.00,1472.89,1,0.68,1
torchinferno,few_shot,27,1338.07,0.00,1461.76,1,0.68,1
torchinferno,few_shot,28,1357.72,0.00,1477.51,1,0.68,1
torchinferno,few_shot,29,1339.24,0.00,1476.26,1,0.68,1
torchinferno,few_shot,30,1338.72,0.00,1464.22,1,0.68,1
torchinferno,few_shot,31,1341.11,0.00,1467.40,1,0.68,1
torchinferno,few_shot,32,1344.62,0.00,1481.21,1,0.68,1
torchinferno,few_shot,33,1341.40,0.00,1478.97,1,0.68,1
torchinferno,few_shot,34,1348.44,163.52,1511.96,2,1.32,1
torchinferno,few_shot,35,1339.39,171.30,1510.68,2,1.32,1
torchinferno,few_shot,36,1343.96,167.90,1511.86,2,1.32,1
torchinferno,few_shot,37,1327.60,175.17,1502.77,2,1.33,1
torchinferno,few_shot,38,1341.56,164.10,1505.65,2,1.33,1
torchinferno,few_shot,39,1336.51,167.73,1504.24,2,1.33,1
torchinferno,few_shot,40,1343.78,167.29,1511.07,2,1.32,1
torchinferno,few_shot,41,1329.64,176.63,1506.27,2,1.33,1
torchinferno,few_shot,42,1348.36,172.66,1521.02,2,1.31,1
torchinferno,few_shot,43,1330.13,180.26,1510.40,2,1.32,1
torchinferno,few_shot,44,1352.73,171.13,1523.86,2,1.31,1
torchinferno,few_shot,45,1331.73,180.62,1512.34,2,1.32,1
torchinferno,few_shot,46,1346.00,183.58,1529.58,2,1.31,1
torchinferno,few_shot,47,1336.46,179.63,1516.10,2,1.32,1
torchinferno,few_shot,48,1327.66,188.54,1516.20,2,1.32,1
torchinferno,few_shot,49,1336.43,187.25,1523.67,2,1.31,1
torchinferno,few_shot,50,1353.33,180.20,1533.53,2,1.30,1
torchinferno,few_shot,51,1350.04,184.21,1534.25,2,1.30,1
torchinferno,few_shot,52,1332.12,193.83,1525.95,2,1.31,1
torchinferno,few_shot,53,1336.24,190.02,1526.25,2,1.31,1
torchinferno,few_shot,54,1354.98,187.22,1542.20,2,1.30,1
torchinferno,few_shot,55,1349.57,191.21,1540.77,2,1.30,1
torchinferno,few_shot,56,1329.23,197.58,1526.82,2,1.31,1
torchinferno,few_shot,57,1336.60,196.90,1533.50,2,1.30,1
torchinferno,few_shot,58,1333.80,198.79,1532.59,2,1.30,1
torchinferno,few_shot,59,1345.53,200.24,1545.77,2,1.29,1
torchinferno,few_shot,60,1335.53,200.48,1536.01,2,1.30,1
torchinferno,few_shot,61,1343.42,209.49,1552.91,2,1.29,1
torchinferno,few_shot,62,1342.27,207.59,1549.86,2,1.29,1
torchinferno,few_shot,63,1349.63,201.49,1551.11,2,1.29,1
torchinferno,few_shot,64,1339.52,214.42,1553.94,2,1.29,1
torchinferno,few_shot,65,201.70,0.00,274.43,1,3.64,1
torchinferno,few_shot,66,200.05,0.00,275.83,1,3.63,1
torchinferno,few_shot,67,164.03,0.00,238.68,1,4.19,1
torchinferno,few_shot,68,190.91,0.00,265.99,1,3.76,1
torchinferno,few_shot,69,171.99,0.00,252.23,1,3.96,1
torchinferno,few_shot,70,170.07,0.00,250.72,1,3.99,1
torchinferno,few_shot,71,195.21,0.00,278.45,1,3.59,1
torchinferno,few_shot,72,206.31,0.00,293.99,1,3.40,1
torchinferno,few_shot,73,174.18,0.00,257.61,1,3.88,1
torchinferno,few_shot,74,172.91,0.00,262.14,1,3.81,1
torchinferno,few_shot,75,195.76,0.00,283.60,1,3.53,1
torchinferno,few_shot,76,157.55,0.00,249.71,1,4.00,1
torchinferno,few_shot,77,169.37,0.00,259.34,1,3.86,1
torchinferno,few_shot,78,162.45,0.00,254.04,1,3.94,1
