model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-08T13:02:21.457866+00:00

Build Times
provider,build_time_s
torchinferno,47.2
vllm,174.8
sglang,224.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,149.81,123.70,143.59,vllm
ttft_p99_ms,818.44,239.71,604.34,vllm
tpot_median_ms,44.51,41.48,80.58,vllm
tpot_p99_ms,90.88,131.29,943.58,torchinferno
e2e_median_ms,187.94,156.38,222.58,vllm
e2e_p99_ms,860.33,291.47,1011.92,vllm
throughput_median_tps,6.37,8.95,5.34,vllm
total_output_tokens,1460,1466,1466,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,167.25,130.83,213.42,vllm
ttft_p99_ms,851.26,363.56,69885.32,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,178.95,157.05,342.01,vllm
e2e_p99_ms,963.09,379.63,69991.23,vllm
throughput_median_tps,5.59,6.37,2.92,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,154.11,170.17,vllm
ttft_p99_ms,,555.62,700.13,vllm
tpot_median_ms,,51.00,109.22,vllm
tpot_p99_ms,,403.65,966.70,vllm
e2e_median_ms,,202.16,285.21,vllm
e2e_p99_ms,,675.73,1001.80,vllm
throughput_median_tps,,6.76,4.60,vllm
total_output_tokens,,1450,1462,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,151.99,94.47,sglang
ttft_last_turn_ms,,179.47,209.99,vllm
ttft_growth_ratio,,1.18,2.22,vllm
ttft_first_turn_median_ms,,130.16,97.54,sglang
ttft_first_turn_p99_ms,,570.50,233.96,sglang
ttft_last_turn_median_ms,,159.24,204.91,vllm
ttft_last_turn_p99_ms,,555.67,313.02,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,32.53,50.82,vllm
ttft_p99_ms,,43.12,325.17,vllm
tpot_median_ms,,21.68,382.43,vllm
tpot_p99_ms,,30.09,1074.72,vllm
e2e_median_ms,,48.23,452.59,vllm
e2e_p99_ms,,108.83,1130.32,vllm
throughput_median_tps,,25.85,3.16,vllm
total_output_tokens,,1462,1452,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,75.37,71.09,sglang
ttft_p99_ms,,422.14,850.66,vllm
tpot_median_ms,,14.78,22.14,vllm
tpot_p99_ms,,46.99,112.25,vllm
e2e_median_ms,,663.75,904.31,vllm
e2e_p99_ms,,1637.16,1995.92,vllm
throughput_median_tps,,58.48,41.61,vllm
total_output_tokens,,36715,36715,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,4,0,798.85,0.00,805.51,1,1.24,1,,,,,,,4,,,
torchinferno,few_shot,3,1,824.12,74.00,898.13,2,2.23,1,,,,,,,3,,,
torchinferno,few_shot,26,2,530.21,0.00,541.56,1,1.85,1,,,,,,,26,,,
torchinferno,few_shot,17,3,687.07,0.00,703.83,1,1.42,1,,,,,,,17,,,
torchinferno,few_shot,28,4,492.23,0.00,512.28,1,1.95,1,,,,,,,28,,,
torchinferno,few_shot,5,5,908.09,0.00,931.39,1,1.07,1,,,,,,,5,,,
torchinferno,few_shot,25,6,548.57,0.00,568.55,1,1.76,1,,,,,,,25,,,
torchinferno,few_shot,12,7,777.95,0.00,803.27,1,1.24,1,,,,,,,12,,,
torchinferno,few_shot,8,8,849.25,0.00,876.21,1,1.14,1,,,,,,,8,,,
torchinferno,few_shot,31,9,441.98,0.00,467.76,1,2.14,1,,,,,,,31,,,
torchinferno,few_shot,29,10,475.32,0.00,504.13,1,1.98,1,,,,,,,29,,,
torchinferno,few_shot,19,11,655.55,26.57,682.12,2,2.93,1,,,,,,,19,,,
torchinferno,few_shot,7,12,867.06,0.00,902.50,1,1.11,1,,,,,,,7,,,
torchinferno,few_shot,9,13,838.00,0.00,867.71,1,1.15,1,,,,,,,9,,,
torchinferno,few_shot,32,14,424.10,35.15,459.25,2,4.35,1,,,,,,,32,,,
torchinferno,few_shot,16,15,703.72,38.59,742.31,2,2.69,1,,,,,,,16,,,
torchinferno,few_shot,1,16,1051.60,0.00,1083.29,1,0.92,1,,,,,,,1,,,
torchinferno,few_shot,2,17,1021.67,37.17,1058.84,2,1.89,1,,,,,,,2,,,
torchinferno,few_shot,13,18,763.61,40.13,803.75,2,2.49,1,,,,,,,13,,,
torchinferno,few_shot,24,19,568.73,0.00,606.50,1,1.65,1,,,,,,,24,,,
torchinferno,few_shot,10,20,818.44,0.00,860.33,1,1.16,1,,,,,,,10,,,
torchinferno,few_shot,33,21,410.91,41.23,452.14,2,4.42,1,,,,,,,33,,,
torchinferno,few_shot,6,22,894.89,43.55,938.44,2,2.13,1,,,,,,,6,,,
torchinferno,few_shot,14,23,741.89,48.60,790.49,2,2.53,1,,,,,,,14,,,
torchinferno,few_shot,23,24,579.96,53.02,632.98,2,3.16,1,,,,,,,23,,,
torchinferno,few_shot,11,25,799.76,0.00,850.94,1,1.18,1,,,,,,,11,,,
torchinferno,few_shot,15,26,726.43,52.11,778.54,2,2.57,1,,,,,,,15,,,
torchinferno,few_shot,21,27,619.99,52.67,672.66,2,2.97,1,,,,,,,21,,,
torchinferno,few_shot,20,28,641.04,50.13,691.17,2,2.89,1,,,,,,,20,,,
torchinferno,few_shot,18,29,668.76,59.65,728.40,2,2.75,1,,,,,,,18,,,
torchinferno,few_shot,0,30,1062.34,60.89,1123.23,2,1.78,1,,,,,,,0,,,
torchinferno,few_shot,27,31,516.01,57.16,573.17,2,3.49,1,,,,,,,27,,,
torchinferno,few_shot,30,32,460.79,62.78,523.57,2,3.82,1,,,,,,,30,,,
torchinferno,few_shot,22,33,599.20,66.43,665.63,2,3.00,1,,,,,,,22,,,
torchinferno,few_shot,34,34,474.55,0.00,486.09,1,2.06,1,,,,,,,34,,,
torchinferno,few_shot,37,35,418.15,0.00,435.04,1,2.30,1,,,,,,,37,,,
torchinferno,few_shot,46,36,256.24,0.00,277.57,1,3.60,1,,,,,,,46,,,
torchinferno,few_shot,43,37,313.40,0.00,333.54,1,3.00,1,,,,,,,43,,,
torchinferno,few_shot,47,38,245.04,0.00,263.53,1,3.79,1,,,,,,,47,,,
torchinferno,few_shot,55,39,97.17,0.00,122.52,1,8.16,1,,,,,,,55,,,
torchinferno,few_shot,35,40,462.17,0.00,477.32,1,2.10,1,,,,,,,35,,,
torchinferno,few_shot,42,41,332.82,0.00,355.43,1,2.81,1,,,,,,,42,,,
torchinferno,few_shot,65,42,146.33,0.00,166.12,1,6.02,1,,,,,,,65,,,
torchinferno,few_shot,41,43,346.58,0.00,374.95,1,2.67,1,,,,,,,41,,,
torchinferno,few_shot,53,44,137.75,0.00,163.39,1,6.12,1,,,,,,,53,,,
torchinferno,few_shot,56,45,78.05,29.93,107.98,2,18.52,1,,,,,,,56,,,
torchinferno,few_shot,36,46,436.32,31.18,467.51,2,4.28,1,,,,,,,36,,,
torchinferno,few_shot,49,47,208.44,30.80,239.23,2,8.36,1,,,,,,,49,,,
torchinferno,few_shot,52,48,164.04,23.96,188.00,2,10.64,1,,,,,,,52,,,
torchinferno,few_shot,39,49,390.52,0.00,419.50,1,2.38,1,,,,,,,39,,,
torchinferno,few_shot,51,50,176.22,32.54,208.76,2,9.58,1,,,,,,,51,,,
torchinferno,few_shot,45,51,275.34,40.77,316.11,2,6.33,1,,,,,,,45,,,
torchinferno,few_shot,50,52,196.40,36.28,232.68,2,8.60,1,,,,,,,50,,,
torchinferno,few_shot,54,53,123.19,39.30,162.48,2,12.31,1,,,,,,,54,,,
torchinferno,few_shot,48,54,224.38,0.00,270.26,1,3.70,1,,,,,,,48,,,
torchinferno,few_shot,38,55,402.18,0.00,448.07,1,2.23,1,,,,,,,38,,,
torchinferno,few_shot,44,56,300.63,43.57,344.20,2,5.81,1,,,,,,,44,,,
torchinferno,few_shot,40,57,363.39,52.74,416.12,2,4.81,1,,,,,,,40,,,
torchinferno,few_shot,64,58,212.61,0.00,259.96,1,3.85,1,,,,,,,64,,,
torchinferno,few_shot,87,59,121.85,0.00,126.39,1,7.91,1,,,,,,,87,,,
torchinferno,few_shot,66,60,151.99,0.00,164.35,1,6.08,1,,,,,,,66,,,
torchinferno,few_shot,57,61,115.77,0.00,128.28,1,7.80,1,,,,,,,57,,,
torchinferno,few_shot,92,62,110.61,0.00,123.78,1,8.08,1,,,,,,,92,,,
torchinferno,few_shot,69,63,141.95,0.00,162.90,1,6.14,1,,,,,,,69,,,
torchinferno,few_shot,74,64,134.46,0.00,156.33,1,6.40,1,,,,,,,74,,,
torchinferno,few_shot,90,65,110.36,0.00,131.27,1,7.62,1,,,,,,,90,,,
torchinferno,few_shot,80,66,130.84,0.00,149.59,1,6.69,1,,,,,,,80,,,
