model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-27T19:03:05.612386+00:00

Build Times
provider,build_time_s
torchinferno,313.9
vllm,436.0
sglang,263.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,253.69,143.88,147.34,vllm
ttft_p99_ms,2649.73,246.66,662.57,vllm
tpot_median_ms,47.48,50.32,79.10,torchinferno
tpot_p99_ms,402.26,133.04,394.92,vllm
e2e_median_ms,299.65,188.34,219.33,vllm
e2e_p99_ms,3029.96,309.50,889.50,vllm
throughput_median_tps,4.41,7.57,5.51,vllm
total_output_tokens,1460,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,273.28,199.94,219.84,vllm
ttft_p99_ms,563.99,476.28,70034.74,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,293.21,225.72,370.33,vllm
e2e_p99_ms,573.62,511.95,70152.01,vllm
throughput_median_tps,3.41,4.43,2.70,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,492.17,161.20,169.42,vllm
ttft_p99_ms,1122.10,318.14,286.13,sglang
tpot_median_ms,59.70,57.73,105.19,vllm
tpot_p99_ms,113.02,184.08,240.91,torchinferno
e2e_median_ms,544.74,202.90,267.56,vllm
e2e_p99_ms,1169.32,397.89,443.65,vllm
throughput_median_tps,2.40,6.66,5.08,vllm
total_output_tokens,1446,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,593.77,128.05,124.14,sglang
ttft_last_turn_ms,812.88,159.30,209.41,vllm
ttft_growth_ratio,1.37,1.24,1.69,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,268.83,61.11,87.65,vllm
ttft_p99_ms,639.51,2033.46,514.65,sglang
tpot_median_ms,42.90,31.41,43.97,vllm
tpot_p99_ms,357.45,1697.85,481.40,torchinferno
e2e_median_ms,309.47,84.97,138.64,vllm
e2e_p99_ms,701.22,2070.19,576.55,sglang
throughput_median_tps,4.40,14.18,9.52,vllm
total_output_tokens,1476,1465,1466,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,325.90,76.09,72.80,sglang
ttft_p99_ms,1064.34,185.19,223.41,vllm
tpot_median_ms,21.32,14.95,22.52,vllm
tpot_p99_ms,108.37,22.19,29.04,vllm
e2e_median_ms,1130.37,632.66,864.47,vllm
e2e_p99_ms,2144.22,1029.72,1587.96,vllm
throughput_median_tps,32.31,57.90,41.55,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1075.00,0.00,1540.05,1,0.65,1
torchinferno,few_shot,1,1078.75,0.00,1546.36,1,0.65,1
torchinferno,few_shot,2,1074.07,0.00,1544.28,1,0.65,1
torchinferno,few_shot,3,1073.10,0.00,1545.46,1,0.65,1
torchinferno,few_shot,4,1076.70,895.93,1972.63,2,1.01,1
torchinferno,few_shot,5,1078.18,896.90,1975.08,2,1.01,1
torchinferno,few_shot,6,2230.95,0.00,2578.38,1,0.39,1
torchinferno,few_shot,7,2229.46,0.00,2582.50,1,0.39,1
torchinferno,few_shot,8,2228.93,0.00,2582.46,1,0.39,1
torchinferno,few_shot,9,2235.62,0.00,2589.13,1,0.39,1
torchinferno,few_shot,10,2227.71,0.00,2589.74,1,0.39,1
torchinferno,few_shot,11,2233.35,0.00,2592.90,1,0.39,1
torchinferno,few_shot,12,2240.12,0.00,2600.29,1,0.38,1
torchinferno,few_shot,13,2246.18,0.00,2605.15,1,0.38,1
torchinferno,few_shot,14,2233.49,367.63,2601.12,2,0.77,1
torchinferno,few_shot,15,2234.50,364.74,2599.24,2,0.77,1
torchinferno,few_shot,16,2229.94,376.91,2606.85,2,0.77,1
torchinferno,few_shot,17,2230.83,0.00,2607.00,1,0.38,1
torchinferno,few_shot,18,2232.92,380.87,2613.78,2,0.77,1
torchinferno,few_shot,19,2235.52,371.25,2606.77,2,0.77,1
torchinferno,few_shot,20,2233.33,377.67,2610.99,2,0.77,1
torchinferno,few_shot,21,2227.90,380.99,2608.89,2,0.77,1
torchinferno,few_shot,22,2236.60,378.66,2615.26,2,0.76,1
torchinferno,few_shot,23,2233.06,389.84,2622.91,2,0.76,1
torchinferno,few_shot,24,2231.26,388.24,2619.50,2,0.76,1
torchinferno,few_shot,25,2234.64,384.60,2619.24,2,0.76,1
torchinferno,few_shot,26,2239.96,380.72,2620.68,2,0.76,1
torchinferno,few_shot,27,2232.14,0.00,2624.73,1,0.38,1
torchinferno,few_shot,28,2241.64,0.00,2628.00,1,0.38,1
torchinferno,few_shot,29,2228.98,398.72,2627.70,2,0.76,1
torchinferno,few_shot,30,2233.83,0.00,2624.80,1,0.38,1
torchinferno,few_shot,31,2227.83,400.48,2628.31,2,0.76,1
torchinferno,few_shot,32,2236.03,0.00,2628.63,1,0.38,1
torchinferno,few_shot,33,2230.10,402.26,2632.36,2,0.76,1
torchinferno,few_shot,34,2230.77,404.59,2635.36,2,0.76,1
torchinferno,few_shot,35,2233.37,0.00,2635.31,1,0.38,1
torchinferno,few_shot,36,2226.55,408.88,2635.43,2,0.76,1
torchinferno,few_shot,37,2238.46,0.00,2652.05,1,0.38,1
torchinferno,few_shot,38,2647.80,0.00,2665.19,1,0.38,1
torchinferno,few_shot,39,2644.28,0.00,2667.89,1,0.37,1
torchinferno,few_shot,40,2661.07,0.00,2666.56,1,0.38,1
torchinferno,few_shot,41,1113.69,0.00,1137.99,1,0.88,1
torchinferno,few_shot,42,2647.84,0.00,2669.15,1,0.37,1
torchinferno,few_shot,43,2653.70,0.00,2675.33,1,0.37,1
torchinferno,few_shot,44,2642.42,0.00,2676.88,1,0.37,1
