model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-25T01:04:16.264498

Build Times
provider,build_time_s
torchinferno,373.8
vllm,1331.6
sglang,210.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,284.27,162.10,146.16,sglang
ttft_p99_ms,1868.53,557.44,6891.33,vllm
tpot_median_ms,152.39,55.42,72.26,vllm
tpot_p99_ms,209.01,184.40,7413.80,vllm
e2e_median_ms,381.68,218.25,213.85,sglang
e2e_p99_ms,2053.14,638.76,14266.69,vllm
throughput_median_tps,4.02,6.56,5.45,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,260.18,194.67,201.91,vllm
ttft_p99_ms,1515.59,470.65,72402.96,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,307.34,228.20,339.09,vllm
e2e_p99_ms,1530.07,598.83,72496.63,vllm
throughput_median_tps,3.25,4.38,2.95,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,779.95,175.28,160.23,sglang
ttft_p99_ms,1947.90,336.94,894.09,vllm
tpot_median_ms,187.42,45.92,102.17,vllm
tpot_p99_ms,471.27,190.80,236.37,vllm
e2e_median_ms,899.01,222.32,254.29,vllm
e2e_p99_ms,2181.99,412.04,999.56,vllm
throughput_median_tps,1.45,6.23,5.20,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1021.19,153.16,111.36,sglang
ttft_last_turn_ms,677.35,166.51,182.90,vllm
ttft_growth_ratio,0.66,1.09,1.64,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,315.15,58.58,74.56,vllm
ttft_p99_ms,1370.90,124.06,657.66,vllm
tpot_median_ms,130.41,26.81,46.69,vllm
tpot_p99_ms,151.18,71.13,134.05,vllm
e2e_median_ms,418.70,79.06,127.08,vllm
e2e_p99_ms,1459.32,154.53,724.35,vllm
throughput_median_tps,3.50,15.65,10.59,vllm
total_output_tokens,1479,1465,1474,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,67.60,70.05,vllm
ttft_p99_ms,,142.58,116.93,sglang
tpot_median_ms,,15.04,22.00,vllm
tpot_p99_ms,,23.96,26.36,vllm
e2e_median_ms,,606.69,816.63,vllm
e2e_p99_ms,,1021.13,1580.82,vllm
throughput_median_tps,,58.77,42.75,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,922.81,0.00,1171.90,1,0.85,1
torchinferno,few_shot,1,1859.71,0.00,1942.10,1,0.51,1
torchinferno,few_shot,2,1858.97,0.00,1945.60,1,0.51,1
torchinferno,few_shot,3,1856.27,0.00,1938.01,1,0.52,1
torchinferno,few_shot,4,1854.30,0.00,1940.33,1,0.52,1
torchinferno,few_shot,5,1857.94,0.00,1957.11,1,0.51,1
torchinferno,few_shot,6,1857.48,0.00,1955.93,1,0.51,1
torchinferno,few_shot,7,1849.76,0.00,1950.66,1,0.51,1
torchinferno,few_shot,8,1856.91,0.00,1963.34,1,0.51,1
torchinferno,few_shot,9,1850.01,0.00,1949.96,1,0.51,1
torchinferno,few_shot,10,1861.23,0.00,1953.89,1,0.51,1
torchinferno,few_shot,11,1859.03,0.00,1952.70,1,0.51,1
torchinferno,few_shot,12,1859.56,0.00,1973.00,1,0.51,1
torchinferno,few_shot,13,1850.76,0.00,1960.06,1,0.51,1
torchinferno,few_shot,14,1849.21,0.00,1958.25,1,0.51,1
torchinferno,few_shot,15,1869.18,0.00,1971.70,1,0.51,1
torchinferno,few_shot,16,1872.40,0.00,1977.73,1,0.51,1
torchinferno,few_shot,17,1856.86,0.00,1978.00,1,0.51,1
torchinferno,few_shot,18,1855.27,0.00,1969.13,1,0.51,1
torchinferno,few_shot,19,1873.03,0.00,1982.21,1,0.50,1
torchinferno,few_shot,20,1874.32,0.00,1984.17,1,0.50,1
torchinferno,few_shot,21,1862.40,0.00,1974.01,1,0.51,1
torchinferno,few_shot,22,1852.57,0.00,1970.49,1,0.51,1
torchinferno,few_shot,23,1847.92,0.00,1975.60,1,0.51,1
torchinferno,few_shot,24,697.76,0.00,816.60,1,1.22,1
torchinferno,few_shot,25,1858.18,0.00,1988.01,1,0.50,1
torchinferno,few_shot,26,1850.88,0.00,1975.81,1,0.51,1
torchinferno,few_shot,27,1852.74,0.00,1981.77,1,0.50,1
torchinferno,few_shot,28,1864.26,0.00,1989.97,1,0.50,1
torchinferno,few_shot,29,1866.63,0.00,1992.54,1,0.50,1
torchinferno,few_shot,30,1856.02,0.00,1996.76,1,0.50,1
torchinferno,few_shot,31,1847.95,0.00,1985.44,1,0.50,1
torchinferno,few_shot,32,1866.41,0.00,1996.21,1,0.50,1
torchinferno,few_shot,33,1860.34,168.23,2028.58,2,0.99,1
torchinferno,few_shot,34,1863.39,169.30,2032.69,2,0.98,1
torchinferno,few_shot,35,1861.90,158.46,2020.36,2,0.99,1
torchinferno,few_shot,36,1852.02,165.73,2017.75,2,0.99,1
torchinferno,few_shot,37,1860.77,169.46,2030.23,2,0.99,1
torchinferno,few_shot,38,1867.08,164.74,2031.82,2,0.98,1
torchinferno,few_shot,39,1851.45,171.54,2022.99,2,0.99,1
torchinferno,few_shot,40,1856.80,181.59,2038.39,2,0.98,1
torchinferno,few_shot,41,1867.50,176.85,2044.36,2,0.98,1
torchinferno,few_shot,42,1872.06,173.79,2045.85,2,0.98,1
torchinferno,few_shot,43,1868.53,173.38,2041.91,2,0.98,1
torchinferno,few_shot,44,1857.14,184.38,2041.51,2,0.98,1
torchinferno,few_shot,45,1850.46,184.04,2034.49,2,0.98,1
torchinferno,few_shot,46,1848.54,184.66,2033.20,2,0.98,1
torchinferno,few_shot,47,1875.62,177.51,2053.14,2,0.97,1
torchinferno,few_shot,48,1866.19,184.88,2051.07,2,0.98,1
torchinferno,few_shot,49,1856.58,182.72,2039.29,2,0.98,1
torchinferno,few_shot,50,1857.02,192.82,2049.84,2,0.98,1
torchinferno,few_shot,51,1846.48,195.79,2042.27,2,0.98,1
torchinferno,few_shot,52,1854.39,191.28,2045.68,2,0.98,1
torchinferno,few_shot,53,1856.04,186.08,2042.12,2,0.98,1
torchinferno,few_shot,54,1849.62,198.04,2047.66,2,0.98,1
torchinferno,few_shot,55,1846.15,201.82,2047.97,2,0.98,1
torchinferno,few_shot,56,1864.09,197.93,2062.01,2,0.97,1
torchinferno,few_shot,57,1861.12,193.52,2054.64,2,0.97,1
torchinferno,few_shot,58,1856.78,209.01,2065.79,2,0.97,1
torchinferno,few_shot,59,1872.88,193.84,2066.73,2,0.97,1
torchinferno,few_shot,60,1847.80,207.66,2055.46,2,0.97,1
torchinferno,few_shot,61,1872.09,198.99,2071.08,2,0.97,1
torchinferno,few_shot,62,1852.29,206.82,2059.11,2,0.97,1
torchinferno,few_shot,63,1872.97,203.44,2076.41,2,0.96,1
torchinferno,few_shot,64,1856.28,224.10,2080.38,2,0.96,1
torchinferno,few_shot,65,148.96,0.00,205.07,1,4.88,1
torchinferno,few_shot,66,185.95,0.00,242.51,1,4.12,1
torchinferno,few_shot,67,153.29,0.00,219.67,1,4.55,1
torchinferno,few_shot,68,182.37,0.00,249.22,1,4.01,1
torchinferno,few_shot,69,156.43,0.00,221.21,1,4.52,1
torchinferno,few_shot,70,169.84,0.00,240.43,1,4.16,1
torchinferno,few_shot,71,136.22,0.00,206.66,1,4.84,1
torchinferno,few_shot,72,176.97,0.00,252.89,1,3.95,1
torchinferno,few_shot,73,183.09,0.00,262.24,1,3.81,1
torchinferno,few_shot,74,171.77,0.00,243.34,1,4.11,1
torchinferno,few_shot,75,150.00,0.00,224.25,1,4.46,1
torchinferno,few_shot,76,142.79,0.00,220.97,1,4.53,1
torchinferno,few_shot,77,134.15,0.00,215.40,1,4.64,1
torchinferno,few_shot,78,161.70,0.00,244.77,1,4.09,1
torchinferno,few_shot,79,138.20,0.00,221.04,1,4.52,1
torchinferno,few_shot,80,148.07,0.00,233.51,1,4.28,1
torchinferno,few_shot,81,148.12,0.00,234.13,1,4.27,1
torchinferno,few_shot,82,148.33,0.00,231.38,1,4.32,1
torchinferno,few_shot,83,166.63,0.00,259.44,1,3.85,1
torchinferno,few_shot,84,186.88,0.00,274.73,1,3.64,1
torchinferno,few_shot,85,152.44,0.00,245.24,1,4.08,1
torchinferno,few_shot,86,159.55,136.33,295.87,2,6.76,1
torchinferno,few_shot,87,167.46,134.15,301.62,2,6.63,1
torchinferno,few_shot,88,149.45,139.79,289.25,2,6.91,1
torchinferno,few_shot,89,147.11,142.01,289.12,2,6.92,1
torchinferno,few_shot,90,170.95,138.72,309.67,2,6.46,1
torchinferno,few_shot,91,140.54,141.86,282.40,2,7.08,1
torchinferno,few_shot,92,135.27,144.29,279.56,2,7.15,1
torchinferno,few_shot,93,159.57,143.86,303.43,2,6.59,1
torchinferno,few_shot,94,139.30,144.13,283.43,2,7.06,1
torchinferno,few_shot,95,163.01,144.62,307.63,2,6.50,1
torchinferno,few_shot,96,175.02,147.86,322.89,2,6.19,1
torchinferno,few_shot,97,197.88,0.00,256.54,1,3.90,1
torchinferno,few_shot,98,358.55,0.00,423.28,1,2.36,1
torchinferno,few_shot,99,208.23,0.00,271.62,1,3.68,1
