model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-06T13:02:07.902610+00:00

Build Times
provider,build_time_s
torchinferno,38.1
vllm,339.5
sglang,183.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,150.17,131.47,133.93,vllm
ttft_p99_ms,474.20,271.79,196.34,sglang
tpot_median_ms,44.22,45.90,85.09,torchinferno
tpot_p99_ms,131.64,134.72,582.47,torchinferno
e2e_median_ms,192.13,168.10,215.79,vllm
e2e_p99_ms,526.40,334.64,712.28,vllm
throughput_median_tps,6.27,8.47,5.60,vllm
total_output_tokens,1461,1461,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,101.50,119.85,202.27,torchinferno
ttft_p99_ms,340.19,361.55,69096.59,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,108.64,143.53,353.89,torchinferno
e2e_p99_ms,378.03,369.76,69190.30,vllm
throughput_median_tps,9.20,6.97,2.83,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,311.12,161.07,158.89,sglang
ttft_p99_ms,611.29,406.79,695.17,vllm
tpot_median_ms,58.96,45.02,107.45,vllm
tpot_p99_ms,338.89,256.86,977.90,vllm
e2e_median_ms,367.16,202.54,275.95,vllm
e2e_p99_ms,807.93,449.27,1018.22,vllm
throughput_median_tps,3.96,6.65,4.72,vllm
total_output_tokens,1471,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,259.94,142.13,90.43,sglang
ttft_last_turn_ms,328.63,158.40,199.44,vllm
ttft_growth_ratio,1.26,1.11,2.21,vllm
ttft_first_turn_median_ms,252.99,148.33,54.71,sglang
ttft_first_turn_p99_ms,457.32,282.19,182.53,sglang
ttft_last_turn_median_ms,322.51,153.79,204.14,vllm
ttft_last_turn_p99_ms,653.75,405.25,306.17,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,80.34,32.86,44.16,vllm
ttft_p99_ms,244.73,44.03,457.93,vllm
tpot_median_ms,63.98,21.62,274.81,vllm
tpot_p99_ms,167.80,29.91,1001.14,vllm
e2e_median_ms,114.43,48.44,292.71,vllm
e2e_p99_ms,302.19,111.92,1056.09,vllm
throughput_median_tps,12.13,25.60,4.75,vllm
total_output_tokens,1472,1467,1469,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,276.44,75.94,70.39,sglang
ttft_p99_ms,1104.44,204.32,414.90,vllm
tpot_median_ms,19.98,14.92,21.95,vllm
tpot_p99_ms,48.40,22.11,99.97,vllm
e2e_median_ms,987.47,596.12,883.71,vllm
e2e_p99_ms,2229.14,1029.46,1694.70,vllm
throughput_median_tps,36.10,58.26,42.32,vllm
total_output_tokens,36715,36295,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,4,0,212.87,0.00,220.73,1,4.53,1,,,,,,,4,,,
torchinferno,few_shot,3,1,236.36,145.59,381.95,2,5.24,1,,,,,,,3,,,
torchinferno,few_shot,8,2,323.62,0.00,337.41,1,2.96,1,,,,,,,8,,,
torchinferno,few_shot,17,3,160.06,0.00,176.37,1,5.67,1,,,,,,,17,,,
torchinferno,few_shot,12,4,252.22,0.00,269.52,1,3.71,1,,,,,,,12,,,
torchinferno,few_shot,64,5,199.73,0.00,215.03,1,4.65,1,,,,,,,64,,,
torchinferno,few_shot,11,6,273.81,0.00,291.38,1,3.43,1,,,,,,,11,,,
torchinferno,few_shot,5,7,392.61,0.00,421.08,1,2.37,1,,,,,,,5,,,
torchinferno,few_shot,21,8,91.48,28.09,119.57,2,16.73,1,,,,,,,21,,,
torchinferno,few_shot,9,9,304.75,0.00,336.57,1,2.97,1,,,,,,,9,,,
torchinferno,few_shot,1,10,508.61,0.00,537.27,1,1.86,1,,,,,,,1,,,
torchinferno,few_shot,14,11,217.61,29.62,247.23,2,8.09,1,,,,,,,14,,,
torchinferno,few_shot,18,12,145.20,32.29,177.50,2,11.27,1,,,,,,,18,,,
torchinferno,few_shot,10,13,293.71,0.00,325.14,1,3.08,1,,,,,,,10,,,
torchinferno,few_shot,2,14,490.66,34.66,525.32,2,3.81,1,,,,,,,2,,,
torchinferno,few_shot,6,15,371.28,40.99,412.26,2,4.85,1,,,,,,,6,,,
torchinferno,few_shot,7,16,343.30,0.00,385.43,1,2.59,1,,,,,,,7,,,
torchinferno,few_shot,20,17,113.89,37.66,151.54,2,13.20,1,,,,,,,20,,,
torchinferno,few_shot,13,18,233.70,42.54,276.24,2,7.24,1,,,,,,,13,,,
torchinferno,few_shot,16,19,180.19,43.66,223.85,2,8.93,1,,,,,,,16,,,
torchinferno,few_shot,15,20,196.89,46.65,243.54,2,8.21,1,,,,,,,15,,,
torchinferno,few_shot,19,21,130.22,43.86,174.08,2,11.49,1,,,,,,,19,,,
torchinferno,few_shot,22,22,74.49,53.52,128.01,2,15.62,1,,,,,,,22,,,
torchinferno,few_shot,0,23,528.65,54.13,582.78,2,3.43,1,,,,,,,0,,,
torchinferno,few_shot,65,24,124.01,0.00,134.51,1,7.43,1,,,,,,,65,,,
torchinferno,few_shot,25,25,87.32,0.00,100.32,1,9.97,1,,,,,,,25,,,
torchinferno,few_shot,24,26,103.51,0.00,120.26,1,8.32,1,,,,,,,24,,,
torchinferno,few_shot,26,27,71.07,0.00,87.98,1,11.37,1,,,,,,,26,,,
torchinferno,few_shot,23,28,123.64,144.78,268.42,2,7.45,1,,,,,,,23,,,
torchinferno,few_shot,88,29,196.62,0.00,205.02,1,4.88,1,,,,,,,88,,,
torchinferno,few_shot,86,30,217.53,0.00,231.50,1,4.32,1,,,,,,,86,,,
torchinferno,few_shot,68,31,247.63,0.00,268.69,1,3.72,1,,,,,,,68,,,
torchinferno,few_shot,66,32,254.13,0.00,276.16,1,3.62,1,,,,,,,66,,,
torchinferno,few_shot,80,33,231.49,0.00,247.95,1,4.03,1,,,,,,,80,,,
torchinferno,few_shot,87,34,212.32,0.00,234.44,1,4.27,1,,,,,,,87,,,
torchinferno,few_shot,31,35,151.83,0.00,176.66,1,5.66,1,,,,,,,31,,,
torchinferno,few_shot,72,36,240.77,0.00,268.40,1,3.73,1,,,,,,,72,,,
torchinferno,few_shot,28,37,215.33,0.00,242.54,1,4.12,1,,,,,,,28,,,
torchinferno,few_shot,89,38,189.38,0.00,220.40,1,4.54,1,,,,,,,89,,,
