model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-08T19:01:56.415908

Build Times
provider,build_time_s
torchinferno,355.9
vllm,1299.9
sglang,213.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,293.18,151.73,148.56,sglang
ttft_p99_ms,3309.86,257.94,5476.72,vllm
tpot_median_ms,80.93,52.78,72.57,vllm
tpot_p99_ms,862.82,128.48,405.55,vllm
e2e_median_ms,373.35,200.58,215.79,vllm
e2e_p99_ms,3397.77,313.90,5859.84,vllm
throughput_median_tps,3.24,7.59,5.56,vllm
total_output_tokens,1461,1457,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,391.81,189.45,205.10,vllm
ttft_p99_ms,1518.90,239.99,70052.42,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,540.69,247.04,336.76,vllm
e2e_p99_ms,1777.95,344.61,70137.55,vllm
throughput_median_tps,1.85,4.05,2.97,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,767.11,177.21,163.00,sglang
ttft_p99_ms,1901.06,334.62,635.23,vllm
tpot_median_ms,71.02,62.84,100.51,vllm
tpot_p99_ms,270.80,189.15,218.01,vllm
e2e_median_ms,825.18,236.92,261.95,vllm
e2e_p99_ms,1975.19,420.91,689.76,vllm
throughput_median_tps,1.66,6.03,5.19,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,1095.47,132.41,109.73,sglang
ttft_last_turn_ms,829.04,174.75,195.05,vllm
ttft_growth_ratio,0.76,1.32,1.78,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,495.22,58.58,78.68,vllm
ttft_p99_ms,1166.34,2025.03,576.25,sglang
tpot_median_ms,60.79,28.85,51.65,vllm
tpot_p99_ms,335.90,1987.98,137.73,sglang
e2e_median_ms,550.83,80.48,143.04,vllm
e2e_p99_ms,1193.89,2055.05,608.46,sglang
throughput_median_tps,2.50,14.76,9.86,vllm
total_output_tokens,1480,1456,1468,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,518.09,64.90,78.39,vllm
ttft_p99_ms,1690.13,122.72,149.83,vllm
tpot_median_ms,21.96,15.06,24.04,vllm
tpot_p99_ms,45.30,20.77,27.66,vllm
e2e_median_ms,1356.28,609.28,899.94,vllm
e2e_p99_ms,3403.98,1018.81,1686.90,vllm
throughput_median_tps,27.49,59.36,38.83,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,953.99,281.02,1235.01,2,1.62,1
torchinferno,few_shot,1,2522.17,0.00,3311.08,1,0.30,1
torchinferno,few_shot,2,2524.90,0.00,3309.63,1,0.30,1
torchinferno,few_shot,3,2536.56,0.00,3316.89,1,0.30,1
torchinferno,few_shot,4,2517.56,0.00,3308.50,1,0.30,1
torchinferno,few_shot,5,2523.25,0.00,3311.68,1,0.30,1
torchinferno,few_shot,6,2526.01,0.00,3317.82,1,0.30,1
torchinferno,few_shot,7,2521.06,0.00,3316.32,1,0.30,1
torchinferno,few_shot,8,2533.23,0.00,3324.43,1,0.30,1
torchinferno,few_shot,9,2519.40,0.00,3320.93,1,0.30,1
torchinferno,few_shot,10,2530.18,0.00,3329.27,1,0.30,1
torchinferno,few_shot,11,2528.79,799.58,3328.38,2,0.60,1
torchinferno,few_shot,12,2525.69,802.71,3328.40,2,0.60,1
torchinferno,few_shot,13,2525.47,0.00,3337.96,1,0.30,1
torchinferno,few_shot,14,2529.57,0.00,3330.94,1,0.30,1
torchinferno,few_shot,15,2523.50,811.09,3334.59,2,0.60,1
torchinferno,few_shot,16,2521.75,0.00,3333.55,1,0.30,1
torchinferno,few_shot,17,2527.03,0.00,3341.39,1,0.30,1
torchinferno,few_shot,18,2517.38,817.74,3335.11,2,0.60,1
torchinferno,few_shot,19,2527.43,0.00,3342.18,1,0.30,1
torchinferno,few_shot,20,2528.99,810.50,3339.49,2,0.60,1
torchinferno,few_shot,21,2516.85,0.00,3337.56,1,0.30,1
torchinferno,few_shot,22,2522.99,823.07,3346.07,2,0.60,1
torchinferno,few_shot,23,2521.19,822.92,3344.11,2,0.60,1
torchinferno,few_shot,24,3328.39,12.72,3341.10,2,0.60,1
torchinferno,few_shot,25,2521.49,827.12,3348.60,2,0.60,1
torchinferno,few_shot,26,2527.70,0.00,3348.29,1,0.30,1
torchinferno,few_shot,27,2523.88,0.00,3349.00,1,0.30,1
torchinferno,few_shot,28,2529.65,0.00,3355.92,1,0.30,1
torchinferno,few_shot,29,2529.21,822.22,3351.43,2,0.60,1
torchinferno,few_shot,30,3309.86,38.87,3348.73,2,0.60,1
torchinferno,few_shot,31,3349.40,0.45,3349.85,2,0.60,1
torchinferno,few_shot,32,2523.93,835.93,3359.86,2,0.60,1
torchinferno,few_shot,33,3354.24,0.38,3354.62,2,0.60,1
torchinferno,few_shot,34,2537.27,833.07,3370.34,2,0.59,1
torchinferno,few_shot,35,2520.52,840.45,3360.96,2,0.60,1
torchinferno,few_shot,36,2527.42,838.13,3365.54,2,0.59,1
torchinferno,few_shot,37,2519.77,0.00,3366.82,1,0.30,1
torchinferno,few_shot,38,2522.73,0.00,3371.29,1,0.30,1
torchinferno,few_shot,39,2521.30,856.47,3377.76,2,0.59,1
torchinferno,few_shot,40,3301.16,72.67,3373.83,2,0.59,1
torchinferno,few_shot,41,2520.17,861.30,3381.47,2,0.59,1
torchinferno,few_shot,42,2521.04,862.82,3383.86,2,0.59,1
torchinferno,few_shot,43,3379.43,0.48,3379.90,2,0.59,1
torchinferno,few_shot,44,3374.00,0.00,3378.81,1,0.30,1
torchinferno,few_shot,45,2517.59,0.00,3382.97,1,0.30,1
torchinferno,few_shot,46,3305.85,0.00,3382.18,1,0.30,1
torchinferno,few_shot,47,2529.88,0.00,3388.38,1,0.30,1
torchinferno,few_shot,48,3309.86,75.43,3385.29,2,0.59,1
torchinferno,few_shot,49,2522.30,0.00,3394.09,1,0.29,1
torchinferno,few_shot,50,2524.22,869.86,3394.07,2,0.59,1
torchinferno,few_shot,51,3308.17,82.51,3390.68,2,0.59,1
torchinferno,few_shot,52,3307.18,0.00,3390.63,1,0.29,1
torchinferno,few_shot,53,2524.59,0.00,3393.92,1,0.29,1
torchinferno,few_shot,54,2523.93,0.00,3398.01,1,0.29,1
torchinferno,few_shot,55,2533.11,0.00,3405.87,1,0.29,1
torchinferno,few_shot,56,3319.14,78.63,3397.77,2,0.59,1
torchinferno,few_shot,57,3383.40,0.00,3399.06,1,0.29,1
torchinferno,few_shot,58,2528.39,874.63,3403.03,2,0.59,1
torchinferno,few_shot,59,3368.05,35.44,3403.49,2,0.59,1
torchinferno,few_shot,60,2537.64,879.87,3417.51,2,0.59,1
torchinferno,few_shot,61,2523.39,0.00,3410.93,1,0.29,1
torchinferno,few_shot,62,2536.07,886.60,3422.67,2,0.58,1
torchinferno,few_shot,63,2517.43,0.00,2528.61,1,0.40,1
torchinferno,few_shot,64,3739.00,123.23,3862.23,2,0.52,1
torchinferno,few_shot,65,959.21,0.00,999.74,1,1.00,1
torchinferno,few_shot,66,1034.67,0.00,1082.60,1,0.92,1
torchinferno,few_shot,67,980.71,0.00,1032.90,1,0.97,1
torchinferno,few_shot,68,1022.98,0.00,1071.06,1,0.93,1
torchinferno,few_shot,69,1051.25,0.00,1105.57,1,0.90,1
torchinferno,few_shot,70,1047.73,0.00,1105.28,1,0.90,1
torchinferno,few_shot,71,1032.23,0.00,1089.05,1,0.92,1
torchinferno,few_shot,72,1027.95,0.00,1084.57,1,0.92,1
torchinferno,few_shot,73,1016.69,0.00,1079.93,1,0.93,1
torchinferno,few_shot,74,1034.42,0.00,1088.12,1,0.92,1
torchinferno,few_shot,75,1048.56,0.00,1109.80,1,0.90,1
torchinferno,few_shot,76,964.88,56.87,1021.75,2,1.96,1
torchinferno,few_shot,77,951.90,0.00,1018.03,1,0.98,1
torchinferno,few_shot,78,1020.69,68.06,1088.75,2,1.84,1
torchinferno,few_shot,79,988.38,0.00,1056.04,1,0.95,1
torchinferno,few_shot,80,984.07,0.00,1047.07,1,0.96,1
torchinferno,few_shot,81,1025.92,0.00,1086.49,1,0.92,1
torchinferno,few_shot,82,1080.03,0.00,1080.29,1,0.93,1
torchinferno,few_shot,83,1060.38,0.00,1131.34,1,0.88,1
torchinferno,few_shot,84,1055.40,0.35,1055.76,2,1.89,1
torchinferno,few_shot,85,1035.55,0.48,1036.03,2,1.93,1
torchinferno,few_shot,86,962.57,80.12,1042.69,2,1.92,1
torchinferno,few_shot,87,1029.18,37.07,1066.25,2,1.88,1
torchinferno,few_shot,88,1035.44,14.89,1050.33,2,1.90,1
torchinferno,few_shot,89,1045.70,74.28,1119.98,2,1.79,1
torchinferno,few_shot,90,1036.18,0.43,1036.62,2,1.93,1
torchinferno,few_shot,91,1021.58,0.00,1114.08,1,0.90,1
torchinferno,few_shot,92,999.65,0.00,1093.54,1,0.91,1
torchinferno,few_shot,93,1014.17,0.00,1105.09,1,0.90,1
torchinferno,few_shot,94,967.82,0.00,1062.19,1,0.94,1
torchinferno,few_shot,95,1034.81,92.79,1127.60,2,1.77,1
torchinferno,few_shot,96,1011.40,0.00,1098.07,1,0.91,1
torchinferno,few_shot,97,1008.49,100.09,1108.58,2,1.80,1
torchinferno,few_shot,98,980.44,98.42,1078.86,2,1.85,1
torchinferno,few_shot,99,987.19,0.00,1083.53,1,0.92,1
torchinferno,few_shot,100,1042.16,48.73,1090.89,2,1.83,1
torchinferno,few_shot,101,1017.48,0.00,1121.72,1,0.89,1
torchinferno,few_shot,102,1031.05,20.72,1051.77,2,1.90,1
torchinferno,few_shot,103,1045.50,0.00,1150.07,1,0.87,1
torchinferno,few_shot,104,1002.31,0.00,1107.55,1,0.90,1
torchinferno,few_shot,105,982.49,0.00,1086.76,1,0.92,1
torchinferno,few_shot,106,1018.60,0.00,1077.95,1,0.93,1
torchinferno,few_shot,107,971.03,0.00,1076.87,1,0.93,1
torchinferno,few_shot,108,1006.97,0.00,1124.05,1,0.89,1
torchinferno,few_shot,109,1052.89,0.00,1167.98,1,0.86,1
torchinferno,few_shot,110,975.61,115.86,1091.47,2,1.83,1
torchinferno,few_shot,111,1087.63,9.04,1096.67,2,1.82,1
torchinferno,few_shot,112,1049.83,0.00,1169.23,1,0.86,1
torchinferno,few_shot,113,1033.79,126.48,1160.27,2,1.72,1
torchinferno,few_shot,114,729.69,0.00,735.06,1,1.36,1
torchinferno,few_shot,115,1001.79,127.47,1129.26,2,1.77,1
torchinferno,few_shot,116,1012.27,133.16,1145.43,2,1.75,1
torchinferno,few_shot,117,1016.17,0.00,1150.31,1,0.87,1
torchinferno,few_shot,118,1046.38,129.25,1175.64,2,1.70,1
torchinferno,few_shot,119,1030.52,136.51,1167.03,2,1.71,1
torchinferno,few_shot,120,1004.71,142.83,1147.54,2,1.74,1
torchinferno,few_shot,121,1027.49,135.57,1163.06,2,1.72,1
torchinferno,few_shot,122,1018.72,0.00,1111.86,1,0.90,1
torchinferno,few_shot,123,1002.18,0.00,1135.53,1,0.88,1
torchinferno,few_shot,124,1085.48,13.22,1098.70,2,1.82,1
torchinferno,few_shot,125,1020.08,0.00,1121.83,1,0.89,1
torchinferno,few_shot,126,1041.20,156.78,1197.99,2,1.67,1
torchinferno,few_shot,127,1188.87,0.00,1191.96,1,0.84,1
torchinferno,few_shot,128,614.53,131.45,745.98,2,2.68,1
torchinferno,few_shot,129,212.01,0.00,247.14,1,4.05,1
torchinferno,few_shot,130,235.32,0.00,280.10,1,3.57,1
torchinferno,few_shot,131,293.60,0.00,330.53,1,3.03,1
torchinferno,few_shot,132,274.60,0.00,327.24,1,3.06,1
torchinferno,few_shot,133,237.01,0.00,282.06,1,3.55,1
