model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-21T15:02:49.237526

Build Times
provider,build_time_s
torchinferno,336.0
vllm,450.3
sglang,255.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,136.37,140.47,142.00,torchinferno
ttft_p99_ms,1529.75,238.82,655.67,vllm
tpot_median_ms,45.17,48.88,76.23,torchinferno
tpot_p99_ms,115.86,127.58,400.07,torchinferno
e2e_median_ms,179.42,183.23,213.02,torchinferno
e2e_p99_ms,1572.09,303.21,881.63,vllm
throughput_median_tps,6.58,7.75,5.66,vllm
total_output_tokens,1460,1461,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,317.11,195.89,215.60,vllm
ttft_p99_ms,773.93,443.67,71039.07,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,433.67,220.04,360.56,vllm
e2e_p99_ms,896.40,484.83,71131.92,vllm
throughput_median_tps,2.31,4.54,2.77,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,554.15,158.46,156.71,sglang
ttft_p99_ms,1104.84,288.28,266.52,sglang
tpot_median_ms,36.45,54.86,105.36,torchinferno
tpot_p99_ms,71.27,168.83,236.51,torchinferno
e2e_median_ms,582.37,205.52,256.65,vllm
e2e_p99_ms,1126.60,386.86,415.12,vllm
throughput_median_tps,2.28,6.60,5.35,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,466.87,135.53,106.19,sglang
ttft_last_turn_ms,877.17,158.16,165.23,vllm
ttft_growth_ratio,1.88,1.17,1.56,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,217.96,59.12,91.80,vllm
ttft_p99_ms,819.56,2077.87,691.53,sglang
tpot_median_ms,30.35,29.72,40.19,vllm
tpot_p99_ms,254.51,1710.36,160.21,sglang
e2e_median_ms,262.40,82.22,148.27,vllm
e2e_p99_ms,866.67,3775.73,707.95,sglang
throughput_median_tps,5.49,15.07,9.16,vllm
total_output_tokens,1477,1475,1459,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,328.05,76.37,74.83,sglang
ttft_p99_ms,1370.62,240.03,153.59,sglang
tpot_median_ms,21.13,14.86,23.04,vllm
tpot_p99_ms,39.52,24.93,28.62,vllm
e2e_median_ms,1157.32,627.49,868.69,vllm
e2e_p99_ms,2467.78,1013.70,1645.73,vllm
throughput_median_tps,32.22,58.96,40.50,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1034.12,0.00,1042.70,1,0.96,1
torchinferno,few_shot,1,1035.68,126.47,1162.15,2,1.72,1
torchinferno,few_shot,2,1037.78,128.23,1166.02,2,1.72,1
torchinferno,few_shot,3,1457.50,0.00,1466.51,1,0.68,1
torchinferno,few_shot,4,1451.10,0.00,1469.36,1,0.68,1
torchinferno,few_shot,5,1452.73,0.00,1472.31,1,0.68,1
torchinferno,few_shot,6,1453.26,0.00,1471.65,1,0.68,1
torchinferno,few_shot,7,1453.41,0.00,1471.11,1,0.68,1
torchinferno,few_shot,8,1454.08,0.00,1478.01,1,0.68,1
torchinferno,few_shot,9,1454.56,0.00,1482.50,1,0.67,1
torchinferno,few_shot,10,1456.14,0.00,1482.26,1,0.67,1
torchinferno,few_shot,11,1450.55,0.00,1477.44,1,0.68,1
torchinferno,few_shot,12,1452.47,28.13,1480.60,2,1.35,1
torchinferno,few_shot,13,1450.33,0.00,1484.02,1,0.67,1
torchinferno,few_shot,14,1457.46,29.97,1487.43,2,1.34,1
torchinferno,few_shot,15,1459.51,0.00,1491.69,1,0.67,1
torchinferno,few_shot,16,1458.96,30.48,1489.44,2,1.34,1
torchinferno,few_shot,17,1452.36,39.12,1491.48,2,1.34,1
torchinferno,few_shot,18,1449.14,40.65,1489.79,2,1.34,1
torchinferno,few_shot,19,1453.01,0.00,1492.70,1,0.67,1
torchinferno,few_shot,20,1461.73,40.77,1502.51,2,1.33,1
torchinferno,few_shot,21,1454.91,42.96,1497.87,2,1.34,1
torchinferno,few_shot,22,1451.18,0.00,1495.93,1,0.67,1
torchinferno,few_shot,23,1450.39,0.00,1495.30,1,0.67,1
torchinferno,few_shot,24,1453.83,44.56,1498.39,2,1.33,1
torchinferno,few_shot,25,1457.65,45.04,1502.70,2,1.33,1
torchinferno,few_shot,26,1454.51,46.43,1500.93,2,1.33,1
torchinferno,few_shot,27,1454.23,53.80,1508.03,2,1.33,1
torchinferno,few_shot,28,1450.89,52.45,1503.34,2,1.33,1
torchinferno,few_shot,29,1465.17,0.00,1513.24,1,0.66,1
torchinferno,few_shot,30,1457.90,51.93,1509.84,2,1.32,1
torchinferno,few_shot,31,1455.96,0.00,1508.86,1,0.66,1
torchinferno,few_shot,32,1458.16,56.07,1514.23,2,1.32,1
torchinferno,few_shot,33,1457.18,58.24,1515.43,2,1.32,1
torchinferno,few_shot,34,1450.52,68.19,1518.71,2,1.32,1
torchinferno,few_shot,35,1532.98,0.00,1537.92,1,0.65,1
torchinferno,few_shot,36,1522.43,0.00,1539.79,1,0.65,1
torchinferno,few_shot,37,499.36,0.00,508.14,1,1.97,1
torchinferno,few_shot,38,1525.36,0.00,1544.24,1,0.65,1
torchinferno,few_shot,39,1529.80,0.00,1547.18,1,0.65,1
torchinferno,few_shot,40,1527.46,0.00,1546.87,1,0.65,1
torchinferno,few_shot,41,1527.04,0.00,1550.57,1,0.64,1
torchinferno,few_shot,42,372.21,0.00,395.04,1,2.53,1
torchinferno,few_shot,43,1521.80,29.33,1551.13,2,1.29,1
torchinferno,few_shot,44,1526.07,0.00,1554.71,1,0.64,1
torchinferno,few_shot,45,1529.27,0.00,1554.16,1,0.64,1
