model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-15T13:02:30.706157+00:00

Build Times
provider,build_time_s
torchinferno,41.2
vllm,313.2
sglang,171.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,143.22,73.89,79.72,vllm
ttft_p99_ms,727.20,147.72,516.73,vllm
tpot_median_ms,30.87,35.39,65.49,torchinferno
tpot_p99_ms,40.24,87.88,751.80,torchinferno
e2e_median_ms,166.27,101.59,135.98,vllm
e2e_p99_ms,751.38,183.87,840.63,vllm
throughput_median_tps,6.83,13.54,9.83,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,58.69,71.22,121.40,torchinferno
ttft_p99_ms,318.31,301.90,69877.14,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,78.14,88.29,203.04,torchinferno
e2e_p99_ms,353.90,320.28,69917.50,vllm
throughput_median_tps,12.80,11.33,4.93,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,189.87,75.92,85.95,vllm
ttft_p99_ms,1012.67,162.27,496.63,vllm
tpot_median_ms,34.36,35.01,83.55,torchinferno
tpot_p99_ms,45.52,91.70,918.75,torchinferno
e2e_median_ms,217.83,106.57,149.31,vllm
e2e_p99_ms,1034.11,197.74,955.91,vllm
throughput_median_tps,5.12,12.44,8.96,vllm
total_output_tokens,1436,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,420.73,77.07,65.90,sglang
ttft_last_turn_ms,171.76,84.63,93.40,vllm
ttft_growth_ratio,0.41,1.10,1.42,torchinferno
ttft_first_turn_median_ms,205.59,67.27,62.76,sglang
ttft_first_turn_p99_ms,1096.58,154.23,102.40,sglang
ttft_last_turn_median_ms,185.56,71.79,91.73,vllm
ttft_last_turn_p99_ms,204.75,160.84,111.65,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.61,34.50,52.89,vllm
ttft_p99_ms,762.25,101.24,493.47,vllm
tpot_median_ms,34.91,22.65,394.13,vllm
tpot_p99_ms,72.15,38.57,1043.06,vllm
e2e_median_ms,71.96,52.58,452.56,vllm
e2e_p99_ms,812.84,146.03,1105.83,vllm
throughput_median_tps,19.67,24.85,3.22,vllm
total_output_tokens,1476,1464,1486,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,177.65,46.74,50.64,vllm
ttft_p99_ms,494.82,64.07,104.47,vllm
tpot_median_ms,19.08,15.23,24.78,vllm
tpot_p99_ms,25.19,16.87,66.74,vllm
e2e_median_ms,895.06,576.83,924.99,vllm
e2e_p99_ms,1517.66,1028.94,1738.15,vllm
throughput_median_tps,41.86,61.16,39.14,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,783.74,0.00,795.84,1,1.26,1,,,,,,,1,,,
torchinferno,few_shot,0,1,801.60,23.56,825.16,2,2.42,1,,,,,,,0,,,
torchinferno,few_shot,7,2,762.51,0.00,774.43,1,1.29,1,,,,,,,7,,,
torchinferno,few_shot,31,3,361.05,0.00,374.81,1,2.67,1,,,,,,,31,,,
torchinferno,few_shot,24,4,478.00,0.00,492.11,1,2.03,1,,,,,,,24,,,
torchinferno,few_shot,28,5,409.86,0.00,425.87,1,2.35,1,,,,,,,28,,,
torchinferno,few_shot,4,6,812.36,0.00,826.76,1,1.21,1,,,,,,,4,,,
torchinferno,few_shot,10,7,712.31,0.00,727.45,1,1.37,1,,,,,,,10,,,
torchinferno,few_shot,11,8,695.14,0.00,711.99,1,1.40,1,,,,,,,11,,,
torchinferno,few_shot,17,9,591.91,0.00,611.12,1,1.64,1,,,,,,,17,,,
torchinferno,few_shot,8,10,745.96,0.00,762.80,1,1.31,1,,,,,,,8,,,
torchinferno,few_shot,29,11,393.64,0.00,413.04,1,2.42,1,,,,,,,29,,,
torchinferno,few_shot,12,12,676.26,0.00,697.50,1,1.43,1,,,,,,,12,,,
torchinferno,few_shot,25,13,459.68,0.00,480.83,1,2.08,1,,,,,,,25,,,
torchinferno,few_shot,26,14,444.95,0.00,465.25,1,2.15,1,,,,,,,26,,,
torchinferno,few_shot,5,15,792.44,0.00,817.20,1,1.22,1,,,,,,,5,,,
torchinferno,few_shot,9,16,727.20,0.00,751.38,1,1.33,1,,,,,,,9,,,
torchinferno,few_shot,19,17,561.21,25.55,586.75,2,3.41,1,,,,,,,19,,,
torchinferno,few_shot,30,18,377.08,27.37,404.45,2,4.94,1,,,,,,,30,,,
torchinferno,few_shot,21,19,526.22,28.53,554.74,2,3.61,1,,,,,,,21,,,
torchinferno,few_shot,32,20,344.53,26.83,371.35,2,5.39,1,,,,,,,32,,,
torchinferno,few_shot,27,21,426.93,29.13,456.06,2,4.39,1,,,,,,,27,,,
torchinferno,few_shot,22,22,509.30,30.82,540.12,2,3.70,1,,,,,,,22,,,
torchinferno,few_shot,6,23,778.44,29.60,808.04,2,2.48,1,,,,,,,6,,,
torchinferno,few_shot,23,24,493.94,30.98,524.92,2,3.81,1,,,,,,,23,,,
torchinferno,few_shot,13,25,659.67,33.38,693.05,2,2.89,1,,,,,,,13,,,
torchinferno,few_shot,15,26,624.95,33.48,658.43,2,3.04,1,,,,,,,15,,,
torchinferno,few_shot,14,27,642.03,34.48,676.51,2,2.96,1,,,,,,,14,,,
torchinferno,few_shot,3,28,827.06,34.36,861.42,2,2.32,1,,,,,,,3,,,
torchinferno,few_shot,16,29,610.21,34.28,644.48,2,3.10,1,,,,,,,16,,,
torchinferno,few_shot,20,30,542.34,36.71,579.05,2,3.45,1,,,,,,,20,,,
torchinferno,few_shot,18,31,576.85,36.05,612.91,2,3.26,1,,,,,,,18,,,
torchinferno,few_shot,2,32,844.91,36.65,881.55,2,2.27,1,,,,,,,2,,,
torchinferno,few_shot,33,33,325.11,38.29,363.41,2,5.50,1,,,,,,,33,,,
torchinferno,few_shot,34,34,391.27,0.00,403.58,1,2.48,1,,,,,,,34,,,
torchinferno,few_shot,35,35,374.39,0.00,387.50,1,2.58,1,,,,,,,35,,,
torchinferno,few_shot,53,36,74.66,0.00,88.88,1,11.25,1,,,,,,,53,,,
torchinferno,few_shot,42,37,260.02,0.00,272.96,1,3.66,1,,,,,,,42,,,
torchinferno,few_shot,41,38,274.01,0.00,290.16,1,3.45,1,,,,,,,41,,,
