model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-16T21:08:29.785315

Build Times
provider,build_time_s
torchinferno,330.6
vllm,1045.1
sglang,168.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,282.79,161.03,148.51,sglang
ttft_p99_ms,1612.33,498.65,5401.94,vllm
tpot_median_ms,148.79,58.23,73.92,vllm
tpot_p99_ms,186.25,144.88,7311.46,vllm
e2e_median_ms,369.87,220.30,216.24,sglang
e2e_p99_ms,1706.88,542.32,12678.03,vllm
throughput_median_tps,3.98,6.24,5.62,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,273.67,202.22,198.08,sglang
ttft_p99_ms,1418.64,467.79,70131.49,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,299.43,224.00,335.20,vllm
e2e_p99_ms,1469.03,486.34,70258.34,vllm
throughput_median_tps,3.34,4.46,2.98,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,552.15,176.44,153.94,sglang
ttft_p99_ms,1531.89,326.82,587.61,vllm
tpot_median_ms,132.33,57.76,100.93,vllm
tpot_p99_ms,613.03,188.42,217.36,vllm
e2e_median_ms,645.17,223.97,251.11,vllm
e2e_p99_ms,1785.15,416.71,643.04,vllm
throughput_median_tps,1.97,6.11,5.44,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,842.28,143.15,105.50,sglang
ttft_last_turn_ms,530.36,170.55,179.77,vllm
ttft_growth_ratio,0.63,1.19,1.70,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,340.38,57.62,75.69,vllm
ttft_p99_ms,826.17,132.63,497.90,vllm
tpot_median_ms,130.19,26.79,53.82,vllm
tpot_p99_ms,154.26,44.41,545.10,vllm
e2e_median_ms,437.18,78.01,138.15,vllm
e2e_p99_ms,950.72,154.45,606.38,vllm
throughput_median_tps,2.82,15.61,9.54,vllm
total_output_tokens,1474,1476,1488,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,66.58,65.77,sglang
ttft_p99_ms,,120.31,116.57,sglang
tpot_median_ms,,14.91,22.61,vllm
tpot_p99_ms,,19.68,29.19,vllm
e2e_median_ms,,595.93,835.96,vllm
e2e_p99_ms,,996.94,1628.48,vllm
throughput_median_tps,,59.83,41.94,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,726.64,0.00,928.57,1,1.08,1
torchinferno,few_shot,1,727.98,0.00,930.59,1,1.07,1
torchinferno,few_shot,2,1349.60,0.00,1417.81,1,0.71,1
torchinferno,few_shot,3,1339.59,0.00,1413.83,1,0.71,1
torchinferno,few_shot,4,1347.92,0.00,1416.56,1,0.71,1
torchinferno,few_shot,5,1330.87,0.00,1412.12,1,0.71,1
torchinferno,few_shot,6,1330.86,0.00,1413.79,1,0.71,1
torchinferno,few_shot,7,1334.25,0.00,1415.03,1,0.71,1
torchinferno,few_shot,8,1344.55,0.00,1427.95,1,0.70,1
torchinferno,few_shot,9,1336.99,0.00,1417.92,1,0.71,1
torchinferno,few_shot,10,1339.68,0.00,1430.60,1,0.70,1
torchinferno,few_shot,11,1334.69,0.00,1420.60,1,0.70,1
torchinferno,few_shot,12,1344.82,0.00,1432.55,1,0.70,1
torchinferno,few_shot,13,1338.95,0.00,1424.73,1,0.70,1
torchinferno,few_shot,14,1339.87,0.00,1435.41,1,0.70,1
torchinferno,few_shot,15,1352.89,0.00,1439.55,1,0.69,1
torchinferno,few_shot,16,1338.95,0.00,1437.61,1,0.70,1
torchinferno,few_shot,17,1338.61,0.00,1429.40,1,0.70,1
torchinferno,few_shot,18,1332.32,0.00,1431.54,1,0.70,1
torchinferno,few_shot,19,1339.55,0.00,1445.65,1,0.69,1
torchinferno,few_shot,20,1338.50,0.00,1435.56,1,0.70,1
torchinferno,few_shot,21,1338.04,0.00,1445.67,1,0.69,1
torchinferno,few_shot,22,1334.65,0.00,1438.70,1,0.70,1
torchinferno,few_shot,23,1346.77,0.00,1449.48,1,0.69,1
torchinferno,few_shot,24,1331.04,0.00,1441.09,1,0.69,1
torchinferno,few_shot,25,1338.35,0.00,1443.82,1,0.69,1
torchinferno,few_shot,26,1341.14,158.43,1499.57,2,1.33,1
torchinferno,few_shot,27,1339.08,159.20,1498.27,2,1.33,1
torchinferno,few_shot,28,1352.95,150.96,1503.91,2,1.33,1
torchinferno,few_shot,29,1336.74,155.84,1492.58,2,1.34,1
torchinferno,few_shot,30,1341.31,163.03,1504.34,2,1.33,1
torchinferno,few_shot,31,1331.73,163.36,1495.10,2,1.34,1
torchinferno,few_shot,32,1343.34,163.24,1506.57,2,1.33,1
torchinferno,few_shot,33,1342.19,167.37,1509.57,2,1.32,1
torchinferno,few_shot,34,1334.91,166.78,1501.69,2,1.33,1
torchinferno,few_shot,35,1345.58,168.91,1514.49,2,1.32,1
torchinferno,few_shot,36,1332.91,175.59,1508.50,2,1.33,1
torchinferno,few_shot,37,1350.02,166.39,1516.41,2,1.32,1
torchinferno,few_shot,38,1335.26,171.10,1506.35,2,1.33,1
torchinferno,few_shot,39,1350.49,173.51,1524.00,2,1.31,1
torchinferno,few_shot,40,1340.60,183.88,1524.49,2,1.31,1
torchinferno,few_shot,41,1348.27,172.94,1521.21,2,1.31,1
torchinferno,few_shot,42,1342.23,181.88,1524.12,2,1.31,1
torchinferno,few_shot,43,1339.98,183.03,1523.00,2,1.31,1
torchinferno,few_shot,44,1331.01,186.25,1517.26,2,1.32,1
torchinferno,few_shot,45,1333.37,182.46,1515.83,2,1.32,1
torchinferno,few_shot,46,1348.69,181.00,1529.69,2,1.31,1
torchinferno,few_shot,47,1337.89,182.35,1520.24,2,1.32,1
torchinferno,few_shot,48,1331.05,193.40,1524.45,2,1.31,1
torchinferno,few_shot,49,1342.66,192.05,1534.71,2,1.30,1
torchinferno,few_shot,50,171.39,0.00,244.66,1,4.09,1
torchinferno,few_shot,51,211.06,0.00,280.75,1,3.56,1
torchinferno,few_shot,52,181.90,0.00,251.07,1,3.98,1
torchinferno,few_shot,53,206.74,0.00,278.44,1,3.59,1
torchinferno,few_shot,54,699.73,0.00,778.30,1,1.28,1
torchinferno,few_shot,55,1611.86,0.00,1695.64,1,0.59,1
torchinferno,few_shot,56,1617.28,0.00,1696.49,1,0.59,1
torchinferno,few_shot,57,1610.11,0.00,1696.24,1,0.59,1
torchinferno,few_shot,58,202.76,0.00,282.43,1,3.54,1
torchinferno,few_shot,59,190.60,0.00,272.43,1,3.67,1
torchinferno,few_shot,60,207.38,0.00,287.82,1,3.47,1
torchinferno,few_shot,61,1610.13,0.00,1702.43,1,0.59,1
torchinferno,few_shot,62,196.75,0.00,285.33,1,3.50,1
torchinferno,few_shot,63,215.47,0.00,304.15,1,3.29,1
torchinferno,few_shot,64,1612.71,0.00,1706.88,1,0.59,1
torchinferno,few_shot,65,186.75,0.00,280.08,1,3.57,1
torchinferno,few_shot,66,1613.06,0.00,1710.72,1,0.58,1
torchinferno,few_shot,67,181.33,0.00,279.78,1,3.57,1
torchinferno,few_shot,68,184.92,0.00,288.30,1,3.47,1
torchinferno,few_shot,69,175.99,0.00,276.87,1,3.61,1
torchinferno,few_shot,70,184.66,0.00,282.24,1,3.54,1
torchinferno,few_shot,71,218.42,0.00,316.86,1,3.16,1
torchinferno,few_shot,72,697.35,0.00,806.21,1,1.24,1
torchinferno,few_shot,73,210.59,0.00,317.52,1,3.15,1
torchinferno,few_shot,74,1610.86,147.40,1758.25,2,1.14,1
torchinferno,few_shot,75,202.23,139.72,341.94,2,5.85,1
torchinferno,few_shot,76,193.07,147.38,340.45,2,5.87,1
torchinferno,few_shot,77,1619.53,143.28,1762.81,2,1.13,1
torchinferno,few_shot,78,1612.69,153.18,1765.87,2,1.13,1
torchinferno,few_shot,79,1615.49,153.08,1768.57,2,1.13,1
torchinferno,few_shot,80,198.44,151.05,349.49,2,5.72,1
torchinferno,few_shot,81,1612.33,159.00,1771.33,2,1.13,1
torchinferno,few_shot,82,197.30,159.79,357.09,2,5.60,1
torchinferno,few_shot,83,1616.59,155.06,1771.65,2,1.13,1
torchinferno,few_shot,84,1618.66,154.45,1773.11,2,1.13,1
torchinferno,few_shot,85,182.22,161.76,343.97,2,5.81,1
torchinferno,few_shot,86,1616.81,159.30,1776.10,2,1.13,1
torchinferno,few_shot,87,195.26,158.89,354.16,2,5.65,1
torchinferno,few_shot,88,185.08,163.53,348.61,2,5.74,1
torchinferno,few_shot,89,204.02,166.16,370.18,2,5.40,1
torchinferno,few_shot,90,163.08,0.00,220.07,1,4.54,1
torchinferno,few_shot,91,366.80,0.00,429.01,1,2.33,1
torchinferno,few_shot,92,142.22,0.00,195.98,1,5.10,1
torchinferno,few_shot,93,155.25,0.00,221.64,1,4.51,1
torchinferno,few_shot,94,333.29,0.00,397.03,1,2.52,1
torchinferno,few_shot,95,363.40,0.00,425.55,1,2.35,1
torchinferno,few_shot,96,350.91,0.00,417.49,1,2.40,1
torchinferno,few_shot,97,148.74,0.00,212.86,1,4.70,1
torchinferno,few_shot,98,337.18,0.00,409.91,1,2.44,1
torchinferno,few_shot,99,129.97,0.00,204.82,1,4.88,1
torchinferno,few_shot,100,140.38,0.00,218.43,1,4.58,1
torchinferno,few_shot,101,344.57,0.00,425.22,1,2.35,1
torchinferno,few_shot,102,137.85,0.00,217.59,1,4.60,1
torchinferno,few_shot,103,356.10,0.00,439.31,1,2.28,1
torchinferno,few_shot,104,128.01,0.00,210.38,1,4.75,1
torchinferno,few_shot,105,351.19,0.00,429.97,1,2.33,1
torchinferno,few_shot,106,358.78,0.00,441.09,1,2.27,1
torchinferno,few_shot,107,155.05,0.00,234.17,1,4.27,1
torchinferno,few_shot,108,340.84,0.00,432.16,1,2.31,1
torchinferno,few_shot,109,158.34,0.00,244.70,1,4.09,1
torchinferno,few_shot,110,167.49,0.00,256.24,1,3.90,1
torchinferno,few_shot,111,367.15,0.00,458.14,1,2.18,1
torchinferno,few_shot,112,332.43,0.00,431.48,1,2.32,1
torchinferno,few_shot,113,336.22,0.00,437.95,1,2.28,1
torchinferno,few_shot,114,134.37,0.00,234.09,1,4.27,1
torchinferno,few_shot,115,329.73,0.00,429.31,1,2.33,1
torchinferno,few_shot,116,152.60,0.00,253.64,1,3.94,1
torchinferno,few_shot,117,352.55,0.00,460.73,1,2.17,1
torchinferno,few_shot,118,164.44,136.63,301.07,2,6.64,1
torchinferno,few_shot,119,145.72,142.36,288.08,2,6.94,1
torchinferno,few_shot,120,338.94,136.24,475.18,2,4.21,1
torchinferno,few_shot,121,341.45,146.59,488.05,2,4.10,1
torchinferno,few_shot,122,360.23,146.35,506.59,2,3.95,1
torchinferno,few_shot,123,347.44,137.86,485.29,2,4.12,1
torchinferno,few_shot,124,138.04,140.98,279.02,2,7.17,1
torchinferno,few_shot,125,167.09,140.88,307.97,2,6.49,1
torchinferno,few_shot,126,160.34,144.08,304.42,2,6.57,1
torchinferno,few_shot,127,341.06,147.84,488.90,2,4.09,1
torchinferno,few_shot,128,150.68,151.97,302.64,2,6.61,1
torchinferno,few_shot,129,345.24,158.01,503.25,2,3.97,1
torchinferno,few_shot,130,150.45,154.99,305.44,2,6.55,1
torchinferno,few_shot,131,158.82,154.27,313.09,2,6.39,1
torchinferno,few_shot,132,366.77,157.72,524.49,2,3.81,1
torchinferno,few_shot,133,143.96,152.76,296.72,2,6.74,1
torchinferno,few_shot,134,338.46,165.51,503.97,2,3.97,1
torchinferno,few_shot,135,170.80,157.59,328.39,2,6.09,1
torchinferno,few_shot,136,362.35,161.46,523.81,2,3.82,1
torchinferno,few_shot,137,151.52,159.02,310.55,2,6.44,1
torchinferno,few_shot,138,204.74,0.00,271.03,1,3.69,1
torchinferno,few_shot,139,190.31,0.00,250.24,1,4.00,1
torchinferno,few_shot,140,366.57,0.00,428.31,1,2.33,1
torchinferno,few_shot,141,212.94,0.00,279.04,1,3.58,1
torchinferno,few_shot,142,212.92,0.00,285.61,1,3.50,1
torchinferno,few_shot,143,225.43,0.00,292.33,1,3.42,1
torchinferno,few_shot,144,363.50,0.00,437.72,1,2.28,1
torchinferno,few_shot,145,188.52,0.00,255.58,1,3.91,1
torchinferno,few_shot,146,184.85,0.00,263.23,1,3.80,1
torchinferno,few_shot,147,227.48,0.00,296.03,1,3.38,1
torchinferno,few_shot,148,205.69,0.00,275.82,1,3.63,1
torchinferno,few_shot,149,210.26,0.00,285.04,1,3.51,1
torchinferno,few_shot,150,366.96,0.00,451.14,1,2.22,1
torchinferno,few_shot,151,220.01,0.00,296.55,1,3.37,1
torchinferno,few_shot,152,215.89,0.00,303.06,1,3.30,1
torchinferno,few_shot,153,197.99,0.00,286.04,1,3.50,1
torchinferno,few_shot,154,191.18,0.00,270.55,1,3.70,1
torchinferno,few_shot,155,378.73,0.00,466.25,1,2.14,1
torchinferno,few_shot,156,208.94,0.00,299.50,1,3.34,1
torchinferno,few_shot,157,199.19,0.00,289.91,1,3.45,1
torchinferno,few_shot,158,356.92,0.00,454.93,1,2.20,1
torchinferno,few_shot,159,210.25,126.60,336.85,2,5.94,1
torchinferno,few_shot,160,192.02,135.39,327.41,2,6.11,1
torchinferno,few_shot,161,378.38,132.82,511.20,2,3.91,1
torchinferno,few_shot,162,376.61,139.04,515.65,2,3.88,1
torchinferno,few_shot,163,195.48,138.57,334.05,2,5.99,1
torchinferno,few_shot,164,362.32,147.50,509.81,2,3.92,1
torchinferno,few_shot,165,206.79,145.52,352.32,2,5.68,1
torchinferno,few_shot,166,361.15,143.32,504.48,2,3.96,1
torchinferno,few_shot,167,198.28,144.49,342.77,2,5.83,1
torchinferno,few_shot,168,228.92,143.96,372.88,2,5.36,1
torchinferno,few_shot,169,371.87,144.44,516.31,2,3.87,1
torchinferno,few_shot,170,370.58,154.95,525.53,2,3.81,1
torchinferno,few_shot,171,190.28,154.87,345.15,2,5.79,1
torchinferno,few_shot,172,363.76,160.33,524.08,2,3.82,1
torchinferno,few_shot,173,226.15,155.90,382.05,2,5.23,1
torchinferno,few_shot,174,211.28,159.39,370.67,2,5.40,1
torchinferno,few_shot,175,367.04,153.10,520.13,2,3.85,1
torchinferno,few_shot,176,184.62,155.54,340.16,2,5.88,1
torchinferno,few_shot,177,185.01,164.82,349.82,2,5.72,1
torchinferno,few_shot,178,359.24,162.59,521.83,2,3.83,1
torchinferno,few_shot,179,203.23,166.89,370.12,2,5.40,1
torchinferno,few_shot,180,354.06,173.10,527.17,2,3.79,1
torchinferno,few_shot,181,370.08,98.82,567.72,3,5.28,0
torchinferno,few_shot,182,411.98,0.00,476.75,1,2.10,1
torchinferno,few_shot,183,425.08,0.00,483.14,1,2.07,1
torchinferno,few_shot,184,227.33,0.00,283.71,1,3.52,1
torchinferno,few_shot,185,198.93,0.00,269.64,1,3.71,1
torchinferno,few_shot,186,217.30,0.00,279.83,1,3.57,1
torchinferno,few_shot,187,411.26,0.00,486.16,1,2.06,1
torchinferno,few_shot,188,219.95,0.00,293.58,1,3.41,1
torchinferno,few_shot,189,411.87,0.00,482.31,1,2.07,1
torchinferno,few_shot,190,421.85,0.00,499.20,1,2.00,1
torchinferno,few_shot,191,422.13,0.00,503.15,1,1.99,1
torchinferno,few_shot,192,438.72,0.00,508.49,1,1.97,1
torchinferno,few_shot,193,148.83,0.00,225.79,1,4.43,1
