model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-16T07:08:35.992889

Build Times
provider,build_time_s
torchinferno,247.6
vllm,1036.9
sglang,164.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,287.94,155.27,140.36,sglang
ttft_p99_ms,2010.65,942.28,5215.17,vllm
tpot_median_ms,150.22,49.10,72.82,vllm
tpot_p99_ms,205.36,127.64,7422.39,vllm
e2e_median_ms,377.20,199.33,206.03,vllm
e2e_p99_ms,2104.95,993.38,12605.88,vllm
throughput_median_tps,3.87,7.41,5.94,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,292.85,187.13,193.24,vllm
ttft_p99_ms,1401.38,403.82,70365.77,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,315.01,209.20,323.89,vllm
e2e_p99_ms,1446.71,434.70,70489.58,vllm
throughput_median_tps,3.17,4.78,3.09,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,507.44,171.91,154.87,sglang
ttft_p99_ms,1464.01,326.48,745.71,vllm
tpot_median_ms,105.82,60.35,102.49,vllm
tpot_p99_ms,431.74,180.83,205.53,vllm
e2e_median_ms,618.11,222.73,252.76,vllm
e2e_p99_ms,1701.44,426.10,882.61,vllm
throughput_median_tps,2.21,6.22,5.31,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,767.74,149.59,116.65,sglang
ttft_last_turn_ms,582.49,166.37,167.93,vllm
ttft_growth_ratio,0.76,1.11,1.44,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,351.80,57.87,78.78,vllm
ttft_p99_ms,875.00,116.92,638.86,vllm
tpot_median_ms,131.33,26.59,54.98,vllm
tpot_p99_ms,207.77,102.14,592.44,vllm
e2e_median_ms,453.23,78.56,142.71,vllm
e2e_p99_ms,1002.47,149.92,689.86,vllm
throughput_median_tps,2.78,15.91,10.01,vllm
total_output_tokens,1474,1448,1471,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,76.77,66.04,sglang
ttft_p99_ms,,227.40,144.70,sglang
tpot_median_ms,,14.91,22.46,vllm
tpot_p99_ms,,21.82,26.49,vllm
e2e_median_ms,,631.75,838.87,vllm
e2e_p99_ms,,1047.88,1582.26,vllm
throughput_median_tps,,58.44,41.55,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,607.66,230.98,838.64,2,2.38,1
torchinferno,few_shot,1,1729.11,0.00,1805.83,1,0.55,1
torchinferno,few_shot,2,1717.72,0.00,1806.89,1,0.55,1
torchinferno,few_shot,3,1705.35,0.00,1796.24,1,0.56,1
torchinferno,few_shot,4,1713.37,0.00,1800.46,1,0.56,1
torchinferno,few_shot,5,1717.46,0.00,1814.14,1,0.55,1
torchinferno,few_shot,6,1721.81,0.00,1816.95,1,0.55,1
torchinferno,few_shot,7,1720.16,0.00,1806.87,1,0.55,1
torchinferno,few_shot,8,1725.60,0.00,1820.55,1,0.55,1
torchinferno,few_shot,9,1714.17,0.00,1816.76,1,0.55,1
torchinferno,few_shot,10,1718.73,0.00,1825.19,1,0.55,1
torchinferno,few_shot,11,1722.22,0.00,1823.18,1,0.55,1
torchinferno,few_shot,12,1721.72,0.00,1826.39,1,0.55,1
torchinferno,few_shot,13,1720.06,0.00,1818.36,1,0.55,1
torchinferno,few_shot,14,1727.26,0.00,1828.56,1,0.55,1
torchinferno,few_shot,15,1723.18,0.00,1829.73,1,0.55,1
torchinferno,few_shot,16,1718.68,0.00,1831.84,1,0.55,1
torchinferno,few_shot,17,1706.62,0.00,1824.42,1,0.55,1
torchinferno,few_shot,18,1717.21,0.00,1825.31,1,0.55,1
torchinferno,few_shot,19,1708.48,0.00,1826.41,1,0.55,1
torchinferno,few_shot,20,1713.65,0.00,1828.09,1,0.55,1
torchinferno,few_shot,21,1711.74,0.00,1830.98,1,0.55,1
torchinferno,few_shot,22,1725.14,0.00,1844.60,1,0.54,1
torchinferno,few_shot,23,1717.58,0.00,1845.02,1,0.54,1
torchinferno,few_shot,24,1713.09,0.00,1836.26,1,0.54,1
torchinferno,few_shot,25,1716.33,0.00,1849.33,1,0.54,1
torchinferno,few_shot,26,1725.40,163.28,1888.68,2,1.06,1
torchinferno,few_shot,27,1709.18,170.98,1880.16,2,1.06,1
torchinferno,few_shot,28,1721.70,171.83,1893.53,2,1.06,1
torchinferno,few_shot,29,1721.46,174.18,1895.63,2,1.06,1
torchinferno,few_shot,30,1726.71,171.56,1898.26,2,1.05,1
torchinferno,few_shot,31,1715.93,170.95,1886.88,2,1.06,1
torchinferno,few_shot,32,1727.80,174.54,1902.35,2,1.05,1
torchinferno,few_shot,33,1725.06,182.68,1907.74,2,1.05,1
torchinferno,few_shot,34,1716.39,180.60,1896.99,2,1.05,1
torchinferno,few_shot,35,1710.61,190.50,1901.11,2,1.05,1
torchinferno,few_shot,36,1712.23,189.35,1901.58,2,1.05,1
torchinferno,few_shot,37,1718.63,195.50,1914.13,2,1.04,1
torchinferno,few_shot,38,1732.70,187.32,1920.02,2,1.04,1
torchinferno,few_shot,39,1724.61,192.64,1917.25,2,1.04,1
torchinferno,few_shot,40,1718.34,191.42,1909.76,2,1.05,1
torchinferno,few_shot,41,1708.57,199.29,1907.86,2,1.05,1
torchinferno,few_shot,42,1716.66,204.95,1921.61,2,1.04,1
torchinferno,few_shot,43,1717.39,203.30,1920.69,2,1.04,1
torchinferno,few_shot,44,1710.73,201.10,1911.83,2,1.05,1
