model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-12T23:07:03.299689

Build Times
provider,build_time_s
torchinferno,339.0
vllm,962.3
sglang,167.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,394.65,162.18,139.60,sglang
ttft_p99_ms,1247.57,495.54,8213.70,vllm
tpot_median_ms,486.97,57.36,76.41,vllm
tpot_p99_ms,1053.91,145.16,7531.72,vllm
e2e_median_ms,825.57,217.87,210.31,sglang
e2e_p99_ms,1865.14,551.55,15710.09,vllm
throughput_median_tps,1.66,6.49,5.70,vllm
total_output_tokens,1466,1460,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,723.64,184.74,200.49,vllm
ttft_p99_ms,1034.05,446.19,70891.87,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,754.78,206.96,333.12,vllm
e2e_p99_ms,1065.22,499.90,71175.76,vllm
throughput_median_tps,1.32,4.83,3.00,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,618.65,171.93,158.54,sglang
ttft_p99_ms,1241.11,369.40,797.25,vllm
tpot_median_ms,213.89,58.79,93.49,vllm
tpot_p99_ms,483.93,192.97,213.19,vllm
e2e_median_ms,815.91,225.64,255.93,vllm
e2e_p99_ms,1572.64,432.29,849.47,vllm
throughput_median_tps,1.61,6.20,5.14,vllm
total_output_tokens,1450,1462,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,724.48,143.12,109.50,sglang
ttft_last_turn_ms,603.04,169.89,188.39,vllm
ttft_growth_ratio,0.83,1.19,1.72,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,528.91,58.03,75.72,vllm
ttft_p99_ms,1223.28,124.76,490.31,vllm
tpot_median_ms,465.18,26.60,61.81,vllm
tpot_p99_ms,591.46,41.79,167.91,vllm
e2e_median_ms,908.51,78.55,152.91,vllm
e2e_p99_ms,1724.40,147.09,532.45,vllm
throughput_median_tps,1.65,15.62,9.41,vllm
total_output_tokens,1464,1462,1471,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,617.43,69.90,66.57,sglang
ttft_p99_ms,2091.97,188.86,105.72,sglang
tpot_median_ms,31.83,15.02,22.31,vllm
tpot_p99_ms,74.50,21.28,26.66,vllm
e2e_median_ms,2013.71,608.60,821.37,vllm
e2e_p99_ms,3090.26,1012.71,1548.53,vllm
throughput_median_tps,18.27,58.48,42.48,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,638.66,120.58,759.24,2,2.63,1
torchinferno,few_shot,1,1238.57,0.00,1649.41,1,0.61,1
torchinferno,few_shot,2,1245.47,0.00,1652.35,1,0.61,1
torchinferno,few_shot,3,1247.40,0.00,1656.39,1,0.60,1
torchinferno,few_shot,4,1237.04,0.00,1657.17,1,0.60,1
torchinferno,few_shot,5,1240.56,0.00,1661.47,1,0.60,1
torchinferno,few_shot,6,1234.32,0.00,1645.94,1,0.61,1
torchinferno,few_shot,7,1235.52,0.00,1647.89,1,0.61,1
torchinferno,few_shot,8,1236.46,0.00,1663.27,1,0.60,1
torchinferno,few_shot,9,1233.40,0.00,1651.68,1,0.61,1
torchinferno,few_shot,10,1229.50,0.00,1651.42,1,0.61,1
torchinferno,few_shot,11,1231.82,0.00,1657.14,1,0.60,1
torchinferno,few_shot,12,1235.97,0.00,1670.58,1,0.60,1
torchinferno,few_shot,13,1236.45,0.00,1661.11,1,0.60,1
torchinferno,few_shot,14,1243.00,0.00,1675.08,1,0.60,1
torchinferno,few_shot,15,1246.66,0.00,1672.22,1,0.60,1
torchinferno,few_shot,16,1235.06,0.00,1673.50,1,0.60,1
torchinferno,few_shot,17,1245.78,0.00,1679.12,1,0.60,1
torchinferno,few_shot,18,1227.95,0.00,1667.27,1,0.60,1
torchinferno,few_shot,19,1231.28,0.00,1667.35,1,0.60,1
torchinferno,few_shot,20,1250.43,0.00,1678.15,1,0.60,1
torchinferno,few_shot,21,1227.61,0.00,1672.26,1,0.60,1
torchinferno,few_shot,22,1240.72,0.00,1674.66,1,0.60,1
torchinferno,few_shot,23,1236.39,0.00,1672.90,1,0.60,1
torchinferno,few_shot,24,1230.34,0.00,1675.29,1,0.60,1
torchinferno,few_shot,25,1237.79,0.00,1687.89,1,0.59,1
torchinferno,few_shot,26,486.46,0.00,932.57,1,1.07,1
torchinferno,few_shot,27,1238.12,0.00,1678.89,1,0.60,1
torchinferno,few_shot,28,1235.47,0.00,1676.69,1,0.60,1
torchinferno,few_shot,29,1234.45,0.00,1682.87,1,0.59,1
torchinferno,few_shot,30,1236.39,0.00,1680.26,1,0.60,1
torchinferno,few_shot,31,1227.12,0.00,1685.26,1,0.59,1
torchinferno,few_shot,32,1228.93,0.00,1684.01,1,0.59,1
torchinferno,few_shot,33,1225.12,0.00,1690.25,1,0.59,1
torchinferno,few_shot,34,1228.41,604.32,1832.73,2,1.09,1
torchinferno,few_shot,35,1236.43,593.39,1829.82,2,1.09,1
torchinferno,few_shot,36,1242.89,605.09,1847.98,2,1.08,1
torchinferno,few_shot,37,1225.44,604.83,1830.27,2,1.09,1
torchinferno,few_shot,38,1238.75,609.02,1847.77,2,1.08,1
torchinferno,few_shot,39,1236.72,598.21,1834.93,2,1.09,1
torchinferno,few_shot,40,1239.10,612.97,1852.07,2,1.08,1
torchinferno,few_shot,41,1233.58,606.80,1840.38,2,1.09,1
torchinferno,few_shot,42,1237.80,614.38,1852.18,2,1.08,1
torchinferno,few_shot,43,1230.51,607.61,1838.11,2,1.09,1
torchinferno,few_shot,44,1239.65,621.58,1861.23,2,1.07,1
torchinferno,few_shot,45,1229.29,614.04,1843.34,2,1.08,1
