model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-19T09:03:00.434762

Build Times
provider,build_time_s
torchinferno,305.8
vllm,1259.1
sglang,186.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,279.62,160.18,138.19,sglang
ttft_p99_ms,1494.58,735.35,5684.56,vllm
tpot_median_ms,154.35,59.65,77.28,vllm
tpot_p99_ms,206.71,178.95,7300.20,vllm
e2e_median_ms,376.59,220.73,207.49,sglang
e2e_p99_ms,1689.49,769.69,12956.32,vllm
throughput_median_tps,4.09,6.54,5.90,vllm
total_output_tokens,1460,1461,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,274.21,178.26,203.43,vllm
ttft_p99_ms,1329.29,455.09,71086.65,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,303.29,203.35,342.32,vllm
e2e_p99_ms,1414.22,488.28,71358.33,vllm
throughput_median_tps,3.30,4.92,2.92,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,533.35,177.38,152.19,sglang
ttft_p99_ms,1468.17,349.26,749.22,vllm
tpot_median_ms,131.28,44.83,103.48,vllm
tpot_p99_ms,570.95,172.12,233.04,vllm
e2e_median_ms,632.27,216.99,252.76,vllm
e2e_p99_ms,1699.82,421.02,816.79,vllm
throughput_median_tps,2.05,6.23,5.25,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,814.77,155.68,110.11,sglang
ttft_last_turn_ms,556.60,169.72,171.94,vllm
ttft_growth_ratio,0.68,1.09,1.56,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,337.01,58.02,75.86,vllm
ttft_p99_ms,755.62,124.79,495.92,vllm
tpot_median_ms,129.23,27.75,56.94,vllm
tpot_p99_ms,148.70,59.35,485.72,vllm
e2e_median_ms,439.37,77.75,147.61,vllm
e2e_p99_ms,934.22,157.12,576.91,vllm
throughput_median_tps,3.15,15.55,9.74,vllm
total_output_tokens,1479,1474,1467,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,671.51,66.03,64.51,sglang
ttft_p99_ms,2271.82,108.25,111.81,vllm
tpot_median_ms,15.45,15.03,22.47,vllm
tpot_p99_ms,32.26,18.40,27.44,vllm
e2e_median_ms,1205.77,597.26,829.69,vllm
e2e_p99_ms,3084.75,999.04,1594.68,vllm
throughput_median_tps,25.82,59.93,41.94,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,788.94,0.00,970.87,1,1.03,1
torchinferno,few_shot,1,1493.81,0.00,1576.71,1,0.63,1
torchinferno,few_shot,2,1486.33,0.00,1583.93,1,0.63,1
torchinferno,few_shot,3,1489.45,0.00,1584.81,1,0.63,1
torchinferno,few_shot,4,1488.79,0.00,1581.11,1,0.63,1
torchinferno,few_shot,5,1491.27,0.00,1583.79,1,0.63,1
torchinferno,few_shot,6,1491.47,0.00,1587.61,1,0.63,1
torchinferno,few_shot,7,1487.03,0.00,1575.68,1,0.63,1
torchinferno,few_shot,8,1492.90,0.00,1595.18,1,0.63,1
torchinferno,few_shot,9,1483.24,0.00,1580.21,1,0.63,1
torchinferno,few_shot,10,1474.65,0.00,1582.83,1,0.63,1
torchinferno,few_shot,11,1497.27,0.00,1592.68,1,0.63,1
torchinferno,few_shot,12,1491.15,0.00,1592.49,1,0.63,1
torchinferno,few_shot,13,1491.32,0.00,1601.83,1,0.62,1
torchinferno,few_shot,14,1487.57,0.00,1594.55,1,0.63,1
torchinferno,few_shot,15,1483.78,0.00,1598.15,1,0.63,1
torchinferno,few_shot,16,1498.74,0.00,1605.92,1,0.62,1
torchinferno,few_shot,17,1483.98,0.00,1599.23,1,0.63,1
torchinferno,few_shot,18,1482.28,0.00,1602.64,1,0.62,1
torchinferno,few_shot,19,1494.58,0.00,1611.25,1,0.62,1
torchinferno,few_shot,20,1483.28,0.00,1607.81,1,0.62,1
torchinferno,few_shot,21,1490.84,0.00,1609.72,1,0.62,1
torchinferno,few_shot,22,531.36,0.00,646.43,1,1.55,1
torchinferno,few_shot,23,1496.62,0.00,1615.67,1,0.62,1
torchinferno,few_shot,24,1481.22,0.00,1614.71,1,0.62,1
torchinferno,few_shot,25,1494.07,0.00,1619.69,1,0.62,1
torchinferno,few_shot,26,1488.31,0.00,1617.50,1,0.62,1
torchinferno,few_shot,27,1485.41,0.00,1625.74,1,0.62,1
torchinferno,few_shot,28,1488.54,0.00,1624.60,1,0.62,1
torchinferno,few_shot,29,1483.76,0.00,1613.75,1,0.62,1
torchinferno,few_shot,30,1493.40,0.00,1628.25,1,0.61,1
torchinferno,few_shot,31,1486.40,0.00,1625.19,1,0.62,1
torchinferno,few_shot,32,1476.31,0.00,1627.27,1,0.61,1
torchinferno,few_shot,33,1498.63,159.40,1658.02,2,1.21,1
torchinferno,few_shot,34,1494.06,168.90,1662.96,2,1.20,1
torchinferno,few_shot,35,1476.01,170.43,1646.44,2,1.21,1
torchinferno,few_shot,36,1495.50,167.47,1662.97,2,1.20,1
torchinferno,few_shot,37,1499.33,164.27,1663.60,2,1.20,1
torchinferno,few_shot,38,1492.47,166.62,1659.09,2,1.21,1
torchinferno,few_shot,39,1482.13,172.45,1654.59,2,1.21,1
torchinferno,few_shot,40,1483.67,182.28,1665.95,2,1.20,1
torchinferno,few_shot,41,1483.82,172.20,1656.02,2,1.21,1
torchinferno,few_shot,42,1492.54,180.40,1672.94,2,1.20,1
torchinferno,few_shot,43,1488.62,190.10,1678.72,2,1.19,1
torchinferno,few_shot,44,1486.13,187.72,1673.85,2,1.19,1
torchinferno,few_shot,45,1484.19,193.81,1678.00,2,1.19,1
torchinferno,few_shot,46,1486.57,187.76,1674.34,2,1.19,1
torchinferno,few_shot,47,1484.46,197.23,1681.69,2,1.19,1
torchinferno,few_shot,48,1494.00,182.57,1676.57,2,1.19,1
torchinferno,few_shot,49,1504.78,182.55,1687.34,2,1.19,1
torchinferno,few_shot,50,1488.93,183.58,1672.50,2,1.20,1
torchinferno,few_shot,51,1502.77,184.91,1687.68,2,1.19,1
torchinferno,few_shot,52,1477.34,199.08,1676.42,2,1.19,1
torchinferno,few_shot,53,1484.60,205.24,1689.84,2,1.18,1
torchinferno,few_shot,54,1480.01,196.88,1676.89,2,1.19,1
torchinferno,few_shot,55,1482.61,194.93,1677.53,2,1.19,1
torchinferno,few_shot,56,1483.60,206.22,1689.81,2,1.18,1
torchinferno,few_shot,57,1494.05,196.00,1690.06,2,1.18,1
torchinferno,few_shot,58,1503.29,197.67,1700.97,2,1.18,1
torchinferno,few_shot,59,1482.58,210.69,1693.27,2,1.18,1
torchinferno,few_shot,60,1492.60,206.71,1699.32,2,1.18,1
torchinferno,few_shot,61,1483.98,215.26,1699.24,2,1.18,1
