model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-10T17:03:29.091420

Build Times
provider,build_time_s
torchinferno,387.9
vllm,1372.8
sglang,199.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,283.94,155.71,152.92,sglang
ttft_p99_ms,2560.83,264.32,1086.91,vllm
tpot_median_ms,95.22,59.16,76.40,vllm
tpot_p99_ms,664.79,149.29,1006.61,vllm
e2e_median_ms,371.38,212.76,221.78,vllm
e2e_p99_ms,2668.52,333.16,1145.37,vllm
throughput_median_tps,3.34,7.06,5.43,vllm
total_output_tokens,1461,1457,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,449.13,193.63,203.28,vllm
ttft_p99_ms,1185.23,249.63,71157.22,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,575.91,255.82,337.34,vllm
e2e_p99_ms,1592.27,347.31,71265.27,vllm
throughput_median_tps,1.74,3.91,2.96,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,708.91,187.16,167.71,sglang
ttft_p99_ms,4200.00,342.53,640.30,vllm
tpot_median_ms,67.83,68.31,101.03,torchinferno
tpot_p99_ms,192.03,183.17,253.68,vllm
e2e_median_ms,782.11,243.21,270.27,vllm
e2e_p99_ms,4232.16,422.03,708.60,vllm
throughput_median_tps,1.68,5.75,4.81,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,812.10,142.64,380.44,vllm
ttft_last_turn_ms,1113.83,167.07,191.89,vllm
ttft_growth_ratio,1.37,1.17,0.50,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,406.56,59.18,83.49,vllm
ttft_p99_ms,1204.69,2138.71,615.89,sglang
tpot_median_ms,63.02,28.29,51.24,vllm
tpot_p99_ms,454.76,1751.87,156.48,sglang
e2e_median_ms,456.52,81.26,147.77,vllm
e2e_p99_ms,1370.09,2164.69,643.40,sglang
throughput_median_tps,3.00,15.34,9.59,vllm
total_output_tokens,1472,1454,1472,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,188.56,66.31,83.05,vllm
ttft_p99_ms,1260.90,120.93,174.37,vllm
tpot_median_ms,26.57,14.81,23.38,vllm
tpot_p99_ms,62.14,20.99,29.96,vllm
e2e_median_ms,1247.48,599.40,877.98,vllm
e2e_p99_ms,2623.03,994.46,1789.91,vllm
throughput_median_tps,30.93,60.34,39.54,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1331.89,0.00,1338.38,1,0.75,1
torchinferno,few_shot,1,1333.53,0.00,1345.07,1,0.74,1
torchinferno,few_shot,2,1331.98,0.00,1344.92,1,0.74,1
torchinferno,few_shot,3,1332.01,304.03,1636.05,2,1.22,1
torchinferno,few_shot,4,1335.88,305.16,1641.04,2,1.22,1
torchinferno,few_shot,5,2002.34,0.00,2552.59,1,0.39,1
torchinferno,few_shot,6,2002.43,0.00,2555.52,1,0.39,1
torchinferno,few_shot,7,1996.11,0.00,2549.33,1,0.39,1
torchinferno,few_shot,8,2002.99,0.00,2551.24,1,0.39,1
torchinferno,few_shot,9,1998.19,0.00,2553.57,1,0.39,1
torchinferno,few_shot,10,1997.58,0.00,2557.83,1,0.39,1
torchinferno,few_shot,11,2008.21,0.00,2561.48,1,0.39,1
torchinferno,few_shot,12,1996.25,565.84,2562.09,2,0.78,1
torchinferno,few_shot,13,1999.46,0.00,2564.94,1,0.39,1
torchinferno,few_shot,14,2561.78,0.00,2562.11,1,0.39,1
torchinferno,few_shot,15,2010.25,0.00,2571.63,1,0.39,1
torchinferno,few_shot,16,2003.50,0.00,2577.29,1,0.39,1
torchinferno,few_shot,17,2004.63,570.69,2575.32,2,0.78,1
torchinferno,few_shot,18,2566.39,0.00,2571.31,1,0.39,1
torchinferno,few_shot,19,2554.11,0.00,2573.14,1,0.39,1
torchinferno,few_shot,20,2009.10,0.00,2578.64,1,0.39,1
torchinferno,few_shot,21,2009.45,577.13,2586.57,2,0.77,1
torchinferno,few_shot,22,2006.30,576.04,2582.34,2,0.77,1
torchinferno,few_shot,23,2013.55,574.22,2587.77,2,0.77,1
torchinferno,few_shot,24,2560.83,0.00,2580.27,1,0.39,1
torchinferno,few_shot,25,2009.16,0.00,2589.68,1,0.39,1
torchinferno,few_shot,26,1997.80,590.76,2588.57,2,0.77,1
torchinferno,few_shot,27,2004.55,580.20,2584.75,2,0.77,1
torchinferno,few_shot,28,2016.43,585.53,2601.96,2,0.77,1
torchinferno,few_shot,29,2009.51,589.54,2599.05,2,0.77,1
torchinferno,few_shot,30,2008.76,591.40,2600.15,2,0.77,1
torchinferno,few_shot,31,2000.63,0.00,2599.95,1,0.38,1
torchinferno,few_shot,32,2016.50,590.22,2606.71,2,0.77,1
torchinferno,few_shot,33,2010.35,594.58,2604.93,2,0.77,1
torchinferno,few_shot,34,1998.96,0.00,2621.43,1,0.38,1
torchinferno,few_shot,35,2006.75,621.04,2627.80,2,0.76,1
torchinferno,few_shot,36,2017.78,0.00,2635.46,1,0.38,1
torchinferno,few_shot,37,1231.11,0.00,1300.07,1,0.77,1
torchinferno,few_shot,38,1999.18,635.73,2634.91,2,0.76,1
torchinferno,few_shot,39,2002.18,0.00,2647.86,1,0.38,1
torchinferno,few_shot,40,2607.13,31.65,2638.78,2,0.76,1
torchinferno,few_shot,41,2007.43,644.86,2652.29,2,0.75,1
torchinferno,few_shot,42,2565.45,78.98,2644.43,2,0.76,1
torchinferno,few_shot,43,2567.88,78.02,2645.90,2,0.76,1
torchinferno,few_shot,44,2006.16,646.21,2652.37,2,0.75,1
torchinferno,few_shot,45,1278.69,0.00,1321.35,1,0.76,1
