model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-31T16:48:00.535061

Build Times
provider,build_time_s
torchinferno,4.1

few_shot
metric,torchinferno,winner
ttft_median_ms,6191.76,
ttft_p99_ms,228816.59,
tpot_median_ms,79.47,
tpot_p99_ms,157.27,
e2e_median_ms,14890.11,
e2e_p99_ms,243258.38,
throughput_median_tps,7.79,
total_output_tokens,142217,
num_requests,1000,
correctness_rate,0.00,

long_output
metric,torchinferno,winner
ttft_median_ms,831.97,
ttft_p99_ms,96187.48,
tpot_median_ms,72.35,
tpot_p99_ms,283.30,
e2e_median_ms,4458.10,
e2e_p99_ms,101480.98,
throughput_median_tps,7.02,
total_output_tokens,35996,
num_requests,1000,
correctness_rate,0.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1783.74,65.22,2305.47,9,3.90,0
torchinferno,few_shot,1,1775.09,61.38,2818.62,18,6.39,0
torchinferno,few_shot,2,1783.47,68.76,3227.43,22,6.82,0
torchinferno,few_shot,3,1771.80,80.23,3536.95,23,6.50,0
torchinferno,few_shot,4,3547.04,47.60,4213.50,15,3.56,0
torchinferno,few_shot,5,1779.58,65.21,4713.82,46,9.76,0
torchinferno,few_shot,6,1785.88,69.97,5074.26,48,9.46,0
torchinferno,few_shot,7,1781.02,68.67,5557.94,56,10.08,0
torchinferno,few_shot,8,5050.09,88.44,5934.54,11,1.85,0
torchinferno,few_shot,9,1785.73,67.53,6580.06,72,10.94,0
torchinferno,few_shot,10,3213.41,65.50,7143.56,61,8.54,0
torchinferno,few_shot,11,1788.21,63.84,7724.97,94,12.17,0
torchinferno,few_shot,12,5929.23,48.33,8684.05,58,6.68,0
torchinferno,few_shot,13,7124.05,41.66,9415.47,56,5.95,0
torchinferno,few_shot,14,5545.50,43.31,10655.55,119,11.17,0
torchinferno,few_shot,15,8677.83,43.03,11001.27,55,5.00,0
