model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-23T11:03:41.188206

Build Times
provider,build_time_s
torchinferno,294.4
vllm,1282.9
sglang,197.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,270.25,158.66,135.76,sglang
ttft_p99_ms,1951.33,270.45,8104.77,vllm
tpot_median_ms,155.22,54.03,69.21,vllm
tpot_p99_ms,208.61,140.38,7317.56,vllm
e2e_median_ms,366.69,210.88,203.03,sglang
e2e_p99_ms,2139.16,339.46,15385.60,vllm
throughput_median_tps,4.05,7.08,5.93,vllm
total_output_tokens,1460,1457,1461,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,267.55,189.59,198.20,vllm
ttft_p99_ms,1848.14,434.85,70751.22,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,289.60,211.31,328.30,vllm
e2e_p99_ms,1903.41,472.23,70871.71,vllm
throughput_median_tps,3.45,4.73,3.05,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,709.37,177.19,157.84,sglang
ttft_p99_ms,2078.58,341.77,605.33,vllm
tpot_median_ms,121.95,55.31,104.90,vllm
tpot_p99_ms,431.32,183.51,242.89,vllm
e2e_median_ms,800.66,223.96,258.70,vllm
e2e_p99_ms,2315.01,427.86,730.33,vllm
throughput_median_tps,1.63,6.13,5.17,vllm
total_output_tokens,1450,1460,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1097.05,147.50,110.49,sglang
ttft_last_turn_ms,634.46,171.74,170.49,sglang
ttft_growth_ratio,0.58,1.16,1.54,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,337.38,57.45,77.98,vllm
ttft_p99_ms,878.32,110.38,468.39,vllm
tpot_median_ms,134.22,26.45,64.80,vllm
tpot_p99_ms,153.74,41.59,167.06,vllm
e2e_median_ms,441.91,77.31,156.27,vllm
e2e_p99_ms,990.00,140.56,508.09,vllm
throughput_median_tps,3.00,15.83,9.17,vllm
total_output_tokens,1458,1462,1468,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,779.46,65.21,66.80,vllm
ttft_p99_ms,2563.61,154.71,110.62,sglang
tpot_median_ms,15.30,14.97,22.45,vllm
tpot_p99_ms,38.77,18.49,27.60,vllm
e2e_median_ms,1362.01,607.48,824.83,vllm
e2e_p99_ms,3446.02,1000.28,1598.27,vllm
throughput_median_tps,26.60,59.75,42.14,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,919.21,0.00,1182.39,1,0.85,1
torchinferno,few_shot,1,1950.62,0.00,2029.65,1,0.49,1
torchinferno,few_shot,2,1954.91,0.00,2031.36,1,0.49,1
torchinferno,few_shot,3,1956.12,0.00,2032.05,1,0.49,1
torchinferno,few_shot,4,1944.14,0.00,2035.52,1,0.49,1
torchinferno,few_shot,5,1928.46,0.00,2022.17,1,0.49,1
torchinferno,few_shot,6,1928.77,0.00,2029.42,1,0.49,1
torchinferno,few_shot,7,1943.64,0.00,2030.85,1,0.49,1
torchinferno,few_shot,8,1956.65,0.00,2047.05,1,0.49,1
torchinferno,few_shot,9,1945.87,0.00,2035.89,1,0.49,1
torchinferno,few_shot,10,1931.28,0.00,2033.90,1,0.49,1
torchinferno,few_shot,11,1939.30,0.00,2046.47,1,0.49,1
torchinferno,few_shot,12,1941.03,0.00,2039.57,1,0.49,1
torchinferno,few_shot,13,1944.60,0.00,2049.25,1,0.49,1
torchinferno,few_shot,14,1936.85,0.00,2049.80,1,0.49,1
torchinferno,few_shot,15,1938.30,0.00,2043.38,1,0.49,1
torchinferno,few_shot,16,1944.88,0.00,2053.77,1,0.49,1
torchinferno,few_shot,17,1938.42,0.00,2052.74,1,0.49,1
torchinferno,few_shot,18,1942.43,0.00,2053.57,1,0.49,1
torchinferno,few_shot,19,1941.98,0.00,2062.92,1,0.48,1
torchinferno,few_shot,20,1947.27,0.00,2060.44,1,0.49,1
torchinferno,few_shot,21,1941.97,0.00,2058.82,1,0.49,1
torchinferno,few_shot,22,1946.14,0.00,2058.95,1,0.49,1
torchinferno,few_shot,23,1941.85,0.00,2066.57,1,0.48,1
torchinferno,few_shot,24,1938.97,0.00,2062.35,1,0.48,1
torchinferno,few_shot,25,763.57,0.00,887.99,1,1.13,1
torchinferno,few_shot,26,1940.58,0.00,2072.53,1,0.48,1
torchinferno,few_shot,27,1935.29,0.00,2060.53,1,0.49,1
torchinferno,few_shot,28,1951.62,0.00,2071.55,1,0.48,1
torchinferno,few_shot,29,1940.90,0.00,2073.01,1,0.48,1
torchinferno,few_shot,30,1943.26,0.00,2063.34,1,0.48,1
torchinferno,few_shot,31,1934.13,0.00,2065.06,1,0.48,1
torchinferno,few_shot,32,1932.43,0.00,2074.42,1,0.48,1
torchinferno,few_shot,33,1939.16,168.62,2107.78,2,0.95,1
torchinferno,few_shot,34,1956.57,157.86,2114.43,2,0.95,1
torchinferno,few_shot,35,1941.01,173.47,2114.47,2,0.95,1
torchinferno,few_shot,36,1938.70,169.74,2108.44,2,0.95,1
torchinferno,few_shot,37,1945.41,176.39,2121.79,2,0.94,1
torchinferno,few_shot,38,1956.42,166.47,2122.89,2,0.94,1
torchinferno,few_shot,39,1931.58,179.22,2110.80,2,0.95,1
torchinferno,few_shot,40,1937.18,183.63,2120.81,2,0.94,1
torchinferno,few_shot,41,1932.05,179.34,2111.38,2,0.95,1
torchinferno,few_shot,42,1930.92,182.40,2113.32,2,0.95,1
torchinferno,few_shot,43,1938.16,177.24,2115.39,2,0.95,1
torchinferno,few_shot,44,1951.23,177.16,2128.39,2,0.94,1
torchinferno,few_shot,45,1951.33,177.66,2128.99,2,0.94,1
