model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-09T01:01:58.382620

Build Times
provider,build_time_s
torchinferno,487.1
vllm,1393.8
sglang,210.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,160.92,151.18,sglang
ttft_p99_ms,,886.15,1316.67,vllm
tpot_median_ms,,55.27,78.19,vllm
tpot_p99_ms,,153.78,7217.83,vllm
e2e_median_ms,,216.72,224.97,vllm
e2e_p99_ms,,947.36,8507.87,vllm
throughput_median_tps,,6.89,5.30,vllm
total_output_tokens,,1460,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,204.28,213.68,vllm
ttft_p99_ms,,355.65,69983.02,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,246.09,353.21,vllm
e2e_p99_ms,,427.21,70132.37,vllm
throughput_median_tps,,4.06,2.83,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,173.47,169.79,sglang
ttft_p99_ms,,347.70,663.70,vllm
tpot_median_ms,,64.32,93.21,vllm
tpot_p99_ms,,186.04,229.39,vllm
e2e_median_ms,,228.28,267.66,vllm
e2e_p99_ms,,439.37,704.52,vllm
throughput_median_tps,,6.09,4.97,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,158.98,130.41,sglang
ttft_last_turn_ms,,179.75,203.32,vllm
ttft_growth_ratio,,1.13,1.56,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,60.56,89.88,vllm
ttft_p99_ms,,3717.92,579.28,sglang
tpot_median_ms,,28.91,49.06,vllm
tpot_p99_ms,,1997.30,150.23,sglang
e2e_median_ms,,81.91,151.84,vllm
e2e_p99_ms,,3763.41,631.43,sglang
throughput_median_tps,,14.97,9.15,vllm
total_output_tokens,,1478,1465,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,74.44,78.98,vllm
ttft_p99_ms,,154.28,154.10,sglang
tpot_median_ms,,14.77,23.84,vllm
tpot_p99_ms,,19.05,32.69,vllm
e2e_median_ms,,604.20,892.49,vllm
e2e_p99_ms,,980.15,1819.88,vllm
throughput_median_tps,,58.84,38.90,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,758.21,0.00,759.55,1,1.32,1
vllm,few_shot,1,753.66,0.00,756.07,1,1.32,1
vllm,few_shot,2,757.72,0.00,763.91,1,1.31,1
vllm,few_shot,3,773.52,38.69,812.21,2,2.46,1
vllm,few_shot,4,816.50,0.00,825.54,1,1.21,1
vllm,few_shot,5,810.01,0.00,827.33,1,1.21,1
vllm,few_shot,6,805.69,0.00,824.57,1,1.21,1
vllm,few_shot,7,808.39,0.00,827.39,1,1.21,1
vllm,few_shot,8,811.35,0.00,826.42,1,1.21,1
vllm,few_shot,9,796.19,0.00,819.47,1,1.22,1
vllm,few_shot,10,810.38,0.00,831.97,1,1.20,1
vllm,few_shot,11,809.25,0.00,831.53,1,1.20,1
vllm,few_shot,12,796.57,80.31,876.88,2,2.28,1
vllm,few_shot,13,809.38,83.45,892.83,2,2.24,1
vllm,few_shot,14,814.33,87.92,902.24,2,2.22,1
vllm,few_shot,15,810.31,0.00,884.45,1,1.13,1
vllm,few_shot,16,814.58,88.71,903.29,2,2.21,1
vllm,few_shot,17,805.41,93.93,899.34,2,2.22,1
vllm,few_shot,18,809.42,90.84,900.26,2,2.22,1
vllm,few_shot,19,798.78,94.32,893.10,2,2.24,1
vllm,few_shot,20,812.02,0.00,892.07,1,1.12,1
vllm,few_shot,21,798.21,104.02,902.23,2,2.22,1
vllm,few_shot,22,807.71,91.89,899.60,2,2.22,1
vllm,few_shot,23,808.02,92.40,900.41,2,2.22,1
vllm,few_shot,24,873.32,0.00,899.26,1,1.11,1
vllm,few_shot,25,870.94,0.00,902.85,1,1.11,1
vllm,few_shot,26,874.68,0.00,898.34,1,1.11,1
vllm,few_shot,27,874.07,0.00,900.70,1,1.11,1
vllm,few_shot,28,867.18,0.00,903.08,1,1.11,1
vllm,few_shot,29,873.62,0.00,901.33,1,1.11,1
vllm,few_shot,30,875.68,0.00,908.67,1,1.10,1
vllm,few_shot,31,868.57,0.00,909.74,1,1.10,1
vllm,few_shot,32,880.01,33.44,913.46,2,2.19,1
vllm,few_shot,33,891.95,0.00,905.34,1,1.10,1
vllm,few_shot,34,887.53,24.37,911.90,2,2.19,1
vllm,few_shot,35,873.04,0.00,913.49,1,1.09,1
vllm,few_shot,36,159.85,0.00,177.73,1,5.63,1
vllm,few_shot,37,866.20,49.47,915.67,2,2.18,1
vllm,few_shot,38,875.56,47.38,922.95,2,2.17,1
vllm,few_shot,39,872.24,0.00,923.30,1,1.08,1
vllm,few_shot,40,881.62,0.00,924.76,1,1.08,1
vllm,few_shot,41,882.23,32.86,915.08,2,2.19,1
vllm,few_shot,42,882.34,38.68,921.03,2,2.17,1
vllm,few_shot,43,881.26,41.67,922.93,2,2.17,1
vllm,few_shot,44,887.29,0.00,923.81,1,1.08,1
vllm,few_shot,45,886.15,0.00,923.02,1,1.08,1
vllm,few_shot,46,868.46,0.00,930.25,1,1.07,1
vllm,few_shot,47,813.14,123.20,936.34,2,2.14,1
vllm,few_shot,48,124.20,0.00,124.42,1,8.04,1
vllm,few_shot,49,119.10,0.00,128.62,1,7.77,1
vllm,few_shot,50,888.07,0.00,929.38,1,1.08,1
vllm,few_shot,51,888.02,0.00,929.52,1,1.08,1
vllm,few_shot,52,133.47,0.00,143.28,1,6.98,1
vllm,few_shot,53,95.02,31.02,126.03,2,15.87,1
vllm,few_shot,54,93.73,31.14,124.87,2,16.02,1
vllm,few_shot,55,878.08,0.00,941.19,1,1.06,1
vllm,few_shot,56,883.45,51.35,934.80,2,2.14,1
vllm,few_shot,57,870.98,72.64,943.62,2,2.12,1
vllm,few_shot,58,97.76,0.00,133.25,1,7.50,1
vllm,few_shot,59,886.08,61.27,947.36,2,2.11,1
vllm,few_shot,60,877.39,0.00,949.98,1,1.05,1
vllm,few_shot,61,869.27,74.90,944.17,2,2.12,1
vllm,few_shot,62,882.20,66.00,948.20,2,2.11,1
vllm,few_shot,63,886.90,58.39,945.29,2,2.12,1
vllm,few_shot,64,115.72,0.00,137.56,1,7.27,1
vllm,few_shot,65,869.96,0.00,953.83,1,1.05,1
vllm,few_shot,66,212.37,0.00,216.96,1,4.61,1
vllm,few_shot,67,137.65,7.62,145.28,2,13.77,1
vllm,few_shot,68,949.13,0.34,949.47,2,2.11,1
vllm,few_shot,69,808.70,155.48,964.17,2,2.07,1
vllm,few_shot,70,901.64,52.42,954.06,2,2.10,1
vllm,few_shot,71,878.03,84.66,962.69,2,2.08,1
vllm,few_shot,72,871.29,89.84,961.13,2,2.08,1
vllm,few_shot,73,144.25,0.00,151.12,1,6.62,1
vllm,few_shot,74,152.27,0.00,225.97,1,4.43,1
vllm,few_shot,75,897.54,64.50,962.04,2,2.08,1
vllm,few_shot,76,93.56,0.00,101.21,1,9.88,1
vllm,few_shot,77,115.88,26.14,142.02,2,14.08,1
vllm,few_shot,78,115.20,0.00,123.38,1,8.11,1
vllm,few_shot,79,117.23,28.80,146.03,2,13.70,1
vllm,few_shot,80,140.76,0.00,158.62,1,6.30,1
vllm,few_shot,81,126.01,0.00,147.48,1,6.78,1
vllm,few_shot,82,129.89,0.00,164.99,1,6.06,1
vllm,few_shot,83,94.80,55.86,150.66,2,13.28,1
vllm,few_shot,84,156.37,0.00,193.61,1,5.17,1
vllm,few_shot,85,146.83,57.35,204.17,2,9.80,1
vllm,few_shot,86,140.28,0.00,209.10,1,4.78,1
vllm,few_shot,87,121.68,0.00,192.65,1,5.19,1
vllm,few_shot,88,156.78,0.00,228.37,1,4.38,1
vllm,few_shot,89,201.10,0.00,211.72,1,4.72,1
vllm,few_shot,90,155.84,0.00,233.11,1,4.29,1
vllm,few_shot,91,129.11,0.00,202.74,1,4.93,1
vllm,few_shot,92,250.43,0.00,261.71,1,3.82,1
vllm,few_shot,93,209.02,0.00,221.74,1,4.51,1
vllm,few_shot,94,122.52,86.09,208.61,2,9.59,1
vllm,few_shot,95,206.34,0.00,290.90,1,3.44,1
vllm,few_shot,96,149.89,90.65,240.54,2,8.31,1
vllm,few_shot,97,196.51,0.00,223.10,1,4.48,1
vllm,few_shot,98,156.55,87.58,244.13,2,8.19,1
vllm,few_shot,99,193.36,0.00,206.64,1,4.84,1
vllm,few_shot,100,196.18,29.79,225.97,2,8.85,1
vllm,few_shot,101,228.54,0.00,251.12,1,3.98,1
vllm,few_shot,102,224.95,0.00,255.95,1,3.91,1
vllm,few_shot,103,199.99,0.00,226.12,1,4.42,1
vllm,few_shot,104,182.13,0.00,276.60,1,3.62,1
vllm,few_shot,105,242.49,0.00,269.25,1,3.71,1
vllm,few_shot,106,216.96,0.00,248.66,1,4.02,1
vllm,few_shot,107,210.64,0.00,245.83,1,4.07,1
vllm,few_shot,108,161.62,0.00,265.86,1,3.76,1
vllm,few_shot,109,115.89,105.29,221.18,2,9.04,1
vllm,few_shot,110,213.69,0.00,249.06,1,4.02,1
vllm,few_shot,111,152.19,0.00,257.99,1,3.88,1
vllm,few_shot,112,138.78,0.00,139.02,1,7.19,1
vllm,few_shot,113,245.13,0.00,283.93,1,3.52,1
vllm,few_shot,114,203.95,45.79,249.74,2,8.01,1
vllm,few_shot,115,126.22,112.90,239.12,2,8.36,1
vllm,few_shot,116,137.19,109.75,246.94,2,8.10,1
vllm,few_shot,117,227.80,15.48,243.29,2,8.22,1
vllm,few_shot,118,224.88,0.00,230.19,1,4.34,1
vllm,few_shot,119,207.83,45.09,252.92,2,7.91,1
vllm,few_shot,120,186.25,120.36,306.61,2,6.52,1
vllm,few_shot,121,196.36,0.00,237.13,1,4.22,1
vllm,few_shot,122,196.51,30.10,226.60,2,8.83,1
vllm,few_shot,123,179.12,116.55,295.67,2,6.76,1
vllm,few_shot,124,155.76,117.24,273.00,2,7.33,1
vllm,few_shot,125,139.11,0.00,177.38,1,5.64,1
vllm,few_shot,126,108.28,0.00,122.64,1,8.15,1
vllm,few_shot,127,141.36,0.00,270.48,1,3.70,1
vllm,few_shot,128,176.12,0.00,240.87,1,4.15,1
vllm,few_shot,129,202.21,0.00,262.85,1,3.80,1
vllm,few_shot,130,236.30,67.89,304.19,2,6.57,1
vllm,few_shot,131,172.38,127.10,299.48,2,6.68,1
vllm,few_shot,132,202.08,0.00,255.67,1,3.91,1
vllm,few_shot,133,128.78,0.00,259.21,1,3.86,1
vllm,few_shot,134,174.00,0.00,250.01,1,4.00,1
vllm,few_shot,135,190.48,78.26,268.74,2,7.44,1
vllm,few_shot,136,123.41,15.01,138.42,2,14.45,1
vllm,few_shot,137,260.90,68.09,328.99,2,6.08,1
vllm,few_shot,138,193.08,0.33,193.42,2,10.34,1
vllm,few_shot,139,152.35,82.04,234.39,2,8.53,1
vllm,few_shot,140,236.24,70.93,307.17,2,6.51,1
vllm,few_shot,141,218.70,74.83,293.53,2,6.81,1
vllm,few_shot,142,215.76,50.66,266.42,2,7.51,1
vllm,few_shot,143,118.33,68.77,187.10,2,10.69,1
vllm,few_shot,144,140.91,4.90,145.81,2,13.72,1
vllm,few_shot,145,137.19,158.32,295.51,2,6.77,1
vllm,few_shot,146,180.54,28.28,208.82,2,9.58,1
vllm,few_shot,147,238.63,0.00,321.83,1,3.11,1
vllm,few_shot,148,328.48,0.00,339.22,1,2.95,1
vllm,few_shot,149,162.05,0.86,163.77,3,18.32,0
vllm,few_shot,150,125.72,28.17,153.89,2,13.00,1
vllm,few_shot,151,147.06,0.00,164.34,1,6.09,1
vllm,few_shot,152,140.14,0.00,165.01,1,6.06,1
vllm,few_shot,153,149.53,0.00,175.96,1,5.68,1
vllm,few_shot,154,116.20,44.33,160.52,2,12.46,1
vllm,few_shot,155,125.50,0.00,160.14,1,6.24,1
vllm,few_shot,156,120.20,0.00,155.72,1,6.42,1
vllm,few_shot,157,160.19,47.41,207.60,2,9.63,1
vllm,few_shot,158,182.34,0.00,234.24,1,4.27,1
vllm,few_shot,159,119.75,0.00,174.04,1,5.75,1
vllm,few_shot,160,183.60,0.00,242.70,1,4.12,1
vllm,few_shot,161,157.92,0.00,225.92,1,4.43,1
vllm,few_shot,162,120.61,0.00,193.02,1,5.18,1
vllm,few_shot,163,143.87,0.00,216.44,1,4.62,1
vllm,few_shot,164,106.67,77.60,184.27,2,10.85,1
vllm,few_shot,165,176.32,69.61,245.92,2,8.13,1
vllm,few_shot,166,120.96,107.24,228.20,2,8.76,1
vllm,few_shot,167,119.31,107.47,226.78,2,8.82,1
vllm,few_shot,168,190.62,0.00,266.64,1,3.75,1
vllm,few_shot,169,147.73,111.81,259.54,2,7.71,1
vllm,few_shot,170,189.76,0.00,220.69,1,4.53,1
vllm,few_shot,171,130.61,0.00,218.23,1,4.58,1
vllm,few_shot,172,193.46,0.00,208.55,1,4.80,1
vllm,few_shot,173,168.61,0.00,198.73,1,5.03,1
vllm,few_shot,174,176.50,0.00,191.73,1,5.22,1
vllm,few_shot,175,198.42,88.75,287.17,2,6.96,1
vllm,few_shot,176,178.59,25.50,204.09,2,9.80,1
vllm,few_shot,177,223.23,0.00,228.24,1,4.38,1
vllm,few_shot,178,188.70,0.00,212.80,1,4.70,1
vllm,few_shot,179,231.11,0.00,241.06,1,4.15,1
vllm,few_shot,180,228.06,0.00,228.34,1,4.38,1
vllm,few_shot,181,161.31,0.00,208.95,1,4.79,1
vllm,few_shot,182,143.25,106.00,249.25,2,8.02,1
vllm,few_shot,183,226.20,47.15,273.35,2,7.32,1
vllm,few_shot,184,192.36,107.18,299.54,2,6.68,1
vllm,few_shot,185,101.51,0.00,111.82,1,8.94,1
vllm,few_shot,186,168.62,0.00,232.21,1,4.31,1
vllm,few_shot,187,178.07,0.00,301.89,1,3.31,1
vllm,few_shot,188,280.01,0.00,295.41,1,3.39,1
vllm,few_shot,189,206.73,0.00,270.79,1,3.69,1
vllm,few_shot,190,215.50,72.42,287.92,2,6.95,1
vllm,few_shot,191,244.37,0.00,279.66,1,3.58,1
vllm,few_shot,192,312.58,0.00,312.83,1,3.20,1
vllm,few_shot,193,211.65,54.32,265.97,2,7.52,1
vllm,few_shot,194,261.10,44.92,306.02,2,6.54,1
vllm,few_shot,195,190.14,0.00,260.36,1,3.84,1
vllm,few_shot,196,195.13,0.00,267.91,1,3.73,1
vllm,few_shot,197,123.67,0.00,128.62,1,7.77,1
vllm,few_shot,198,165.18,0.00,306.29,1,3.26,1
vllm,few_shot,199,88.75,0.00,141.73,1,7.06,1
vllm,few_shot,200,219.03,84.58,303.60,2,6.59,1
vllm,few_shot,201,223.87,0.00,294.37,1,3.40,1
vllm,few_shot,202,165.17,0.00,184.10,1,5.43,1
vllm,few_shot,203,168.28,0.00,312.16,1,3.20,1
vllm,few_shot,204,253.70,80.92,334.63,2,5.98,1
vllm,few_shot,205,211.09,86.25,297.35,2,6.73,1
vllm,few_shot,206,136.16,4.68,140.84,2,14.20,1
vllm,few_shot,207,195.63,84.74,280.37,2,7.13,1
vllm,few_shot,208,88.66,181.99,270.65,2,7.39,1
vllm,few_shot,209,220.85,92.78,313.62,2,6.38,1
vllm,few_shot,210,205.19,0.00,267.75,1,3.73,1
vllm,few_shot,211,133.96,162.56,296.51,2,6.75,1
vllm,few_shot,212,182.90,0.00,185.98,1,5.38,1
vllm,few_shot,213,264.53,39.71,304.24,2,6.57,1
vllm,few_shot,214,153.96,0.00,161.17,1,6.20,1
vllm,few_shot,215,145.51,0.00,302.43,1,3.31,1
vllm,few_shot,216,243.56,0.00,342.94,1,2.92,1
vllm,few_shot,217,195.30,102.45,297.75,2,6.72,1
vllm,few_shot,218,234.32,0.00,342.46,1,2.92,1
vllm,few_shot,219,238.57,103.43,342.00,2,5.85,1
vllm,few_shot,220,288.11,7.25,295.36,2,6.77,1
vllm,few_shot,221,155.58,0.00,169.39,1,5.90,1
vllm,few_shot,222,102.55,0.00,115.22,1,8.68,1
vllm,few_shot,223,79.52,0.00,88.96,1,11.24,1
vllm,few_shot,224,126.92,16.96,143.88,2,13.90,1
vllm,few_shot,225,144.67,0.00,160.91,1,6.21,1
vllm,few_shot,226,156.54,0.00,172.58,1,5.79,1
vllm,few_shot,227,170.31,0.00,194.88,1,5.13,1
vllm,few_shot,228,190.65,0.00,215.73,1,4.64,1
vllm,few_shot,229,156.54,49.97,206.51,2,9.68,1
vllm,few_shot,230,114.21,0.00,142.10,1,7.04,1
vllm,few_shot,231,160.17,0.00,183.95,1,5.44,1
vllm,few_shot,232,225.19,0.00,251.31,1,3.98,1
vllm,few_shot,233,205.27,0.00,233.63,1,4.28,1
vllm,few_shot,234,182.61,56.88,239.49,2,8.35,1
vllm,few_shot,235,190.80,0.00,219.93,1,4.55,1
vllm,few_shot,236,119.72,0.00,152.52,1,6.56,1
vllm,few_shot,237,163.50,0.00,200.99,1,4.98,1
vllm,few_shot,238,132.58,0.00,167.32,1,5.98,1
vllm,few_shot,239,152.29,0.00,191.78,1,5.21,1
vllm,few_shot,240,171.49,0.00,210.85,1,4.74,1
vllm,few_shot,241,189.66,0.00,230.90,1,4.33,1
vllm,few_shot,242,164.69,79.80,244.48,2,8.18,1
vllm,few_shot,243,162.57,0.00,216.48,1,4.62,1
vllm,few_shot,244,149.95,0.00,208.34,1,4.80,1
vllm,few_shot,245,220.90,80.03,300.93,2,6.65,1
vllm,few_shot,246,196.91,82.57,279.48,2,7.16,1
vllm,few_shot,247,178.68,0.00,232.64,1,4.30,1
vllm,few_shot,248,149.26,82.60,231.85,2,8.63,1
