model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-16T09:02:56.128591+00:00

Build Times
provider,build_time_s
torchinferno,43.6
vllm,381.6
sglang,170.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,141.93,74.70,80.08,vllm
ttft_p99_ms,732.64,157.42,529.17,vllm
tpot_median_ms,31.43,37.80,65.72,torchinferno
tpot_p99_ms,43.99,92.69,843.70,torchinferno
e2e_median_ms,166.56,101.45,135.74,vllm
e2e_p99_ms,751.34,195.47,961.35,vllm
throughput_median_tps,6.96,12.73,9.75,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,56.65,71.85,129.52,torchinferno
ttft_p99_ms,324.63,374.83,70386.37,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,74.61,90.18,212.15,torchinferno
e2e_p99_ms,343.28,398.59,70430.13,torchinferno
throughput_median_tps,13.40,11.09,4.71,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,193.31,82.72,83.07,vllm
ttft_p99_ms,1022.08,196.76,692.28,vllm
tpot_median_ms,34.63,35.56,78.08,torchinferno
tpot_p99_ms,45.15,125.73,899.81,torchinferno
e2e_median_ms,222.00,112.56,147.45,vllm
e2e_p99_ms,1058.60,234.47,944.09,vllm
throughput_median_tps,5.04,12.61,9.23,vllm
total_output_tokens,1454,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,431.45,81.54,62.79,sglang
ttft_last_turn_ms,175.42,88.64,91.55,vllm
ttft_growth_ratio,0.41,1.09,1.46,torchinferno
ttft_first_turn_median_ms,224.16,71.41,60.17,sglang
ttft_first_turn_p99_ms,1102.73,196.68,105.09,sglang
ttft_last_turn_median_ms,189.55,82.62,86.78,vllm
ttft_last_turn_p99_ms,213.45,201.47,124.82,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.95,37.46,52.34,vllm
ttft_p99_ms,804.79,100.65,126.44,vllm
tpot_median_ms,35.14,27.45,409.93,vllm
tpot_p99_ms,89.64,36.34,1049.41,vllm
e2e_median_ms,76.18,56.19,448.46,vllm
e2e_p99_ms,830.69,134.22,1120.63,vllm
throughput_median_tps,19.32,22.93,3.19,vllm
total_output_tokens,1480,1459,1465,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,182.73,47.15,52.30,vllm
ttft_p99_ms,524.63,64.29,380.80,vllm
tpot_median_ms,19.50,15.42,24.69,vllm
tpot_p99_ms,25.42,17.67,84.46,vllm
e2e_median_ms,876.61,581.92,918.24,vllm
e2e_p99_ms,1613.85,1057.07,1775.03,vllm
throughput_median_tps,40.97,60.41,39.03,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,790.77,0.00,803.06,1,1.25,1,,,,,,,1,,,
torchinferno,few_shot,0,1,808.43,24.27,832.71,2,2.40,1,,,,,,,0,,,
torchinferno,few_shot,4,2,819.60,0.00,830.38,1,1.20,1,,,,,,,4,,,
torchinferno,few_shot,10,3,714.33,0.00,729.83,1,1.37,1,,,,,,,10,,,
torchinferno,few_shot,12,4,683.61,0.00,696.65,1,1.44,1,,,,,,,12,,,
torchinferno,few_shot,24,5,478.35,0.00,494.25,1,2.02,1,,,,,,,24,,,
torchinferno,few_shot,11,6,697.57,0.00,714.61,1,1.40,1,,,,,,,11,,,
torchinferno,few_shot,26,7,444.91,0.00,461.35,1,2.17,1,,,,,,,26,,,
torchinferno,few_shot,29,8,394.23,0.00,411.65,1,2.43,1,,,,,,,29,,,
torchinferno,few_shot,28,9,413.70,0.00,429.00,1,2.33,1,,,,,,,28,,,
torchinferno,few_shot,5,10,800.55,0.00,818.13,1,1.22,1,,,,,,,5,,,
torchinferno,few_shot,9,11,732.64,0.00,751.34,1,1.33,1,,,,,,,9,,,
torchinferno,few_shot,7,12,764.82,0.00,785.64,1,1.27,1,,,,,,,7,,,
torchinferno,few_shot,25,13,462.50,0.00,481.61,1,2.08,1,,,,,,,25,,,
torchinferno,few_shot,8,14,750.87,0.00,770.35,1,1.30,1,,,,,,,8,,,
torchinferno,few_shot,31,15,362.72,0.00,382.94,1,2.61,1,,,,,,,31,,,
torchinferno,few_shot,17,16,598.54,0.00,619.83,1,1.61,1,,,,,,,17,,,
torchinferno,few_shot,2,17,853.43,25.77,879.20,2,2.27,1,,,,,,,2,,,
torchinferno,few_shot,16,18,613.17,28.77,641.94,2,3.12,1,,,,,,,16,,,
torchinferno,few_shot,3,19,834.34,28.17,862.50,2,2.32,1,,,,,,,3,,,
torchinferno,few_shot,18,20,579.21,29.91,609.12,2,3.28,1,,,,,,,18,,,
torchinferno,few_shot,32,21,343.88,29.19,373.08,2,5.36,1,,,,,,,32,,,
torchinferno,few_shot,14,22,647.04,30.67,677.71,2,2.95,1,,,,,,,14,,,
torchinferno,few_shot,23,23,498.04,28.06,526.10,2,3.80,1,,,,,,,23,,,
torchinferno,few_shot,13,24,666.41,29.69,696.10,2,2.87,1,,,,,,,13,,,
torchinferno,few_shot,19,25,563.15,32.32,595.47,2,3.36,1,,,,,,,19,,,
torchinferno,few_shot,27,26,429.18,31.31,460.50,2,4.34,1,,,,,,,27,,,
torchinferno,few_shot,21,27,530.22,32.45,562.67,2,3.55,1,,,,,,,21,,,
torchinferno,few_shot,20,28,547.06,33.02,580.08,2,3.45,1,,,,,,,20,,,
torchinferno,few_shot,30,29,380.06,31.42,411.48,2,4.86,1,,,,,,,30,,,
torchinferno,few_shot,22,30,513.87,33.54,547.41,2,3.65,1,,,,,,,22,,,
torchinferno,few_shot,6,31,784.92,33.69,818.61,2,2.44,1,,,,,,,6,,,
torchinferno,few_shot,15,32,632.13,35.06,667.19,2,3.00,1,,,,,,,15,,,
torchinferno,few_shot,33,33,328.71,34.91,363.62,2,5.50,1,,,,,,,33,,,
torchinferno,few_shot,39,34,308.76,0.00,321.36,1,3.11,1,,,,,,,39,,,
torchinferno,few_shot,41,35,274.23,0.00,288.09,1,3.47,1,,,,,,,41,,,
torchinferno,few_shot,38,36,324.45,0.00,339.20,1,2.95,1,,,,,,,38,,,
torchinferno,few_shot,37,37,343.23,0.00,356.57,1,2.80,1,,,,,,,37,,,
torchinferno,few_shot,72,38,66.51,0.00,80.91,1,12.36,1,,,,,,,72,,,
