model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-13T17:02:47.939297

Build Times
provider,build_time_s
torchinferno,397.7
vllm,1325.3
sglang,204.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,363.25,158.65,153.57,sglang
ttft_p99_ms,2706.99,285.23,680.88,vllm
tpot_median_ms,99.74,57.51,73.42,vllm
tpot_p99_ms,641.09,140.63,403.45,vllm
e2e_median_ms,428.74,211.95,222.09,vllm
e2e_p99_ms,2799.29,352.97,937.13,vllm
throughput_median_tps,2.98,6.79,5.62,vllm
total_output_tokens,1461,1463,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,341.99,203.49,212.39,vllm
ttft_p99_ms,620.88,437.08,71770.60,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,473.77,223.00,350.45,vllm
e2e_p99_ms,774.39,459.45,71872.96,vllm
throughput_median_tps,2.11,4.48,2.85,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,711.85,174.13,163.70,sglang
ttft_p99_ms,1681.55,314.23,623.40,vllm
tpot_median_ms,68.03,64.50,97.80,vllm
tpot_p99_ms,203.11,187.07,223.78,vllm
e2e_median_ms,791.55,227.82,254.18,vllm
e2e_p99_ms,1758.09,435.79,724.75,vllm
throughput_median_tps,1.65,6.20,5.26,vllm
total_output_tokens,1450,1450,1448,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,777.21,146.65,125.78,sglang
ttft_last_turn_ms,1003.71,167.02,183.26,vllm
ttft_growth_ratio,1.29,1.14,1.46,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,278.71,62.22,80.74,vllm
ttft_p99_ms,767.02,3886.78,550.95,sglang
tpot_median_ms,59.95,28.25,58.42,vllm
tpot_p99_ms,349.99,1923.81,166.80,sglang
e2e_median_ms,348.53,84.45,150.52,vllm
e2e_p99_ms,921.72,3936.09,587.10,sglang
throughput_median_tps,3.71,14.73,9.36,vllm
total_output_tokens,1483,1459,1480,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,311.28,69.73,70.30,vllm
ttft_p99_ms,3132.26,119.15,121.84,vllm
tpot_median_ms,21.75,14.83,22.39,vllm
tpot_p99_ms,48.35,19.56,27.26,vllm
e2e_median_ms,1131.55,598.83,813.23,vllm
e2e_p99_ms,4129.04,1005.18,1589.04,vllm
throughput_median_tps,33.29,59.16,42.00,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1449.26,0.00,1459.47,1,0.69,1
torchinferno,few_shot,1,1451.02,0.00,1461.03,1,0.68,1
torchinferno,few_shot,2,1450.82,0.00,1463.60,1,0.68,1
torchinferno,few_shot,3,1453.17,335.19,1788.35,2,1.12,1
torchinferno,few_shot,4,1451.16,336.25,1787.41,2,1.12,1
torchinferno,few_shot,5,1454.17,336.03,1790.20,2,1.12,1
torchinferno,few_shot,6,2158.04,0.00,2715.57,1,0.37,1
torchinferno,few_shot,7,2165.53,0.00,2709.40,1,0.37,1
torchinferno,few_shot,8,2161.77,0.00,2712.33,1,0.37,1
torchinferno,few_shot,9,2156.63,0.00,2713.41,1,0.37,1
torchinferno,few_shot,10,2158.50,0.00,2721.05,1,0.37,1
torchinferno,few_shot,11,2158.98,0.00,2718.24,1,0.37,1
torchinferno,few_shot,12,2157.91,0.00,2722.32,1,0.37,1
torchinferno,few_shot,13,2149.37,0.00,2722.67,1,0.37,1
torchinferno,few_shot,14,2156.37,0.00,2725.56,1,0.37,1
torchinferno,few_shot,15,2156.14,0.00,2735.04,1,0.37,1
torchinferno,few_shot,16,2161.27,0.00,2727.37,1,0.37,1
torchinferno,few_shot,17,2165.80,0.00,2732.54,1,0.37,1
torchinferno,few_shot,18,2152.61,580.12,2732.72,2,0.73,1
torchinferno,few_shot,19,2713.99,0.00,2729.89,1,0.37,1
torchinferno,few_shot,20,2721.54,0.00,2731.67,1,0.37,1
torchinferno,few_shot,21,2150.40,585.57,2735.97,2,0.73,1
torchinferno,few_shot,22,2157.48,0.00,2741.29,1,0.36,1
torchinferno,few_shot,23,2158.70,586.96,2745.66,2,0.73,1
torchinferno,few_shot,24,2154.39,586.32,2740.71,2,0.73,1
torchinferno,few_shot,25,2159.50,0.00,2750.50,1,0.36,1
torchinferno,few_shot,26,2153.53,595.29,2748.83,2,0.73,1
torchinferno,few_shot,27,2721.10,0.00,2745.60,1,0.36,1
torchinferno,few_shot,28,2155.46,600.78,2756.24,2,0.73,1
torchinferno,few_shot,29,2155.09,0.00,2749.86,1,0.36,1
torchinferno,few_shot,30,2162.21,594.47,2756.68,2,0.73,1
torchinferno,few_shot,31,2157.05,606.70,2763.75,2,0.72,1
torchinferno,few_shot,32,2164.82,595.79,2760.61,2,0.72,1
torchinferno,few_shot,33,1261.63,0.00,1304.27,1,0.77,1
torchinferno,few_shot,34,2156.59,602.05,2758.64,2,0.72,1
torchinferno,few_shot,35,2155.11,608.54,2763.66,2,0.72,1
torchinferno,few_shot,36,2155.18,0.00,2768.15,1,0.36,1
torchinferno,few_shot,37,2749.61,15.53,2765.14,2,0.72,1
torchinferno,few_shot,38,2162.14,609.53,2771.67,2,0.72,1
torchinferno,few_shot,39,2163.13,0.00,2778.45,1,0.36,1
torchinferno,few_shot,40,2153.21,0.00,2774.66,1,0.36,1
torchinferno,few_shot,41,1267.60,0.00,1320.96,1,0.76,1
torchinferno,few_shot,42,2152.96,622.67,2775.62,2,0.72,1
torchinferno,few_shot,43,2154.38,622.00,2776.37,2,0.72,1
torchinferno,few_shot,44,2158.43,0.00,2778.96,1,0.36,1
torchinferno,few_shot,45,2165.55,618.53,2784.08,2,0.72,1
