model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-26T05:03:18.448926+00:00

Build Times
provider,build_time_s
torchinferno,431.3
vllm,571.6
sglang,248.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,133.03,144.41,vllm
ttft_p99_ms,,1078.18,577.04,sglang
tpot_median_ms,,47.82,78.41,vllm
tpot_p99_ms,,125.77,525.93,vllm
e2e_median_ms,,175.26,212.95,vllm
e2e_p99_ms,,1128.90,880.53,sglang
throughput_median_tps,,8.27,5.68,vllm
total_output_tokens,,1455,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,186.32,211.35,vllm
ttft_p99_ms,,226.38,69882.04,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,234.91,348.76,vllm
e2e_p99_ms,,318.57,70041.67,vllm
throughput_median_tps,,4.26,2.87,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,163.29,172.87,vllm
ttft_p99_ms,,336.72,657.95,vllm
tpot_median_ms,,51.36,102.89,vllm
tpot_p99_ms,,160.09,218.52,vllm
e2e_median_ms,,206.15,268.32,vllm
e2e_p99_ms,,417.98,748.62,vllm
throughput_median_tps,,6.60,4.88,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,122.88,147.05,vllm
ttft_last_turn_ms,,164.76,194.88,vllm
ttft_growth_ratio,,1.34,1.33,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,58.16,83.20,vllm
ttft_p99_ms,,2136.08,541.14,sglang
tpot_median_ms,,29.22,44.05,vllm
tpot_p99_ms,,1771.72,522.42,sglang
e2e_median_ms,,79.99,142.18,vllm
e2e_p99_ms,,3868.45,593.87,sglang
throughput_median_tps,,15.13,9.81,vllm
total_output_tokens,,1477,1466,vllm
num_requests,,992,992,
correctness_rate,,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,68.50,68.41,sglang
ttft_p99_ms,,196.82,211.94,vllm
tpot_median_ms,,14.89,22.31,vllm
tpot_p99_ms,,20.71,26.25,vllm
e2e_median_ms,,601.32,834.07,vllm
e2e_p99_ms,,998.61,1552.16,vllm
throughput_median_tps,,59.32,42.19,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,834.98,0.00,849.31,1,1.18,1
vllm,few_shot,1,978.11,0.00,978.24,1,1.02,1
vllm,few_shot,2,977.43,0.00,977.55,1,1.02,1
vllm,few_shot,3,982.21,0.00,982.35,1,1.02,1
vllm,few_shot,4,985.46,0.00,985.57,1,1.01,1
vllm,few_shot,5,983.90,0.00,992.52,1,1.01,1
vllm,few_shot,6,979.52,0.00,988.54,1,1.01,1
vllm,few_shot,7,987.56,0.00,987.66,1,1.01,1
vllm,few_shot,8,987.39,0.00,987.50,1,1.01,1
vllm,few_shot,9,986.99,0.00,991.01,1,1.01,1
vllm,few_shot,10,988.22,0.00,992.00,1,1.01,1
vllm,few_shot,11,991.56,0.00,994.54,1,1.01,1
vllm,few_shot,12,981.74,0.00,993.51,1,1.01,1
vllm,few_shot,13,993.14,0.00,1004.79,1,1.00,1
vllm,few_shot,14,976.24,0.00,996.45,1,1.00,1
vllm,few_shot,15,980.82,0.00,997.17,1,1.00,1
vllm,few_shot,16,987.68,0.00,1004.29,1,1.00,1
vllm,few_shot,17,988.84,0.00,1002.56,1,1.00,1
vllm,few_shot,18,999.36,0.00,1008.21,1,0.99,1
vllm,few_shot,19,1004.55,0.00,1009.36,1,0.99,1
vllm,few_shot,20,1003.22,0.00,1016.16,1,0.98,1
vllm,few_shot,21,998.81,26.69,1025.50,2,1.95,1
vllm,few_shot,22,1026.16,0.00,1039.70,1,0.96,1
vllm,few_shot,23,1024.12,0.00,1040.54,1,0.96,1
vllm,few_shot,24,1026.46,0.00,1043.77,1,0.96,1
vllm,few_shot,25,1038.72,0.00,1056.50,1,0.95,1
vllm,few_shot,26,1023.46,34.07,1057.53,2,1.89,1
vllm,few_shot,27,1037.34,0.00,1058.57,1,0.94,1
vllm,few_shot,28,1023.39,37.79,1061.18,2,1.88,1
vllm,few_shot,29,1023.52,39.35,1062.88,2,1.88,1
vllm,few_shot,30,1040.40,0.00,1062.34,1,0.94,1
vllm,few_shot,31,1038.08,0.00,1064.07,1,0.94,1
vllm,few_shot,32,1036.50,0.00,1066.09,1,0.94,1
vllm,few_shot,33,1054.66,0.00,1076.97,1,0.93,1
vllm,few_shot,34,1054.45,0.00,1077.92,1,0.93,1
vllm,few_shot,35,1062.00,0.00,1080.66,1,0.93,1
vllm,few_shot,36,1059.70,0.00,1082.39,1,0.92,1
vllm,few_shot,37,1057.90,0.00,1085.55,1,0.92,1
vllm,few_shot,38,1040.93,46.91,1087.83,2,1.84,1
vllm,few_shot,39,1041.89,46.92,1088.81,2,1.84,1
vllm,few_shot,40,1053.06,0.00,1089.16,1,0.92,1
vllm,few_shot,41,1042.34,48.12,1090.46,2,1.83,1
vllm,few_shot,42,1063.04,0.00,1091.47,1,0.92,1
vllm,few_shot,43,1038.14,55.64,1093.78,2,1.83,1
vllm,few_shot,44,1057.39,0.00,1092.62,1,0.92,1
vllm,few_shot,45,1071.72,0.00,1105.21,1,0.90,1
vllm,few_shot,46,1076.80,0.00,1109.09,1,0.90,1
vllm,few_shot,47,1053.39,58.41,1111.79,2,1.80,1
vllm,few_shot,48,1078.18,0.00,1114.61,1,0.90,1
vllm,few_shot,49,1064.14,55.36,1119.51,2,1.79,1
vllm,few_shot,50,1075.79,0.00,1117.70,1,0.89,1
vllm,few_shot,51,1052.96,69.82,1122.78,2,1.78,1
vllm,few_shot,52,1073.42,50.27,1123.70,2,1.78,1
vllm,few_shot,53,1093.36,0.00,1125.38,1,0.89,1
vllm,few_shot,54,148.89,0.00,153.82,1,6.50,1
vllm,few_shot,55,1082.56,0.00,1128.90,1,0.89,1
vllm,few_shot,56,131.25,0.00,149.87,1,6.67,1
vllm,few_shot,57,1073.04,60.01,1133.05,2,1.77,1
vllm,few_shot,58,1077.96,55.01,1132.97,2,1.77,1
vllm,few_shot,59,1089.04,46.76,1135.80,2,1.76,1
vllm,few_shot,60,1079.59,58.22,1137.80,2,1.76,1
vllm,few_shot,61,115.06,0.00,146.31,1,6.83,1
vllm,few_shot,62,135.40,0.00,167.58,1,5.97,1
vllm,few_shot,63,132.35,31.35,163.71,2,12.22,1
vllm,few_shot,64,133.81,0.00,163.51,1,6.12,1
vllm,few_shot,65,137.76,8.71,146.47,2,13.65,1
vllm,few_shot,66,128.39,0.00,170.57,1,5.86,1
vllm,few_shot,67,138.18,0.00,177.71,1,5.63,1
vllm,few_shot,68,1093.39,56.54,1149.94,2,1.74,1
vllm,few_shot,69,88.89,0.00,114.15,1,8.76,1
vllm,few_shot,70,85.89,0.00,111.61,1,8.96,1
vllm,few_shot,71,112.76,0.00,117.78,1,8.49,1
vllm,few_shot,72,111.31,0.00,133.77,1,7.48,1
vllm,few_shot,73,127.87,44.47,172.35,2,11.60,1
