model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-11T17:01:49.841262

Build Times
provider,build_time_s
vllm,1325.0
sglang,180.2
torchinferno,42.8

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,158.63,134.82,297.95,sglang
ttft_p99_ms,1493.24,6366.73,873.15,torchinferno
tpot_median_ms,56.02,77.90,166.98,vllm
tpot_p99_ms,144.03,7309.37,414.62,vllm
e2e_median_ms,215.15,206.48,509.11,sglang
e2e_p99_ms,1544.72,13640.89,1039.55,torchinferno
throughput_median_tps,7.06,5.90,2.65,vllm
total_output_tokens,1466,1461,1460,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,178.54,207.56,348.74,vllm
ttft_p99_ms,323.73,689.88,648.10,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,221.10,354.52,447.97,vllm
e2e_p99_ms,393.24,779.66,911.11,vllm
throughput_median_tps,4.52,2.82,2.23,vllm
total_output_tokens,1000,1000,1000,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,180.53,155.74,,sglang
ttft_p99_ms,348.50,623.09,,vllm
tpot_median_ms,59.96,107.25,,vllm
tpot_p99_ms,185.92,424.01,,vllm
e2e_median_ms,236.26,256.55,,vllm
e2e_p99_ms,422.56,777.88,,vllm
throughput_median_tps,6.04,5.11,,vllm
total_output_tokens,1450,1450,,vllm
num_requests,1000,1000,,
correctness_rate,0.98,0.98,,vllm
ttft_first_turn_ms,145.70,105.89,,sglang
ttft_last_turn_ms,171.04,189.37,,vllm
ttft_growth_ratio,1.17,1.79,,vllm

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,57.51,77.16,,vllm
ttft_p99_ms,79.27,710.18,,vllm
tpot_median_ms,26.92,70.97,,vllm
tpot_p99_ms,41.07,167.15,,vllm
e2e_median_ms,77.84,161.97,,vllm
e2e_p99_ms,111.14,755.12,,vllm
throughput_median_tps,15.70,8.88,,vllm
total_output_tokens,1457,1476,,sglang
num_requests,992,992,,
correctness_rate,0.97,0.97,,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,72.19,68.19,,sglang
ttft_p99_ms,196.33,121.90,,sglang
tpot_median_ms,14.96,22.63,,vllm
tpot_p99_ms,20.79,26.69,,vllm
e2e_median_ms,611.77,860.05,,vllm
e2e_p99_ms,1003.29,1578.06,,vllm
throughput_median_tps,58.60,41.75,,vllm
total_output_tokens,36715,36715,,vllm
num_requests,1000,1000,,
correctness_rate,1.00,1.00,,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,931.76,540.87,1472.64,2,1.36,1
vllm,few_shot,1,1456.25,0.00,1456.54,1,0.69,1
vllm,few_shot,2,1463.36,0.00,1463.62,1,0.68,1
vllm,few_shot,3,1457.46,0.00,1465.53,1,0.68,1
vllm,few_shot,4,1453.28,0.00,1467.77,1,0.68,1
vllm,few_shot,5,1462.69,0.00,1472.37,1,0.68,1
vllm,few_shot,6,1451.42,0.00,1474.97,1,0.68,1
vllm,few_shot,7,1489.00,0.00,1494.25,1,0.67,1
vllm,few_shot,8,1455.63,25.20,1480.83,2,1.35,1
vllm,few_shot,9,1469.83,0.00,1499.97,1,0.67,1
vllm,few_shot,10,1477.61,0.00,1482.73,1,0.67,1
vllm,few_shot,11,1486.09,10.30,1496.39,2,1.34,1
vllm,few_shot,12,1489.18,0.00,1494.32,1,0.67,1
vllm,few_shot,13,1462.68,0.00,1499.98,1,0.67,1
vllm,few_shot,14,1471.83,0.00,1501.08,1,0.67,1
vllm,few_shot,15,1483.08,0.36,1483.44,2,1.35,1
vllm,few_shot,16,1468.30,0.00,1488.26,1,0.67,1
vllm,few_shot,17,1476.13,0.00,1486.35,1,0.67,1
vllm,few_shot,18,1450.65,0.00,1494.20,1,0.67,1
vllm,few_shot,19,1488.22,0.33,1488.55,2,1.34,1
vllm,few_shot,20,1451.05,0.00,1496.73,1,0.67,1
vllm,few_shot,21,1478.83,34.86,1513.69,2,1.32,1
vllm,few_shot,22,1490.48,0.00,1495.50,1,0.67,1
vllm,few_shot,23,1502.88,0.00,1503.11,1,0.67,1
vllm,few_shot,24,1466.61,0.00,1516.02,1,0.66,1
vllm,few_shot,25,1452.39,51.79,1504.19,2,1.33,1
vllm,few_shot,26,1462.24,0.00,1501.63,1,0.67,1
vllm,few_shot,27,1457.80,57.11,1514.91,2,1.32,1
vllm,few_shot,28,1473.90,29.23,1503.14,2,1.33,1
vllm,few_shot,29,1504.92,0.33,1505.25,2,1.33,1
vllm,few_shot,30,1489.81,0.00,1523.63,1,0.66,1
vllm,few_shot,31,1459.65,52.45,1512.09,2,1.32,1
vllm,few_shot,32,1463.91,57.71,1521.62,2,1.31,1
vllm,few_shot,33,1448.34,0.00,1507.60,1,0.66,1
vllm,few_shot,34,1493.24,14.90,1508.14,2,1.33,1
vllm,few_shot,35,1459.79,0.00,1513.38,1,0.66,1
vllm,few_shot,36,1474.61,39.50,1514.11,2,1.32,1
vllm,few_shot,37,1474.63,0.00,1528.61,1,0.65,1
vllm,few_shot,38,1514.70,15.64,1530.34,2,1.31,1
vllm,few_shot,39,1468.32,51.37,1519.69,2,1.32,1
vllm,few_shot,40,1519.12,0.40,1519.52,2,1.32,1
vllm,few_shot,41,1513.03,19.71,1532.74,2,1.30,1
vllm,few_shot,42,1468.08,0.00,1539.84,1,0.65,1
vllm,few_shot,43,1478.81,62.46,1541.27,2,1.30,1
vllm,few_shot,44,1527.75,0.00,1527.98,1,0.65,1
