model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-07T07:02:07.109487

Build Times
provider,build_time_s
torchinferno,360.4
vllm,1367.5
sglang,208.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,391.48,163.04,147.47,sglang
ttft_p99_ms,2777.24,299.50,1039.77,vllm
tpot_median_ms,51.55,55.52,72.07,torchinferno
tpot_p99_ms,166.41,135.64,7314.52,vllm
e2e_median_ms,451.28,215.82,213.41,sglang
e2e_p99_ms,2797.83,354.48,8319.22,vllm
throughput_median_tps,3.10,6.88,5.51,vllm
total_output_tokens,1460,1458,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,283.75,195.53,210.22,vllm
ttft_p99_ms,950.91,478.00,70230.00,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,391.89,221.86,343.11,vllm
e2e_p99_ms,1074.10,532.00,70319.82,vllm
throughput_median_tps,2.55,4.51,2.91,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,866.02,175.20,166.80,sglang
ttft_p99_ms,2033.99,330.32,686.77,vllm
tpot_median_ms,59.79,59.88,96.23,torchinferno
tpot_p99_ms,168.07,209.42,280.02,torchinferno
e2e_median_ms,923.65,225.51,267.26,vllm
e2e_p99_ms,2053.88,418.29,740.99,vllm
throughput_median_tps,1.76,6.16,4.99,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1083.79,137.74,109.78,sglang
ttft_last_turn_ms,1096.47,162.45,193.97,vllm
ttft_growth_ratio,1.01,1.18,1.77,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,505.16,61.39,77.13,vllm
ttft_p99_ms,1193.98,2019.15,631.47,sglang
tpot_median_ms,33.43,27.81,61.22,vllm
tpot_p99_ms,259.54,1981.70,151.26,sglang
e2e_median_ms,543.53,82.90,146.04,vllm
e2e_p99_ms,1212.71,2048.51,668.19,sglang
throughput_median_tps,2.62,14.42,9.88,vllm
total_output_tokens,1457,1457,1467,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,581.70,66.01,76.00,vllm
ttft_p99_ms,1873.47,125.23,144.41,vllm
tpot_median_ms,32.97,15.15,23.24,vllm
tpot_p99_ms,59.42,20.07,29.36,vllm
e2e_median_ms,1704.89,612.18,868.15,vllm
e2e_p99_ms,3829.43,1017.64,1670.76,vllm
throughput_median_tps,20.19,58.92,39.96,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1573.32,0.00,1580.90,1,0.63,1
torchinferno,few_shot,1,1574.35,0.00,1585.34,1,0.63,1
torchinferno,few_shot,2,1574.26,0.00,1585.20,1,0.63,1
torchinferno,few_shot,3,1572.30,0.00,1583.78,1,0.63,1
torchinferno,few_shot,4,1577.42,188.33,1765.75,2,1.13,1
torchinferno,few_shot,5,2314.12,0.00,2333.55,1,0.43,1
torchinferno,few_shot,6,2312.73,0.00,2334.48,1,0.43,1
torchinferno,few_shot,7,2323.94,0.00,2348.74,1,0.43,1
torchinferno,few_shot,8,2315.09,0.00,2337.90,1,0.43,1
torchinferno,few_shot,9,2332.30,0.00,2353.05,1,0.42,1
torchinferno,few_shot,10,2324.23,0.00,2343.71,1,0.43,1
torchinferno,few_shot,11,2321.98,0.00,2353.76,1,0.42,1
torchinferno,few_shot,12,2333.43,22.73,2356.16,2,0.85,1
torchinferno,few_shot,13,2311.43,0.00,2346.84,1,0.43,1
torchinferno,few_shot,14,2320.60,0.00,2352.83,1,0.43,1
torchinferno,few_shot,15,2330.53,38.39,2368.92,2,0.84,1
torchinferno,few_shot,16,2310.96,0.00,2352.71,1,0.43,1
torchinferno,few_shot,17,2338.13,30.11,2368.23,2,0.84,1
torchinferno,few_shot,18,2318.77,41.20,2359.97,2,0.85,1
torchinferno,few_shot,19,2310.54,0.00,2357.33,1,0.42,1
torchinferno,few_shot,20,2340.10,36.07,2376.17,2,0.84,1
torchinferno,few_shot,21,2318.70,0.00,2361.65,1,0.42,1
torchinferno,few_shot,22,2332.84,42.65,2375.49,2,0.84,1
torchinferno,few_shot,23,2331.89,47.48,2379.36,2,0.84,1
torchinferno,few_shot,24,2324.59,0.00,2368.38,1,0.42,1
torchinferno,few_shot,25,2319.15,0.00,2373.69,1,0.42,1
torchinferno,few_shot,26,2323.08,53.85,2376.93,2,0.84,1
torchinferno,few_shot,27,2334.13,0.00,2388.61,1,0.42,1
torchinferno,few_shot,28,2319.55,0.00,2376.73,1,0.42,1
torchinferno,few_shot,29,2326.35,62.79,2389.14,2,0.84,1
torchinferno,few_shot,30,2317.29,61.57,2378.86,2,0.84,1
torchinferno,few_shot,31,2316.50,0.00,2379.56,1,0.42,1
torchinferno,few_shot,32,2309.50,69.11,2378.61,2,0.84,1
torchinferno,few_shot,33,2319.93,0.00,2379.12,1,0.42,1
torchinferno,few_shot,34,2312.15,0.00,2379.87,1,0.42,1
torchinferno,few_shot,35,2320.89,74.94,2395.83,2,0.83,1
torchinferno,few_shot,36,2320.04,67.22,2387.27,2,0.84,1
torchinferno,few_shot,37,2330.46,74.94,2405.41,2,0.83,1
torchinferno,few_shot,38,2324.09,0.00,2409.63,1,0.42,1
torchinferno,few_shot,39,2316.42,78.44,2394.85,2,0.84,1
torchinferno,few_shot,40,2327.62,72.22,2399.84,2,0.83,1
torchinferno,few_shot,41,2319.80,0.00,2397.13,1,0.42,1
torchinferno,few_shot,42,2322.04,0.00,2398.95,1,0.42,1
torchinferno,few_shot,43,2315.79,85.69,2401.47,2,0.83,1
torchinferno,few_shot,44,2315.06,0.00,2404.13,1,0.42,1
torchinferno,few_shot,45,2323.17,95.32,2418.50,2,0.83,1
