model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-11T05:02:59.687378

Build Times
provider,build_time_s
torchinferno,417.5
vllm,1369.7
sglang,215.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,286.94,147.70,148.90,vllm
ttft_p99_ms,1694.77,250.83,1220.55,vllm
tpot_median_ms,92.89,47.87,74.80,vllm
tpot_p99_ms,617.64,127.94,396.33,vllm
e2e_median_ms,371.23,195.21,219.58,vllm
e2e_p99_ms,2295.23,304.38,1595.33,vllm
throughput_median_tps,3.40,7.60,5.39,vllm
total_output_tokens,1461,1462,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,366.13,205.32,210.40,vllm
ttft_p99_ms,1007.74,485.14,70568.34,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,493.20,227.78,356.97,vllm
e2e_p99_ms,1277.57,526.84,70674.16,vllm
throughput_median_tps,2.03,4.39,2.80,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,726.55,180.79,160.57,sglang
ttft_p99_ms,2033.81,356.52,289.60,sglang
tpot_median_ms,65.90,69.87,101.64,torchinferno
tpot_p99_ms,185.61,195.75,237.51,torchinferno
e2e_median_ms,780.68,244.27,258.69,vllm
e2e_p99_ms,2058.47,433.82,431.09,sglang
throughput_median_tps,1.74,5.91,5.37,vllm
total_output_tokens,1450,1462,1462,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,869.47,150.49,107.92,sglang
ttft_last_turn_ms,856.38,168.85,197.61,vllm
ttft_growth_ratio,0.98,1.12,1.83,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,402.85,61.70,81.89,vllm
ttft_p99_ms,1225.79,2021.07,678.11,sglang
tpot_median_ms,60.03,29.11,48.16,vllm
tpot_p99_ms,339.73,1709.97,148.46,sglang
e2e_median_ms,452.25,84.18,149.14,vllm
e2e_p99_ms,1349.69,2054.55,709.60,sglang
throughput_median_tps,3.39,14.42,9.25,vllm
total_output_tokens,1466,1465,1459,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,188.93,71.82,79.35,vllm
ttft_p99_ms,1277.40,239.88,178.79,sglang
tpot_median_ms,26.08,15.11,25.06,vllm
tpot_p99_ms,58.65,21.82,33.01,vllm
e2e_median_ms,1177.38,626.65,933.20,vllm
e2e_p99_ms,2945.26,1021.96,1817.22,vllm
throughput_median_tps,31.65,58.56,37.24,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1307.09,0.00,1315.06,1,0.76,1
torchinferno,few_shot,1,1311.70,0.00,1321.87,1,0.76,1
torchinferno,few_shot,2,1310.40,0.00,1321.37,1,0.76,1
torchinferno,few_shot,3,1311.08,0.00,1322.84,1,0.76,1
torchinferno,few_shot,4,1311.12,0.00,1327.27,1,0.75,1
torchinferno,few_shot,5,1310.21,0.00,1326.51,1,0.75,1
torchinferno,few_shot,6,1308.57,19.20,1327.77,2,1.51,1
torchinferno,few_shot,7,1308.50,21.11,1329.61,2,1.50,1
torchinferno,few_shot,8,1311.18,23.41,1334.59,2,1.50,1
torchinferno,few_shot,9,1312.36,25.06,1337.42,2,1.50,1
torchinferno,few_shot,10,1308.62,24.50,1333.13,2,1.50,1
torchinferno,few_shot,11,1694.47,0.00,2228.41,1,0.45,1
torchinferno,few_shot,12,1684.95,0.00,2223.52,1,0.45,1
torchinferno,few_shot,13,1679.70,0.00,2223.57,1,0.45,1
torchinferno,few_shot,14,1688.22,0.00,2227.66,1,0.45,1
torchinferno,few_shot,15,1695.76,0.00,2237.47,1,0.45,1
torchinferno,few_shot,16,1688.98,0.00,2233.63,1,0.45,1
torchinferno,few_shot,17,1688.45,0.00,2244.74,1,0.45,1
torchinferno,few_shot,18,1687.33,0.00,2237.80,1,0.45,1
torchinferno,few_shot,19,1685.59,0.00,2238.30,1,0.45,1
torchinferno,few_shot,20,1699.22,0.00,2245.41,1,0.45,1
torchinferno,few_shot,21,1685.81,0.00,2242.62,1,0.45,1
torchinferno,few_shot,22,1690.54,0.00,2242.29,1,0.45,1
torchinferno,few_shot,23,1692.73,0.00,2244.04,1,0.45,1
torchinferno,few_shot,24,1682.99,0.00,2250.04,1,0.44,1
torchinferno,few_shot,25,1696.25,0.00,2251.56,1,0.44,1
torchinferno,few_shot,26,1694.77,559.52,2254.29,2,0.89,1
torchinferno,few_shot,27,1694.29,0.00,2255.63,1,0.44,1
torchinferno,few_shot,28,1681.36,576.66,2258.02,2,0.89,1
torchinferno,few_shot,29,2226.90,0.00,2253.00,1,0.44,1
torchinferno,few_shot,30,1689.34,572.01,2261.35,2,0.88,1
torchinferno,few_shot,31,1694.34,568.48,2262.82,2,0.88,1
torchinferno,few_shot,32,1700.75,566.17,2266.92,2,0.88,1
torchinferno,few_shot,33,1684.53,0.00,2262.96,1,0.44,1
torchinferno,few_shot,34,1684.64,584.88,2269.52,2,0.88,1
torchinferno,few_shot,35,1688.21,582.68,2270.89,2,0.88,1
torchinferno,few_shot,36,1688.95,0.00,2271.34,1,0.44,1
torchinferno,few_shot,37,1679.14,589.78,2268.92,2,0.88,1
torchinferno,few_shot,38,1690.16,0.00,2272.74,1,0.44,1
torchinferno,few_shot,39,1687.71,584.45,2272.17,2,0.88,1
torchinferno,few_shot,40,1693.25,584.09,2277.34,2,0.88,1
torchinferno,few_shot,41,1691.01,587.08,2278.09,2,0.88,1
torchinferno,few_shot,42,2236.64,39.46,2276.10,2,0.88,1
torchinferno,few_shot,43,2273.05,0.00,2278.04,1,0.44,1
torchinferno,few_shot,44,1681.71,0.00,2280.77,1,0.44,1
torchinferno,few_shot,45,1683.39,0.00,2283.49,1,0.44,1
