model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-18T01:02:12.333825

Build Times
provider,build_time_s
torchinferno,89.6
vllm,1235.7
sglang,177.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,280.64,173.20,163.57,sglang
ttft_p99_ms,2684.54,913.54,6694.75,vllm
tpot_median_ms,160.41,61.14,75.04,vllm
tpot_p99_ms,218.01,166.95,7316.46,vllm
e2e_median_ms,383.18,232.57,236.70,vllm
e2e_p99_ms,2880.69,963.59,13983.69,vllm
throughput_median_tps,3.87,6.60,5.03,vllm
total_output_tokens,1461,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,291.90,179.16,216.31,vllm
ttft_p99_ms,3006.37,484.06,70833.39,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,310.66,207.60,364.99,vllm
e2e_p99_ms,3116.71,517.21,70906.51,vllm
throughput_median_tps,3.22,4.82,2.74,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,964.80,180.62,168.68,sglang
ttft_p99_ms,3776.12,364.99,575.00,vllm
tpot_median_ms,158.16,57.99,111.52,vllm
tpot_p99_ms,971.38,220.41,339.89,vllm
e2e_median_ms,1055.54,236.25,274.91,vllm
e2e_p99_ms,3915.30,452.54,859.25,vllm
throughput_median_tps,1.16,5.80,4.71,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1805.94,147.18,123.90,sglang
ttft_last_turn_ms,933.42,179.90,184.81,vllm
ttft_growth_ratio,0.52,1.22,1.49,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,363.14,60.60,77.69,vllm
ttft_p99_ms,1317.11,186.28,424.49,vllm
tpot_median_ms,136.57,27.25,64.20,vllm
tpot_p99_ms,162.69,40.19,402.18,vllm
e2e_median_ms,471.49,81.77,151.15,vllm
e2e_p99_ms,1443.63,187.95,586.40,vllm
throughput_median_tps,2.84,15.10,9.35,vllm
total_output_tokens,1467,1476,1471,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1044.47,73.13,77.24,vllm
ttft_p99_ms,2855.27,125.17,409.70,vllm
tpot_median_ms,15.77,15.07,21.82,vllm
tpot_p99_ms,46.35,19.78,32.54,vllm
e2e_median_ms,1758.09,615.78,813.09,vllm
e2e_p99_ms,4189.62,1004.52,1598.66,vllm
throughput_median_tps,20.41,58.46,42.33,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1119.15,407.39,1526.54,2,1.31,1
torchinferno,few_shot,1,2676.00,0.00,2771.21,1,0.36,1
torchinferno,few_shot,2,2694.75,0.00,2776.14,1,0.36,1
torchinferno,few_shot,3,2685.86,0.00,2776.61,1,0.36,1
torchinferno,few_shot,4,2688.54,0.00,2777.58,1,0.36,1
torchinferno,few_shot,5,2670.99,0.00,2766.46,1,0.36,1
torchinferno,few_shot,6,2671.04,0.00,2758.01,1,0.36,1
torchinferno,few_shot,7,2680.46,0.00,2773.26,1,0.36,1
torchinferno,few_shot,8,2676.05,0.00,2784.67,1,0.36,1
torchinferno,few_shot,9,2684.54,0.00,2780.18,1,0.36,1
torchinferno,few_shot,10,2684.60,0.00,2791.65,1,0.36,1
torchinferno,few_shot,11,2667.14,0.00,2778.11,1,0.36,1
torchinferno,few_shot,12,2676.86,0.00,2794.81,1,0.36,1
torchinferno,few_shot,13,2657.43,0.00,2775.10,1,0.36,1
torchinferno,few_shot,14,2669.71,0.00,2786.72,1,0.36,1
torchinferno,few_shot,15,2673.09,0.00,2789.10,1,0.36,1
torchinferno,few_shot,16,2670.65,0.00,2789.75,1,0.36,1
torchinferno,few_shot,17,2667.29,0.00,2783.52,1,0.36,1
torchinferno,few_shot,18,2660.97,0.00,2783.97,1,0.36,1
torchinferno,few_shot,19,2679.56,0.00,2789.26,1,0.36,1
torchinferno,few_shot,20,2673.13,0.00,2796.39,1,0.36,1
torchinferno,few_shot,21,2668.45,0.00,2784.48,1,0.36,1
torchinferno,few_shot,22,2661.49,0.00,2784.55,1,0.36,1
torchinferno,few_shot,23,2677.22,0.00,2811.19,1,0.36,1
torchinferno,few_shot,24,2669.48,0.00,2801.18,1,0.36,1
torchinferno,few_shot,25,2665.30,0.00,2801.52,1,0.36,1
torchinferno,few_shot,26,2675.80,0.00,2804.44,1,0.36,1
torchinferno,few_shot,27,2667.89,0.00,2801.14,1,0.36,1
torchinferno,few_shot,28,2689.85,0.00,2821.20,1,0.35,1
torchinferno,few_shot,29,2666.32,0.00,2811.35,1,0.36,1
torchinferno,few_shot,30,1169.92,0.00,1299.88,1,0.77,1
torchinferno,few_shot,31,2672.69,0.00,2814.57,1,0.36,1
torchinferno,few_shot,32,2662.58,0.00,2809.47,1,0.36,1
torchinferno,few_shot,33,2669.59,0.00,2814.79,1,0.36,1
torchinferno,few_shot,34,2679.86,182.60,2862.46,2,0.70,1
torchinferno,few_shot,35,2692.07,168.57,2860.64,2,0.70,1
torchinferno,few_shot,36,2689.03,171.75,2860.78,2,0.70,1
torchinferno,few_shot,37,2676.17,177.16,2853.33,2,0.70,1
torchinferno,few_shot,38,2657.01,184.04,2841.05,2,0.70,1
torchinferno,few_shot,39,2674.05,184.48,2858.53,2,0.70,1
torchinferno,few_shot,40,2675.67,181.99,2857.66,2,0.70,1
torchinferno,few_shot,41,2678.76,184.22,2862.98,2,0.70,1
torchinferno,few_shot,42,2670.08,185.50,2855.58,2,0.70,1
torchinferno,few_shot,43,2662.46,192.94,2855.40,2,0.70,1
torchinferno,few_shot,44,2667.14,189.39,2856.53,2,0.70,1
torchinferno,few_shot,45,2676.18,190.16,2866.34,2,0.70,1
torchinferno,few_shot,46,2684.66,195.10,2879.76,2,0.69,1
torchinferno,few_shot,47,2675.65,193.28,2868.93,2,0.70,1
torchinferno,few_shot,48,2672.89,199.52,2872.41,2,0.70,1
torchinferno,few_shot,49,2676.77,205.13,2881.90,2,0.69,1
torchinferno,few_shot,50,2673.97,192.30,2866.27,2,0.70,1
torchinferno,few_shot,51,2683.34,206.46,2889.80,2,0.69,1
torchinferno,few_shot,52,2664.46,197.91,2862.36,2,0.70,1
torchinferno,few_shot,53,2680.74,199.95,2880.69,2,0.69,1
torchinferno,few_shot,54,2660.91,209.45,2870.36,2,0.70,1
torchinferno,few_shot,55,2682.60,207.26,2889.86,2,0.69,1
torchinferno,few_shot,56,2671.68,200.35,2872.03,2,0.70,1
torchinferno,few_shot,57,2679.74,205.47,2885.21,2,0.69,1
torchinferno,few_shot,58,2666.23,206.11,2872.34,2,0.70,1
torchinferno,few_shot,59,2655.50,218.01,2873.50,2,0.70,1
torchinferno,few_shot,60,2679.60,205.77,2885.37,2,0.69,1
torchinferno,few_shot,61,2671.15,210.08,2881.24,2,0.69,1
torchinferno,few_shot,62,2670.22,223.38,2893.60,2,0.69,1
torchinferno,few_shot,63,2664.78,222.96,2887.74,2,0.69,1
torchinferno,few_shot,64,2685.67,214.54,2900.21,2,0.69,1
torchinferno,few_shot,65,222.11,0.00,292.71,1,3.42,1
torchinferno,few_shot,66,172.11,0.00,243.79,1,4.10,1
torchinferno,few_shot,67,192.45,0.00,264.70,1,3.78,1
torchinferno,few_shot,68,191.32,0.00,267.19,1,3.74,1
torchinferno,few_shot,69,179.39,0.00,262.71,1,3.81,1
torchinferno,few_shot,70,171.07,0.00,254.66,1,3.93,1
torchinferno,few_shot,71,209.49,0.00,288.78,1,3.46,1
torchinferno,few_shot,72,227.92,0.00,311.42,1,3.21,1
torchinferno,few_shot,73,210.23,0.00,296.17,1,3.38,1
torchinferno,few_shot,74,195.78,0.00,287.48,1,3.48,1
torchinferno,few_shot,75,199.14,0.00,290.13,1,3.45,1
torchinferno,few_shot,76,170.52,0.00,262.00,1,3.82,1
torchinferno,few_shot,77,233.88,0.00,321.41,1,3.11,1
torchinferno,few_shot,78,224.61,0.00,314.15,1,3.18,1
torchinferno,few_shot,79,185.30,0.00,280.57,1,3.56,1
torchinferno,few_shot,80,221.18,0.00,321.58,1,3.11,1
torchinferno,few_shot,81,194.56,0.00,292.31,1,3.42,1
torchinferno,few_shot,82,213.49,0.00,317.09,1,3.15,1
torchinferno,few_shot,83,195.10,0.00,301.31,1,3.32,1
torchinferno,few_shot,84,191.17,0.00,296.17,1,3.38,1
torchinferno,few_shot,85,215.38,0.00,324.00,1,3.09,1
torchinferno,few_shot,86,180.17,0.00,288.30,1,3.47,1
torchinferno,few_shot,87,198.92,145.05,343.98,2,5.81,1
torchinferno,few_shot,88,184.18,145.81,329.98,2,6.06,1
torchinferno,few_shot,89,222.63,146.91,369.54,2,5.41,1
torchinferno,few_shot,90,199.74,154.37,354.11,2,5.65,1
torchinferno,few_shot,91,204.63,152.36,356.99,2,5.60,1
torchinferno,few_shot,92,198.88,150.48,349.35,2,5.72,1
torchinferno,few_shot,93,209.12,155.44,364.56,2,5.49,1
torchinferno,few_shot,94,211.82,158.88,370.70,2,5.40,1
torchinferno,few_shot,95,203.65,161.00,364.65,2,5.48,1
torchinferno,few_shot,96,178.54,159.57,338.11,2,5.92,1
torchinferno,few_shot,97,174.93,165.87,340.80,2,5.87,1
torchinferno,few_shot,98,435.53,0.00,495.66,1,2.02,1
torchinferno,few_shot,99,218.85,0.00,279.88,1,3.57,1
torchinferno,few_shot,100,397.73,0.00,470.62,1,2.12,1
torchinferno,few_shot,101,412.77,0.00,482.94,1,2.07,1
torchinferno,few_shot,102,420.19,0.00,500.19,1,2.00,1
torchinferno,few_shot,103,430.07,0.00,510.30,1,1.96,1
torchinferno,few_shot,104,395.30,0.00,472.78,1,2.12,1
torchinferno,few_shot,105,419.46,0.00,502.17,1,1.99,1
torchinferno,few_shot,106,419.60,0.00,497.88,1,2.01,1
torchinferno,few_shot,107,435.59,0.00,518.53,1,1.93,1
torchinferno,few_shot,108,200.37,0.00,277.94,1,3.60,1
torchinferno,few_shot,109,421.58,0.00,500.77,1,2.00,1
torchinferno,few_shot,110,215.72,0.00,296.97,1,3.37,1
torchinferno,few_shot,111,402.95,0.00,495.52,1,2.02,1
torchinferno,few_shot,112,224.80,0.00,316.80,1,3.16,1
torchinferno,few_shot,113,419.06,0.00,511.10,1,1.96,1
torchinferno,few_shot,114,210.24,0.00,304.60,1,3.28,1
torchinferno,few_shot,115,444.25,0.00,532.55,1,1.88,1
torchinferno,few_shot,116,219.63,0.00,312.34,1,3.20,1
torchinferno,few_shot,117,195.58,0.00,295.40,1,3.39,1
torchinferno,few_shot,118,407.99,0.00,498.32,1,2.01,1
torchinferno,few_shot,119,224.59,0.00,317.38,1,3.15,1
torchinferno,few_shot,120,410.76,0.00,513.79,1,1.95,1
