model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-11T13:02:01.759301

Build Times
provider,build_time_s
vllm,1375.7
sglang,199.7
torchinferno,44.3

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,159.39,134.91,288.61,sglang
ttft_p99_ms,1524.42,6251.59,962.38,torchinferno
tpot_median_ms,52.77,75.76,257.31,vllm
tpot_p99_ms,154.93,7320.65,564.31,vllm
e2e_median_ms,208.89,206.06,531.82,sglang
e2e_p99_ms,1578.32,13526.36,1332.74,torchinferno
throughput_median_tps,7.08,5.98,2.33,vllm
total_output_tokens,1461,1461,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,182.13,219.47,458.12,vllm
ttft_p99_ms,426.57,836.26,780.21,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,203.64,359.39,560.30,vllm
e2e_p99_ms,457.92,896.12,896.27,vllm
throughput_median_tps,4.91,2.78,1.78,vllm
total_output_tokens,1000,1000,1000,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,172.11,165.00,629.88,sglang
ttft_p99_ms,354.57,782.41,1178.61,vllm
tpot_median_ms,65.92,91.99,311.36,vllm
tpot_p99_ms,227.63,232.77,561.10,vllm
e2e_median_ms,231.34,262.93,936.34,vllm
e2e_p99_ms,435.88,838.79,1538.02,vllm
throughput_median_tps,6.04,5.05,1.51,vllm
total_output_tokens,1450,1462,1450,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,138.24,109.25,628.59,sglang
ttft_last_turn_ms,170.56,190.28,679.60,vllm
ttft_growth_ratio,1.23,1.74,1.08,torchinferno

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,57.96,76.33,,vllm
ttft_p99_ms,80.21,658.61,,vllm
tpot_median_ms,26.68,77.57,,vllm
tpot_p99_ms,39.56,642.05,,vllm
e2e_median_ms,78.42,167.60,,vllm
e2e_p99_ms,108.51,729.59,,vllm
throughput_median_tps,15.88,8.80,,vllm
total_output_tokens,1452,1458,,sglang
num_requests,992,992,,
correctness_rate,0.97,0.97,,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,74.06,66.92,,sglang
ttft_p99_ms,220.31,113.68,,sglang
tpot_median_ms,14.93,21.85,,vllm
tpot_p99_ms,21.25,26.44,,vllm
e2e_median_ms,636.88,814.01,,vllm
e2e_p99_ms,1016.19,1534.08,,vllm
throughput_median_tps,58.24,43.11,,vllm
total_output_tokens,36715,36715,,vllm
num_requests,1000,1000,,
correctness_rate,1.00,1.00,,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,902.29,605.51,1507.81,2,1.33,1
vllm,few_shot,1,1507.06,0.00,1512.33,1,0.66,1
vllm,few_shot,2,1494.61,0.00,1499.63,1,0.67,1
vllm,few_shot,3,1491.95,0.00,1497.03,1,0.67,1
vllm,few_shot,4,1485.38,0.00,1500.70,1,0.67,1
vllm,few_shot,5,1489.20,0.00,1499.60,1,0.67,1
vllm,few_shot,6,1507.58,0.00,1517.56,1,0.66,1
vllm,few_shot,7,1498.98,0.00,1503.88,1,0.66,1
vllm,few_shot,8,1498.48,0.00,1508.72,1,0.66,1
vllm,few_shot,9,1515.84,0.00,1525.21,1,0.66,1
vllm,few_shot,10,1504.14,0.00,1514.11,1,0.66,1
vllm,few_shot,11,1506.25,0.00,1511.11,1,0.66,1
vllm,few_shot,12,1510.28,5.23,1515.51,2,1.32,1
vllm,few_shot,13,1521.10,0.00,1526.19,1,0.66,1
vllm,few_shot,14,1510.20,23.82,1534.02,2,1.30,1
vllm,few_shot,15,1495.52,0.00,1535.32,1,0.65,1
vllm,few_shot,16,1519.32,0.36,1519.68,2,1.32,1
vllm,few_shot,17,1493.07,33.35,1526.43,2,1.31,1
vllm,few_shot,18,1508.59,25.25,1533.84,2,1.30,1
vllm,few_shot,19,1508.23,0.00,1537.85,1,0.65,1
vllm,few_shot,20,1505.45,0.00,1525.42,1,0.66,1
vllm,few_shot,21,1487.86,0.00,1527.79,1,0.65,1
vllm,few_shot,22,1512.76,10.23,1523.00,2,1.31,1
vllm,few_shot,23,1492.17,38.27,1530.44,2,1.31,1
vllm,few_shot,24,1531.44,0.00,1531.71,1,0.65,1
vllm,few_shot,25,1481.40,48.36,1529.76,2,1.31,1
vllm,few_shot,26,1482.54,53.02,1535.56,2,1.30,1
vllm,few_shot,27,1500.66,52.33,1552.99,2,1.29,1
vllm,few_shot,28,1491.44,0.00,1544.91,1,0.65,1
vllm,few_shot,29,1496.43,36.64,1533.07,2,1.30,1
vllm,few_shot,30,1538.14,0.32,1538.45,2,1.30,1
vllm,few_shot,31,1497.20,52.78,1549.98,2,1.29,1
vllm,few_shot,32,1546.08,0.00,1556.16,1,0.64,1
vllm,few_shot,33,1502.48,0.00,1555.26,1,0.64,1
vllm,few_shot,34,1533.23,0.00,1541.76,1,0.65,1
vllm,few_shot,35,1501.21,0.00,1561.22,1,0.64,1
vllm,few_shot,36,1486.93,56.65,1543.58,2,1.30,1
vllm,few_shot,37,1487.02,64.90,1551.92,2,1.29,1
vllm,few_shot,38,1486.25,0.00,1553.32,1,0.64,1
vllm,few_shot,39,1484.34,65.24,1549.58,2,1.29,1
vllm,few_shot,40,1499.61,67.51,1567.12,2,1.28,1
vllm,few_shot,41,1493.19,0.00,1558.99,1,0.64,1
vllm,few_shot,42,1496.49,71.43,1567.92,2,1.28,1
vllm,few_shot,43,1485.80,70.34,1556.14,2,1.29,1
vllm,few_shot,44,1548.21,0.00,1558.10,1,0.64,1
vllm,few_shot,45,1566.99,4.68,1571.67,2,1.27,1
vllm,few_shot,46,1549.38,9.34,1558.72,2,1.28,1
vllm,few_shot,47,1524.42,0.00,1576.46,1,0.63,1
vllm,few_shot,48,1518.07,57.83,1575.90,2,1.27,1
vllm,few_shot,49,1500.49,73.27,1573.76,2,1.27,1
vllm,few_shot,50,1480.24,83.88,1564.12,2,1.28,1
vllm,few_shot,51,1484.65,77.97,1562.62,2,1.28,1
vllm,few_shot,52,1495.68,82.65,1578.32,2,1.27,1
vllm,few_shot,53,1496.79,84.57,1581.36,2,1.26,1
vllm,few_shot,54,1493.60,76.24,1569.84,2,1.27,1
vllm,few_shot,55,1507.54,82.43,1589.97,2,1.26,1
vllm,few_shot,56,1522.21,0.00,1576.43,1,0.63,1
vllm,few_shot,57,1491.84,93.23,1585.07,2,1.26,1
vllm,few_shot,58,1499.69,0.00,1587.19,1,0.63,1
vllm,few_shot,59,1514.43,67.19,1581.62,2,1.26,1
vllm,few_shot,60,1555.59,0.00,1582.76,1,0.63,1
vllm,few_shot,61,1502.81,0.00,1595.11,1,0.63,1
vllm,few_shot,62,1571.57,0.00,1582.52,1,0.63,1
vllm,few_shot,63,1483.78,0.00,1584.17,1,0.63,1
vllm,few_shot,64,92.29,0.00,102.19,1,9.79,1
vllm,few_shot,65,100.24,0.00,116.05,1,8.62,1
vllm,few_shot,66,85.61,0.00,105.73,1,9.46,1
vllm,few_shot,67,74.69,0.00,95.72,1,10.45,1
vllm,few_shot,68,106.12,0.00,131.58,1,7.60,1
vllm,few_shot,69,123.76,0.00,133.31,1,7.50,1
vllm,few_shot,70,108.56,26.74,135.30,2,14.78,1
vllm,few_shot,71,83.03,0.00,97.36,1,10.27,1
vllm,few_shot,72,103.96,0.00,121.11,1,8.26,1
vllm,few_shot,73,129.40,79.48,208.88,2,9.57,1
vllm,few_shot,74,149.78,0.00,220.21,1,4.54,1
vllm,few_shot,75,128.53,0.00,202.45,1,4.94,1
vllm,few_shot,76,217.17,0.00,276.21,1,3.62,1
vllm,few_shot,77,144.38,0.00,209.32,1,4.78,1
vllm,few_shot,78,217.22,0.00,280.59,1,3.56,1
vllm,few_shot,79,173.96,0.00,240.61,1,4.16,1
vllm,few_shot,80,212.03,0.00,271.03,1,3.69,1
vllm,few_shot,81,221.40,0.00,289.17,1,3.46,1
vllm,few_shot,82,180.00,0.00,244.50,1,4.09,1
vllm,few_shot,83,149.25,0.00,220.83,1,4.53,1
vllm,few_shot,84,159.64,0.00,228.83,1,4.37,1
vllm,few_shot,85,83.61,138.41,222.02,2,9.01,1
vllm,few_shot,86,197.38,0.00,264.67,1,3.78,1
vllm,few_shot,87,161.44,0.00,230.06,1,4.35,1
vllm,few_shot,88,170.29,0.00,246.24,1,4.06,1
vllm,few_shot,89,219.04,0.00,219.28,1,4.56,1
vllm,few_shot,90,225.90,0.00,307.69,1,3.25,1
vllm,few_shot,91,89.94,148.13,238.07,2,8.40,1
vllm,few_shot,92,240.33,0.00,244.48,1,4.09,1
vllm,few_shot,93,177.02,90.42,267.44,2,7.48,1
vllm,few_shot,94,222.63,0.00,232.63,1,4.30,1
vllm,few_shot,95,252.87,0.00,257.76,1,3.88,1
vllm,few_shot,96,197.84,86.60,284.44,2,7.03,1
vllm,few_shot,97,196.04,0.00,288.06,1,3.47,1
vllm,few_shot,98,177.87,0.00,270.81,1,3.69,1
vllm,few_shot,99,172.45,0.00,172.66,1,5.79,1
vllm,few_shot,100,250.59,0.00,255.56,1,3.91,1
vllm,few_shot,101,141.12,102.89,244.01,2,8.20,1
vllm,few_shot,102,150.57,94.14,244.71,2,8.17,1
vllm,few_shot,103,179.44,0.00,189.77,1,5.27,1
vllm,few_shot,104,188.14,0.00,289.19,1,3.46,1
vllm,few_shot,105,155.66,27.61,183.28,2,10.91,1
vllm,few_shot,106,178.81,109.90,288.71,2,6.93,1
vllm,few_shot,107,172.04,108.67,280.71,2,7.12,1
vllm,few_shot,108,193.49,0.00,298.57,1,3.35,1
vllm,few_shot,109,252.00,0.00,262.14,1,3.81,1
vllm,few_shot,110,195.43,0.00,305.79,1,3.27,1
vllm,few_shot,111,264.47,25.32,289.79,2,6.90,1
vllm,few_shot,112,84.71,0.00,106.18,1,9.42,1
vllm,few_shot,113,227.08,24.60,251.68,2,7.95,1
vllm,few_shot,114,159.87,0.00,192.07,1,5.21,1
vllm,few_shot,115,221.38,0.00,255.63,1,3.91,1
vllm,few_shot,116,224.55,52.49,277.04,2,7.22,1
