model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-02T14:09:23.626405+00:00

Build Times
provider,build_time_s
vllm,0.0
sglang,0.0
torchinferno,0.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,239.14,114.01,172.28,sglang
ttft_p99_ms,723.63,568.37,1239.93,sglang
tpot_median_ms,86.45,88.52,50.12,torchinferno
tpot_p99_ms,224.50,438.79,314.77,vllm
e2e_median_ms,319.82,202.71,214.35,sglang
e2e_p99_ms,798.77,671.25,1286.21,sglang
throughput_median_tps,4.62,5.84,5.46,sglang
total_output_tokens,1465,1461,1454,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,216.35,195.67,216.41,sglang
ttft_p99_ms,440.04,57513.09,605.40,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,304.40,388.34,234.30,torchinferno
e2e_p99_ms,576.47,57657.59,667.54,vllm
throughput_median_tps,3.29,2.58,4.27,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,284.71,144.51,341.23,sglang
ttft_p99_ms,494.75,732.15,559.75,vllm
tpot_median_ms,97.04,124.77,66.56,torchinferno
tpot_p99_ms,300.67,277.68,296.08,sglang
e2e_median_ms,379.43,273.69,399.32,sglang
e2e_p99_ms,651.34,781.50,722.56,vllm
throughput_median_tps,3.90,4.75,3.26,sglang
total_output_tokens,1450,1447,1453,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,208.58,143.96,381.48,sglang
ttft_last_turn_ms,284.18,397.06,383.11,vllm
ttft_growth_ratio,1.36,2.76,1.00,torchinferno
ttft_first_turn_median_ms,171.97,70.75,387.67,sglang
ttft_first_turn_p99_ms,476.71,317.86,488.12,sglang
ttft_last_turn_median_ms,292.87,229.73,383.94,sglang
ttft_last_turn_p99_ms,516.03,769.53,439.96,torchinferno

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,125.42,55.88,156.13,sglang
ttft_p99_ms,163.67,715.40,444.55,vllm
tpot_median_ms,82.84,84.87,42.33,torchinferno
tpot_p99_ms,98.70,259.88,252.43,vllm
e2e_median_ms,186.38,147.72,195.37,sglang
e2e_p99_ms,284.72,731.55,508.50,vllm
throughput_median_tps,6.77,9.07,6.66,sglang
total_output_tokens,1460,1460,1465,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,94.61,60.49,274.03,sglang
ttft_p99_ms,345.24,245.68,1105.95,sglang
tpot_median_ms,27.41,24.68,25.09,sglang
tpot_p99_ms,38.37,41.57,53.61,vllm
e2e_median_ms,1115.19,889.76,1283.84,sglang
e2e_p99_ms,2073.42,1712.07,2030.25,sglang
throughput_median_tps,33.01,38.62,30.51,sglang
total_output_tokens,36715,36713,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
vllm,few_shot,7,0,471.74,0.00,570.98,1,1.75,1,,,,,,,7,,,
vllm,few_shot,25,1,709.30,0.00,730.00,1,1.37,1,,,,,,,25,,,
vllm,few_shot,10,2,722.64,0.00,743.31,1,1.35,1,,,,,,,10,,,
vllm,few_shot,26,3,713.56,0.00,734.30,1,1.36,1,,,,,,,26,,,
vllm,few_shot,39,4,707.96,0.00,729.66,1,1.37,1,,,,,,,39,,,
vllm,few_shot,38,5,710.93,0.00,732.55,1,1.37,1,,,,,,,38,,,
vllm,few_shot,53,6,703.84,0.00,726.41,1,1.38,1,,,,,,,53,,,
vllm,few_shot,43,7,704.04,0.00,730.91,1,1.37,1,,,,,,,43,,,
vllm,few_shot,17,8,717.96,0.00,745.11,1,1.34,1,,,,,,,17,,,
vllm,few_shot,29,9,720.71,0.00,740.63,1,1.35,1,,,,,,,29,,,
vllm,few_shot,35,10,718.10,0.00,739.64,1,1.35,1,,,,,,,35,,,
vllm,few_shot,42,11,714.43,0.00,735.21,1,1.36,1,,,,,,,42,,,
vllm,few_shot,58,12,706.31,0.00,730.45,1,1.37,1,,,,,,,58,,,
vllm,few_shot,55,13,698.98,0.00,732.75,1,1.36,1,,,,,,,55,,,
vllm,few_shot,47,14,707.78,0.00,736.99,1,1.36,1,,,,,,,47,,,
vllm,few_shot,41,15,712.63,0.00,741.91,1,1.35,1,,,,,,,41,,,
vllm,few_shot,5,16,734.89,0.00,762.94,1,1.31,1,,,,,,,5,,,
vllm,few_shot,11,17,723.63,0.00,757.09,1,1.32,1,,,,,,,11,,,
vllm,few_shot,48,18,705.43,0.00,741.99,1,1.35,1,,,,,,,48,,,
vllm,few_shot,37,19,715.46,0.00,749.63,1,1.33,1,,,,,,,37,,,
vllm,few_shot,60,20,693.16,0.00,740.31,1,1.35,1,,,,,,,60,,,
vllm,few_shot,34,21,706.14,0.00,753.18,1,1.33,1,,,,,,,34,,,
vllm,few_shot,57,22,696.77,0.00,743.40,1,1.35,1,,,,,,,57,,,
vllm,few_shot,28,23,721.05,0.00,758.37,1,1.32,1,,,,,,,28,,,
vllm,few_shot,16,24,712.13,52.83,764.95,2,2.61,1,,,,,,,16,,,
vllm,few_shot,62,25,703.84,42.39,746.23,2,2.68,1,,,,,,,62,,,
vllm,few_shot,4,26,733.73,0.00,776.01,1,1.29,1,,,,,,,4,,,
vllm,few_shot,1,27,723.39,0.00,778.48,1,1.28,1,,,,,,,1,,,
vllm,few_shot,9,28,721.33,0.00,776.73,1,1.29,1,,,,,,,9,,,
vllm,few_shot,3,29,730.22,49.78,780.00,2,2.56,1,,,,,,,3,,,
vllm,few_shot,12,30,719.12,0.00,772.72,1,1.29,1,,,,,,,12,,,
vllm,few_shot,24,31,724.65,0.00,769.88,1,1.30,1,,,,,,,24,,,
vllm,few_shot,19,32,713.49,59.90,773.39,2,2.59,1,,,,,,,19,,,
vllm,few_shot,27,33,718.59,53.11,771.70,2,2.59,1,,,,,,,27,,,
vllm,few_shot,6,34,719.89,65.80,785.69,2,2.55,1,,,,,,,6,,,
vllm,few_shot,36,35,714.83,55.18,770.00,2,2.60,1,,,,,,,36,,,
vllm,few_shot,56,36,706.10,55.05,761.15,2,2.63,1,,,,,,,56,,,
vllm,few_shot,50,37,703.41,61.92,765.33,2,2.61,1,,,,,,,50,,,
vllm,few_shot,21,38,719.16,61.67,780.83,2,2.56,1,,,,,,,21,,,
vllm,few_shot,51,39,705.57,61.92,767.49,2,2.61,1,,,,,,,51,,,
vllm,few_shot,33,40,711.82,65.51,777.32,2,2.57,1,,,,,,,33,,,
