model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-11T05:01:20.229484

Build Times
provider,build_time_s
vllm,1038.2
sglang,275.1
torchinferno,79.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,166.78,156.10,564.85,sglang
ttft_p99_ms,1135.87,5149.47,3743.85,vllm
tpot_median_ms,66.69,74.99,343.35,vllm
tpot_p99_ms,149.03,7517.92,1536.66,vllm
e2e_median_ms,228.55,226.72,881.10,sglang
e2e_p99_ms,1208.37,12635.54,5245.33,vllm
throughput_median_tps,6.32,5.19,1.45,vllm
total_output_tokens,1461,1460,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,189.25,212.66,464.07,vllm
ttft_p99_ms,499.52,704.06,783.74,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,211.17,368.11,584.03,vllm
e2e_p99_ms,535.42,739.79,1007.96,vllm
throughput_median_tps,4.74,2.72,1.71,vllm
total_output_tokens,1000,1000,1000,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,181.86,160.98,2589.08,sglang
ttft_p99_ms,396.12,786.25,7793.67,vllm
tpot_median_ms,59.57,96.80,404.28,vllm
tpot_p99_ms,201.93,242.05,2152.61,vllm
e2e_median_ms,231.61,267.11,2947.23,vllm
e2e_p99_ms,455.61,831.84,8232.76,vllm
throughput_median_tps,5.87,4.89,0.45,vllm
total_output_tokens,1450,1450,1457,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,157.35,113.49,2042.44,sglang
ttft_last_turn_ms,171.26,192.94,3179.46,vllm
ttft_growth_ratio,1.09,1.70,1.56,vllm

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,68.64,81.76,615.47,vllm
ttft_p99_ms,155.66,709.89,1296.76,vllm
tpot_median_ms,31.03,51.58,291.98,vllm
tpot_p99_ms,140.43,176.47,469.27,vllm
e2e_median_ms,94.86,142.31,901.27,vllm
e2e_p99_ms,217.23,798.36,1565.92,vllm
throughput_median_tps,13.44,9.12,1.44,vllm
total_output_tokens,1478,1466,1468,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,75.52,77.27,2623.16,vllm
ttft_p99_ms,169.35,319.73,9156.79,vllm
tpot_median_ms,15.16,21.95,82.56,vllm
tpot_p99_ms,19.35,33.68,162.32,vllm
e2e_median_ms,613.53,828.81,6788.05,vllm
e2e_p99_ms,1051.14,1673.63,11978.54,vllm
throughput_median_tps,57.66,41.87,6.11,vllm
total_output_tokens,36715,36715,36715,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,701.36,0.00,1049.80,1,0.95,1
vllm,few_shot,1,1124.89,0.00,1139.42,1,0.88,1
vllm,few_shot,2,1130.49,0.00,1153.16,1,0.87,1
vllm,few_shot,3,1117.97,0.00,1142.68,1,0.88,1
vllm,few_shot,4,1107.70,0.00,1136.69,1,0.88,1
vllm,few_shot,5,1122.63,0.00,1134.92,1,0.88,1
vllm,few_shot,6,1136.13,0.00,1148.53,1,0.87,1
vllm,few_shot,7,1115.98,0.00,1149.63,1,0.87,1
vllm,few_shot,8,1109.69,34.22,1143.92,2,1.75,1
vllm,few_shot,9,1134.75,0.00,1168.90,1,0.86,1
vllm,few_shot,10,1118.54,0.00,1143.73,1,0.87,1
vllm,few_shot,11,1135.87,34.73,1170.60,2,1.71,1
vllm,few_shot,12,1120.48,0.00,1151.50,1,0.87,1
vllm,few_shot,13,1103.06,0.00,1147.04,1,0.87,1
vllm,few_shot,14,1102.23,43.48,1145.71,2,1.75,1
vllm,few_shot,15,1121.75,39.95,1161.70,2,1.72,1
vllm,few_shot,16,1123.87,43.68,1167.54,2,1.71,1
vllm,few_shot,17,1131.54,32.31,1163.84,2,1.72,1
vllm,few_shot,18,1133.21,0.00,1177.04,1,0.85,1
vllm,few_shot,19,1132.68,0.00,1166.89,1,0.86,1
vllm,few_shot,20,1146.87,0.00,1179.25,1,0.85,1
vllm,few_shot,21,1114.60,47.67,1162.27,2,1.72,1
vllm,few_shot,22,1118.10,0.00,1174.97,1,0.85,1
vllm,few_shot,23,1130.79,43.03,1173.83,2,1.70,1
vllm,few_shot,24,1134.65,0.00,1174.43,1,0.85,1
vllm,few_shot,25,1136.05,49.24,1185.29,2,1.69,1
vllm,few_shot,26,1127.29,0.00,1168.62,1,0.86,1
vllm,few_shot,27,1117.11,0.00,1167.26,1,0.86,1
vllm,few_shot,28,1140.63,54.99,1195.62,2,1.67,1
vllm,few_shot,29,1137.51,0.00,1197.03,1,0.84,1
vllm,few_shot,30,1125.26,54.76,1180.02,2,1.69,1
vllm,few_shot,31,1132.03,0.00,1183.36,1,0.85,1
vllm,few_shot,32,1124.60,0.00,1176.48,1,0.85,1
vllm,few_shot,33,1121.79,54.76,1176.55,2,1.70,1
vllm,few_shot,34,1128.66,59.77,1188.43,2,1.68,1
vllm,few_shot,35,1142.09,0.00,1199.62,1,0.83,1
vllm,few_shot,36,1129.24,0.00,1182.85,1,0.85,1
vllm,few_shot,37,1113.13,64.44,1177.57,2,1.70,1
vllm,few_shot,38,1140.38,0.00,1203.98,1,0.83,1
vllm,few_shot,39,1121.34,0.00,1183.54,1,0.84,1
vllm,few_shot,40,1121.36,0.00,1190.52,1,0.84,1
vllm,few_shot,41,1134.82,69.74,1204.55,2,1.66,1
vllm,few_shot,42,1113.23,71.38,1184.61,2,1.69,1
vllm,few_shot,43,1128.30,0.00,1191.62,1,0.84,1
vllm,few_shot,44,1103.86,81.96,1185.82,2,1.69,1
vllm,few_shot,45,1138.75,69.63,1208.37,2,1.66,1
vllm,few_shot,46,1121.77,81.09,1202.85,2,1.66,1
vllm,few_shot,47,163.16,0.00,163.42,1,6.12,1
