model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-10T21:07:46.932987+00:00

Build Times
provider,build_time_s
torchinferno,35.8
vllm,224.9
sglang,200.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,143.02,81.21,75.66,sglang
ttft_p99_ms,752.87,164.18,461.41,vllm
tpot_median_ms,31.70,37.60,65.55,torchinferno
tpot_p99_ms,48.18,96.89,879.92,torchinferno
e2e_median_ms,168.26,111.86,127.96,vllm
e2e_p99_ms,769.94,237.81,967.24,vllm
throughput_median_tps,6.71,12.03,10.60,vllm
total_output_tokens,1460,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,25.80,66.81,121.36,torchinferno
ttft_p99_ms,141.53,318.47,70199.73,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,26.65,84.24,194.16,torchinferno
e2e_p99_ms,149.52,345.33,70248.10,torchinferno
throughput_median_tps,37.53,11.87,5.15,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,76.80,77.63,vllm
ttft_p99_ms,,173.69,519.87,vllm
tpot_median_ms,,36.13,72.49,vllm
tpot_p99_ms,,92.32,909.91,vllm
e2e_median_ms,,104.71,134.24,vllm
e2e_p99_ms,,223.18,949.21,vllm
throughput_median_tps,,12.98,9.93,vllm
total_output_tokens,,1450,1450,
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,75.32,59.77,sglang
ttft_last_turn_ms,,82.43,82.20,sglang
ttft_growth_ratio,,1.09,1.38,vllm
ttft_first_turn_median_ms,,70.72,56.88,sglang
ttft_first_turn_p99_ms,,143.38,99.61,sglang
ttft_last_turn_median_ms,,72.58,83.37,vllm
ttft_last_turn_p99_ms,,167.92,107.04,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,32.83,48.27,vllm
ttft_p99_ms,,91.13,382.44,vllm
tpot_median_ms,,21.78,430.35,vllm
tpot_p99_ms,,34.83,1116.20,vllm
e2e_median_ms,,49.48,446.38,vllm
e2e_p99_ms,,126.35,1141.91,vllm
throughput_median_tps,,25.70,3.13,vllm
total_output_tokens,,1449,1459,sglang
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,45.05,49.70,vllm
ttft_p99_ms,,61.63,102.37,vllm
tpot_median_ms,,15.01,24.44,vllm
tpot_p99_ms,,17.17,64.23,vllm
e2e_median_ms,,567.44,922.99,vllm
e2e_p99_ms,,1022.37,1776.67,vllm
throughput_median_tps,,62.19,39.55,vllm
total_output_tokens,,36715,36715,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,764.18,0.00,776.24,1,1.29,1,,,,,,,1,,,
torchinferno,few_shot,0,1,781.84,73.03,854.88,2,2.34,1,,,,,,,0,,,
torchinferno,few_shot,8,2,771.26,0.00,784.25,1,1.28,1,,,,,,,8,,,
torchinferno,few_shot,24,3,498.69,0.00,513.73,1,1.95,1,,,,,,,24,,,
torchinferno,few_shot,26,4,465.28,0.00,480.46,1,2.08,1,,,,,,,26,,,
torchinferno,few_shot,11,5,720.39,0.00,735.48,1,1.36,1,,,,,,,11,,,
torchinferno,few_shot,9,6,752.87,0.00,769.94,1,1.30,1,,,,,,,9,,,
torchinferno,few_shot,25,7,482.00,0.00,499.20,1,2.00,1,,,,,,,25,,,
torchinferno,few_shot,31,8,381.89,0.00,398.05,1,2.51,1,,,,,,,31,,,
torchinferno,few_shot,12,9,701.81,0.00,720.48,1,1.39,1,,,,,,,12,,,
torchinferno,few_shot,29,10,414.84,0.00,432.85,1,2.31,1,,,,,,,29,,,
torchinferno,few_shot,4,11,838.26,0.00,857.33,1,1.17,1,,,,,,,4,,,
torchinferno,few_shot,5,12,821.62,0.00,841.10,1,1.19,1,,,,,,,5,,,
torchinferno,few_shot,10,13,738.12,0.00,756.74,1,1.32,1,,,,,,,10,,,
torchinferno,few_shot,17,14,618.23,0.00,639.98,1,1.56,1,,,,,,,17,,,
torchinferno,few_shot,28,15,431.61,0.00,453.95,1,2.20,1,,,,,,,28,,,
torchinferno,few_shot,7,16,787.59,0.00,810.61,1,1.23,1,,,,,,,7,,,
torchinferno,few_shot,6,17,803.16,28.72,831.89,2,2.40,1,,,,,,,6,,,
torchinferno,few_shot,20,18,567.18,28.47,595.65,2,3.36,1,,,,,,,20,,,
torchinferno,few_shot,13,19,685.41,29.31,714.71,2,2.80,1,,,,,,,13,,,
torchinferno,few_shot,22,20,534.41,28.24,562.65,2,3.55,1,,,,,,,22,,,
torchinferno,few_shot,15,21,651.79,30.40,682.19,2,2.93,1,,,,,,,15,,,
torchinferno,few_shot,3,22,853.87,31.61,885.48,2,2.26,1,,,,,,,3,,,
torchinferno,few_shot,32,23,365.49,29.46,394.95,2,5.06,1,,,,,,,32,,,
torchinferno,few_shot,33,24,347.11,31.53,378.64,2,5.28,1,,,,,,,33,,,
torchinferno,few_shot,16,25,635.77,31.57,667.34,2,3.00,1,,,,,,,16,,,
torchinferno,few_shot,23,26,518.03,31.61,549.65,2,3.64,1,,,,,,,23,,,
torchinferno,few_shot,30,27,398.66,32.79,431.46,2,4.64,1,,,,,,,30,,,
torchinferno,few_shot,14,28,668.39,35.21,703.60,2,2.84,1,,,,,,,14,,,
torchinferno,few_shot,2,29,870.48,36.14,906.62,2,2.21,1,,,,,,,2,,,
torchinferno,few_shot,18,30,602.14,34.79,636.94,2,3.14,1,,,,,,,18,,,
torchinferno,few_shot,19,31,586.01,35.47,621.48,2,3.22,1,,,,,,,19,,,
torchinferno,few_shot,21,32,552.25,35.94,588.19,2,3.40,1,,,,,,,21,,,
torchinferno,few_shot,27,33,449.90,38.17,488.06,2,4.10,1,,,,,,,27,,,
torchinferno,few_shot,35,34,394.39,0.00,408.38,1,2.45,1,,,,,,,35,,,
torchinferno,few_shot,41,35,293.99,0.00,307.90,1,3.25,1,,,,,,,41,,,
