model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-24T21:03:52.973203

Build Times
provider,build_time_s
torchinferno,351.2
vllm,1235.5
sglang,200.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,286.39,153.15,140.76,sglang
ttft_p99_ms,1706.24,257.20,6855.70,vllm
tpot_median_ms,152.93,50.13,76.42,vllm
tpot_p99_ms,208.87,133.33,7414.90,vllm
e2e_median_ms,379.00,201.01,212.85,vllm
e2e_p99_ms,1902.85,315.89,14234.22,vllm
throughput_median_tps,3.99,7.24,5.63,vllm
total_output_tokens,1461,1451,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,280.02,191.80,203.12,vllm
ttft_p99_ms,1388.12,489.39,71562.07,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,316.14,213.52,336.38,vllm
e2e_p99_ms,1444.49,512.91,71691.45,vllm
throughput_median_tps,3.16,4.68,2.97,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,675.85,176.94,152.15,sglang
ttft_p99_ms,1805.83,352.28,771.49,vllm
tpot_median_ms,186.66,62.06,106.35,vllm
tpot_p99_ms,487.46,194.99,220.82,vllm
e2e_median_ms,776.38,234.24,250.20,vllm
e2e_p99_ms,1933.47,437.08,875.28,vllm
throughput_median_tps,1.71,6.09,5.32,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,951.40,145.88,114.25,sglang
ttft_last_turn_ms,743.73,159.25,168.10,vllm
ttft_growth_ratio,0.78,1.09,1.47,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,360.93,58.48,80.01,vllm
ttft_p99_ms,855.31,143.96,499.17,vllm
tpot_median_ms,131.79,26.44,54.86,vllm
tpot_p99_ms,155.92,42.97,166.07,vllm
e2e_median_ms,460.98,79.26,150.67,vllm
e2e_p99_ms,978.93,159.34,534.33,vllm
throughput_median_tps,3.07,15.68,9.36,vllm
total_output_tokens,1473,1464,1451,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.98,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,758.59,79.03,68.14,sglang
ttft_p99_ms,2318.44,217.00,130.15,sglang
tpot_median_ms,15.70,15.06,22.06,vllm
tpot_p99_ms,38.03,21.06,27.56,vllm
e2e_median_ms,1360.83,628.92,800.01,vllm
e2e_p99_ms,3180.25,1025.68,1531.64,vllm
throughput_median_tps,26.18,57.98,42.71,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,820.07,0.00,1083.80,1,0.92,1
torchinferno,few_shot,1,1697.00,0.00,1786.69,1,0.56,1
torchinferno,few_shot,2,1705.22,0.00,1789.01,1,0.56,1
torchinferno,few_shot,3,1712.93,0.00,1793.78,1,0.56,1
torchinferno,few_shot,4,1705.55,0.00,1791.55,1,0.56,1
torchinferno,few_shot,5,1705.00,0.00,1793.41,1,0.56,1
torchinferno,few_shot,6,1706.24,0.00,1793.05,1,0.56,1
torchinferno,few_shot,7,1696.19,0.00,1800.54,1,0.56,1
torchinferno,few_shot,8,1707.29,0.00,1799.78,1,0.56,1
torchinferno,few_shot,9,1697.30,0.00,1805.73,1,0.55,1
torchinferno,few_shot,10,1696.46,0.00,1801.77,1,0.56,1
torchinferno,few_shot,11,1699.04,0.00,1799.71,1,0.56,1
torchinferno,few_shot,12,1707.73,0.00,1805.62,1,0.55,1
torchinferno,few_shot,13,1695.25,0.00,1808.75,1,0.55,1
torchinferno,few_shot,14,1701.43,0.00,1814.99,1,0.55,1
torchinferno,few_shot,15,1704.32,0.00,1814.99,1,0.55,1
torchinferno,few_shot,16,1700.02,0.00,1812.32,1,0.55,1
torchinferno,few_shot,17,1706.46,0.00,1812.70,1,0.55,1
torchinferno,few_shot,18,1697.03,0.00,1817.56,1,0.55,1
torchinferno,few_shot,19,1701.03,0.00,1816.25,1,0.55,1
torchinferno,few_shot,20,1694.06,0.00,1816.58,1,0.55,1
torchinferno,few_shot,21,1709.23,0.00,1819.25,1,0.55,1
torchinferno,few_shot,22,1691.80,0.00,1817.70,1,0.55,1
torchinferno,few_shot,23,1716.73,0.00,1828.52,1,0.55,1
torchinferno,few_shot,24,1709.10,0.00,1823.13,1,0.55,1
torchinferno,few_shot,25,1698.95,0.00,1825.50,1,0.55,1
torchinferno,few_shot,26,1697.04,0.00,1827.27,1,0.55,1
torchinferno,few_shot,27,1695.65,0.00,1831.10,1,0.55,1
torchinferno,few_shot,28,620.55,0.00,749.68,1,1.33,1
torchinferno,few_shot,29,1698.04,0.00,1828.01,1,0.55,1
torchinferno,few_shot,30,1694.99,0.00,1827.72,1,0.55,1
torchinferno,few_shot,31,1700.35,0.00,1831.76,1,0.55,1
torchinferno,few_shot,32,1701.45,0.00,1832.74,1,0.55,1
torchinferno,few_shot,33,1710.32,161.39,1871.71,2,1.07,1
torchinferno,few_shot,34,1700.08,174.21,1874.29,2,1.07,1
torchinferno,few_shot,35,1704.08,163.80,1867.88,2,1.07,1
torchinferno,few_shot,36,1697.42,176.10,1873.51,2,1.07,1
torchinferno,few_shot,37,1699.19,172.67,1871.85,2,1.07,1
torchinferno,few_shot,38,1701.76,171.63,1873.39,2,1.07,1
torchinferno,few_shot,39,1701.73,168.90,1870.63,2,1.07,1
torchinferno,few_shot,40,1703.74,173.82,1877.56,2,1.07,1
torchinferno,few_shot,41,1706.07,173.81,1879.89,2,1.06,1
torchinferno,few_shot,42,1704.25,172.29,1876.54,2,1.07,1
torchinferno,few_shot,43,1699.21,183.02,1882.23,2,1.06,1
torchinferno,few_shot,44,1696.08,183.63,1879.71,2,1.06,1
torchinferno,few_shot,45,1704.96,174.27,1879.23,2,1.06,1
