model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-10T13:02:59.568883+00:00

Build Times
provider,build_time_s
torchinferno,43.1
vllm,365.6
sglang,205.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,152.79,79.35,76.03,sglang
ttft_p99_ms,776.11,187.05,482.76,vllm
tpot_median_ms,31.21,36.81,65.92,torchinferno
tpot_p99_ms,42.12,93.16,855.36,torchinferno
e2e_median_ms,179.35,107.80,128.56,vllm
e2e_p99_ms,794.72,247.51,938.61,vllm
throughput_median_tps,6.36,12.06,10.54,vllm
total_output_tokens,1460,1456,1461,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,51.39,75.48,118.75,torchinferno
ttft_p99_ms,836.23,313.46,70143.63,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,52.09,92.25,193.36,torchinferno
e2e_p99_ms,914.68,327.65,70189.56,vllm
throughput_median_tps,19.20,10.84,5.17,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,476.54,92.46,80.48,sglang
ttft_p99_ms,3481.98,202.24,462.20,vllm
tpot_median_ms,125.92,37.28,71.60,vllm
tpot_p99_ms,371.29,121.97,453.62,vllm
e2e_median_ms,580.50,126.32,135.69,vllm
e2e_p99_ms,3607.33,245.08,668.53,vllm
throughput_median_tps,2.06,10.55,9.26,vllm
total_output_tokens,1460,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1894.63,104.00,95.72,sglang
ttft_last_turn_ms,411.57,93.69,82.42,sglang
ttft_growth_ratio,0.22,0.90,0.86,torchinferno
ttft_first_turn_median_ms,3044.61,97.09,70.97,sglang
ttft_first_turn_p99_ms,3568.55,202.24,357.09,vllm
ttft_last_turn_median_ms,441.31,83.82,85.67,vllm
ttft_last_turn_p99_ms,693.07,192.80,107.75,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,133.15,35.04,49.36,vllm
ttft_p99_ms,810.93,103.71,443.66,vllm
tpot_median_ms,83.58,22.68,395.61,vllm
tpot_p99_ms,273.88,33.61,1064.02,vllm
e2e_median_ms,169.18,53.38,444.07,vllm
e2e_p99_ms,905.38,152.60,1094.31,vllm
throughput_median_tps,8.34,25.08,3.28,vllm
total_output_tokens,1468,1480,1465,vllm
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,614.53,46.03,49.08,vllm
ttft_p99_ms,1725.44,63.05,124.35,vllm
tpot_median_ms,67.24,15.11,24.67,vllm
tpot_p99_ms,135.69,17.41,62.90,vllm
e2e_median_ms,2935.57,569.70,910.12,vllm
e2e_p99_ms,5420.33,1026.32,1755.44,vllm
throughput_median_tps,12.17,61.81,39.46,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,781.88,0.00,794.72,1,1.26,1,,,,,,,1,,,
torchinferno,few_shot,0,1,799.94,71.88,871.82,2,2.29,1,,,,,,,0,,,
torchinferno,few_shot,4,2,858.00,0.00,872.85,1,1.15,1,,,,,,,4,,,
torchinferno,few_shot,17,3,639.48,0.00,654.06,1,1.53,1,,,,,,,17,,,
torchinferno,few_shot,8,4,791.04,0.00,806.59,1,1.24,1,,,,,,,8,,,
torchinferno,few_shot,10,5,759.87,0.00,773.63,1,1.29,1,,,,,,,10,,,
torchinferno,few_shot,11,6,740.44,0.00,757.36,1,1.32,1,,,,,,,11,,,
torchinferno,few_shot,25,7,505.04,0.00,521.57,1,1.92,1,,,,,,,25,,,
torchinferno,few_shot,28,8,455.44,0.00,472.02,1,2.12,1,,,,,,,28,,,
torchinferno,few_shot,5,9,841.22,0.00,860.72,1,1.16,1,,,,,,,5,,,
torchinferno,few_shot,24,10,522.33,0.00,540.82,1,1.85,1,,,,,,,24,,,
torchinferno,few_shot,26,11,487.71,0.00,507.53,1,1.97,1,,,,,,,26,,,
torchinferno,few_shot,7,12,810.29,0.00,829.12,1,1.21,1,,,,,,,7,,,
torchinferno,few_shot,9,13,776.11,0.00,795.92,1,1.26,1,,,,,,,9,,,
torchinferno,few_shot,29,14,437.91,0.00,461.30,1,2.17,1,,,,,,,29,,,
torchinferno,few_shot,31,15,405.65,0.00,429.07,1,2.33,1,,,,,,,31,,,
torchinferno,few_shot,12,16,723.12,0.00,750.64,1,1.33,1,,,,,,,12,,,
torchinferno,few_shot,19,17,608.70,26.09,634.79,2,3.15,1,,,,,,,19,,,
torchinferno,few_shot,18,18,624.96,26.97,651.92,2,3.07,1,,,,,,,18,,,
torchinferno,few_shot,22,19,555.07,30.27,585.33,2,3.42,1,,,,,,,22,,,
torchinferno,few_shot,14,20,692.25,28.38,720.63,2,2.78,1,,,,,,,14,,,
torchinferno,few_shot,6,21,824.42,31.71,856.12,2,2.34,1,,,,,,,6,,,
torchinferno,few_shot,16,22,656.78,31.01,687.79,2,2.91,1,,,,,,,16,,,
torchinferno,few_shot,20,23,588.99,32.15,621.15,2,3.22,1,,,,,,,20,,,
torchinferno,few_shot,13,24,707.73,31.83,739.56,2,2.70,1,,,,,,,13,,,
torchinferno,few_shot,21,25,574.86,30.73,605.59,2,3.30,1,,,,,,,21,,,
torchinferno,few_shot,32,26,387.10,33.43,420.53,2,4.76,1,,,,,,,32,,,
torchinferno,few_shot,15,27,674.03,33.71,707.74,2,2.83,1,,,,,,,15,,,
torchinferno,few_shot,2,28,891.78,35.89,927.67,2,2.16,1,,,,,,,2,,,
torchinferno,few_shot,27,29,473.99,32.55,506.54,2,3.95,1,,,,,,,27,,,
torchinferno,few_shot,23,30,541.12,33.83,574.95,2,3.48,1,,,,,,,23,,,
torchinferno,few_shot,3,31,878.50,35.06,913.56,2,2.19,1,,,,,,,3,,,
torchinferno,few_shot,33,32,371.73,38.25,409.98,2,4.88,1,,,,,,,33,,,
torchinferno,few_shot,30,33,422.25,41.87,464.12,2,4.31,1,,,,,,,30,,,
torchinferno,few_shot,34,34,437.92,0.00,452.26,1,2.21,1,,,,,,,34,,,
torchinferno,few_shot,53,35,120.52,0.00,132.92,1,7.52,1,,,,,,,53,,,
torchinferno,few_shot,42,36,302.50,0.00,317.93,1,3.15,1,,,,,,,42,,,
torchinferno,few_shot,39,37,353.37,0.00,369.29,1,2.71,1,,,,,,,39,,,
torchinferno,few_shot,64,38,200.50,0.00,216.30,1,4.62,1,,,,,,,64,,,
