model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-24T05:03:46.220169

Build Times
provider,build_time_s
torchinferno,332.5
vllm,1299.4
sglang,209.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,300.79,152.80,141.16,sglang
ttft_p99_ms,1678.97,256.97,8134.57,vllm
tpot_median_ms,157.13,58.11,78.56,vllm
tpot_p99_ms,214.09,146.37,7323.92,vllm
e2e_median_ms,410.61,204.96,214.35,vllm
e2e_p99_ms,1863.76,323.52,15433.55,vllm
throughput_median_tps,3.72,7.26,5.59,vllm
total_output_tokens,1461,1459,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,236.72,179.34,205.51,vllm
ttft_p99_ms,1701.04,383.38,71461.66,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,329.45,201.48,342.88,vllm
e2e_p99_ms,1757.35,414.88,71583.40,vllm
throughput_median_tps,3.04,4.96,2.92,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,805.08,173.35,162.13,sglang
ttft_p99_ms,2345.82,346.79,501.62,vllm
tpot_median_ms,114.78,57.11,103.49,vllm
tpot_p99_ms,579.67,186.26,533.88,vllm
e2e_median_ms,914.52,223.18,266.54,vllm
e2e_p99_ms,2586.22,418.47,612.23,vllm
throughput_median_tps,1.38,6.15,4.96,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,1210.93,154.84,224.54,vllm
ttft_last_turn_ms,554.95,170.93,192.01,vllm
ttft_growth_ratio,0.46,1.10,0.86,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,435.26,56.62,78.79,vllm
ttft_p99_ms,1141.16,102.77,809.69,vllm
tpot_median_ms,133.93,27.00,62.40,vllm
tpot_p99_ms,156.81,69.39,780.17,vllm
e2e_median_ms,548.19,76.59,147.96,vllm
e2e_p99_ms,1221.43,146.44,870.33,vllm
throughput_median_tps,2.68,16.02,9.18,vllm
total_output_tokens,1489,1472,1457,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,811.00,73.18,66.86,sglang
ttft_p99_ms,2551.34,143.34,137.08,sglang
tpot_median_ms,15.87,15.06,22.41,vllm
tpot_p99_ms,50.26,19.02,27.59,vllm
e2e_median_ms,1551.43,611.45,821.56,vllm
e2e_p99_ms,3447.25,1016.40,1572.27,vllm
throughput_median_tps,21.49,58.27,42.07,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,816.30,198.23,1014.53,2,1.97,1
torchinferno,few_shot,1,1665.23,0.00,1746.21,1,0.57,1
torchinferno,few_shot,2,1651.12,0.00,1744.30,1,0.57,1
torchinferno,few_shot,3,1679.42,0.00,1766.26,1,0.57,1
torchinferno,few_shot,4,1664.92,0.00,1765.03,1,0.57,1
torchinferno,few_shot,5,1672.55,0.00,1764.98,1,0.57,1
torchinferno,few_shot,6,1659.64,0.00,1753.61,1,0.57,1
torchinferno,few_shot,7,1662.67,0.00,1766.98,1,0.57,1
torchinferno,few_shot,8,1653.11,0.00,1758.79,1,0.57,1
torchinferno,few_shot,9,1668.67,0.00,1773.56,1,0.56,1
torchinferno,few_shot,10,1664.50,0.00,1774.61,1,0.56,1
torchinferno,few_shot,11,1667.46,0.00,1781.47,1,0.56,1
torchinferno,few_shot,12,1661.90,0.00,1781.64,1,0.56,1
torchinferno,few_shot,13,1677.41,0.00,1789.26,1,0.56,1
torchinferno,few_shot,14,1667.46,0.00,1785.43,1,0.56,1
torchinferno,few_shot,15,1665.66,0.00,1792.39,1,0.56,1
torchinferno,few_shot,16,655.65,0.00,777.66,1,1.29,1
torchinferno,few_shot,17,1667.68,0.00,1795.76,1,0.56,1
torchinferno,few_shot,18,1668.46,0.00,1790.58,1,0.56,1
torchinferno,few_shot,19,1674.93,0.00,1798.95,1,0.56,1
torchinferno,few_shot,20,1664.91,0.00,1799.21,1,0.56,1
torchinferno,few_shot,21,1675.10,0.00,1797.52,1,0.56,1
torchinferno,few_shot,22,1664.33,0.00,1789.19,1,0.56,1
torchinferno,few_shot,23,1653.88,0.00,1790.61,1,0.56,1
torchinferno,few_shot,24,1655.17,0.00,1789.90,1,0.56,1
torchinferno,few_shot,25,1679.20,0.00,1810.13,1,0.55,1
torchinferno,few_shot,26,1679.24,0.00,1809.51,1,0.55,1
torchinferno,few_shot,27,1668.12,0.00,1797.68,1,0.56,1
torchinferno,few_shot,28,1669.59,0.00,1795.98,1,0.56,1
torchinferno,few_shot,29,1656.09,0.00,1799.16,1,0.56,1
torchinferno,few_shot,30,1681.05,0.00,1815.95,1,0.55,1
torchinferno,few_shot,31,1678.17,0.00,1814.58,1,0.55,1
torchinferno,few_shot,32,1677.77,0.00,1812.87,1,0.55,1
torchinferno,few_shot,33,1667.75,0.00,1821.75,1,0.55,1
torchinferno,few_shot,34,1666.74,163.41,1830.14,2,1.09,1
torchinferno,few_shot,35,1661.71,166.99,1828.70,2,1.09,1
torchinferno,few_shot,36,1658.20,166.08,1824.28,2,1.10,1
torchinferno,few_shot,37,1659.40,164.75,1824.15,2,1.10,1
torchinferno,few_shot,38,1681.25,160.96,1842.21,2,1.09,1
torchinferno,few_shot,39,1662.95,176.43,1839.38,2,1.09,1
torchinferno,few_shot,40,1655.30,176.35,1831.65,2,1.09,1
torchinferno,few_shot,41,1666.54,174.27,1840.81,2,1.09,1
torchinferno,few_shot,42,1686.39,165.59,1851.98,2,1.08,1
torchinferno,few_shot,43,1671.41,176.59,1848.00,2,1.08,1
torchinferno,few_shot,44,1668.91,186.61,1855.52,2,1.08,1
torchinferno,few_shot,45,1675.21,180.49,1855.69,2,1.08,1
torchinferno,few_shot,46,1667.37,174.93,1842.30,2,1.09,1
torchinferno,few_shot,47,1664.22,179.31,1843.53,2,1.08,1
torchinferno,few_shot,48,1661.64,184.66,1846.30,2,1.08,1
torchinferno,few_shot,49,1678.97,180.77,1859.74,2,1.08,1
torchinferno,few_shot,50,1671.39,192.20,1863.60,2,1.07,1
torchinferno,few_shot,51,1658.85,192.62,1851.48,2,1.08,1
torchinferno,few_shot,52,1679.25,189.45,1868.71,2,1.07,1
torchinferno,few_shot,53,1656.16,201.70,1857.85,2,1.08,1
torchinferno,few_shot,54,1665.42,191.62,1857.05,2,1.08,1
torchinferno,few_shot,55,1671.71,202.24,1873.96,2,1.07,1
torchinferno,few_shot,56,1680.60,192.57,1873.17,2,1.07,1
torchinferno,few_shot,57,1676.74,195.00,1871.74,2,1.07,1
torchinferno,few_shot,58,1659.93,203.83,1863.76,2,1.07,1
torchinferno,few_shot,59,1664.36,199.35,1863.70,2,1.07,1
torchinferno,few_shot,60,1668.27,214.09,1882.36,2,1.06,1
torchinferno,few_shot,61,1675.01,206.54,1881.55,2,1.06,1
torchinferno,few_shot,62,1664.67,209.18,1873.85,2,1.07,1
torchinferno,few_shot,63,1664.89,224.02,1888.91,2,1.06,1
torchinferno,few_shot,64,1679.13,225.70,1904.83,2,1.05,1
torchinferno,few_shot,65,182.57,0.00,245.52,1,4.07,1
torchinferno,few_shot,66,155.52,0.00,218.85,1,4.57,1
torchinferno,few_shot,67,193.30,0.00,260.17,1,3.84,1
torchinferno,few_shot,68,190.93,0.00,257.78,1,3.88,1
torchinferno,few_shot,69,190.77,0.00,257.60,1,3.88,1
torchinferno,few_shot,70,153.60,0.00,222.59,1,4.49,1
torchinferno,few_shot,71,150.96,0.00,222.85,1,4.49,1
torchinferno,few_shot,72,186.18,130.21,316.39,2,6.32,1
torchinferno,few_shot,73,169.67,132.92,302.59,2,6.61,1
torchinferno,few_shot,74,179.39,133.71,313.10,2,6.39,1
torchinferno,few_shot,75,398.61,0.00,467.11,1,2.14,1
torchinferno,few_shot,76,426.72,0.00,489.29,1,2.04,1
torchinferno,few_shot,77,230.50,0.00,291.37,1,3.43,1
torchinferno,few_shot,78,408.54,0.00,479.90,1,2.08,1
torchinferno,few_shot,79,473.83,0.00,554.57,1,1.80,1
torchinferno,few_shot,80,375.24,0.00,457.04,1,2.19,1
torchinferno,few_shot,81,465.20,0.00,549.76,1,1.82,1
torchinferno,few_shot,82,456.43,0.00,525.20,1,1.90,1
torchinferno,few_shot,83,373.67,0.00,447.08,1,2.24,1
torchinferno,few_shot,84,221.25,0.00,299.98,1,3.33,1
torchinferno,few_shot,85,352.05,0.00,435.86,1,2.29,1
torchinferno,few_shot,86,358.08,0.00,445.39,1,2.25,1
torchinferno,few_shot,87,440.67,0.00,522.04,1,1.92,1
torchinferno,few_shot,88,432.02,0.00,513.75,1,1.95,1
torchinferno,few_shot,89,398.94,0.00,493.74,1,2.03,1
torchinferno,few_shot,90,434.59,0.00,527.92,1,1.89,1
torchinferno,few_shot,91,400.69,0.00,488.21,1,2.05,1
torchinferno,few_shot,92,223.19,0.00,317.69,1,3.15,1
torchinferno,few_shot,93,216.48,0.00,320.32,1,3.12,1
torchinferno,few_shot,94,219.00,0.00,316.69,1,3.16,1
torchinferno,few_shot,95,385.44,0.00,486.89,1,2.05,1
torchinferno,few_shot,96,446.19,0.00,550.39,1,1.82,1
torchinferno,few_shot,97,446.40,0.00,561.02,1,1.78,1
torchinferno,few_shot,98,368.10,0.00,478.32,1,2.09,1
torchinferno,few_shot,99,411.25,0.00,510.46,1,1.96,1
torchinferno,few_shot,100,385.53,0.00,489.60,1,2.04,1
torchinferno,few_shot,101,425.92,0.00,543.39,1,1.84,1
torchinferno,few_shot,102,385.98,0.00,491.26,1,2.04,1
torchinferno,few_shot,103,442.58,0.00,562.63,1,1.78,1
torchinferno,few_shot,104,434.21,0.00,551.86,1,1.81,1
torchinferno,few_shot,105,459.78,0.00,587.52,1,1.70,1
torchinferno,few_shot,106,402.99,0.00,517.69,1,1.93,1
torchinferno,few_shot,107,368.39,0.00,487.69,1,2.05,1
torchinferno,few_shot,108,467.01,0.00,586.98,1,1.70,1
torchinferno,few_shot,109,380.70,0.00,501.11,1,2.00,1
torchinferno,few_shot,110,421.95,0.00,547.89,1,1.83,1
torchinferno,few_shot,111,418.71,152.92,571.62,2,3.50,1
torchinferno,few_shot,112,446.52,143.33,589.85,2,3.39,1
torchinferno,few_shot,113,360.37,146.68,507.05,2,3.94,1
torchinferno,few_shot,114,443.31,160.06,603.37,2,3.31,1
torchinferno,few_shot,115,433.46,151.45,584.91,2,3.42,1
torchinferno,few_shot,116,439.19,160.46,599.64,2,3.34,1
torchinferno,few_shot,117,366.76,157.21,523.97,2,3.82,1
torchinferno,few_shot,118,386.21,153.56,539.76,2,3.71,1
torchinferno,few_shot,119,216.79,158.66,375.45,2,5.33,1
torchinferno,few_shot,120,398.33,163.22,561.55,2,3.56,1
torchinferno,few_shot,121,456.22,161.70,617.92,2,3.24,1
torchinferno,few_shot,122,340.79,165.49,506.28,2,3.95,1
torchinferno,few_shot,123,393.80,171.16,564.96,2,3.54,1
torchinferno,few_shot,124,365.26,161.84,527.10,2,3.79,1
torchinferno,few_shot,125,367.94,173.51,541.46,2,3.69,1
torchinferno,few_shot,126,409.44,172.17,581.61,2,3.44,1
torchinferno,few_shot,127,358.05,182.79,540.84,2,3.70,1
torchinferno,few_shot,128,217.17,179.46,396.64,2,5.04,1
torchinferno,few_shot,129,396.87,172.10,568.97,2,3.52,1
torchinferno,few_shot,130,372.56,186.19,558.75,2,3.58,1
torchinferno,few_shot,131,387.45,189.33,576.78,2,3.47,1
