model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-29T17:01:46.475425

Build Times
provider,build_time_s
torchinferno,392.0
vllm,1371.1
sglang,263.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,247.97,162.55,157.52,sglang
ttft_p99_ms,1646.97,597.68,7876.29,vllm
tpot_median_ms,59.81,57.95,72.31,vllm
tpot_p99_ms,160.84,132.86,7449.21,vllm
e2e_median_ms,309.68,218.09,225.29,vllm
e2e_p99_ms,1739.11,630.94,15305.32,vllm
throughput_median_tps,4.13,6.87,5.27,vllm
total_output_tokens,1466,1466,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,235.48,178.65,233.91,vllm
ttft_p99_ms,498.29,425.55,73407.64,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,266.02,200.79,364.13,vllm
e2e_p99_ms,580.47,451.53,73472.02,vllm
throughput_median_tps,3.76,4.98,2.75,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,733.79,173.07,160.25,sglang
ttft_p99_ms,2418.00,347.47,298.10,sglang
tpot_median_ms,54.90,65.17,98.77,torchinferno
tpot_p99_ms,109.54,192.65,563.32,torchinferno
e2e_median_ms,790.31,226.22,257.61,vllm
e2e_p99_ms,2441.79,436.49,726.02,vllm
throughput_median_tps,1.88,6.10,5.29,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,955.61,138.89,109.29,sglang
ttft_last_turn_ms,1479.79,173.33,169.06,sglang
ttft_growth_ratio,1.55,1.25,1.55,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,185.24,60.78,82.90,vllm
ttft_p99_ms,374.81,145.52,569.69,vllm
tpot_median_ms,27.99,27.42,43.62,vllm
tpot_p99_ms,114.12,43.73,141.43,vllm
e2e_median_ms,212.45,81.18,143.37,vllm
e2e_p99_ms,408.79,164.84,616.63,vllm
throughput_median_tps,6.13,14.85,9.55,vllm
total_output_tokens,1478,1463,1457,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,505.15,75.66,83.35,vllm
ttft_p99_ms,2046.29,219.20,153.94,sglang
tpot_median_ms,15.17,14.89,22.76,vllm
tpot_p99_ms,60.44,26.84,28.91,vllm
e2e_median_ms,1338.29,622.48,873.26,vllm
e2e_p99_ms,3435.58,1010.71,1666.81,vllm
throughput_median_tps,28.49,58.36,40.29,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1016.84,0.00,1534.49,1,0.65,1
torchinferno,few_shot,1,1020.67,0.00,1539.07,1,0.65,1
torchinferno,few_shot,2,1641.60,0.00,1665.80,1,0.60,1
torchinferno,few_shot,3,1651.12,0.00,1667.25,1,0.60,1
torchinferno,few_shot,4,1622.10,0.00,1647.64,1,0.61,1
torchinferno,few_shot,5,1629.96,0.00,1655.88,1,0.60,1
torchinferno,few_shot,6,1638.16,0.00,1654.47,1,0.60,1
torchinferno,few_shot,7,1635.28,0.00,1660.52,1,0.60,1
torchinferno,few_shot,8,1638.17,0.00,1658.22,1,0.60,1
torchinferno,few_shot,9,1638.00,32.40,1670.40,2,1.20,1
torchinferno,few_shot,10,1641.61,0.00,1665.67,1,0.60,1
torchinferno,few_shot,11,1635.52,0.00,1678.50,1,0.60,1
torchinferno,few_shot,12,1652.27,0.00,1679.79,1,0.60,1
torchinferno,few_shot,13,1646.97,43.37,1690.34,2,1.18,1
torchinferno,few_shot,14,1641.94,0.00,1687.14,1,0.59,1
torchinferno,few_shot,15,1642.23,46.70,1688.93,2,1.18,1
torchinferno,few_shot,16,1644.38,52.16,1696.54,2,1.18,1
torchinferno,few_shot,17,1621.72,0.00,1671.54,1,0.60,1
torchinferno,few_shot,18,1627.24,0.00,1680.91,1,0.59,1
torchinferno,few_shot,19,1649.67,45.22,1694.89,2,1.18,1
torchinferno,few_shot,20,1636.50,0.00,1680.94,1,0.59,1
torchinferno,few_shot,21,1624.98,0.00,1683.95,1,0.59,1
torchinferno,few_shot,22,1629.83,55.96,1685.79,2,1.19,1
torchinferno,few_shot,23,1625.16,56.11,1681.26,2,1.19,1
torchinferno,few_shot,24,1631.71,51.89,1683.60,2,1.19,1
torchinferno,few_shot,25,1623.32,63.50,1686.82,2,1.19,1
torchinferno,few_shot,26,1638.74,52.87,1691.60,2,1.18,1
torchinferno,few_shot,27,1653.91,60.87,1714.78,2,1.17,1
torchinferno,few_shot,28,1635.65,70.94,1706.58,2,1.17,1
torchinferno,few_shot,29,1634.57,55.06,1689.64,2,1.18,1
torchinferno,few_shot,30,1638.63,0.00,1712.93,1,0.58,1
torchinferno,few_shot,31,1634.12,66.63,1700.75,2,1.18,1
torchinferno,few_shot,32,1642.54,70.74,1713.28,2,1.17,1
torchinferno,few_shot,33,1651.57,74.35,1725.91,2,1.16,1
torchinferno,few_shot,34,1631.11,70.55,1701.65,2,1.18,1
torchinferno,few_shot,35,1642.42,77.43,1719.85,2,1.16,1
torchinferno,few_shot,36,1638.08,0.00,1708.59,1,0.59,1
torchinferno,few_shot,37,1630.59,75.64,1706.23,2,1.17,1
torchinferno,few_shot,38,1627.34,78.25,1705.59,2,1.17,1
torchinferno,few_shot,39,1621.34,0.00,1707.94,1,0.59,1
torchinferno,few_shot,40,1632.88,81.61,1714.49,2,1.17,1
torchinferno,few_shot,41,1627.89,84.36,1712.25,2,1.17,1
torchinferno,few_shot,42,1629.61,80.82,1710.43,2,1.17,1
torchinferno,few_shot,43,1645.03,87.79,1732.82,2,1.15,1
torchinferno,few_shot,44,1626.88,0.00,1717.53,1,0.58,1
torchinferno,few_shot,45,1647.19,88.52,1735.72,2,1.15,1
