model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-06T07:02:25.424509+00:00

Build Times
provider,build_time_s
torchinferno,45.3
vllm,226.7
sglang,183.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,158.79,121.88,134.55,vllm
ttft_p99_ms,760.06,234.06,617.05,vllm
tpot_median_ms,44.48,42.47,86.48,vllm
tpot_p99_ms,141.09,136.47,434.21,vllm
e2e_median_ms,206.51,157.99,222.38,vllm
e2e_p99_ms,806.10,301.12,749.29,vllm
throughput_median_tps,6.09,8.96,5.75,vllm
total_output_tokens,1461,1466,1466,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,100.88,128.59,212.02,torchinferno
ttft_p99_ms,397.12,299.29,69048.19,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,107.89,152.46,353.48,torchinferno
e2e_p99_ms,406.41,343.22,69152.48,vllm
throughput_median_tps,9.27,6.56,2.83,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,234.27,145.50,161.77,vllm
ttft_p99_ms,664.62,430.60,670.39,vllm
tpot_median_ms,56.70,44.60,110.53,vllm
tpot_p99_ms,119.50,314.31,933.62,torchinferno
e2e_median_ms,291.89,190.00,270.30,vllm
e2e_p99_ms,734.03,574.09,988.59,vllm
throughput_median_tps,4.44,7.05,4.76,vllm
total_output_tokens,1454,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,222.90,136.95,100.97,sglang
ttft_last_turn_ms,293.07,157.18,183.56,vllm
ttft_growth_ratio,1.31,1.15,1.82,vllm
ttft_first_turn_median_ms,206.29,121.15,90.15,sglang
ttft_first_turn_p99_ms,484.89,389.09,254.46,sglang
ttft_last_turn_median_ms,253.56,149.20,175.21,vllm
ttft_last_turn_p99_ms,664.62,459.64,299.57,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,76.43,32.85,51.01,vllm
ttft_p99_ms,238.81,46.09,402.31,vllm
tpot_median_ms,63.44,21.71,386.59,vllm
tpot_p99_ms,162.20,29.81,1049.79,vllm
e2e_median_ms,107.17,48.45,434.09,vllm
e2e_p99_ms,290.54,95.65,1101.34,vllm
throughput_median_tps,12.61,25.61,3.32,vllm
total_output_tokens,1473,1457,1472,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,307.54,74.80,72.28,sglang
ttft_p99_ms,1209.08,968.58,537.94,sglang
tpot_median_ms,18.55,14.76,22.39,vllm
tpot_p99_ms,83.50,46.64,111.69,vllm
e2e_median_ms,1061.45,658.83,933.62,vllm
e2e_p99_ms,2247.47,1367.73,2075.75,vllm
throughput_median_tps,35.50,59.12,40.43,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,3,0,180.16,131.13,311.29,2,6.42,1,,,,,,,3,,,
torchinferno,few_shot,4,1,551.17,0.00,565.91,1,1.77,1,,,,,,,4,,,
torchinferno,few_shot,10,2,433.31,0.00,446.06,1,2.24,1,,,,,,,10,,,
torchinferno,few_shot,11,3,412.76,0.00,429.68,1,2.33,1,,,,,,,11,,,
torchinferno,few_shot,9,4,450.22,0.00,470.00,1,2.13,1,,,,,,,9,,,
torchinferno,few_shot,8,5,470.78,0.00,489.17,1,2.04,1,,,,,,,8,,,
torchinferno,few_shot,5,6,534.62,0.00,556.21,1,1.80,1,,,,,,,5,,,
torchinferno,few_shot,12,7,396.92,0.00,419.80,1,2.38,1,,,,,,,12,,,
torchinferno,few_shot,16,8,321.64,23.99,345.62,2,5.79,1,,,,,,,16,,,
torchinferno,few_shot,7,9,493.76,0.00,520.86,1,1.92,1,,,,,,,7,,,
torchinferno,few_shot,14,10,359.27,29.30,388.56,2,5.15,1,,,,,,,14,,,
torchinferno,few_shot,6,11,513.30,33.45,546.75,2,3.66,1,,,,,,,6,,,
torchinferno,few_shot,15,12,336.04,33.71,369.75,2,5.41,1,,,,,,,15,,,
torchinferno,few_shot,13,13,379.83,34.20,414.03,2,4.83,1,,,,,,,13,,,
torchinferno,few_shot,25,14,242.32,0.00,255.49,1,3.91,1,,,,,,,25,,,
torchinferno,few_shot,26,15,228.72,0.00,242.23,1,4.13,1,,,,,,,26,,,
torchinferno,few_shot,28,16,193.35,0.00,208.81,1,4.79,1,,,,,,,28,,,
torchinferno,few_shot,1,17,744.13,0.00,767.30,1,1.30,1,,,,,,,1,,,
torchinferno,few_shot,64,18,388.66,0.00,413.37,1,2.42,1,,,,,,,64,,,
torchinferno,few_shot,31,19,140.35,0.00,162.15,1,6.17,1,,,,,,,31,,,
torchinferno,few_shot,34,20,89.92,0.00,111.10,1,9.00,1,,,,,,,34,,,
torchinferno,few_shot,17,21,379.90,0.00,407.50,1,2.45,1,,,,,,,17,,,
torchinferno,few_shot,29,22,173.60,0.00,200.86,1,4.98,1,,,,,,,29,,,
torchinferno,few_shot,23,23,275.31,32.23,307.54,2,6.50,1,,,,,,,23,,,
torchinferno,few_shot,0,24,781.06,30.91,811.98,2,2.46,1,,,,,,,0,,,
torchinferno,few_shot,22,25,293.60,34.87,328.47,2,6.09,1,,,,,,,22,,,
torchinferno,few_shot,24,26,264.20,0.00,294.90,1,3.39,1,,,,,,,24,,,
torchinferno,few_shot,30,27,157.24,36.34,193.58,2,10.33,1,,,,,,,30,,,
torchinferno,few_shot,19,28,349.18,36.44,385.62,2,5.19,1,,,,,,,19,,,
torchinferno,few_shot,2,29,724.80,40.17,764.97,2,2.61,1,,,,,,,2,,,
torchinferno,few_shot,33,30,102.51,43.92,146.43,2,13.66,1,,,,,,,33,,,
torchinferno,few_shot,21,31,313.83,41.67,355.50,2,5.63,1,,,,,,,21,,,
torchinferno,few_shot,20,32,326.90,48.09,374.99,2,5.33,1,,,,,,,20,,,
torchinferno,few_shot,27,33,207.50,48.05,255.55,2,7.83,1,,,,,,,27,,,
torchinferno,few_shot,18,34,365.59,46.92,412.51,2,4.85,1,,,,,,,18,,,
torchinferno,few_shot,32,35,125.69,46.74,172.43,2,11.60,1,,,,,,,32,,,
torchinferno,few_shot,69,36,142.09,0.00,152.32,1,6.57,1,,,,,,,69,,,
torchinferno,few_shot,66,37,142.51,0.00,157.64,1,6.34,1,,,,,,,66,,,
torchinferno,few_shot,72,38,131.80,0.00,149.27,1,6.70,1,,,,,,,72,,,
torchinferno,few_shot,67,39,143.36,0.00,161.32,1,6.20,1,,,,,,,67,,,
torchinferno,few_shot,71,40,137.28,0.00,154.41,1,6.48,1,,,,,,,71,,,
torchinferno,few_shot,65,41,145.44,0.00,168.45,1,5.94,1,,,,,,,65,,,
torchinferno,few_shot,76,42,124.26,0.00,148.52,1,6.73,1,,,,,,,76,,,
torchinferno,few_shot,38,43,70.76,0.00,94.27,1,10.61,1,,,,,,,38,,,
torchinferno,few_shot,74,44,130.43,0.00,154.55,1,6.47,1,,,,,,,74,,,
torchinferno,few_shot,75,45,129.52,25.78,155.30,2,12.88,1,,,,,,,75,,,
torchinferno,few_shot,35,46,136.50,0.00,165.65,1,6.04,1,,,,,,,35,,,
torchinferno,few_shot,70,47,137.98,31.74,169.72,2,11.78,1,,,,,,,70,,,
torchinferno,few_shot,37,48,89.97,0.00,119.76,1,8.35,1,,,,,,,37,,,
torchinferno,few_shot,73,49,131.77,32.67,164.44,2,12.16,1,,,,,,,73,,,
torchinferno,few_shot,36,50,105.72,36.25,141.97,2,14.09,1,,,,,,,36,,,
torchinferno,few_shot,68,51,143.08,0.00,180.43,1,5.54,1,,,,,,,68,,,
torchinferno,few_shot,77,52,122.27,43.25,165.52,2,12.08,1,,,,,,,77,,,
