model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-23T07:03:35.317936

Build Times
provider,build_time_s
torchinferno,381.9
vllm,1340.4
sglang,196.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,290.34,147.32,143.18,sglang
ttft_p99_ms,1630.98,554.67,4451.74,vllm
tpot_median_ms,149.96,51.36,74.52,vllm
tpot_p99_ms,209.86,142.96,7516.34,vllm
e2e_median_ms,398.97,198.36,211.15,vllm
e2e_p99_ms,1822.28,605.33,11929.13,vllm
throughput_median_tps,3.49,7.15,5.44,vllm
total_output_tokens,1466,1460,1466,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,265.31,187.72,199.44,vllm
ttft_p99_ms,1473.99,319.39,70529.73,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,320.88,219.79,332.01,vllm
e2e_p99_ms,1564.01,420.82,70612.92,vllm
throughput_median_tps,3.12,4.55,3.01,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,696.52,178.05,157.12,sglang
ttft_p99_ms,2077.61,344.29,620.48,vllm
tpot_median_ms,138.28,54.36,93.32,vllm
tpot_p99_ms,683.97,211.38,235.24,vllm
e2e_median_ms,803.08,229.94,251.80,vllm
e2e_p99_ms,2308.42,444.47,650.94,vllm
throughput_median_tps,1.55,6.07,5.21,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1032.68,148.95,107.65,sglang
ttft_last_turn_ms,599.08,176.37,186.84,vllm
ttft_growth_ratio,0.58,1.18,1.74,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,323.24,57.76,77.35,vllm
ttft_p99_ms,1098.14,135.70,483.59,vllm
tpot_median_ms,127.72,27.07,52.59,vllm
tpot_p99_ms,151.75,68.19,453.04,vllm
e2e_median_ms,425.40,78.99,143.04,vllm
e2e_p99_ms,1170.10,150.35,538.33,vllm
throughput_median_tps,3.38,15.43,9.82,vllm
total_output_tokens,1484,1469,1474,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,931.86,70.07,66.25,sglang
ttft_p99_ms,4282.32,181.67,114.46,sglang
tpot_median_ms,17.74,15.10,22.36,vllm
tpot_p99_ms,66.65,21.12,27.56,vllm
e2e_median_ms,1621.66,622.28,814.35,vllm
e2e_p99_ms,5201.59,1021.09,1586.03,vllm
throughput_median_tps,19.10,58.47,42.19,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,892.04,0.00,1079.75,1,0.93,1
torchinferno,few_shot,1,1622.30,0.00,1705.90,1,0.59,1
torchinferno,few_shot,2,1618.73,0.00,1709.83,1,0.58,1
torchinferno,few_shot,3,1618.04,0.00,1711.58,1,0.58,1
torchinferno,few_shot,4,1626.41,0.00,1714.51,1,0.58,1
torchinferno,few_shot,5,1629.88,0.00,1720.71,1,0.58,1
torchinferno,few_shot,6,551.91,0.00,642.86,1,1.56,1
torchinferno,few_shot,7,1621.75,0.00,1724.97,1,0.58,1
torchinferno,few_shot,8,1630.96,0.00,1723.24,1,0.58,1
torchinferno,few_shot,9,1627.75,0.00,1719.39,1,0.58,1
torchinferno,few_shot,10,1623.64,0.00,1723.90,1,0.58,1
torchinferno,few_shot,11,1615.26,0.00,1724.74,1,0.58,1
torchinferno,few_shot,12,1622.38,0.00,1732.12,1,0.58,1
torchinferno,few_shot,13,1619.03,0.00,1726.00,1,0.58,1
torchinferno,few_shot,14,1624.27,0.00,1736.21,1,0.58,1
torchinferno,few_shot,15,1624.89,0.00,1738.35,1,0.58,1
torchinferno,few_shot,16,1622.12,0.00,1734.75,1,0.58,1
torchinferno,few_shot,17,1632.10,0.00,1734.51,1,0.58,1
torchinferno,few_shot,18,1626.53,0.00,1734.84,1,0.58,1
torchinferno,few_shot,19,1626.10,0.00,1734.72,1,0.58,1
torchinferno,few_shot,20,1620.68,0.00,1738.68,1,0.58,1
torchinferno,few_shot,21,1622.69,0.00,1738.43,1,0.58,1
torchinferno,few_shot,22,1638.85,0.00,1745.79,1,0.57,1
torchinferno,few_shot,23,1618.75,0.00,1744.70,1,0.57,1
torchinferno,few_shot,24,1620.32,0.00,1743.90,1,0.57,1
torchinferno,few_shot,25,1623.76,0.00,1746.70,1,0.57,1
torchinferno,few_shot,26,1623.54,0.00,1745.55,1,0.57,1
torchinferno,few_shot,27,1627.06,0.00,1749.80,1,0.57,1
torchinferno,few_shot,28,1641.89,0.00,1758.67,1,0.57,1
torchinferno,few_shot,29,1623.09,0.00,1750.06,1,0.57,1
torchinferno,few_shot,30,1624.90,0.00,1753.99,1,0.57,1
torchinferno,few_shot,31,1629.87,0.00,1763.23,1,0.57,1
torchinferno,few_shot,32,1634.39,0.00,1766.99,1,0.57,1
torchinferno,few_shot,33,1621.63,170.75,1792.38,2,1.12,1
torchinferno,few_shot,34,1630.98,164.49,1795.48,2,1.11,1
torchinferno,few_shot,35,1619.65,167.48,1787.13,2,1.12,1
torchinferno,few_shot,36,1618.41,168.17,1786.58,2,1.12,1
torchinferno,few_shot,37,1626.21,169.73,1795.94,2,1.11,1
torchinferno,few_shot,38,1618.92,173.98,1792.90,2,1.12,1
torchinferno,few_shot,39,1624.63,177.67,1802.30,2,1.11,1
torchinferno,few_shot,40,1619.40,178.82,1798.22,2,1.11,1
torchinferno,few_shot,41,1635.69,167.72,1803.41,2,1.11,1
torchinferno,few_shot,42,1621.68,178.93,1800.61,2,1.11,1
torchinferno,few_shot,43,1626.35,177.40,1803.75,2,1.11,1
torchinferno,few_shot,44,1639.71,173.83,1813.54,2,1.10,1
torchinferno,few_shot,45,1635.08,172.90,1807.98,2,1.11,1
