model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-16T05:01:41.690789

Build Times
provider,build_time_s
torchinferno,87.4
vllm,1261.2
sglang,178.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,312.87,169.31,149.84,sglang
ttft_p99_ms,2550.98,508.68,7363.75,vllm
tpot_median_ms,154.99,60.99,72.22,vllm
tpot_p99_ms,202.44,174.46,7618.67,vllm
e2e_median_ms,405.33,230.15,221.25,sglang
e2e_p99_ms,2658.39,631.28,14946.03,vllm
throughput_median_tps,3.45,6.27,5.37,vllm
total_output_tokens,1461,1466,1466,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,303.91,185.69,214.33,vllm
ttft_p99_ms,1846.75,482.72,70301.02,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,346.85,210.62,360.13,vllm
e2e_p99_ms,1957.08,512.51,70412.11,vllm
throughput_median_tps,2.88,4.75,2.78,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1068.41,188.03,172.20,sglang
ttft_p99_ms,3197.45,382.59,661.02,vllm
tpot_median_ms,109.46,52.39,117.37,vllm
tpot_p99_ms,445.39,204.37,743.12,vllm
e2e_median_ms,1158.30,237.92,294.71,vllm
e2e_p99_ms,3444.92,453.77,832.43,vllm
throughput_median_tps,1.16,5.95,4.51,vllm
total_output_tokens,1450,1462,1462,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1552.92,165.41,171.72,vllm
ttft_last_turn_ms,838.28,176.31,201.86,vllm
ttft_growth_ratio,0.54,1.07,1.18,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,368.72,61.50,83.29,vllm
ttft_p99_ms,1006.49,219.33,627.87,vllm
tpot_median_ms,135.66,27.54,46.23,vllm
tpot_p99_ms,163.74,46.10,160.29,vllm
e2e_median_ms,478.70,82.64,140.80,vllm
e2e_p99_ms,1157.87,242.90,757.09,vllm
throughput_median_tps,2.94,14.84,9.51,vllm
total_output_tokens,1473,1452,1461,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.96,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,76.59,72.16,sglang
ttft_p99_ms,,182.10,586.79,vllm
tpot_median_ms,,14.94,22.06,vllm
tpot_p99_ms,,19.51,59.38,vllm
e2e_median_ms,,608.95,893.72,vllm
e2e_p99_ms,,1038.38,1575.19,vllm
throughput_median_tps,,58.72,42.09,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,699.57,0.00,1164.13,1,0.86,1
torchinferno,few_shot,1,2273.75,0.00,2359.12,1,0.42,1
torchinferno,few_shot,2,2281.11,0.00,2359.07,1,0.42,1
torchinferno,few_shot,3,2273.18,0.00,2354.38,1,0.42,1
torchinferno,few_shot,4,2266.03,0.00,2352.10,1,0.43,1
torchinferno,few_shot,5,2267.91,0.00,2356.17,1,0.42,1
torchinferno,few_shot,6,2263.91,0.00,2358.85,1,0.42,1
torchinferno,few_shot,7,2283.61,0.00,2373.39,1,0.42,1
torchinferno,few_shot,8,2286.12,0.00,2376.32,1,0.42,1
torchinferno,few_shot,9,2257.84,0.00,2359.53,1,0.42,1
torchinferno,few_shot,10,2270.88,0.00,2366.33,1,0.42,1
torchinferno,few_shot,11,2274.43,0.00,2370.25,1,0.42,1
torchinferno,few_shot,12,2272.79,0.00,2382.35,1,0.42,1
torchinferno,few_shot,13,2267.53,0.00,2368.59,1,0.42,1
torchinferno,few_shot,14,2267.08,0.00,2371.42,1,0.42,1
torchinferno,few_shot,15,2268.41,0.00,2376.43,1,0.42,1
torchinferno,few_shot,16,2262.72,0.00,2375.45,1,0.42,1
torchinferno,few_shot,17,2263.33,0.00,2377.09,1,0.42,1
torchinferno,few_shot,18,2271.17,0.00,2380.73,1,0.42,1
torchinferno,few_shot,19,2271.41,0.00,2394.83,1,0.42,1
torchinferno,few_shot,20,2265.01,0.00,2382.42,1,0.42,1
torchinferno,few_shot,21,2273.33,0.00,2397.97,1,0.42,1
torchinferno,few_shot,22,2283.63,0.00,2404.39,1,0.42,1
torchinferno,few_shot,23,2269.05,0.00,2391.68,1,0.42,1
torchinferno,few_shot,24,2279.38,0.00,2405.66,1,0.42,1
torchinferno,few_shot,25,2277.00,173.30,2450.30,2,0.82,1
torchinferno,few_shot,26,2281.83,163.40,2445.22,2,0.82,1
torchinferno,few_shot,27,2262.58,177.67,2440.25,2,0.82,1
torchinferno,few_shot,28,2260.54,178.75,2439.30,2,0.82,1
torchinferno,few_shot,29,2275.28,177.19,2452.47,2,0.82,1
torchinferno,few_shot,30,2262.18,183.26,2445.44,2,0.82,1
torchinferno,few_shot,31,2271.40,185.87,2457.27,2,0.81,1
torchinferno,few_shot,32,2270.00,179.08,2449.08,2,0.82,1
torchinferno,few_shot,33,2277.95,185.99,2463.93,2,0.81,1
torchinferno,few_shot,34,2265.67,181.23,2446.90,2,0.82,1
torchinferno,few_shot,35,2270.39,179.76,2450.15,2,0.82,1
torchinferno,few_shot,36,2279.95,183.53,2463.48,2,0.81,1
torchinferno,few_shot,37,2273.95,190.22,2464.17,2,0.81,1
torchinferno,few_shot,38,2269.23,190.02,2459.25,2,0.81,1
torchinferno,few_shot,39,2264.65,189.34,2453.99,2,0.81,1
torchinferno,few_shot,40,2279.60,193.64,2473.24,2,0.81,1
torchinferno,few_shot,41,2278.94,190.11,2469.05,2,0.81,1
torchinferno,few_shot,42,2259.99,194.88,2454.87,2,0.81,1
torchinferno,few_shot,43,2274.52,199.44,2473.95,2,0.81,1
torchinferno,few_shot,44,2262.51,194.25,2456.76,2,0.81,1
torchinferno,few_shot,45,2276.59,197.66,2474.26,2,0.81,1
torchinferno,few_shot,46,2264.83,202.44,2467.27,2,0.81,1
torchinferno,few_shot,47,2266.58,205.49,2472.07,2,0.81,1
torchinferno,few_shot,48,2279.23,204.62,2483.85,2,0.81,1
torchinferno,few_shot,49,2554.86,0.00,2628.66,1,0.38,1
torchinferno,few_shot,50,189.53,0.00,257.96,1,3.88,1
torchinferno,few_shot,51,211.36,0.00,285.87,1,3.50,1
torchinferno,few_shot,52,2554.57,0.00,2638.49,1,0.38,1
torchinferno,few_shot,53,176.87,0.00,254.92,1,3.92,1
torchinferno,few_shot,54,1410.09,0.00,1494.90,1,0.67,1
torchinferno,few_shot,55,189.41,0.00,270.71,1,3.69,1
torchinferno,few_shot,56,205.48,0.00,294.10,1,3.40,1
torchinferno,few_shot,57,178.60,0.00,264.11,1,3.79,1
torchinferno,few_shot,58,211.50,0.00,303.08,1,3.30,1
torchinferno,few_shot,59,171.15,0.00,261.70,1,3.82,1
torchinferno,few_shot,60,2550.98,0.00,2646.43,1,0.38,1
