model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-16T22:09:23.912365

Build Times
provider,build_time_s
torchinferno,319.3
vllm,961.2
sglang,159.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,274.95,158.05,139.23,sglang
ttft_p99_ms,1448.13,551.80,4325.80,vllm
tpot_median_ms,146.68,56.66,72.97,vllm
tpot_p99_ms,182.94,146.34,7306.90,vllm
e2e_median_ms,364.66,210.56,207.86,sglang
e2e_p99_ms,1549.67,602.42,11603.41,vllm
throughput_median_tps,3.98,6.64,5.87,vllm
total_output_tokens,1466,1460,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,225.68,201.63,214.90,vllm
ttft_p99_ms,1382.44,465.48,70404.16,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,313.12,222.38,352.53,vllm
e2e_p99_ms,1451.77,487.69,70507.20,vllm
throughput_median_tps,3.19,4.50,2.84,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,583.64,173.46,161.88,sglang
ttft_p99_ms,1264.92,358.82,568.23,vllm
tpot_median_ms,113.97,55.84,98.93,vllm
tpot_p99_ms,461.97,190.74,233.63,vllm
e2e_median_ms,678.33,226.61,259.63,vllm
e2e_p99_ms,1489.69,433.78,659.41,vllm
throughput_median_tps,2.03,6.20,5.04,vllm
total_output_tokens,1450,1460,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,712.22,137.01,109.80,sglang
ttft_last_turn_ms,519.15,166.47,192.26,vllm
ttft_growth_ratio,0.73,1.22,1.75,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,334.45,58.29,73.81,vllm
ttft_p99_ms,914.58,116.63,437.29,vllm
tpot_median_ms,128.36,27.16,59.37,vllm
tpot_p99_ms,151.19,40.70,413.43,vllm
e2e_median_ms,437.15,79.11,147.37,vllm
e2e_p99_ms,1029.32,140.16,500.29,vllm
throughput_median_tps,2.97,15.58,9.74,vllm
total_output_tokens,1484,1455,1480,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,66.02,66.12,vllm
ttft_p99_ms,,120.22,112.18,sglang
tpot_median_ms,,15.02,22.57,vllm
tpot_p99_ms,,18.29,27.06,vllm
e2e_median_ms,,605.92,835.42,vllm
e2e_p99_ms,,1001.33,1561.21,vllm
throughput_median_tps,,59.42,41.91,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,677.49,0.00,743.14,1,1.35,1
torchinferno,few_shot,1,677.76,127.80,805.56,2,2.48,1
torchinferno,few_shot,2,1190.79,0.00,1256.68,1,0.80,1
torchinferno,few_shot,3,1183.86,0.00,1257.89,1,0.79,1
torchinferno,few_shot,4,1192.38,0.00,1260.02,1,0.79,1
torchinferno,few_shot,5,1183.95,0.00,1260.90,1,0.79,1
torchinferno,few_shot,6,1180.05,0.00,1261.80,1,0.79,1
torchinferno,few_shot,7,1173.69,0.00,1255.02,1,0.80,1
torchinferno,few_shot,8,1176.59,0.00,1256.51,1,0.80,1
torchinferno,few_shot,9,1187.25,0.00,1265.93,1,0.79,1
torchinferno,few_shot,10,1186.85,0.00,1267.05,1,0.79,1
torchinferno,few_shot,11,1184.26,0.00,1262.53,1,0.79,1
torchinferno,few_shot,12,1188.31,0.00,1273.87,1,0.79,1
torchinferno,few_shot,13,1177.72,0.00,1263.71,1,0.79,1
torchinferno,few_shot,14,1175.97,0.00,1266.23,1,0.79,1
torchinferno,few_shot,15,1191.04,0.00,1276.57,1,0.78,1
torchinferno,few_shot,16,1176.02,0.00,1269.61,1,0.79,1
torchinferno,few_shot,17,1181.02,0.00,1278.82,1,0.78,1
torchinferno,few_shot,18,1181.04,0.00,1274.26,1,0.78,1
torchinferno,few_shot,19,1175.71,0.00,1272.27,1,0.79,1
torchinferno,few_shot,20,1186.23,0.00,1286.17,1,0.78,1
torchinferno,few_shot,21,1181.76,0.00,1288.43,1,0.78,1
torchinferno,few_shot,22,1179.11,0.00,1277.57,1,0.78,1
torchinferno,few_shot,23,1181.60,0.00,1281.10,1,0.78,1
torchinferno,few_shot,24,1177.43,0.00,1281.56,1,0.78,1
torchinferno,few_shot,25,1174.52,0.00,1282.86,1,0.78,1
torchinferno,few_shot,26,1179.12,156.10,1335.22,2,1.50,1
torchinferno,few_shot,27,1173.84,154.58,1328.42,2,1.51,1
torchinferno,few_shot,28,1171.77,158.45,1330.23,2,1.50,1
torchinferno,few_shot,29,1187.47,153.08,1340.55,2,1.49,1
torchinferno,few_shot,30,1185.52,154.41,1339.93,2,1.49,1
torchinferno,few_shot,31,1180.44,161.93,1342.38,2,1.49,1
torchinferno,few_shot,32,1180.51,165.90,1346.40,2,1.49,1
torchinferno,few_shot,33,1179.81,164.65,1344.46,2,1.49,1
torchinferno,few_shot,34,1171.34,163.66,1335.00,2,1.50,1
torchinferno,few_shot,35,1179.54,174.54,1354.08,2,1.48,1
torchinferno,few_shot,36,1188.65,171.78,1360.43,2,1.47,1
torchinferno,few_shot,37,1181.14,176.31,1357.45,2,1.47,1
torchinferno,few_shot,38,1184.62,177.14,1361.76,2,1.47,1
torchinferno,few_shot,39,1177.23,170.77,1348.00,2,1.48,1
torchinferno,few_shot,40,1177.57,173.16,1350.73,2,1.48,1
torchinferno,few_shot,41,1190.08,173.99,1364.07,2,1.47,1
torchinferno,few_shot,42,1174.50,178.14,1352.64,2,1.48,1
torchinferno,few_shot,43,1183.29,181.22,1364.51,2,1.47,1
torchinferno,few_shot,44,1177.14,181.95,1359.09,2,1.47,1
torchinferno,few_shot,45,1176.28,182.94,1359.22,2,1.47,1
torchinferno,few_shot,46,1182.36,188.56,1370.92,2,1.46,1
torchinferno,few_shot,47,1179.22,183.22,1362.45,2,1.47,1
torchinferno,few_shot,48,1168.84,194.16,1363.01,2,1.47,1
torchinferno,few_shot,49,1179.41,194.65,1374.06,2,1.46,1
torchinferno,few_shot,50,1449.13,0.00,1519.95,1,0.66,1
torchinferno,few_shot,51,185.26,0.00,256.08,1,3.90,1
torchinferno,few_shot,52,194.89,0.00,266.98,1,3.75,1
torchinferno,few_shot,53,211.12,0.00,280.81,1,3.56,1
torchinferno,few_shot,54,726.60,0.00,799.82,1,1.25,1
torchinferno,few_shot,55,1455.36,0.00,1528.24,1,0.65,1
torchinferno,few_shot,56,173.62,0.00,253.08,1,3.95,1
torchinferno,few_shot,57,171.15,0.00,252.68,1,3.96,1
torchinferno,few_shot,58,195.97,0.00,274.40,1,3.64,1
