model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-11T23:28:31.830884

Build Times
provider,build_time_s
torchinferno,91.9
vllm,1200.8
sglang,167.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,889.64,162.96,152.07,sglang
ttft_p99_ms,2593.36,919.39,8032.98,vllm
tpot_median_ms,634.10,62.65,72.96,vllm
tpot_p99_ms,1327.18,163.17,7412.87,vllm
e2e_median_ms,1552.49,222.85,225.91,vllm
e2e_p99_ms,3446.22,956.60,15421.94,vllm
throughput_median_tps,0.88,6.87,5.35,vllm
total_output_tokens,1465,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,583.30,185.10,220.29,vllm
ttft_p99_ms,1170.77,500.10,861.27,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,710.35,209.43,372.97,vllm
e2e_p99_ms,1345.24,531.31,953.47,vllm
throughput_median_tps,1.41,4.77,2.68,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,2619.03,187.64,170.68,sglang
ttft_p99_ms,5476.04,372.59,742.63,vllm
tpot_median_ms,1560.59,70.17,100.14,vllm
tpot_p99_ms,2950.63,223.65,271.08,vllm
e2e_median_ms,3845.17,242.90,271.87,vllm
e2e_p99_ms,7780.57,461.83,780.88,vllm
throughput_median_tps,0.32,5.57,4.85,vllm
total_output_tokens,1472,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.94,0.98,0.98,sglang
ttft_first_turn_ms,2650.25,175.00,123.72,sglang
ttft_last_turn_ms,2718.37,169.34,197.92,vllm
ttft_growth_ratio,1.03,0.97,1.60,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,801.00,61.89,80.86,vllm
ttft_p99_ms,1914.54,207.81,229.64,vllm
tpot_median_ms,614.02,27.91,58.19,vllm
tpot_p99_ms,1250.08,188.00,536.49,vllm
e2e_median_ms,1379.95,83.66,142.78,vllm
e2e_p99_ms,2310.48,241.71,614.52,vllm
throughput_median_tps,1.02,14.65,9.25,vllm
total_output_tokens,1480,1468,1468,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1827.98,79.77,74.07,sglang
ttft_p99_ms,4402.10,321.76,337.81,vllm
tpot_median_ms,67.56,14.95,21.87,vllm
tpot_p99_ms,166.70,22.27,42.94,vllm
e2e_median_ms,4440.86,626.97,880.52,vllm
e2e_p99_ms,8012.15,1057.90,2054.93,vllm
throughput_median_tps,8.76,57.64,42.40,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,785.18,391.94,1177.11,2,1.70,1
torchinferno,few_shot,1,2428.47,0.00,2906.26,1,0.34,1
torchinferno,few_shot,2,2442.22,0.00,2910.81,1,0.34,1
torchinferno,few_shot,3,2446.29,0.00,2913.30,1,0.34,1
torchinferno,few_shot,4,2431.07,0.00,2916.59,1,0.34,1
torchinferno,few_shot,5,2445.18,0.00,2918.08,1,0.34,1
torchinferno,few_shot,6,2421.07,0.00,2915.23,1,0.34,1
torchinferno,few_shot,7,2421.65,0.00,2919.17,1,0.34,1
torchinferno,few_shot,8,2422.82,0.00,2923.29,1,0.34,1
torchinferno,few_shot,9,2441.78,0.00,2929.68,1,0.34,1
torchinferno,few_shot,10,2437.15,0.00,2942.18,1,0.34,1
torchinferno,few_shot,11,2426.22,0.00,2929.62,1,0.34,1
torchinferno,few_shot,12,2440.94,0.00,2931.43,1,0.34,1
torchinferno,few_shot,13,2430.66,0.00,2931.88,1,0.34,1
torchinferno,few_shot,14,2428.56,0.00,2936.73,1,0.34,1
torchinferno,few_shot,15,2429.29,0.00,2937.72,1,0.34,1
torchinferno,few_shot,16,2432.33,0.00,2943.12,1,0.34,1
torchinferno,few_shot,17,1270.06,0.00,1776.33,1,0.56,1
torchinferno,few_shot,18,2426.45,0.00,2945.68,1,0.34,1
torchinferno,few_shot,19,2458.46,0.00,2962.04,1,0.34,1
torchinferno,few_shot,20,2422.63,0.00,2940.45,1,0.34,1
torchinferno,few_shot,21,2441.39,0.00,2964.45,1,0.34,1
torchinferno,few_shot,22,2436.37,0.00,2945.24,1,0.34,1
torchinferno,few_shot,23,2426.33,0.00,2944.74,1,0.34,1
torchinferno,few_shot,24,2434.36,0.00,2947.31,1,0.34,1
torchinferno,few_shot,25,2445.58,0.00,2968.64,1,0.34,1
torchinferno,few_shot,26,2450.40,0.00,2972.75,1,0.34,1
torchinferno,few_shot,27,2433.83,0.00,2972.09,1,0.34,1
torchinferno,few_shot,28,2451.37,0.00,2973.80,1,0.34,1
torchinferno,few_shot,29,2458.90,0.00,2977.72,1,0.34,1
torchinferno,few_shot,30,2426.29,0.00,2967.37,1,0.34,1
torchinferno,few_shot,31,2448.87,0.00,2976.98,1,0.34,1
torchinferno,few_shot,32,2434.18,0.00,2982.28,1,0.34,1
torchinferno,few_shot,33,2417.67,0.00,2962.85,1,0.34,1
torchinferno,few_shot,34,2432.07,608.29,3040.36,2,0.66,1
torchinferno,few_shot,35,2440.58,598.40,3038.98,2,0.66,1
torchinferno,few_shot,36,2443.93,604.41,3048.34,2,0.66,1
torchinferno,few_shot,37,2422.36,607.16,3029.51,2,0.66,1
torchinferno,few_shot,38,2426.07,608.53,3034.60,2,0.66,1
torchinferno,few_shot,39,2423.85,611.81,3035.66,2,0.66,1
torchinferno,few_shot,40,2443.04,618.32,3061.36,2,0.65,1
torchinferno,few_shot,41,2439.26,604.21,3043.47,2,0.66,1
torchinferno,few_shot,42,2429.01,613.90,3042.91,2,0.66,1
torchinferno,few_shot,43,2436.52,628.36,3064.88,2,0.65,1
torchinferno,few_shot,44,2437.59,612.05,3049.64,2,0.66,1
torchinferno,few_shot,45,2441.49,614.31,3055.80,2,0.65,1
